timeframe,filter_mode,consec_n,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
1d,ema200_price_above,3,20,2.0,809,0.4215,0.2334,1.514,16.99,188.83
1d,ema200_price_above,3,20,3.0,775,0.4619,0.1819,1.5653,12.19,140.94
1d,ema200_price_above,3,20,4.0,761,0.477,0.1556,1.6554,9.89,118.38
1d,ema200_price_above,3,25,2.0,746,0.4088,0.3442,1.692,15.92,256.81
1d,ema200_price_above,3,25,3.0,698,0.457,0.2719,1.7598,12.16,189.82
1d,ema200_price_above,3,25,4.0,686,0.4723,0.2145,1.7744,7.58,147.16
1d,ema200_price_above,4,5,2.0,511,0.499,0.0028,1.0117,15.15,1.42
1d,ema200_price_above,4,5,3.0,510,0.5039,0.0097,1.064,7.63,4.93
1d,ema200_price_above,4,5,4.0,510,0.5059,0.0099,1.0886,5.55,5.04
1d,ema200_price_above,4,10,2.0,472,0.4915,0.0817,1.2431,13.12,38.56
1d,ema200_price_above,4,10,3.0,467,0.5289,0.0872,1.4255,8.06,40.73
1d,ema200_price_above,4,10,4.0,467,0.5332,0.0746,1.512,4.29,34.82
1d,ema200_price_above,4,15,2.0,449,0.4766,0.183,1.4687,11.27,82.17
1d,ema200_price_above,4,15,3.0,440,0.5114,0.146,1.5773,7.32,64.24
1d,ema200_price_above,4,15,4.0,439,0.5216,0.1154,1.6182,5.38,50.65
1d,ema200_price_above,4,20,2.0,430,0.4535,0.2664,1.5971,12.26,114.53
1d,ema200_price_above,4,20,3.0,416,0.512,0.2207,1.7545,7.71,91.8
1d,ema200_price_above,4,20,4.0,414,0.5217,0.1726,1.7892,5.5,71.46
1d,ema200_price_above,4,25,2.0,407,0.4079,0.3609,1.7453,11.14,146.89
1d,ema200_price_above,4,25,3.0,389,0.455,0.2895,1.9048,7.91,112.63
1d,ema200_price_above,4,25,4.0,387,0.4651,0.2078,1.8151,7.82,80.42
1d,ema200_price_above,5,5,2.0,198,0.6616,0.1574,2.0786,3.15,31.16
1d,ema200_price_above,5,5,3.0,198,0.6667,0.0978,1.9351,2.48,19.37
1d,ema200_price_above,5,5,4.0,198,0.6667,0.0793,2.0945,2.36,15.71
1d,ema200_price_above,5,10,2.0,191,0.5969,0.2869,2.2115,4.52,54.79
1d,ema200_price_above,5,10,3.0,191,0.6073,0.1838,2.1033,3.44,35.1
1d,ema200_price_above,5,10,4.0,190,0.6105,0.1506,2.3261,3.05,28.61
1d,ema200_price_above,5,15,2.0,187,0.5615,0.3371,2.0515,5.52,63.03
1d,ema200_price_above,5,15,3.0,186,0.5645,0.2139,1.9589,4.26,39.78
1d,ema200_price_above,5,15,4.0,185,0.573,0.1702,2.0631,3.43,31.49
1d,ema200_price_above,5,20,2.0,179,0.514,0.4696,2.3077,6.29,84.05
1d,ema200_price_above,5,20,3.0,177,0.548,0.3058,2.2144,4.33,54.13
1d,ema200_price_above,5,20,4.0,176,0.5568,0.2324,2.2298,3.18,40.91
1d,ema200_price_above,5,25,2.0,176,0.4943,0.6666,2.7048,4.94,117.33
1d,ema200_price_above,5,25,3.0,174,0.5287,0.4315,2.5001,3.73,75.09
1d,ema200_price_above,5,25,4.0,173,0.5376,0.321,2.4432,3.02,55.54
1d,ema200_price_above,6,5,2.0,73,0.6027,0.1378,1.6943,3.29,10.06
1d,ema200_price_above,6,5,3.0,73,0.6164,0.1093,1.8921,2.21,7.98
1d,ema200_price_above,6,5,4.0,73,0.6164,0.0816,1.8832,2.16,5.95
