timeframe,filter_mode,consec_n,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
2h,none,7,25,4.0,1704,0.5012,0.0144,1.0472,40.8,24.56
2h,ema200_price_above,2,5,2.0,27000,0.4872,0.0241,1.0933,39.57,651.08
2h,ema200_price_above,2,5,3.0,26885,0.4937,0.0182,1.1058,28.18,489.31
2h,ema200_price_above,2,5,4.0,26856,0.4944,0.0136,1.105,20.87,364.65
2h,ema200_price_above,2,10,2.0,20009,0.4528,0.0304,1.0817,48.98,609.1
2h,ema200_price_above,2,10,3.0,19456,0.4726,0.0229,1.0901,33.68,445.94
2h,ema200_price_above,2,10,4.0,19318,0.4771,0.0158,1.0813,26.32,304.34
2h,ema200_price_above,2,15,2.0,16420,0.4401,0.0527,1.1207,44.61,865.59
2h,ema200_price_above,2,15,3.0,15640,0.4753,0.0392,1.1271,39.7,612.88
2h,ema200_price_above,2,15,4.0,15392,0.4834,0.0287,1.1216,29.97,441.46
2h,ema200_price_above,2,20,2.0,14198,0.4165,0.0572,1.1164,75.5,812.21
2h,ema200_price_above,2,20,3.0,13267,0.4683,0.0523,1.1474,40.5,693.81
2h,ema200_price_above,2,20,4.0,12955,0.4836,0.0414,1.1521,27.13,536.64
2h,ema200_price_above,2,25,2.0,12703,0.3915,0.0675,1.1264,58.41,856.99
2h,ema200_price_above,2,25,3.0,11619,0.456,0.0683,1.1745,43.25,793.46
2h,ema200_price_above,2,25,4.0,11252,0.4724,0.052,1.1706,32.17,585.28
2h,ema200_price_above,3,5,2.0,13828,0.497,0.0222,1.0894,36.26,307.03
2h,ema200_price_above,3,5,3.0,13785,0.5022,0.0161,1.0973,21.34,221.72
2h,ema200_price_above,3,5,4.0,13775,0.5037,0.0124,1.1001,17.19,170.23
2h,ema200_price_above,3,10,2.0,11626,0.4516,0.0111,1.0301,69.01,128.63
2h,ema200_price_above,3,10,3.0,11440,0.4698,0.008,1.0317,51.26,91.42
2h,ema200_price_above,3,10,4.0,11382,0.4746,0.0072,1.0381,35.64,82.25
2h,ema200_price_above,3,15,2.0,10291,0.4418,0.0438,1.1015,63.42,450.5
2h,ema200_price_above,3,15,3.0,9964,0.4799,0.0336,1.1108,39.37,334.38
2h,ema200_price_above,3,15,4.0,9860,0.4886,0.028,1.122,36.29,275.69
2h,ema200_price_above,3,20,2.0,9301,0.4176,0.0424,1.0876,85.88,394.49
2h,ema200_price_above,3,20,3.0,8875,0.4658,0.0301,1.0861,59.3,266.73
2h,ema200_price_above,3,20,4.0,8749,0.4819,0.0269,1.1009,45.4,235.06
2h,ema200_price_above,3,25,2.0,8543,0.3896,0.0571,1.1085,113.17,487.55
2h,ema200_price_above,3,25,3.0,8062,0.4504,0.0456,1.1176,76.91,367.92
2h,ema200_price_above,3,25,4.0,7883,0.4695,0.0353,1.1171,67.44,278.23
2h,ema200_price_above,4,5,2.0,5828,0.4859,-0.0006,0.9977,65.18,-3.27
2h,ema200_price_above,4,5,3.0,5826,0.4912,0.0052,1.0327,27.51,30.46
2h,ema200_price_above,4,5,4.0,5824,0.4924,0.0054,1.0452,20.7,31.28
2h,ema200_price_above,4,10,2.0,5391,0.4452,-0.0206,0.9437,133.61,-110.93
2h,ema200_price_above,4,10,3.0,5344,0.4635,-0.0103,0.9588,64.77,-55.16
2h,ema200_price_above,4,10,4.0,5325,0.4678,-0.006,0.9678,39.43,-32.12
2h,ema200_price_above,4,15,2.0,5088,0.4304,0.0022,1.005,57.48,11.2
2h,ema200_price_above,4,15,3.0,4998,0.4716,0.0099,1.0323,44.25,49.38
2h,ema200_price_above,4,15,4.0,4972,0.4811,0.0141,1.0621,30.43,70.13
2h,ema200_price_above,4,20,2.0,4812,0.4079,0.0026,1.0054,76.48,12.72
2h,ema200_price_above,4,20,3.0,4700,0.4572,0.0123,1.0348,62.07,57.67
2h,ema200_price_above,4,20,4.0,4660,0.474,0.0209,1.0798,30.26,97.55
2h,ema200_price_above,4,25,2.0,4589,0.3824,0.0116,1.0217,80.43,53.13
2h,ema200_price_above,4,25,3.0,4444,0.4431,0.0197,1.0502,62.32,87.53
2h,ema200_price_above,4,25,4.0,4383,0.467,0.0271,1.0915,32.12,118.91
2h,ema200_price_above,5,5,2.0,2365,0.4875,0.0034,1.0144,24.73,7.99
2h,ema200_price_above,5,5,3.0,2365,0.4926,0.0064,1.0418,14.23,15.23
2h,ema200_price_above,5,5,4.0,2365,0.4934,0.0053,1.0461,10.92,12.57
2h,ema200_price_above,5,10,2.0,2282,0.461,-0.0013,0.9963,37.62,-3.02
2h,ema200_price_above,5,10,3.0,2270,0.4833,0.0117,1.0499,26.76,26.55
2h,ema200_price_above,5,10,4.0,2268,0.4863,0.0075,1.0422,22.32,17.03
2h,ema200_price_above,5,15,2.0,2229,0.4365,0.0157,1.0363,45.7,35.09
2h,ema200_price_above,5,15,3.0,2208,0.481,0.0359,1.1232,23.8,79.25
2h,ema200_price_above,5,15,4.0,2203,0.4907,0.0311,1.1426,18.47,68.41
2h,ema200_price_above,5,20,2.0,2166,0.4086,-0.0024,0.9951,62.22,-5.25
2h,ema200_price_above,5,20,3.0,2140,0.4682,0.0223,1.065,35.18,47.69
2h,ema200_price_above,5,20,4.0,2134,0.4827,0.0188,1.0721,21.76,40.22
2h,ema200_price_above,5,25,2.0,2119,0.3846,0.0275,1.0517,52.28,58.27
2h,ema200_price_above,5,25,3.0,2084,0.4535,0.0476,1.1243,30.03,99.19
2h,ema200_price_above,5,25,4.0,2072,0.4764,0.0392,1.1329,26.38,81.25
2h,ema200_price_above,6,5,2.0,882,0.5034,-0.008,0.965,20.69,-7.06
2h,ema200_price_above,6,5,3.0,882,0.5136,0.0024,1.0163,12.87,2.1
2h,ema200_price_above,6,5,4.0,882,0.517,0.0027,1.0248,10.39,2.4
2h,ema200_price_above,6,10,2.0,876,0.4543,-0.0396,0.8926,45.67,-34.69
2h,ema200_price_above,6,10,3.0,872,0.4817,-0.0167,0.9313,32.66,-14.59
2h,ema200_price_above,6,10,4.0,871,0.4845,-0.0108,0.9405,23.42,-9.41
2h,ema200_price_above,6,15,2.0,866,0.4203,-0.0124,0.9722,34.09,-10.72
2h,ema200_price_above,6,15,3.0,861,0.4646,0.0058,1.0191,23.25,4.96
2h,ema200_price_above,6,15,4.0,860,0.4721,0.0043,1.0189,16.55,3.7
2h,ema200_price_above,6,20,2.0,854,0.3923,-0.0211,0.9583,36.57,-17.99
2h,ema200_price_above,6,20,3.0,850,0.4541,0.0081,1.023,21.38,6.89
2h,ema200_price_above,6,20,4.0,847,0.4675,0.0079,1.0295,16.75,6.73
2h,ema200_price_above,6,25,2.0,845,0.3799,-0.0034,0.9937,33.15,-2.87
2h,ema200_price_above,6,25,3.0,840,0.4476,0.0224,1.0581,22.2,18.83
2h,ema200_price_above,6,25,4.0,836,0.4713,0.0204,1.0689,16.5,17.06
2h,ema200_price_above,7,5,2.0,337,0.4896,-0.0306,0.8752,17.56,-10.32
2h,ema200_price_above,7,5,3.0,337,0.5015,-0.0102,0.9346,10.86,-3.45
2h,ema200_price_above,7,5,4.0,337,0.5015,-0.0127,0.8964,9.35,-4.27
2h,ema200_price_above,7,10,2.0,336,0.4464,-0.0628,0.8337,39.73,-21.11
2h,ema200_price_above,7,10,3.0,336,0.4792,-0.0183,0.9246,23.5,-6.15
2h,ema200_price_above,7,10,4.0,336,0.4792,-0.0206,0.8909,19.55,-6.93
2h,ema200_price_above,7,15,2.0,335,0.3851,-0.0169,0.9619,40.58,-5.65
2h,ema200_price_above,7,15,3.0,335,0.4299,0.0189,1.0651,25.84,6.32
2h,ema200_price_above,7,15,4.0,335,0.4388,-0.0052,0.9783,22.37,-1.74
2h,ema200_price_above,7,20,2.0,334,0.3922,-0.0036,0.9927,44.1,-1.19
2h,ema200_price_above,7,20,3.0,334,0.4581,0.0267,1.0794,33.1,8.92
2h,ema200_price_above,7,20,4.0,333,0.4715,0.001,1.0037,27.82,0.34
2h,ema200_price_above,7,25,2.0,333,0.3844,0.0341,1.0649,36.77,11.36
2h,ema200_price_above,7,25,3.0,333,0.4595,0.0617,1.169,28.09,20.54
2h,ema200_price_above,7,25,4.0,332,0.4759,0.0319,1.1071,23.13,10.6
