timeframe,filter_mode,consec_n,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
4h,none,3,20,3.0,1644,0.4045,-0.068,0.8286,122.75,-111.71
4h,none,3,20,4.0,1582,0.4191,-0.0597,0.8053,100.66,-94.4
4h,none,3,25,2.0,1615,0.3331,-0.0754,0.8721,136.19,-121.84
4h,none,3,25,3.0,1452,0.376,-0.0595,0.869,96.3,-86.33
4h,none,3,25,4.0,1384,0.3996,-0.0695,0.8046,101.15,-96.15
4h,none,4,5,2.0,1456,0.4492,-0.0903,0.7147,134.42,-131.44
4h,none,4,5,3.0,1453,0.4591,-0.0705,0.6874,103.87,-102.39
4h,none,4,5,4.0,1450,0.4607,-0.0669,0.636,98.04,-96.96
4h,none,4,10,2.0,1313,0.4006,-0.1554,0.6455,206.44,-204.08
4h,none,4,10,3.0,1282,0.422,-0.1419,0.5794,182.48,-181.91
4h,none,4,10,4.0,1266,0.4297,-0.1191,0.5538,151.91,-150.79
4h,none,4,15,2.0,1229,0.3881,-0.1264,0.7421,160.96,-155.34
4h,none,4,15,3.0,1178,0.4185,-0.1193,0.6824,143.07,-140.49
4h,none,4,15,4.0,1157,0.4339,-0.0851,0.7017,101.45,-98.45
4h,none,4,20,2.0,1161,0.3385,-0.1713,0.6926,201.11,-198.86
4h,none,4,20,3.0,1093,0.376,-0.1527,0.6481,168.73,-166.86
4h,none,4,20,4.0,1057,0.4002,-0.1131,0.6634,122.68,-119.54
4h,none,4,25,2.0,1079,0.3151,-0.1426,0.7618,167.92,-153.86
4h,none,4,25,3.0,1012,0.3577,-0.1476,0.6907,159.13,-149.32
4h,none,4,25,4.0,963,0.3915,-0.1011,0.7291,104.51,-97.37
4h,none,5,5,2.0,765,0.4248,-0.118,0.6792,90.24,-90.23
4h,none,5,5,3.0,765,0.4392,-0.0927,0.6454,71.14,-70.88
4h,none,5,5,4.0,765,0.4444,-0.0432,0.746,33.19,-33.07
4h,none,5,10,2.0,730,0.3959,-0.1659,0.6485,122.82,-121.13
4h,none,5,10,3.0,717,0.4198,-0.1384,0.6057,100.35,-99.25
4h,none,5,10,4.0,709,0.4457,-0.0713,0.6941,51.76,-50.52
4h,none,5,15,2.0,698,0.3997,-0.1109,0.7817,87.38,-77.41
4h,none,5,15,3.0,678,0.4469,-0.0759,0.7922,64.19,-51.43
4h,none,5,15,4.0,668,0.488,-0.017,0.9303,22.93,-11.34
4h,none,5,20,2.0,673,0.3462,-0.1645,0.7065,114.16,-110.73
4h,none,5,20,3.0,644,0.3991,-0.1136,0.7299,83.12,-73.18
4h,none,5,20,4.0,622,0.4453,-0.0501,0.8318,37.87,-31.14
4h,none,5,25,2.0,645,0.3101,-0.1609,0.7358,127.26,-103.8
4h,none,5,25,3.0,612,0.3775,-0.1247,0.7313,101.86,-76.33
4h,none,5,25,4.0,587,0.4242,-0.0604,0.8199,51.13,-35.46
4h,none,6,5,2.0,363,0.438,-0.119,0.6911,49.57,-43.19
4h,none,6,5,3.0,363,0.5207,-0.024,0.896,15.17,-8.7
4h,none,6,5,4.0,363,0.551,0.0101,1.0677,6.38,3.68
4h,none,6,10,2.0,356,0.4157,-0.2267,0.5142,80.63,-80.7
4h,none,6,10,3.0,352,0.5142,-0.0997,0.65,37.02,-35.1
4h,none,6,10,4.0,351,0.547,-0.041,0.7785,17.68,-14.4
4h,none,6,15,2.0,349,0.4241,-0.1207,0.751,45.59,-42.13
4h,none,6,15,3.0,343,0.5423,-0.0043,0.9854,15.77,-1.48
4h,none,6,15,4.0,340,0.5794,0.0262,1.1314,7.51,8.9
4h,none,6,20,2.0,345,0.4,-0.0567,0.8903,35.65,-19.55
4h,none,6,20,3.0,338,0.5148,0.0012,1.0036,16.41,0.4
4h,none,6,20,4.0,333,0.5646,0.0546,1.2331,5.34,18.19
4h,none,6,25,2.0,338,0.355,-0.1032,0.8166,46.49,-34.87
4h,none,6,25,3.0,331,0.4743,-0.058,0.8489,32.04,-19.21
4h,none,6,25,4.0,325,0.5323,-0.0094,0.9662,10.78,-3.07
4h,none,7,5,2.0,187,0.5615,0.1363,1.4341,5.77,25.48
4h,none,7,5,3.0,187,0.6417,0.1842,2.1257,2.77,34.45
4h,none,7,5,4.0,187,0.6417,0.1347,2.0672,2.58,25.19
4h,none,7,10,2.0,186,0.5376,0.038,1.101,10.39,7.08
4h,none,7,10,3.0,185,0.6378,0.1187,1.5729,2.82,21.95
4h,none,7,10,4.0,185,0.6432,0.0899,1.5765,2.53,16.63
4h,none,7,15,2.0,185,0.5405,0.0952,1.2378,9.53,17.6
4h,none,7,15,3.0,183,0.6557,0.1724,1.791,2.4,31.54
4h,none,7,15,4.0,182,0.6593,0.1362,1.8548,2.12,24.79
4h,none,7,20,2.0,185,0.5081,0.0849,1.1989,15.37,15.71
4h,none,7,20,3.0,183,0.623,0.1151,1.4454,6.69,21.06
4h,none,7,20,4.0,181,0.6409,0.1019,1.5028,5.59,18.44
4h,none,7,25,2.0,180,0.4722,0.1338,1.2949,13.22,24.09
4h,none,7,25,3.0,178,0.5787,0.1114,1.3969,6.64,19.83
4h,none,7,25,4.0,175,0.6,0.0952,1.4314,5.12,16.66
4h,ema200_price_above,2,5,2.0,1615,0.4409,-0.0345,0.8715,77.05,-55.72
4h,ema200_price_above,2,5,3.0,1608,0.4447,-0.0221,0.8764,51.89,-35.61
4h,ema200_price_above,2,5,4.0,1608,0.4447,-0.0156,0.8833,38.37,-25.01
4h,ema200_price_above,2,10,2.0,1201,0.4421,0.0113,1.0304,23.11,13.58
4h,ema200_price_above,2,10,3.0,1174,0.4549,-0.0092,0.9655,32.5,-10.86
4h,ema200_price_above,2,10,4.0,1171,0.4552,-0.0142,0.9321,30.21,-16.58
4h,ema200_price_above,2,15,2.0,978,0.409,0.0648,1.1462,30.77,63.35
4h,ema200_price_above,2,15,3.0,939,0.4292,0.0335,1.1018,30.6,31.47
4h,ema200_price_above,2,15,4.0,932,0.4388,0.0219,1.0864,28.1,20.45
4h,ema200_price_above,2,20,2.0,842,0.3599,0.0327,1.0624,48.44,27.53
4h,ema200_price_above,2,20,3.0,799,0.398,0.0085,1.0216,38.4,6.76
4h,ema200_price_above,2,20,4.0,788,0.4036,-0.0066,0.9787,40.36,-5.24
4h,ema200_price_above,2,25,2.0,750,0.336,-0.0135,0.976,60.58,-10.15
4h,ema200_price_above,2,25,3.0,692,0.3974,-0.0059,0.9859,45.68,-4.08
4h,ema200_price_above,2,25,4.0,677,0.4136,-0.0204,0.9406,43.66,-13.8
4h,ema200_price_above,3,5,2.0,823,0.4532,-0.0435,0.8349,43.06,-35.83
4h,ema200_price_above,3,5,3.0,821,0.4543,-0.0309,0.8273,30.64,-25.34
4h,ema200_price_above,3,5,4.0,820,0.4537,-0.0229,0.8289,23.16,-18.78
4h,ema200_price_above,3,10,2.0,704,0.4205,-0.006,0.9843,41.71,-4.23
4h,ema200_price_above,3,10,3.0,693,0.4286,-0.0318,0.889,40.32,-22.05
4h,ema200_price_above,3,10,4.0,692,0.4277,-0.0318,0.8574,34.77,-22.02
4h,ema200_price_above,3,15,2.0,615,0.4163,0.0157,1.037,43.91,9.64
4h,ema200_price_above,3,15,3.0,608,0.4375,-0.0181,0.9435,41.03,-11.0
4h,ema200_price_above,3,15,4.0,607,0.4448,-0.0156,0.9377,36.04,-9.49
4h,ema200_price_above,3,20,2.0,550,0.3745,0.051,1.1029,49.16,28.03
4h,ema200_price_above,3,20,3.0,531,0.3992,0.012,1.0323,40.5,6.38
4h,ema200_price_above,3,20,4.0,529,0.4045,0.0034,1.0115,33.02,1.79
4h,ema200_price_above,3,25,2.0,499,0.3427,0.0564,1.1017,47.72,28.14
4h,ema200_price_above,3,25,3.0,471,0.3737,0.0033,1.0076,41.13,1.54
4h,ema200_price_above,3,25,4.0,461,0.3818,-0.0112,0.9677,34.0,-5.16
4h,ema200_price_above,4,5,2.0,355,0.4423,-0.0822,0.7247,28.46,-29.16
4h,ema200_price_above,4,5,3.0,355,0.4423,-0.076,0.6548,26.66,-26.97
4h,ema200_price_above,4,5,4.0,355,0.4423,-0.0716,0.6016,25.18,-25.41
4h,ema200_price_above,4,10,2.0,326,0.408,-0.1353,0.6608,45.64,-44.11
4h,ema200_price_above,4,10,3.0,325,0.4123,-0.1339,0.5759,42.52,-43.52
4h,ema200_price_above,4,10,4.0,325,0.4123,-0.1148,0.5431,36.66,-37.3
4h,ema200_price_above,4,15,2.0,307,0.3909,-0.1203,0.732,40.6,-36.95
4h,ema200_price_above,4,15,3.0,306,0.4052,-0.1094,0.6825,32.75,-33.47
4h,ema200_price_above,4,15,4.0,305,0.4033,-0.1021,0.6335,31.34,-31.13
4h,ema200_price_above,4,20,2.0,294,0.3639,-0.0875,0.8245,35.65,-25.74
4h,ema200_price_above,4,20,3.0,283,0.3816,-0.1039,0.74,32.75,-29.42
4h,ema200_price_above,4,20,4.0,281,0.3843,-0.1131,0.6641,34.76,-31.79
4h,ema200_price_above,4,25,2.0,271,0.3026,-0.1775,0.6857,60.89,-48.11
4h,ema200_price_above,4,25,3.0,260,0.3231,-0.1784,0.6166,52.04,-46.38
4h,ema200_price_above,4,25,4.0,255,0.3294,-0.1725,0.5604,48.44,-43.99
4h,ema200_price_above,5,5,2.0,144,0.4375,-0.0943,0.7043,12.59,-13.59
4h,ema200_price_above,5,5,3.0,144,0.4375,-0.093,0.6169,13.29,-13.4
4h,ema200_price_above,5,5,4.0,144,0.4375,-0.0874,0.5624,12.51,-12.59
4h,ema200_price_above,5,10,2.0,135,0.4,-0.1433,0.6615,19.4,-19.34
4h,ema200_price_above,5,10,3.0,135,0.4074,-0.1261,0.612,16.83,-17.03
4h,ema200_price_above,5,10,4.0,135,0.4074,-0.1123,0.5706,15.27,-15.16
4h,ema200_price_above,5,15,2.0,129,0.3721,-0.0161,0.9648,9.31,-2.07
4h,ema200_price_above,5,15,3.0,129,0.3876,-0.0218,0.9361,8.59,-2.81
4h,ema200_price_above,5,15,4.0,129,0.3876,-0.0374,0.8647,8.25,-4.82
4h,ema200_price_above,5,20,2.0,125,0.392,0.0172,1.035,10.55,2.15
4h,ema200_price_above,5,20,3.0,123,0.4065,-0.0106,0.9716,7.3,-1.31
4h,ema200_price_above,5,20,4.0,123,0.4146,-0.0317,0.896,7.19,-3.9
4h,ema200_price_above,5,25,2.0,120,0.3417,-0.0335,0.9389,19.18,-4.02
4h,ema200_price_above,5,25,3.0,118,0.3729,-0.0626,0.8621,15.99,-7.38
4h,ema200_price_above,5,25,4.0,116,0.3793,-0.0918,0.7629,17.14,-10.64
4h,ema200_price_above,6,5,2.0,57,0.4737,-0.0622,0.7678,8.9,-3.54
4h,ema200_price_above,6,5,3.0,57,0.4737,-0.0687,0.6661,7.47,-3.92
4h,ema200_price_above,6,5,4.0,57,0.4737,-0.0779,0.5691,6.86,-4.44
4h,ema200_price_above,6,10,2.0,55,0.3818,-0.1005,0.7262,11.02,-5.53
4h,ema200_price_above,6,10,3.0,54,0.3889,-0.1117,0.6054,8.74,-6.03
4h,ema200_price_above,6,10,4.0,54,0.3889,-0.1094,0.5403,7.84,-5.91
4h,ema200_price_above,6,15,2.0,54,0.3889,-0.0389,0.8996,9.31,-2.1
4h,ema200_price_above,6,15,3.0,53,0.3962,-0.0698,0.7758,8.21,-3.7
4h,ema200_price_above,6,15,4.0,53,0.3962,-0.0862,0.6774,7.74,-4.57
4h,ema200_price_above,6,20,2.0,54,0.3889,-0.1371,0.7191,9.9,-7.4
4h,ema200_price_above,6,20,3.0,53,0.4151,-0.1612,0.5989,9.82,-8.55
4h,ema200_price_above,6,20,4.0,53,0.4151,-0.1456,0.5535,8.73,-7.72
4h,ema200_price_above,6,25,2.0,51,0.3725,-0.2334,0.576,13.47,-11.9
4h,ema200_price_above,6,25,3.0,51,0.3725,-0.2936,0.4187,14.35,-14.97
4h,ema200_price_above,6,25,4.0,51,0.3725,-0.2575,0.3811,12.13,-13.13
4h,ema200_price_above,7,5,2.0,22,0.5909,0.1039,1.6407,1.9,2.29
4h,ema200_price_above,7,5,3.0,22,0.5909,0.0541,1.439,1.33,1.19
4h,ema200_price_above,7,5,4.0,22,0.5909,0.0292,1.2815,1.25,0.64
4h,ema200_price_above,7,10,2.0,22,0.5,0.1519,1.5595,2.54,3.34
4h,ema200_price_above,7,10,3.0,22,0.5,0.0968,1.5217,1.12,2.13
4h,ema200_price_above,7,10,4.0,22,0.5,0.0831,1.6456,1.01,1.83
4h,ema200_price_above,7,15,2.0,22,0.4545,0.0453,1.1236,2.72,1.0
4h,ema200_price_above,7,15,3.0,22,0.5,0.0712,1.3315,1.0,1.57
4h,ema200_price_above,7,15,4.0,22,0.5,0.0629,1.4148,1.0,1.38
4h,ema200_price_above,7,20,2.0,22,0.5,-0.0621,0.8617,5.43,-1.37
4h,ema200_price_above,7,20,3.0,22,0.5,-0.0366,0.8758,3.08,-0.81
4h,ema200_price_above,7,20,4.0,22,0.5,-0.0361,0.8427,2.33,-0.79
4h,ema200_price_above,7,25,2.0,20,0.5,-0.1373,0.7254,5.22,-2.75
4h,ema200_price_above,7,25,3.0,20,0.55,-0.1192,0.6976,2.87,-2.38
4h,ema200_price_above,7,25,4.0,20,0.55,-0.1085,0.6553,2.25,-2.17
