symbol,entry_ts,r,funding,year,tf,cb,ap,hb,am,exit_ts,overlap,date
1000SHIBUSDT,1685520000000,-1.0,0.0001,2023,8h,15,20,15,2.0,1685952000000,True,2023-05-31
1000SHIBUSDT,1685952000000,4.547570413906111,0.0001,2023,8h,15,20,15,2.0,1686384000000,True,2023-06-05
1000SHIBUSDT,1696838400000,-1.0,0.0001,2023,8h,15,20,15,2.0,1697270400000,True,2023-10-09
1000SHIBUSDT,1759852800000,2.6155460372175554,0.0001,2025,8h,15,20,15,2.0,1760284800000,True,2025-10-07
1000SHIBUSDT,1769673600000,0.958309456461949,0.0001,2026,8h,15,20,15,2.0,1770105600000,True,2026-01-29
1000SHIBUSDT,1778659200000,1.689461344400603,0.0001,2026,8h,15,20,15,2.0,1779091200000,True,2026-05-13
1000XECUSDT,1642550400000,1.997961942020589,0.0001,2022,8h,15,20,15,2.0,1642982400000,True,2022-01-19
1000XECUSDT,1645315200000,0.4558094586410665,0.0001,2022,8h,15,20,15,2.0,1645747200000,True,2022-02-20
1000XECUSDT,1646611200000,-1.0,0.0001,2022,8h,15,20,15,2.0,1647043200000,True,2022-03-07
1000XECUSDT,1652054400000,3.564724276271976,0.0001,2022,8h,15,20,15,2.0,1652486400000,True,2022-05-09
1000XECUSDT,1654934400000,1.0644085385954452,0.0001,2022,8h,15,20,15,2.0,1655366400000,True,2022-06-11
1000XECUSDT,1656460800000,0.108758031446419,0.0001,2022,8h,15,20,15,2.0,1656892800000,True,2022-06-29
1000XECUSDT,1660723200000,1.8146092813674384,0.0001,2022,8h,15,20,15,2.0,1661155200000,True,2022-08-17
1000XECUSDT,1665273600000,1.148968010270244,0.0001,2022,8h,15,20,15,2.0,1665705600000,True,2022-10-09
1000XECUSDT,1666195200000,-0.3962161123046475,0.0001,2022,8h,15,20,15,2.0,1666627200000,True,2022-10-19
1000XECUSDT,1671206400000,0.6968303134885385,0.0001,2022,8h,15,20,15,2.0,1671638400000,False,2022-12-16
1000XECUSDT,1672358400000,-1.0,0.0001,2022,8h,15,20,15,2.0,1672790400000,True,2022-12-30
1000XECUSDT,1681891200000,0.682705311526076,0.00029021,2023,8h,15,20,15,2.0,1682323200000,True,2023-04-19
1000XECUSDT,1683100800000,1.8282304931097528,0.0001,2023,8h,15,20,15,2.0,1683532800000,True,2023-05-03
1000XECUSDT,1684886400000,-0.5790672203265937,0.0001,2023,8h,15,20,15,2.0,1685318400000,True,2023-05-24
1000XECUSDT,1685520000000,-1.0,0.0001,2023,8h,15,20,15,2.0,1685952000000,True,2023-05-31
1000XECUSDT,1685952000000,-1.0,0.0001,2023,8h,15,20,15,2.0,1686384000000,True,2023-06-05
1000XECUSDT,1686355200000,-0.179463562739882,0.0001,2023,8h,15,20,15,2.0,1686787200000,True,2023-06-10
1000XECUSDT,1726646400000,-1.0,0.0001,2024,8h,15,20,15,2.0,1727078400000,True,2024-09-18
1000XECUSDT,1729872000000,-1.0,0.0001,2024,8h,15,20,15,2.0,1730304000000,True,2024-10-25
1000XECUSDT,1743120000000,0.7939539751304656,0.0001,2025,8h,15,20,15,2.0,1743552000000,True,2025-03-28
1000XECUSDT,1749139200000,-1.0,0.0001,2025,8h,15,20,15,2.0,1749571200000,True,2025-06-05
1000XECUSDT,1749744000000,1.6835523671207129,0.0001,2025,8h,15,20,15,2.0,1750176000000,True,2025-06-12
1000XECUSDT,1751385600000,-1.0,0.0001,2025,8h,15,20,15,2.0,1751817600000,True,2025-07-01
1000XECUSDT,1757923200000,-1.0,0.0001,2025,8h,15,20,15,2.0,1758355200000,True,2025-09-15
1000XECUSDT,1758441600000,2.7978746124482483,0.0001,2025,8h,15,20,15,2.0,1758873600000,True,2025-09-21
1000XECUSDT,1759824000000,3.808514723829527,0.0001,2025,8h,15,20,15,2.0,1760256000000,True,2025-10-07
1000XECUSDT,1765987200000,-0.2658277249492465,0.0001,2025,8h,15,20,15,2.0,1766419200000,True,2025-12-17
1000XECUSDT,1768752000000,1.280254405603198,0.0001,2026,8h,15,20,15,2.0,1769184000000,True,2026-01-18
1000XECUSDT,1769846400000,0.9297329121194352,0.0001,2026,8h,15,20,15,2.0,1770278400000,True,2026-01-31
1000XECUSDT,1772236800000,-0.1884907363034129,0.0001,2026,8h,15,20,15,2.0,1772668800000,True,2026-02-28
1000XECUSDT,1774108800000,-1.0,0.0001,2026,8h,15,20,15,2.0,1774540800000,True,2026-03-21
1INCHUSDT,1626393600000,1.7269196468916104,0.0001,2021,8h,15,20,15,2.0,1626825600000,True,2021-07-16
1INCHUSDT,1640707200000,-0.0495758320019875,0.0001,2021,8h,15,20,15,2.0,1641139200000,True,2021-12-28
1INCHUSDT,1641398400000,1.1670268184338406,0.0001,2022,8h,15,20,15,2.0,1641830400000,True,2022-01-05
1INCHUSDT,1657555200000,-1.0,0.0001,2022,8h,15,20,15,2.0,1657987200000,False,2022-07-11
1INCHUSDT,1660723200000,1.665691903982014,0.0001,2022,8h,15,20,15,2.0,1661155200000,False,2022-08-17
1INCHUSDT,1663516800000,-0.5151798248716134,0.0001,2022,8h,15,20,15,2.0,1663948800000,True,2022-09-18
1INCHUSDT,1664697600000,-1.0,0.0001,2022,8h,15,20,15,2.0,1665129600000,True,2022-10-02
1INCHUSDT,1671206400000,-0.535913488105624,0.0001,2022,8h,15,20,15,2.0,1671638400000,True,2022-12-16
1INCHUSDT,1683504000000,0.1275823354121987,0.0001,2023,8h,15,20,15,2.0,1683936000000,True,2023-05-08
1INCHUSDT,1684915200000,-1.0,0.0001,2023,8h,15,20,15,2.0,1685347200000,True,2023-05-24
1INCHUSDT,1685952000000,2.351428392947996,0.0001,2023,8h,15,20,15,2.0,1686384000000,True,2023-06-05
1INCHUSDT,1692115200000,2.431863116149759,0.0001,2023,8h,15,20,15,2.0,1692547200000,True,2023-08-15
1INCHUSDT,1693555200000,-0.4226513980130273,0.0001,2023,8h,15,20,15,2.0,1693987200000,True,2023-09-01
1INCHUSDT,1696348800000,0.240576852851659,0.0001,2023,8h,15,20,15,2.0,1696780800000,False,2023-10-03
1INCHUSDT,1720022400000,-1.0,0.0001,2024,8h,15,20,15,2.0,1720454400000,True,2024-07-03
1INCHUSDT,1723737600000,-0.5886583926416271,0.0001,2024,8h,15,20,15,2.0,1724169600000,True,2024-08-15
1INCHUSDT,1724745600000,0.8498289395702554,0.0001,2024,8h,15,20,15,2.0,1725177600000,True,2024-08-27
1INCHUSDT,1727683200000,1.0656117205125144,0.0001,2024,8h,15,20,15,2.0,1728115200000,False,2024-09-30
1INCHUSDT,1729670400000,0.3265080283801304,0.0001,2024,8h,15,20,15,2.0,1730102400000,True,2024-10-23
1INCHUSDT,1730419200000,0.3080976930010096,0.0001,2024,8h,15,20,15,2.0,1730851200000,True,2024-11-01
1INCHUSDT,1740412800000,0.605631814732072,0.0001,2025,8h,15,20,15,2.0,1740844800000,True,2025-02-24
1INCHUSDT,1743120000000,0.5238671840716784,0.0001,2025,8h,15,20,15,2.0,1743552000000,False,2025-03-28
1INCHUSDT,1743609600000,1.426412545551229,0.0001,2025,8h,15,20,15,2.0,1744041600000,True,2025-04-02
1INCHUSDT,1746345600000,-1.0,0.0001,2025,8h,15,20,15,2.0,1746777600000,True,2025-05-04
1INCHUSDT,1750435200000,0.1436159323003743,0.0001,2025,8h,15,20,15,2.0,1750867200000,False,2025-06-20
1INCHUSDT,1751356800000,-1.0,0.0001,2025,8h,15,20,15,2.0,1751788800000,True,2025-07-01
1INCHUSDT,1766678400000,0.2208212388020566,0.0001,2025,8h,15,20,15,2.0,1767110400000,True,2025-12-25
1INCHUSDT,1768176000000,-1.0,0.0001,2026,8h,15,20,15,2.0,1768608000000,False,2026-01-12
1INCHUSDT,1769500800000,1.2221062168373074,0.0001,2026,8h,15,20,15,2.0,1769932800000,True,2026-01-27
1INCHUSDT,1773907200000,-0.0493513586540654,0.0001,2026,8h,15,20,15,2.0,1774339200000,True,2026-03-19
1INCHUSDT,1774598400000,-0.8741851378468158,0.0001,2026,8h,15,20,15,2.0,1775030400000,True,2026-03-27
AAVEUSDT,1633996800000,-1.0,0.0001,2021,8h,15,20,15,2.0,1634428800000,True,2021-10-12
AAVEUSDT,1637020800000,0.4802449736246666,0.00025922,2021,8h,15,20,15,2.0,1637452800000,True,2021-11-16
AAVEUSDT,1637740800000,0.7919017915795029,0.00033346,2021,8h,15,20,15,2.0,1638172800000,True,2021-11-24
AAVEUSDT,1638576000000,-0.4887928372065098,0.0001,2021,8h,15,20,15,2.0,1639008000000,True,2021-12-04
AAVEUSDT,1639152000000,0.2963620204751525,0.0001,2021,8h,15,20,15,2.0,1639584000000,True,2021-12-10
AAVEUSDT,1644595200000,-0.0655886213283065,0.0001,2022,8h,15,20,15,2.0,1645027200000,True,2022-02-11
AAVEUSDT,1645315200000,0.8911896704079999,0.0001,2022,8h,15,20,15,2.0,1645747200000,True,2022-02-20
AAVEUSDT,1646409600000,-0.30826888603018,0.0001,2022,8h,15,20,15,2.0,1646841600000,True,2022-03-04
AAVEUSDT,1655539200000,-1.0,0.0001,2022,8h,15,20,15,2.0,1655971200000,True,2022-06-18
AAVEUSDT,1656432000000,0.4087626506308339,0.0001,2022,8h,15,20,15,2.0,1656864000000,True,2022-06-28
AAVEUSDT,1663056000000,0.5842326968495372,0.0001,2022,8h,15,20,15,2.0,1663488000000,True,2022-09-13
AAVEUSDT,1671177600000,0.6069170294960914,0.0001,2022,8h,15,20,15,2.0,1671609600000,True,2022-12-16
AAVEUSDT,1683504000000,0.6944343484523823,0.0001,2023,8h,15,20,15,2.0,1683936000000,True,2023-05-08
AAVEUSDT,1685577600000,0.9827705928083584,0.0001,2023,8h,15,20,15,2.0,1686009600000,True,2023-06-01
AAVEUSDT,1686355200000,-0.0585409268132027,0.0001,2023,8h,15,20,15,2.0,1686787200000,True,2023-06-10
AAVEUSDT,1692201600000,1.4527853929706889,0.0001,2023,8h,15,20,15,2.0,1692633600000,True,2023-08-16
ACEUSDT,1712908800000,3.3049663565664185,0.000132,2024,8h,15,20,15,2.0,1713340800000,True,2024-04-12
ACHUSDT,1687968000000,-0.4171690888679122,0.0001,2023,8h,15,20,15,2.0,1688400000000,True,2023-06-28
ACHUSDT,1688947200000,-1.0,0.0001,2023,8h,15,20,15,2.0,1689379200000,True,2023-07-10
ACHUSDT,1689696000000,0.1612010188250482,0.0001,2023,8h,15,20,15,2.0,1690128000000,True,2023-07-18
ACHUSDT,1690185600000,-1.0,0.0001,2023,8h,15,20,15,2.0,1690617600000,True,2023-07-24
ACHUSDT,1691049600000,-1.0,0.0001,2023,8h,15,20,15,2.0,1691481600000,True,2023-08-03
ACHUSDT,1691596800000,-1.0,0.0001,2023,8h,15,20,15,2.0,1692028800000,True,2023-08-09
ACHUSDT,1692115200000,0.9867427988622124,0.0001,2023,8h,15,20,15,2.0,1692547200000,True,2023-08-15
ACHUSDT,1693267200000,-1.0,0.0001,2023,8h,15,20,15,2.0,1693699200000,True,2023-08-29
ACHUSDT,1696262400000,0.5226964998414023,0.00031546,2023,8h,15,20,15,2.0,1696694400000,False,2023-10-02
ACHUSDT,1696838400000,0.3073368378435644,0.0001,2023,8h,15,20,15,2.0,1697270400000,True,2023-10-09
ACHUSDT,1697616000000,-1.0,0.0001,2023,8h,15,20,15,2.0,1698048000000,True,2023-10-18
ACHUSDT,1724774400000,0.4771966390184604,0.0001,2024,8h,15,20,15,2.0,1725206400000,False,2024-08-27
ACHUSDT,1729872000000,-1.0,0.0001,2024,8h,15,20,15,2.0,1730304000000,True,2024-10-25
ACHUSDT,1749715200000,0.7349518201854499,0.0001,2025,8h,15,20,15,2.0,1750147200000,True,2025-06-12
ACHUSDT,1751356800000,-1.0,0.0001,2025,8h,15,20,15,2.0,1751788800000,True,2025-07-01
ACHUSDT,1757923200000,-1.0,0.0001,2025,8h,15,20,15,2.0,1758355200000,False,2025-09-15
ACHUSDT,1758499200000,0.0912250621337262,0.0001,2025,8h,15,20,15,2.0,1758931200000,True,2025-09-22
ACHUSDT,1759824000000,-1.0,0.0001,2025,8h,15,20,15,2.0,1760256000000,True,2025-10-07
ACHUSDT,1760083200000,2.800409773034767,0.0001,2025,8h,15,20,15,2.0,1760515200000,True,2025-10-10
ACHUSDT,1762128000000,-1.0,0.0001,2025,8h,15,20,15,2.0,1762560000000,True,2025-11-03
ACHUSDT,1765987200000,0.3638077575533096,0.0001,2025,8h,15,20,15,2.0,1766419200000,True,2025-12-17
ACHUSDT,1774598400000,-0.2184807716716096,0.0001,2026,8h,15,20,15,2.0,1775030400000,True,2026-03-27
ADAUSDT,1644624000000,-0.2190162497823183,0.0001,2022,8h,15,20,15,2.0,1645056000000,True,2022-02-12
ADAUSDT,1649260800000,1.218220902486964,0.0001,2022,8h,15,20,15,2.0,1649692800000,False,2022-04-06
ADAUSDT,1650211200000,-1.0,0.0001,2022,8h,15,20,15,2.0,1650643200000,True,2022-04-17
ADAUSDT,1650988800000,0.5645218639722243,0.0001,2022,8h,15,20,15,2.0,1651420800000,True,2022-04-26
ADAUSDT,1652054400000,2.3324081486222306,0.0001,2022,8h,15,20,15,2.0,1652486400000,True,2022-05-09
ADAUSDT,1665388800000,3.4217783462439675,0.0001,2022,8h,15,20,15,2.0,1665820800000,True,2022-10-10
ADAUSDT,1669593600000,-0.7013896714708132,0.0001,2022,8h,15,20,15,2.0,1670025600000,True,2022-11-28
ADAUSDT,1671206400000,0.6174018742714863,0.0001,2022,8h,15,20,15,2.0,1671638400000,False,2022-12-16
ADAUSDT,1672185600000,0.1389647472171883,0.0001,2022,8h,15,20,15,2.0,1672617600000,False,2022-12-28
ADAUSDT,1685952000000,8.194161697830681,0.0001,2023,8h,15,20,15,2.0,1686384000000,True,2023-06-05
ADAUSDT,1691942400000,3.01063303110941,0.0001,2023,8h,15,20,15,2.0,1692374400000,True,2023-08-13
ADAUSDT,1696838400000,0.5709042649371109,0.0001,2023,8h,15,20,15,2.0,1697270400000,True,2023-10-09
ADAUSDT,1724774400000,0.4212617757262846,0.0001,2024,8h,15,20,15,2.0,1725206400000,True,2024-08-27
ADAUSDT,1727769600000,0.7118842454211007,0.0001,2024,8h,15,20,15,2.0,1728201600000,False,2024-10-01
ADAUSDT,1729872000000,-1.0,0.0001,2024,8h,15,20,15,2.0,1730304000000,False,2024-10-25
ADAUSDT,1750406400000,-0.0422870739007137,0.0001,2025,8h,15,20,15,2.0,1750838400000,True,2025-06-20
ADAUSDT,1769356800000,-1.0,0.0001,2026,8h,15,20,15,2.0,1769788800000,True,2026-01-25
AGLDUSDT,1719993600000,1.8427185625386795,0.0001,2024,8h,15,20,15,2.0,1720425600000,True,2024-07-03
AGLDUSDT,1722672000000,0.176130263106413,0.0001,2024,8h,15,20,15,2.0,1723104000000,False,2024-08-03
AGLDUSDT,1724774400000,1.3493283961311826,0.0001,2024,8h,15,20,15,2.0,1725206400000,True,2024-08-27
AGLDUSDT,1755244800000,-1.0,0.0001,2025,8h,15,20,15,2.0,1755676800000,True,2025-08-15
AGLDUSDT,1757923200000,-1.0,0.0001,2025,8h,15,20,15,2.0,1758355200000,True,2025-09-15
AGLDUSDT,1758499200000,0.7625282573930037,0.0001,2025,8h,15,20,15,2.0,1758931200000,True,2025-09-22
AGLDUSDT,1759824000000,4.298658604198441,0.0001,2025,8h,15,20,15,2.0,1760256000000,True,2025-10-07
AGLDUSDT,1761811200000,1.0773230697659215,0.0001,2025,8h,15,20,15,2.0,1762243200000,True,2025-10-30
AGLDUSDT,1765411200000,0.5807053594865732,0.0001,2025,8h,15,20,15,2.0,1765843200000,True,2025-12-11
AGLDUSDT,1765987200000,-0.5039523466968469,0.0001,2025,8h,15,20,15,2.0,1766419200000,True,2025-12-17
AGLDUSDT,1771430400000,-1.0,0.0001,2026,8h,15,20,15,2.0,1771862400000,True,2026-02-18
AGLDUSDT,1778659200000,1.5055859447689512,0.0001,2026,8h,15,20,15,2.0,1779091200000,False,2026-05-13
AGLDUSDT,1779811200000,0.5474047399450964,0.0001,2026,8h,15,20,15,2.0,1780243200000,True,2026-05-26
AKTUSDT,1750147200000,1.237483407948781,0.00027753,2025,8h,15,20,15,2.0,1750579200000,True,2025-06-17
AKTUSDT,1757923200000,-0.4480254908985764,0.00041645,2025,8h,15,20,15,2.0,1758355200000,True,2025-09-15
AKTUSDT,1758499200000,0.5888096868141363,0.00042788,2025,8h,15,20,15,2.0,1758931200000,True,2025-09-22
AKTUSDT,1760083200000,2.4871062910091286,0.00024424,2025,8h,15,20,15,2.0,1760515200000,True,2025-10-10
ALCHUSDT,1753718400000,-1.0,0.00016529,2025,8h,15,20,15,2.0,1754150400000,True,2025-07-28
ALCHUSDT,1755792000000,2.390638668532118,0.00016504,2025,8h,15,20,15,2.0,1756224000000,True,2025-08-21
ALCHUSDT,1757577600000,-1.0,0.00012308,2025,8h,15,20,15,2.0,1758009600000,True,2025-09-11
ALCHUSDT,1775980800000,-1.0,0.00011405,2026,8h,15,20,15,2.0,1776412800000,False,2026-04-12
ALCHUSDT,1780531200000,0.4536310283097798,0.00010724,2026,8h,15,20,15,2.0,1780963200000,True,2026-06-04
ALGOUSDT,1603699200000,1.480090555175252,0.00032566,2020,8h,15,20,15,2.0,1604131200000,True,2020-10-26
ALGOUSDT,1645315200000,0.993324794476411,0.0001,2022,8h,15,20,15,2.0,1645747200000,True,2022-02-20
ALGOUSDT,1647014400000,-0.2339153832480776,0.0001,2022,8h,15,20,15,2.0,1647446400000,False,2022-03-11
ALGOUSDT,1650240000000,-1.0,0.0001,2022,8h,15,20,15,2.0,1650672000000,True,2022-04-18
ALGOUSDT,1651248000000,-1.0,0.0001,2022,8h,15,20,15,2.0,1651680000000,True,2022-04-29
ALGOUSDT,1654848000000,2.2832292196900843,0.0001,2022,8h,15,20,15,2.0,1655280000000,True,2022-06-10
ALGOUSDT,1656432000000,0.3116347025354478,0.0001,2022,8h,15,20,15,2.0,1656864000000,True,2022-06-28
ALGOUSDT,1658563200000,0.2605306109392217,0.0001,2022,8h,15,20,15,2.0,1658995200000,True,2022-07-23
ALGOUSDT,1660723200000,1.9185478267707556,0.0001,2022,8h,15,20,15,2.0,1661155200000,True,2022-08-17
ALGOUSDT,1662480000000,-1.0,0.0001,2022,8h,15,20,15,2.0,1662912000000,True,2022-09-06
ALGOUSDT,1663084800000,-1.0,0.0001,2022,8h,15,20,15,2.0,1663516800000,True,2022-09-13
ALGOUSDT,1665619200000,-1.0,0.0001,2022,8h,15,20,15,2.0,1666051200000,True,2022-10-13
ALGOUSDT,1666195200000,-0.1682172134373614,0.0001,2022,8h,15,20,15,2.0,1666627200000,True,2022-10-19
ALGOUSDT,1670371200000,-0.1077837294757364,0.0001,2022,8h,15,20,15,2.0,1670803200000,True,2022-12-07
ALGOUSDT,1671177600000,1.6096068894818607,0.0001,2022,8h,15,20,15,2.0,1671609600000,True,2022-12-16
ALGOUSDT,1678377600000,-1.0,0.0001,2023,8h,15,20,15,2.0,1678809600000,True,2023-03-09
ALGOUSDT,1681891200000,1.3268716296302694,0.00012896,2023,8h,15,20,15,2.0,1682323200000,False,2023-04-19
ALGOUSDT,1683360000000,1.0455013045242618,0.0001,2023,8h,15,20,15,2.0,1683792000000,True,2023-05-06
ALGOUSDT,1684656000000,1.8859175363755656,0.0001,2023,8h,15,20,15,2.0,1685088000000,True,2023-05-21
ALGOUSDT,1685520000000,-1.0,0.0001,2023,8h,15,20,15,2.0,1685952000000,True,2023-05-31
ALGOUSDT,1685952000000,5.224652134561324,0.0001,2023,8h,15,20,15,2.0,1686384000000,True,2023-06-05
ALGOUSDT,1692115200000,1.9826494574205715,0.0001,2023,8h,15,20,15,2.0,1692547200000,True,2023-08-15
ALGOUSDT,1695744000000,-1.0,0.0001,2023,8h,15,20,15,2.0,1696176000000,True,2023-09-26
ALGOUSDT,1720051200000,0.3541121218361128,0.0001,2024,8h,15,20,15,2.0,1720483200000,True,2024-07-04
ALGOUSDT,1721721600000,0.4722078247394383,0.0001,2024,8h,15,20,15,2.0,1722153600000,False,2024-07-23
ALGOUSDT,1724745600000,1.3753142509516283,0.0001,2024,8h,15,20,15,2.0,1725177600000,True,2024-08-27
ALGOUSDT,1727769600000,0.3627537709953586,0.0001,2024,8h,15,20,15,2.0,1728201600000,False,2024-10-01
ALGOUSDT,1729670400000,0.7295996137236597,0.0001,2024,8h,15,20,15,2.0,1730102400000,True,2024-10-23
ALGOUSDT,1730419200000,-1.0,0.0001,2024,8h,15,20,15,2.0,1730851200000,True,2024-11-01
ALGOUSDT,1749744000000,0.713455605826727,0.0001,2025,8h,15,20,15,2.0,1750176000000,False,2025-06-12
ALGOUSDT,1764518400000,0.1645866331606534,0.0001,2025,8h,15,20,15,2.0,1764950400000,True,2025-11-30
ALGOUSDT,1765526400000,0.9260290863651784,0.0001,2025,8h,15,20,15,2.0,1765958400000,False,2025-12-12
ALGOUSDT,1767139200000,-1.0,0.0001,2025,8h,15,20,15,2.0,1767571200000,True,2025-12-31
ALGOUSDT,1771430400000,1.0290727862615616,0.0001,2026,8h,15,20,15,2.0,1771862400000,True,2026-02-18
ALGOUSDT,1774512000000,-1.0,0.0001,2026,8h,15,20,15,2.0,1774944000000,True,2026-03-26
ALICEUSDT,1635321600000,-1.0,0.00061308,2021,8h,15,20,15,2.0,1635753600000,True,2021-10-27
ALICEUSDT,1642492800000,3.0652061715298715,0.0001,2022,8h,15,20,15,2.0,1642924800000,True,2022-01-18
ALICEUSDT,1646668800000,0.3445185473819223,0.0001,2022,8h,15,20,15,2.0,1647100800000,True,2022-03-07
ALICEUSDT,1650240000000,-1.0,0.0001,2022,8h,15,20,15,2.0,1650672000000,True,2022-04-18
ALICEUSDT,1650844800000,-1.0,0.0001,2022,8h,15,20,15,2.0,1651276800000,True,2022-04-25
ALICEUSDT,1657497600000,-0.1635225410754168,0.0001,2022,8h,15,20,15,2.0,1657929600000,True,2022-07-11
ALICEUSDT,1658707200000,-1.0,0.0001,2022,8h,15,20,15,2.0,1659139200000,True,2022-07-25
ALICEUSDT,1660723200000,1.8460908954877284,0.0001,2022,8h,15,20,15,2.0,1661155200000,True,2022-08-17
ALICEUSDT,1661702400000,-0.8325937123492829,0.0001,2022,8h,15,20,15,2.0,1662134400000,True,2022-08-28
ALICEUSDT,1662480000000,-1.0,0.0001,2022,8h,15,20,15,2.0,1662912000000,True,2022-09-06
ALICEUSDT,1663776000000,-0.1671334057398073,0.0001,2022,8h,15,20,15,2.0,1664208000000,True,2022-09-21
ALICEUSDT,1665417600000,0.4828915208646378,0.0001,2022,8h,15,20,15,2.0,1665849600000,True,2022-10-10
ALICEUSDT,1666195200000,-0.1279564183810422,0.0001,2022,8h,15,20,15,2.0,1666627200000,True,2022-10-19
ALICEUSDT,1667404800000,-1.0,0.0001,2022,8h,15,20,15,2.0,1667836800000,False,2022-11-02
ALICEUSDT,1670371200000,0.020993314609247,0.0001,2022,8h,15,20,15,2.0,1670803200000,True,2022-12-07
ALICEUSDT,1670889600000,-1.0,0.0001,2022,8h,15,20,15,2.0,1671321600000,True,2022-12-13
ALICEUSDT,1671206400000,0.1159431691638058,0.0001,2022,8h,15,20,15,2.0,1671638400000,True,2022-12-16
ALICEUSDT,1672358400000,-1.0,0.0001,2022,8h,15,20,15,2.0,1672790400000,True,2022-12-30
ALICEUSDT,1685491200000,-0.2229153951286635,0.0001,2023,8h,15,20,15,2.0,1685923200000,True,2023-05-31
ALICEUSDT,1685952000000,4.249018234136664,0.0001,2023,8h,15,20,15,2.0,1686384000000,True,2023-06-05
ALICEUSDT,1690185600000,0.0170435789381527,0.0001,2023,8h,15,20,15,2.0,1690617600000,True,2023-07-24
ALICEUSDT,1695715200000,-0.5479705036521725,0.0001,2023,8h,15,20,15,2.0,1696147200000,True,2023-09-26
ALICEUSDT,1726473600000,-1.0,0.0001,2024,8h,15,20,15,2.0,1726905600000,True,2024-09-16
ALICEUSDT,1739836800000,-1.0,0.0001,2025,8h,15,20,15,2.0,1740268800000,True,2025-02-18
ALICEUSDT,1740384000000,0.4893699164202292,0.0001,2025,8h,15,20,15,2.0,1740816000000,True,2025-02-24
ALICEUSDT,1741622400000,-1.0,0.0001,2025,8h,15,20,15,2.0,1742054400000,True,2025-03-10
ALICEUSDT,1743120000000,0.6886232706280142,0.0001,2025,8h,15,20,15,2.0,1743552000000,True,2025-03-28
ALICEUSDT,1743609600000,0.83281054448628,0.0001,2025,8h,15,20,15,2.0,1744041600000,True,2025-04-02
ALICEUSDT,1746259200000,0.2313130218565096,0.0001,2025,8h,15,20,15,2.0,1746691200000,True,2025-05-03
ALICEUSDT,1749772800000,0.4527172565338742,0.0001,2025,8h,15,20,15,2.0,1750204800000,True,2025-06-13
ALICEUSDT,1750521600000,-1.0,0.0001,2025,8h,15,20,15,2.0,1750953600000,True,2025-06-21
ALICEUSDT,1757923200000,-0.2663706674251844,0.0001,2025,8h,15,20,15,2.0,1758355200000,False,2025-09-15
