symbol,entry_ts,r,funding,year,tf,ob_thresh,hold_bars,atr_mult
1INCHUSDT,1656100800000,-0.22914603055584612,0.0001,2022,4h,65,10,2.0
1INCHUSDT,1657238400000,0.24394492729575423,0.0001,2022,4h,65,10,2.0
1INCHUSDT,1657396800000,1.7121274544020826,0.0001,2022,4h,65,10,2.0
1INCHUSDT,1672704000000,0.06452216516727628,0.0001,2023,4h,65,10,2.0
1INCHUSDT,1673208000000,-1.0,0.0001,2023,4h,65,10,2.0
1INCHUSDT,1678737600000,-1.0,0.0001,2023,4h,65,10,2.0
1INCHUSDT,1685304000000,0.6816933174293894,0.0001,2023,4h,65,10,2.0
1INCHUSDT,1687305600000,-1.0,0.0001,2023,4h,65,10,2.0
1INCHUSDT,1687377600000,-0.18602004002665412,0.0001,2023,4h,65,10,2.0
1INCHUSDT,1687536000000,-1.0,0.0001,2023,4h,65,10,2.0
1INCHUSDT,1690675200000,0.8375152713306362,0.0001,2023,4h,65,10,2.0
1INCHUSDT,1694793600000,-1.0,0.0001,2023,4h,65,10,2.0
1INCHUSDT,1713945600000,0.8513027175832674,0.0001,2024,4h,65,10,2.0
1INCHUSDT,1715990400000,1.1245946892873258,0.0001,2024,4h,65,10,2.0
1INCHUSDT,1724112000000,-0.13354622184004408,0.0001,2024,4h,65,10,2.0
1INCHUSDT,1724428800000,0.778903309596398,0.0001,2024,4h,65,10,2.0
1INCHUSDT,1730865600000,-1.0,0.0001,2024,4h,65,10,2.0
1INCHUSDT,1739404800000,0.42263512429039,0.0001,2025,4h,65,10,2.0
1INCHUSDT,1742976000000,1.0398328452704233,0.0001,2025,4h,65,10,2.0
1INCHUSDT,1745208000000,-0.289604262538525,0.0001,2025,4h,65,10,2.0
1INCHUSDT,1751515200000,2.08725018923354,0.0001,2025,4h,65,10,2.0
1INCHUSDT,1767297600000,-1.0,0.0001,2026,4h,65,10,2.0
1INCHUSDT,1767398400000,-0.26932246262738246,0.0001,2026,4h,65,10,2.0
1INCHUSDT,1767556800000,-1.0,0.0001,2026,4h,65,10,2.0
1INCHUSDT,1772625600000,0.30353058723100956,0.0001,2026,4h,65,10,2.0
1INCHUSDT,1775476800000,-1.0,0.0001,2026,4h,65,10,2.0
AAVEUSDT,1625313600000,-1.0,0.0001,2021,4h,65,10,2.0
AAVEUSDT,1633104000000,-1.0,0.0001,2021,4h,65,10,2.0
AAVEUSDT,1633219200000,0.7779177102489495,0.0001,2021,4h,65,10,2.0
AAVEUSDT,1638316800000,1.3636648405452159,0.0001,2021,4h,65,10,2.0
AAVEUSDT,1639785600000,0.47561533702536113,0.0001,2021,4h,65,10,2.0
AAVEUSDT,1640145600000,-1.0,0.0001,2021,4h,65,10,2.0
AAVEUSDT,1640203200000,-1.0,0.0001,2021,4h,65,10,2.0
AAVEUSDT,1644019200000,-0.24673934419711166,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1644206400000,-1.0,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1647432000000,-1.0,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1653278400000,-1.0,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1653912000000,-1.0,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1656129600000,0.7502826498656343,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1656964800000,0.25542168971741774,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1657195200000,-1.0,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1657252800000,-1.0,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1664884800000,-0.19186779910224253,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1665936000000,-1.0,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1669492800000,0.5818193493806976,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1669795200000,0.003126446882280362,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1669996800000,0.45774943350833563,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1672128000000,2.378892939412701,0.0001,2022,4h,65,10,2.0
AAVEUSDT,1672790400000,-1.0,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1672848000000,0.9928375058308635,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1678708800000,-1.0,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1683288000000,1.5373797546207622,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1684368000000,0.37481732188548966,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1684800000000,1.8643703579094828,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1685232000000,-1.0,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1687305600000,-1.0,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1687449600000,-0.5838481087306359,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1694145600000,0.6003195671631788,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1694808000000,-1.0,0.0001,2023,4h,65,10,2.0
AAVEUSDT,1707465600000,-0.030594575780594113,0.0001,2024,4h,65,10,2.0
AAVEUSDT,1707768000000,-0.3077360436585566,0.0001,2024,4h,65,10,2.0
AAVEUSDT,1713758400000,-0.12455841507482078,0.0001,2024,4h,65,10,2.0
AAVEUSDT,1715918400000,0.04633130723559504,0.0001,2024,4h,65,10,2.0
AAVEUSDT,1719273600000,-1.0,0.0001,2024,4h,65,10,2.0
AAVEUSDT,1742832000000,0.45007537314002677,0.0001,2025,4h,65,10,2.0
AAVEUSDT,1754582400000,-1.0,0.0001,2025,4h,65,10,2.0
AAVEUSDT,1759334400000,0.07959548801054031,0.0001,2025,4h,65,10,2.0
AAVEUSDT,1764720000000,-0.49355340138153625,0.0001,2025,4h,65,10,2.0
AAVEUSDT,1767412800000,-0.11548267123958952,0.0001,2026,4h,65,10,2.0
AAVEUSDT,1777248000000,0.6026805852117116,0.0001,2026,4h,65,10,2.0
ACEUSDT,1776369600000,-1.0,0.00025515,2026,4h,65,10,2.0
ACHUSDT,1684339200000,0.18166960613566432,0.0001,2023,4h,65,10,2.0
ACHUSDT,1687291200000,-1.0,0.0001,2023,4h,65,10,2.0
ACHUSDT,1687363200000,-0.01517416656575124,0.0001,2023,4h,65,10,2.0
ACHUSDT,1689264000000,-1.0,0.0001,2023,4h,65,10,2.0
ACHUSDT,1692000000000,3.4914999312519286,0.0001,2023,4h,65,10,2.0
ACHUSDT,1694131200000,-1.0,0.0001,2023,4h,65,10,2.0
ACHUSDT,1694203200000,-1.0,0.0001,2023,4h,65,10,2.0
ACHUSDT,1697889600000,-0.561906128728091,0.0001,2023,4h,65,10,2.0
ACHUSDT,1704960000000,0.6037769385220734,0.0001,2024,4h,65,10,2.0
ACHUSDT,1706270400000,-0.3136493091182536,0.00048252,2024,4h,65,10,2.0
ACHUSDT,1715832000000,-0.6135283202899662,0.0001,2024,4h,65,10,2.0
ACHUSDT,1715990400000,-1.0,0.0001,2024,4h,65,10,2.0
ACHUSDT,1719792000000,-1.0,0.0001,2024,4h,65,10,2.0
ACHUSDT,1725940800000,-1.0,0.0001,2024,4h,65,10,2.0
ACHUSDT,1737115200000,1.0108069968033868,0.0001,2025,4h,65,10,2.0
ACHUSDT,1737921600000,-1.0,0.0001,2025,4h,65,10,2.0
ACHUSDT,1749585600000,1.9386433782937813,0.0001,2025,4h,65,10,2.0
ACHUSDT,1751515200000,1.8023886154751203,0.0001,2025,4h,65,10,2.0
ACHUSDT,1757390400000,0.9396710806222813,0.0001,2025,4h,65,10,2.0
ACHUSDT,1759334400000,-0.21689707970073954,0.0001,2025,4h,65,10,2.0
ACHUSDT,1762603200000,-0.1722596355328151,0.0001,2025,4h,65,10,2.0
ACHUSDT,1776355200000,-0.7213394769177721,0.0001,2026,4h,65,10,2.0
ADAUSDT,1585267200000,1.388492529921017,0.0001,2020,4h,65,10,2.0
ADAUSDT,1585814400000,-1.0,0.0001,2020,4h,65,10,2.0
ADAUSDT,1585857600000,-0.061956094620192165,0.0001,2020,4h,65,10,2.0
ADAUSDT,1586145600000,-1.0,0.0001,2020,4h,65,10,2.0
ADAUSDT,1601020800000,-1.0,0.0001,2020,4h,65,10,2.0
ADAUSDT,1601092800000,-1.0,0.0001,2020,4h,65,10,2.0
ADAUSDT,1635912000000,1.0687865839525101,0.00091974,2021,4h,65,10,2.0
ADAUSDT,1638446400000,2.15085580506169,0.0001,2021,4h,65,10,2.0
ADAUSDT,1640160000000,-1.0,0.0001,2021,4h,65,10,2.0
ADAUSDT,1640318400000,0.05340569113957245,0.0001,2021,4h,65,10,2.0
