timeframe,entry_hour,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
4h,12,2,LONG,weekday,60134,-0.04700245807758904,-2826.4458140377396,0.4605215019789138,0.11594202898550725,0,4,False,False,False,False,False,0.0,False,False
4h,12,2,SHORT,ema200_price,53615,0.04147072145299997,2223.4527307025937,0.5163666884267463,0.8405797101449275,4,4,True,True,True,True,False,0.0,False,False
4h,12,2,SHORT,none,84131,0.03980452693233394,3348.7946553441866,0.523124650842139,0.8695652173913043,4,4,True,True,True,True,False,0.0,False,False
4h,12,2,SHORT,weekday,60134,0.04700245807758904,2826.4458140377396,0.526557355239964,0.8840579710144928,4,4,True,True,True,True,False,0.0,False,False
4h,12,3,LONG,ema200_price,30511,0.008127435303484918,247.97617854462837,0.4740585362656091,0.5072463768115942,2,4,False,True,True,False,False,0.0,False,False
4h,12,3,LONG,none,84063,-0.019206235231761414,-1614.5337522875598,0.47590497602988235,0.2753623188405797,1,4,False,True,False,False,False,0.0,False,False
4h,12,3,LONG,weekday,60066,-0.01350676926703386,-811.2976027936559,0.4827023607365232,0.3188405797101449,1,4,False,True,False,False,False,0.0,False,False
4h,12,3,SHORT,ema200_price,53552,0.034779465394984097,1862.5099308321883,0.5101956976396773,0.8115942028985508,3,4,True,False,True,True,False,0.0,False,False
4h,12,3,SHORT,none,84063,0.019206235231761414,1614.5337522875598,0.5126036425062156,0.7246376811594203,3,4,True,False,True,True,False,0.0,False,False
4h,12,3,SHORT,weekday,60066,0.01350676926703386,811.2976027936559,0.506492857856358,0.6811594202898551,3,4,True,False,True,True,False,0.0,False,False
4h,12,4,LONG,ema200_price,30511,0.02439838631333435,744.4191648061443,0.4713054308282259,0.6086956521739131,2,4,False,True,True,False,False,0.0,False,False
4h,12,4,LONG,none,84063,-0.02598795772970268,-2184.6256906319963,0.47651166387114424,0.2753623188405797,1,4,False,True,False,False,False,0.0,False,False
4h,12,4,LONG,weekday,60066,-0.0025424117991499624,-152.71250712774165,0.4823527453134885,0.5072463768115942,2,4,False,True,True,False,False,0.0,False,False
4h,12,4,SHORT,ema200_price,53552,0.054695340144871187,2929.044855438142,0.5084030475052286,0.8115942028985508,3,4,True,False,True,True,False,0.0,False,False
4h,12,4,SHORT,none,84063,0.02598795772970268,2184.6256906319963,0.5131746428274032,0.7246376811594203,3,4,True,False,True,True,False,0.0,False,False
4h,12,4,SHORT,weekday,60066,0.0025424117991499624,152.71250712774165,0.507641594246329,0.4927536231884058,2,4,True,False,False,True,False,0.0,False,False
4h,16,1,LONG,ema200_price,30290,0.0216505395180548,655.7948420018799,0.4943875866622648,0.6666666666666666,3,4,False,True,True,True,False,0.0,False,False
4h,16,1,LONG,none,84170,-0.006213841277004775,-523.0190202854919,0.4850778187002495,0.3188405797101449,1,4,False,True,False,False,False,0.0,False,False
4h,16,1,LONG,weekday,60169,-0.003394795041747713,-204.26142286691814,0.48982033937742026,0.4057971014492754,1,4,False,True,False,False,False,0.0,False,False
4h,16,1,SHORT,ema200_price,53880,0.021878505239186566,1178.813862287372,0.4950259836674091,0.7681159420289855,4,4,True,True,True,True,False,0.0,False,False
4h,16,1,SHORT,none,84170,0.006213841277004775,523.0190202854919,0.49337055958179876,0.6811594202898551,3,4,True,False,True,True,False,0.0,False,False
4h,16,1,SHORT,weekday,60169,0.003394795041747713,204.26142286691814,0.49043527397829445,0.5942028985507246,3,4,True,False,True,True,False,0.0,False,False
4h,16,2,LONG,ema200_price,30282,0.06737792270535026,2040.3382553634167,0.508883164916452,0.8695652173913043,3,4,False,True,True,True,False,0.0,False,False
4h,16,2,LONG,none,84102,0.0145459128116077,1223.3403592818308,0.5033174002996361,0.6231884057971014,3,4,False,True,True,True,False,0.0,False,False
4h,16,2,LONG,weekday,60101,0.03039946270718805,1827.038108164709,0.5152493302940051,0.7391304347826086,3,4,False,True,True,True,False,0.0,False,False
4h,16,2,SHORT,ema200_price,53820,0.015180191305863708,816.9978960815848,0.4815496098104794,0.6666666666666666,2,4,True,False,False,True,False,0.0,False,False
4h,16,2,SHORT,none,84102,-0.0145459128116077,-1223.3403592818308,0.48128463056764403,0.37681159420289856,1,4,True,False,False,False,False,0.0,False,False
4h,16,2,SHORT,weekday,60101,-0.03039946270718805,-1827.038108164709,0.4701585664132044,0.2608695652173913,1,4,True,False,False,False,False,0.0,False,False
4h,16,3,LONG,ema200_price,30282,0.08052224291857073,2438.3745600601587,0.4971930519780728,0.8405797101449275,3,4,False,True,True,True,False,0.0,False,False
4h,16,3,LONG,none,84102,0.007803607141838311,656.2989678428856,0.4965399158165085,0.6086956521739131,2,4,False,True,True,False,False,0.0,False,False
4h,16,3,LONG,weekday,60101,0.04123834003645759,2478.4654745311377,0.5100414302590639,0.8115942028985508,3,4,False,True,True,True,False,0.0,False,False
4h,16,3,SHORT,ema200_price,53820,0.033111772430644254,1782.0755922172737,0.4882199925678187,0.7391304347826086,3,4,True,False,True,True,False,0.0,False,False
4h,16,3,SHORT,none,84102,-0.007803607141838311,-656.2989678428856,0.49030938622149295,0.391304347826087,2,4,True,False,False,True,False,0.0,False,False
