symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,atr_pct_at_entry,month,year
SOL/USDT,2021-07-31 00:00:00+00:00,2021-09-13 00:00:00+00:00,36.744,153.9362661781243,30.72949917313126,6.014500826868739,chandelier_stop,45,19.484953041254595,-0.73439178531123,29.80396963272578,0.6190476190476191,2021-09,2021
VET/USDT,2021-08-07 00:00:00+00:00,2021-09-19 00:00:00+00:00,0.10371,0.10824,0.08945435294514624,0.014255647054853752,midline_exit,44,0.31776880997187956,-0.4706906655433349,3.7536002255177157,0.4642857142857143,2021-09,2021
TRX/USDT,2021-08-11 00:00:00+00:00,2021-09-20 00:00:00+00:00,0.08341,0.09370305496279807,0.0757586959089265,0.007651304091073496,chandelier_stop,41,1.345268053691215,-0.8168542153868442,5.174281341946433,0.43253968253968256,2021-09,2021
CELR/USDT,2021-08-09 00:00:00+00:00,2021-09-20 00:00:00+00:00,0.04145,0.08363961106675283,0.03483626682812344,0.00661373317187656,chandelier_stop,43,6.37909180342425,-0.2827450021648538,13.010806115660763,0.42063492063492064,2021-09,2021
JST/USDT,2021-09-16 00:00:00+00:00,2021-09-20 00:00:00+00:00,0.0978,0.08002190003650676,0.08002190003650676,0.01777809996349323,initial_stop,5,-1.0000000000000002,-1.5204099456919047,0.17999673792874984,0.6111111111111112,2021-09,2021
HBAR/USDT,2021-09-11 00:00:00+00:00,2021-09-21 00:00:00+00:00,0.363,0.28945235599094454,0.28945235599094454,0.07354764400905545,initial_stop,11,-1.0,-1.0197471450039344,2.8960818918111726,0.6587301587301587,2021-09,2021
JST/USDT,2021-10-09 00:00:00+00:00,2021-10-12 00:00:00+00:00,0.09143,0.0781821201436935,0.0781821201436935,0.013247879856306505,initial_stop,4,-0.9999999999999998,-1.4017337265600247,0.0022645132900809845,0.4246031746031746,2021-10,2021
BTC/USDT,2021-10-15 00:00:00+00:00,2021-10-27 00:00:00+00:00,61672.42,58413.44,56156.5761792378,5515.843820762194,midline_exit,13,-0.5908397891421192,-0.6657947758014173,0.9658685367316696,0.4642857142857143,2021-10,2021
QTUM/USDT,2021-10-02 00:00:00+00:00,2021-10-27 00:00:00+00:00,13.805,11.280638124294565,11.280638124294565,2.5243618757054347,initial_stop,26,-0.9999999999999998,-1.2260524252827654,0.49715534530852085,0.6150793650793651,2021-10,2021
AVAX/USDT,2021-10-25 00:00:00+00:00,2021-10-27 00:00:00+00:00,69.73,58.53123386730407,58.53123386730407,11.198766132695939,initial_stop,3,-0.9999999999999999,-1.134946461904572,0.2928894095237606,0.6587301587301587,2021-10,2021
ICX/USDT,2021-11-02 00:00:00+00:00,2021-11-06 00:00:00+00:00,2.426,2.031371503825674,2.031371503825674,0.3946284961743259,initial_stop,5,-1.0000000000000004,-1.142847017820964,0.005068057728695513,0.4126984126984127,2021-11,2021
ZEC/USDT,2021-11-09 00:00:00+00:00,2021-11-10 00:00:00+00:00,200.1,176.5976129451779,176.5976129451779,23.50238705482209,initial_stop,2,-1.0000000000000002,-1.2168976680235553,0.22976389536109112,0.4603174603174603,2021-11,2021
DUSK/USDT,2021-11-05 00:00:00+00:00,2021-11-16 00:00:00+00:00,0.2085,0.28234566624410656,0.17428540900517514,0.03421459099482484,chandelier_stop,12,2.1583091919840918,-0.4559458273915826,5.801618380591611,0.47619047619047616,2021-11,2021
QTUM/USDT,2021-10-31 00:00:00+00:00,2021-11-16 00:00:00+00:00,15.846,15.141,13.639570427671636,2.2064295723283647,midline_exit,17,-0.3195207356000216,-0.7736480789634568,1.5654249939893257,0.503968253968254,2021-11,2021
NEAR/USDT,2021-10-21 00:00:00+00:00,2021-11-16 00:00:00+00:00,9.476,9.675,7.899703348780637,1.5762966512193641,midline_exit,27,0.1262452723261582,-0.4206061083027286,2.3815314186552676,0.7936507936507936,2021-11,2021
ETH/USDT,2021-10-14 00:00:00+00:00,2021-11-16 00:00:00+00:00,3790.82,4209.76,3356.099159888131,434.72084011186934,midline_exit,34,0.9636989105288619,-0.3469352883132742,2.477866024832862,0.623015873015873,2021-11,2021
