timeframe,linreg_n,linreg_mult,stop_mult,filter_mode,trades,total_r,avg_r,profit_factor,win_rate_pct
1d,30,1.5,2.0,linreg_slope_positive,598,37.084,0.062,1.157,29.4
1d,40,1.5,2.0,linreg_slope_positive,481,74.606,0.1551,1.333,30.6
1d,55,1.5,2.0,linreg_slope_positive,376,7.652,0.0204,1.036,25.5
1d,10,1.5,3.0,linreg_slope_positive,1574,18.047,0.0115,1.076,35.1
1d,15,1.5,3.0,linreg_slope_positive,1139,7.781,0.0068,1.035,35.6
1d,20,1.5,3.0,linreg_slope_positive,906,11.568,0.0128,1.057,34.5
1d,25,1.5,3.0,linreg_slope_positive,742,5.635,0.0076,1.03,30.7
1d,30,1.5,3.0,linreg_slope_positive,588,35.706,0.0607,1.228,30.3
1d,40,1.5,3.0,linreg_slope_positive,469,45.153,0.0963,1.288,31.3
1d,55,1.5,3.0,linreg_slope_positive,359,4.761,0.0133,1.032,27.0
1d,10,2.0,2.0,linreg_slope_positive,1178,23.706,0.0201,1.083,35.1
1d,15,2.0,2.0,linreg_slope_positive,857,12.014,0.014,1.045,35.5
1d,20,2.0,2.0,linreg_slope_positive,690,7.348,0.0106,1.029,35.5
1d,25,2.0,2.0,linreg_slope_positive,548,-3.096,-0.0057,0.987,31.2
1d,30,2.0,2.0,linreg_slope_positive,450,40.924,0.0909,1.203,29.8
1d,40,2.0,2.0,linreg_slope_positive,395,41.301,0.1046,1.199,27.8
1d,55,2.0,2.0,linreg_slope_positive,287,23.497,0.0819,1.134,25.4
1d,10,2.0,3.0,linreg_slope_positive,1175,19.253,0.0164,1.101,35.2
1d,15,2.0,3.0,linreg_slope_positive,854,10.55,0.0124,1.059,35.7
1d,20,2.0,3.0,linreg_slope_positive,687,2.389,0.0035,1.014,35.7
1d,25,2.0,3.0,linreg_slope_positive,543,3.05,0.0056,1.02,32.2
1d,30,2.0,3.0,linreg_slope_positive,444,37.807,0.0852,1.283,30.6
1d,40,2.0,3.0,linreg_slope_positive,382,28.195,0.0738,1.195,29.3
1d,55,2.0,3.0,linreg_slope_positive,274,10.929,0.0399,1.088,27.4
1d,10,2.5,2.0,linreg_slope_positive,878,17.56,0.02,1.076,33.8
1d,15,2.5,2.0,linreg_slope_positive,621,16.058,0.0259,1.077,34.8
1d,20,2.5,2.0,linreg_slope_positive,498,7.233,0.0145,1.036,33.9
1d,25,2.5,2.0,linreg_slope_positive,380,18.397,0.0484,1.107,32.4
1d,30,2.5,2.0,linreg_slope_positive,329,25.958,0.0789,1.157,29.8
1d,40,2.5,2.0,linreg_slope_positive,297,27.589,0.0929,1.156,24.2
1d,55,2.5,2.0,linreg_slope_positive,219,25.176,0.115,1.171,24.2
1d,10,2.5,3.0,linreg_slope_positive,875,15.872,0.0181,1.104,34.1
1d,15,2.5,3.0,linreg_slope_positive,618,11.349,0.0184,1.08,35.3
1d,20,2.5,3.0,linreg_slope_positive,495,4.254,0.0086,1.031,34.3
1d,25,2.5,3.0,linreg_slope_positive,377,16.54,0.0439,1.142,33.7
1d,30,2.5,3.0,linreg_slope_positive,325,22.118,0.0681,1.191,30.8
1d,40,2.5,3.0,linreg_slope_positive,286,16.192,0.0566,1.127,25.9
1d,55,2.5,3.0,linreg_slope_positive,206,11.227,0.0545,1.104,26.7
1d,10,3.0,2.0,linreg_slope_positive,638,10.026,0.0157,1.055,32.9
1d,15,3.0,2.0,linreg_slope_positive,432,16.587,0.0384,1.107,34.0
1d,20,3.0,2.0,linreg_slope_positive,344,5.241,0.0152,1.034,30.8
1d,25,3.0,2.0,linreg_slope_positive,265,8.007,0.0302,1.058,30.9
1d,30,3.0,2.0,linreg_slope_positive,233,0.957,0.0041,1.007,24.5
1d,40,3.0,2.0,linreg_slope_positive,213,8.206,0.0385,1.057,20.7
1d,55,3.0,2.0,linreg_slope_positive,151,48.41,0.3206,1.477,27.8
1d,10,3.0,3.0,linreg_slope_positive,635,9.718,0.0153,1.079,33.2
1d,15,3.0,3.0,linreg_slope_positive,430,12.264,0.0285,1.116,34.7
1d,20,3.0,3.0,linreg_slope_positive,342,-2.543,-0.0074,0.977,31.3
1d,25,3.0,3.0,linreg_slope_positive,262,4.227,0.0161,1.043,33.2
1d,30,3.0,3.0,linreg_slope_positive,229,6.397,0.0279,1.063,27.1
1d,40,3.0,3.0,linreg_slope_positive,202,4.421,0.0219,1.041,24.8
1d,55,3.0,3.0,linreg_slope_positive,142,27.568,0.1941,1.356,31.0
4h,10,1.0,2.0,ema200_price,15901,52.859,0.0033,1.014,37.3
4h,15,1.0,2.0,ema200_price,12243,-50.586,-0.0041,0.985,35.7
4h,20,1.0,2.0,ema200_price,10243,58.382,0.0057,1.018,34.5
