symbol,trades,total_r,avg_r,best_trade_r,worst_trade_r
BB/USDT,5,-2.8711864406779672,-0.5742372881355935,1.208813559322034,-1.020000000000001
BNB/USDT,9,-3.016118262234401,-0.3351242513593779,2.12188693098386,-1.020000000000004
WLD/USDT,3,-3.0599999999999987,-1.0199999999999996,-1.0199999999999991,-1.02
APT/USDT,10,-3.128079887116026,-0.3128079887116026,2.6627309236947827,-1.0200000000000018
PNUT/USDT,12,-3.1304109589041116,-0.260867579908676,8.089589041095886,-1.0200000000000011
PUMP/USDT,9,-3.896253443526173,-0.43291704928068586,4.263746556473828,-1.0200000000000014
PEPE/USDT,8,-4.298888888888888,-0.537361111111111,2.841111111111106,-1.020000000000001
BTC/USDT,8,-4.422502957544099,-0.5528128696930124,2.7174970424559066,-1.0200000000000078
XRP/USDT,10,-4.594550307894954,-0.4594550307894954,3.375028850421669,-1.020000000000003
DOT/USDT,7,-4.845660377358501,-0.6922371967655002,1.2743396226415071,-1.0200000000000031
ADA/USDT,9,-6.0641059602648895,-0.6737895511405433,2.095894039735103,-1.020000000000003
RAD/USDT,6,-6.120000000000006,-1.0200000000000011,-1.0199999999999996,-1.0200000000000022
ASTER/USDT,11,-6.688405635374538,-0.6080368759431398,2.5770149253731263,-1.0200000000000036
AAVE/USDT,9,-6.756061320754718,-0.7506734800838575,1.4039386792452837,-1.020000000000002
AVAX/USDT,10,-6.806741573033709,-0.6806741573033709,2.373258426966288,-1.0200000000000022
SHIB/USDT,7,-7.1400000000000015,-1.0200000000000002,-1.0199999999999974,-1.020000000000003
MLN/USDT,7,-7.140000000000003,-1.0200000000000005,-1.0199999999999991,-1.0200000000000025
DOGE/USDT,12,-8.090176678445228,-0.6741813898704357,3.12982332155478,-1.0200000000000022
ETH/USDT,12,-8.259497188925433,-0.6882914324104528,2.960502811074576,-1.020000000000006
LINK/USDT,12,-8.562580645161301,-0.713548387096775,2.657419354838708,-1.0200000000000031
LTC/USDT,12,-9.151654135338346,-0.7626378446115288,2.0683458646616497,-1.020000000000003
