timeframe,side,removed_top_assets_n,removed_assets,assets_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
6h,ALL,3,"ZEC/USDT,TON/USDT,LUNC/USDT",65,833,140.880747420365,0.16912454672312724,-1.0199999999999998,0.23649459783913565,1.2186010877677742,-230.69448715618196,15.911034482759156,-1.020000000000208,91,2.41549068069442,2.0208020793381216
6h,ALL,5,"ZEC/USDT,TON/USDT,LUNC/USDT,VIC/USDT,JTO/USDT",63,806,102.76610814177535,0.12750137486572624,-1.0199999999999998,0.23200992555831265,1.1638686228370976,-223.30977413031087,15.911034482759156,-1.020000000000208,87,2.355797750443154,1.5365418238581057
6h,ALL,10,"ZEC/USDT,TON/USDT,LUNC/USDT,VIC/USDT,JTO/USDT,SUI/USDT,ENA/USDT,ICP/USDT,TRUMP/USDT,ZBT/USDT",58,743,43.24505201934576,0.058203300160626865,-1.0199999999999998,0.22207267833109018,1.0737961952359143,-223.54109106490563,15.911034482759156,-1.020000000000208,82,2.2839124838840394,0.694644431474174
6h,LONG,0,,66,316,46.25017538980008,0.1463613145246838,-1.0199999999999998,0.22784810126582278,1.1879950535214132,-102.06679471888589,29.944692901802117,-1.0200000000000855,22,3.1612361002491993,0.8230247772804549
6h,LONG,1,ZEC/USDT,65,307,5.005583716597229,0.01630483295308544,-1.0199999999999998,0.22149837133550487,1.0207771224976805,-120.65813635411276,23.86970588235293,-1.0200000000000855,22,2.6557606960783713,0.10757134584006238
6h,LONG,3,"ZEC/USDT,TON/USDT,XUSD/USDT",63,300,-29.675156648514985,-0.09891718882838328,-1.0199999999999998,0.22,0.8741607888953001,-132.48917083687198,11.42800000000002,-1.0200000000000855,21,2.1068912305954512,-0.8131867193933078
6h,LONG,5,"ZEC/USDT,TON/USDT,XUSD/USDT,LUNC/USDT,DOGS/USDT",61,294,-51.99422532541329,-0.1768511065490248,-1.0199999999999998,0.2108843537414966,0.7775914949602349,-139.90485908325797,9.474356659142208,-1.0200000000000855,29,1.9383170186198158,-1.564431809302816
6h,LONG,10,"ZEC/USDT,TON/USDT,XUSD/USDT,LUNC/USDT,DOGS/USDT,JTO/USDT,VIC/USDT,KITE/USDT,INJ/USDT,SUI/USDT",56,270,-92.88182312336737,-0.34400675230876804,-1.0199999999999998,0.18888888888888888,0.578801710067835,-137.37837202466068,9.474356659142208,-1.0200000000000855,41,1.6472998240386898,-3.431438322715062
6h,SHORT,0,,68,549,196.76324065344238,0.35840298843978574,-1.0199999999999996,0.25318761384335153,1.4720728470463735,-174.84675262787601,15.103778501628655,-1.020000000000208,127,2.588473725867146,3.2442479091048924
6h,SHORT,1,TRUMP/USDT,67,537,180.71635769484487,0.3365295301579979,-1.0199999999999996,0.25139664804469275,1.4422310270838539,-176.3818487991051,15.103778501628655,-1.020000000000208,124,2.55607410391732,3.050962583737888
6h,SHORT,3,"TRUMP/USDT,TON/USDT,ENA/USDT",65,520,152.56542152836926,0.2933950414007101,-1.0199999999999996,0.24615384615384617,1.382900217662626,-177.37920728967183,9.58282475102885,-1.020000000000208,124,2.4747997481729174,2.7034253280331297
6h,SHORT,5,"TRUMP/USDT,TON/USDT,ENA/USDT,VIC/USDT,LUNC/USDT",63,506,128.95527905789137,0.25485233015393555,-1.0199999999999996,0.24110671936758893,1.3304114603086001,-173.8627575855302,9.58282475102885,-1.020000000000208,121,2.4264356339083233,2.362626614624843
6h,SHORT,10,"TRUMP/USDT,TON/USDT,ENA/USDT,VIC/USDT,LUNC/USDT,AVAX/USDT,WLFI/USDT,PEPE/USDT,SUI/USDT,XRP/USDT",58,456,83.95155466853853,0.18410428655381259,-1.0199999999999996,0.23684210526315788,1.2374417522001522,-165.75929499764095,9.58282475102885,-1.020000000000208,114,2.314400019708139,1.6986656216131037
ALL_TF,ALL,0,,69,2851,119.64524468270241,0.041966062673694286,-1.0199999999999996,0.19747457032620133,1.0516788121791714,-961.87192893767,40.16691588785046,-1.0200000000002776,243,2.7863853770184854,0.8041844131402693
ALL_TF,ALL,1,TON/USDT,68,2814,44.72263460844917,0.015892904978126926,-1.0199999999999996,0.19651741293532338,1.019545833625718,-946.6553251640853,40.16691588785046,-1.0200000000002776,241,2.647508477867863,0.3184402629545791
ALL_TF,ALL,3,"TON/USDT,ZEC/USDT,币安人生/USDT",66,2734,-87.32253978934364,-0.031939480537433666,-1.0199999999999996,0.1942209217264082,0.9608231198564955,-1010.186481681587,27.961481481481403,-1.0200000000002776,236,2.4143919113360433,-0.6917024853795029
ALL_TF,ALL,5,"TON/USDT,ZEC/USDT,币安人生/USDT,LUNC/USDT,VIC/USDT",64,2669,-188.45345707124977,-0.07060826417056941,-1.0199999999999996,0.1880854252529037,0.9140349595904201,-1026.301085338524,27.961481481481403,-1.0200000000002776,254,2.3638697557932615,-1.543143371487547
ALL_TF,ALL,10,"TON/USDT,ZEC/USDT,币安人生/USDT,LUNC/USDT,VIC/USDT,DOGS/USDT,NOT/USDT,ICP/USDT,OSMO/USDT,ENA/USDT",59,2479,-328.86343433775215,-0.13265971534399038,-1.0199999999999998,0.1791044776119403,0.8402441650779502,-1000.3420648908464,27.961481481481403,-1.0200000000002776,305,2.242452695854195,-2.945466135916354
