symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year
SPK_USDT,2025-08-18,2025-09-07,0.077146,0.0632,0.053159,-0.5814,0,20,time_exit,2025
XRP_USDT,2025-08-31,2025-09-20,2.7757,2.975,2.453429,0.6184,1,20,time_exit,2025
ENA_USDT,2025-09-16,2025-09-22,0.6981,0.579586,0.579586,-1.0,0,6,atr_stop,2025
XRP_USDT,2025-09-22,2025-10-10,2.8526,2.632614,2.632614,-1.0,0,18,atr_stop,2025
WLD_USDT,2025-09-23,2025-10-10,1.306,0.974429,0.974429,-1.0,0,17,atr_stop,2025
LINK_USDT,2025-09-23,2025-10-10,21.52,19.1,19.1,-1.0,0,17,atr_stop,2025
PENGU_USDT,2025-09-23,2025-10-10,0.029353,0.023834,0.023834,-1.0,0,17,atr_stop,2025
PENDLE_USDT,2025-09-23,2025-10-10,4.699,4.040857,4.040857,-1.0,0,17,atr_stop,2025
BCH_USDT,2025-09-23,2025-10-10,556.7,511.185714,511.185714,-1.0,0,17,atr_stop,2025
ETH_USDT,2025-09-25,2025-10-10,3874.36,3523.127143,3523.127143,-1.0,0,15,atr_stop,2025
SOL_USDT,2025-09-25,2025-10-15,192.74,193.84,168.108571,0.0447,1,20,time_exit,2025
ZEC_USDT,2025-10-16,2025-11-05,205.07,478.33,96.278571,2.5118,1,20,time_exit,2025
BNB_USDT,2025-10-17,2025-11-06,1071.15,950.4,812.32,-0.4665,0,20,time_exit,2025
BNB_USDT,2025-11-14,2025-11-21,915.25,804.747143,804.747143,-1.0,0,7,atr_stop,2025
DASH_USDT,2025-12-01,2025-12-21,48.38,38.34,31.912857,-0.6097,0,20,time_exit,2025
BCH_USDT,2025-12-24,2026-01-13,568.7,617.0,500.7,0.7103,1,20,time_exit,2025
ZEC_USDT,2026-01-10,2026-01-30,375.76,340.66,292.83,-0.4232,0,20,time_exit,2026
CHZ_USDT,2026-01-22,2026-02-05,0.05088,0.040129,0.040129,-1.0,0,14,atr_stop,2026
ZEC_USDT,2026-04-18,2026-05-08,323.15,613.09,258.595714,4.4914,1,20,time_exit,2026
