timeframe,wr_n,oversold,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
1d,5,-75,25,2.0,none,3430,0.3746,0.1152,1.2243,40.13,395.21
1d,5,-75,25,2.0,ema200_price_above,997,0.3922,0.2595,1.5274,14.05,258.68
1d,5,-75,25,3.0,none,2957,0.4204,0.0767,1.1998,19.4,226.7
1d,5,-75,25,3.0,ema200_price_above,906,0.4481,0.2154,1.6227,6.95,195.15
1d,5,-80,10,2.0,none,5135,0.453,0.0026,1.007,64.19,13.55
1d,5,-80,10,2.0,ema200_price_above,1351,0.4819,0.0373,1.1061,17.64,50.41
1d,5,-80,10,3.0,none,4838,0.4717,-0.0001,0.9995,61.31,-0.61
1d,5,-80,10,3.0,ema200_price_above,1315,0.489,0.0159,1.0642,13.54,20.92
1d,5,-80,15,2.0,none,4161,0.4119,0.0061,1.0138,63.25,25.32
1d,5,-80,15,2.0,ema200_price_above,1128,0.4424,0.1432,1.3513,16.49,161.49
1d,5,-80,15,3.0,none,3826,0.4326,0.0026,1.0082,40.46,10.0
1d,5,-80,15,3.0,ema200_price_above,1095,0.4594,0.0846,1.2855,10.64,92.68
1d,5,-80,20,2.0,none,3598,0.3924,0.0531,1.1083,36.71,190.94
1d,5,-80,20,2.0,ema200_price_above,1004,0.4243,0.2383,1.5334,12.93,239.22
1d,5,-80,20,3.0,none,3233,0.4268,0.0432,1.1211,27.5,139.78
1d,5,-80,20,3.0,ema200_price_above,957,0.4577,0.1647,1.5231,12.7,157.62
1d,5,-80,25,2.0,none,3217,0.3749,0.1023,1.1979,42.27,329.12
1d,5,-80,25,2.0,ema200_price_above,900,0.4011,0.2606,1.5313,17.13,234.56
1d,5,-80,25,3.0,none,2770,0.4148,0.0751,1.1925,19.81,208.06
1d,5,-80,25,3.0,ema200_price_above,825,0.44,0.2156,1.5979,12.42,177.85
1d,5,-85,10,2.0,none,4355,0.4576,0.0167,1.0456,45.1,72.81
1d,5,-85,10,2.0,ema200_price_above,1094,0.4845,0.064,1.189,20.11,69.98
1d,5,-85,10,3.0,none,4160,0.4721,0.0108,1.0418,27.11,45.12
1d,5,-85,10,3.0,ema200_price_above,1073,0.4911,0.0355,1.1478,11.33,38.12
1d,5,-85,15,2.0,none,3596,0.4052,-0.0084,0.9808,94.22,-30.27
1d,5,-85,15,2.0,ema200_price_above,941,0.4538,0.157,1.3972,18.59,147.75
1d,5,-85,15,3.0,none,3355,0.4358,-0.0055,0.9827,59.02,-18.3
1d,5,-85,15,3.0,ema200_price_above,924,0.4805,0.1007,1.3568,8.37,93.05
1d,5,-85,20,2.0,none,3147,0.3877,0.0387,1.0789,42.01,121.72
1d,5,-85,20,2.0,ema200_price_above,833,0.4178,0.2134,1.4838,16.5,177.73
1d,5,-85,20,3.0,none,2851,0.4353,0.0414,1.1169,28.62,118.04
1d,5,-85,20,3.0,ema200_price_above,805,0.4658,0.1629,1.5359,9.88,131.15
1d,5,-85,25,2.0,none,2851,0.3672,0.1154,1.2225,34.83,328.96
1d,5,-85,25,2.0,ema200_price_above,759,0.3913,0.2781,1.5653,19.19,211.09
1d,5,-85,25,3.0,none,2530,0.4134,0.0919,1.2398,18.98,232.6
1d,5,-85,25,3.0,ema200_price_above,716,0.4372,0.2166,1.6108,12.98,155.1
1d,5,-90,10,2.0,none,3364,0.4652,0.0307,1.0863,45.44,103.42
1d,5,-90,10,2.0,ema200_price_above,789,0.4892,0.0808,1.2467,9.06,63.73
1d,5,-90,10,3.0,none,3258,0.4751,0.0164,1.0651,36.41,53.34
1d,5,-90,10,3.0,ema200_price_above,780,0.5013,0.0515,1.223,7.18,40.19
1d,5,-90,15,2.0,none,2866,0.4177,-0.0008,0.9982,74.92,-2.25
1d,5,-90,15,2.0,ema200_price_above,706,0.4518,0.1208,1.304,12.09,85.3
1d,5,-90,15,3.0,none,2718,0.4382,-0.0152,0.9518,76.52,-41.26
1d,5,-90,15,3.0,ema200_price_above,698,0.4756,0.0793,1.2823,10.22,55.37
1d,5,-90,20,2.0,none,2565,0.4,0.0545,1.1135,37.06,139.88
1d,5,-90,20,2.0,ema200_price_above,641,0.4181,0.2392,1.5507,10.05,153.31
1d,5,-90,20,3.0,none,2363,0.4355,0.0244,1.0695,30.81,57.67
1d,5,-90,20,3.0,ema200_price_above,621,0.4605,0.1819,1.6058,7.64,112.98
1d,5,-90,25,2.0,none,2337,0.38,0.1111,1.2195,35.06,259.74
1d,5,-90,25,2.0,ema200_price_above,589,0.3905,0.2978,1.6074,12.01,175.39
1d,5,-90,25,3.0,none,2143,0.4186,0.0735,1.1959,28.35,157.5
1d,5,-90,25,3.0,ema200_price_above,564,0.4291,0.2214,1.6323,8.17,124.86
1d,7,-70,10,2.0,none,5801,0.4413,-0.0083,0.9781,126.3,-47.92
1d,7,-70,10,2.0,ema200_price_above,1563,0.4619,0.0324,1.0923,22.18,50.69
1d,7,-70,10,3.0,none,5389,0.4578,0.0016,1.0061,58.29,8.65
1d,7,-70,10,3.0,ema200_price_above,1508,0.4721,0.0234,1.0967,10.91,35.33
1d,7,-70,15,2.0,none,4682,0.4118,0.0174,1.0395,70.12,81.42
1d,7,-70,15,2.0,ema200_price_above,1305,0.4337,0.1236,1.2964,19.22,161.24
1d,7,-70,15,3.0,none,4205,0.4302,-0.0002,0.9993,56.51,-0.98
1d,7,-70,15,3.0,ema200_price_above,1234,0.4587,0.0925,1.3108,12.79,114.19
1d,7,-70,20,2.0,none,4026,0.3862,0.0541,1.1087,74.01,217.66
1d,7,-70,20,2.0,ema200_price_above,1141,0.404,0.2284,1.4891,16.81,260.65
1d,7,-70,20,3.0,none,3489,0.4182,0.0369,1.102,39.33,128.6
1d,7,-70,20,3.0,ema200_price_above,1066,0.4437,0.1632,1.491,14.4,174.0
1d,7,-70,25,2.0,none,3544,0.3877,0.1307,1.2616,25.46,463.03
1d,7,-70,25,2.0,ema200_price_above,1021,0.4094,0.2964,1.6064,13.19,302.67
1d,7,-70,25,3.0,none,3048,0.4249,0.0955,1.255,19.15,291.18
1d,7,-70,25,3.0,ema200_price_above,928,0.4569,0.2396,1.6827,7.51,222.37
1d,7,-75,10,2.0,none,5357,0.4432,-0.0098,0.974,103.96,-52.44
1d,7,-75,10,2.0,ema200_price_above,1380,0.4667,0.0381,1.111,17.35,52.59
1d,7,-75,10,3.0,none,5006,0.4608,-0.003,0.9886,59.26,-14.91
1d,7,-75,10,3.0,ema200_price_above,1339,0.4787,0.0244,1.1031,10.46,32.66
1d,7,-75,15,2.0,none,4363,0.4071,-0.0129,0.9706,112.7,-56.36
1d,7,-75,15,2.0,ema200_price_above,1157,0.4296,0.1087,1.2621,16.9,125.81
1d,7,-75,15,3.0,none,3946,0.4242,-0.0189,0.9405,98.94,-74.71
1d,7,-75,15,3.0,ema200_price_above,1103,0.4551,0.0823,1.285,11.58,90.76
1d,7,-75,20,2.0,none,3787,0.3855,0.0271,1.0547,66.54,102.68
1d,7,-75,20,2.0,ema200_price_above,1015,0.4079,0.1983,1.4347,13.39,201.26
1d,7,-75,20,3.0,none,3313,0.4196,0.0206,1.0573,52.22,68.13
1d,7,-75,20,3.0,ema200_price_above,959,0.4453,0.1389,1.4345,9.19,133.16
1d,7,-75,25,2.0,none,3369,0.3808,0.1067,1.2106,27.21,359.46
1d,7,-75,25,2.0,ema200_price_above,919,0.3961,0.2642,1.5344,14.19,242.82
1d,7,-75,25,3.0,none,2898,0.4224,0.0728,1.195,24.76,211.08
1d,7,-75,25,3.0,ema200_price_above,840,0.4429,0.221,1.6394,8.3,185.64
1d,7,-80,10,2.0,none,4770,0.4484,-0.0013,0.9965,75.32,-6.09
1d,7,-80,10,2.0,ema200_price_above,1175,0.4774,0.0531,1.1607,16.85,62.35
1d,7,-80,10,3.0,none,4492,0.4622,0.0011,1.0041,38.74,4.77
1d,7,-80,10,3.0,ema200_price_above,1148,0.4826,0.0284,1.1236,9.77,32.57
1d,7,-80,15,2.0,none,3942,0.4061,-0.017,0.9615,108.29,-66.88
1d,7,-80,15,2.0,ema200_price_above,1004,0.4472,0.1398,1.3521,16.03,140.4
1d,7,-80,15,3.0,none,3593,0.4258,-0.0175,0.9446,86.27,-62.97
1d,7,-80,15,3.0,ema200_price_above,969,0.4654,0.0916,1.3279,8.9,88.78
1d,7,-80,20,2.0,none,3437,0.3919,0.031,1.0632,67.25,106.65
1d,7,-80,20,2.0,ema200_price_above,887,0.4228,0.227,1.5231,13.59,201.33
1d,7,-80,20,3.0,none,3047,0.4253,0.0162,1.0455,44.32,49.44
1d,7,-80,20,3.0,ema200_price_above,852,0.4577,0.1624,1.5274,8.49,138.35
1d,7,-80,25,2.0,none,3088,0.3747,0.0992,1.195,26.64,306.45
1d,7,-80,25,2.0,ema200_price_above,801,0.3883,0.2863,1.5852,17.7,229.32
1d,7,-80,25,3.0,none,2685,0.4175,0.0636,1.1681,28.72,170.75
1d,7,-80,25,3.0,ema200_price_above,758,0.4195,0.1965,1.544,15.27,148.98
1d,7,-85,10,2.0,none,4059,0.4555,0.0138,1.0381,44.15,55.95
1d,7,-85,10,2.0,ema200_price_above,948,0.4895,0.0729,1.2304,13.66,69.08
1d,7,-85,10,3.0,none,3870,0.4682,0.0142,1.0569,21.89,55.0
1d,7,-85,10,3.0,ema200_price_above,934,0.4968,0.0439,1.1966,7.89,41.02
1d,7,-85,15,2.0,none,3428,0.4096,-0.0136,0.9691,105.32,-46.52
1d,7,-85,15,2.0,ema200_price_above,831,0.4513,0.1204,1.3097,13.45,100.04
1d,7,-85,15,3.0,none,3156,0.4306,-0.0173,0.9449,83.08,-54.67
1d,7,-85,15,3.0,ema200_price_above,813,0.4699,0.0735,1.2629,8.79,59.78
1d,7,-85,20,2.0,none,2998,0.3869,0.0185,1.0375,46.06,55.55
1d,7,-85,20,2.0,ema200_price_above,737,0.4233,0.2131,1.5023,13.8,157.07
1d,7,-85,20,3.0,none,2699,0.4331,0.0262,1.0747,23.47,70.73
1d,7,-85,20,3.0,ema200_price_above,716,0.4595,0.1642,1.5448,7.85,117.59
1d,7,-85,25,2.0,none,2743,0.3682,0.107,1.2068,40.46,293.45
1d,7,-85,25,2.0,ema200_price_above,668,0.3877,0.2707,1.5631,15.8,180.84
1d,7,-85,25,3.0,none,2438,0.4122,0.0848,1.2222,22.25,206.74
1d,7,-85,25,3.0,ema200_price_above,650,0.4246,0.1925,1.5432,10.74,125.12
1d,7,-90,10,2.0,none,3118,0.4622,0.02,1.0567,41.12,62.47
1d,7,-90,10,2.0,ema200_price_above,694,0.5101,0.1029,1.3354,7.44,71.45
1d,7,-90,10,3.0,none,3009,0.4782,0.0173,1.0709,29.92,52.0
1d,7,-90,10,3.0,ema200_price_above,687,0.5167,0.0653,1.2999,5.97,44.86
1d,7,-90,15,2.0,none,2703,0.4081,-0.0269,0.9386,94.52,-72.59
1d,7,-90,15,2.0,ema200_price_above,624,0.4567,0.1087,1.2864,13.72,67.84
1d,7,-90,15,3.0,none,2542,0.4331,-0.0253,0.9191,83.06,-64.4
1d,7,-90,15,3.0,ema200_price_above,615,0.4732,0.0601,1.2175,9.9,36.95
1d,7,-90,20,2.0,none,2423,0.3904,0.0092,1.0189,54.57,22.22
1d,7,-90,20,2.0,ema200_price_above,561,0.4242,0.1636,1.3893,16.23,91.77
1d,7,-90,20,3.0,none,2223,0.4395,0.0149,1.0432,34.99,33.13
1d,7,-90,20,3.0,ema200_price_above,550,0.4564,0.1166,1.3991,6.75,64.14
1d,7,-90,25,2.0,none,2252,0.3672,0.0715,1.1393,48.68,160.92
1d,7,-90,25,2.0,ema200_price_above,515,0.3845,0.228,1.4685,17.2,117.4
1d,7,-90,25,3.0,none,2046,0.4154,0.0499,1.1346,31.33,102.06
1d,7,-90,25,3.0,ema200_price_above,505,0.4119,0.1481,1.4263,9.01,74.77
1d,10,-70,10,2.0,none,5398,0.4496,-0.0055,0.9849,82.0,-29.77
1d,10,-70,10,2.0,ema200_price_above,1362,0.4596,0.0379,1.1113,13.26,51.61
1d,10,-70,10,3.0,none,4966,0.4631,-0.0029,0.9887,54.21,-14.37
1d,10,-70,10,3.0,ema200_price_above,1304,0.4709,0.0248,1.1057,11.59,32.36
1d,10,-70,15,2.0,none,4444,0.4073,-0.0237,0.9465,155.93,-105.4
1d,10,-70,15,2.0,ema200_price_above,1170,0.4256,0.0809,1.1929,21.01,94.69
1d,10,-70,15,3.0,none,3981,0.4283,-0.0263,0.9167,130.12,-104.67
1d,10,-70,15,3.0,ema200_price_above,1097,0.4531,0.0613,1.2108,13.28,67.27
1d,10,-70,20,2.0,none,3903,0.3935,0.029,1.0592,64.29,113.25
1d,10,-70,20,2.0,ema200_price_above,1036,0.4083,0.1477,1.3149,15.79,153.01
1d,10,-70,20,3.0,none,3327,0.4283,0.0083,1.0234,57.75,27.54
1d,10,-70,20,3.0,ema200_price_above,956,0.454,0.105,1.3169,11.98,100.42
1d,10,-70,25,2.0,none,3448,0.3773,0.0966,1.1921,32.41,333.09
1d,10,-70,25,2.0,ema200_price_above,921,0.3952,0.2185,1.4378,19.14,201.26
1d,10,-70,25,3.0,none,2956,0.4161,0.0485,1.1292,28.03,143.33
1d,10,-70,25,3.0,ema200_price_above,841,0.4483,0.1997,1.5651,13.27,167.92
1d,10,-75,10,2.0,none,4923,0.4471,-0.0062,0.9828,82.35,-30.71
1d,10,-75,10,2.0,ema200_price_above,1170,0.4564,0.0038,1.0111,19.96,4.5
1d,10,-75,10,3.0,none,4555,0.4619,-0.0028,0.9889,49.79,-12.85
1d,10,-75,10,3.0,ema200_price_above,1126,0.4671,0.0027,1.0114,12.32,3.05
1d,10,-75,15,2.0,none,4108,0.4043,-0.0338,0.9235,166.24,-138.85
1d,10,-75,15,2.0,ema200_price_above,1021,0.4202,0.0326,1.0768,22.67,33.27
1d,10,-75,15,3.0,none,3712,0.4316,-0.032,0.8978,128.85,-118.83
1d,10,-75,15,3.0,ema200_price_above,972,0.4537,0.0336,1.1155,18.24,32.66
1d,10,-75,20,2.0,none,3630,0.3876,0.008,1.0162,65.42,28.92
1d,10,-75,20,2.0,ema200_price_above,913,0.3921,0.0769,1.1637,23.56,70.22
1d,10,-75,20,3.0,none,3149,0.4347,-0.0134,0.9622,60.1,-42.15
1d,10,-75,20,3.0,ema200_price_above,857,0.4446,0.0612,1.1826,13.55,52.42
1d,10,-75,25,2.0,none,3258,0.3778,0.0995,1.1986,32.62,324.03
1d,10,-75,25,2.0,ema200_price_above,807,0.3854,0.1524,1.3055,15.84,122.95
1d,10,-75,25,3.0,none,2800,0.4146,0.0448,1.1192,31.63,125.49
1d,10,-75,25,3.0,ema200_price_above,749,0.4286,0.1443,1.3957,13.5,108.12
1d,10,-80,10,2.0,none,4395,0.456,0.002,1.0056,49.39,8.76
1d,10,-80,10,2.0,ema200_price_above,992,0.4798,0.0468,1.1405,12.54,46.46
1d,10,-80,10,3.0,none,4091,0.4681,-0.0004,0.9985,37.53,-1.56
1d,10,-80,10,3.0,ema200_price_above,960,0.4938,0.0301,1.1313,10.72,28.91
1d,10,-80,15,2.0,none,3730,0.4091,-0.0288,0.9342,133.34,-107.48
1d,10,-80,15,2.0,ema200_price_above,883,0.4371,0.1019,1.2573,17.42,89.95
1d,10,-80,15,3.0,none,3358,0.4315,-0.0233,0.925,89.9,-78.39
1d,10,-80,15,3.0,ema200_price_above,851,0.47,0.0783,1.2876,12.42,66.59
1d,10,-80,20,2.0,none,3311,0.3935,0.0233,1.048,38.75,77.29
1d,10,-80,20,2.0,ema200_price_above,794,0.4093,0.1359,1.308,22.29,107.89
1d,10,-80,20,3.0,none,2900,0.4397,0.009,1.0255,37.55,26.18
1d,10,-80,20,3.0,ema200_price_above,756,0.455,0.1096,1.3517,13.61,82.86
1d,10,-80,25,2.0,none,2975,0.3775,0.093,1.185,27.65,276.6
1d,10,-80,25,2.0,ema200_price_above,710,0.3915,0.1981,1.4085,19.9,140.64
1d,10,-80,25,3.0,none,2585,0.4217,0.0467,1.1246,27.75,120.76
1d,10,-80,25,3.0,ema200_price_above,675,0.4341,0.1377,1.3846,14.79,92.94
1d,10,-85,10,2.0,none,3740,0.4575,0.0067,1.0185,53.54,24.95
1d,10,-85,10,2.0,ema200_price_above,812,0.4988,0.1015,1.3136,12.88,82.44
1d,10,-85,10,3.0,none,3531,0.4769,0.0081,1.0326,29.4,28.7
1d,10,-85,10,3.0,ema200_price_above,794,0.5139,0.0711,1.3144,8.71,56.45
1d,10,-85,15,2.0,none,3220,0.4022,-0.0324,0.927,156.76,-104.44
1d,10,-85,15,2.0,ema200_price_above,721,0.4494,0.1354,1.3459,14.49,97.62
1d,10,-85,15,3.0,none,2942,0.4341,-0.0109,0.9646,69.25,-32.06
1d,10,-85,15,3.0,ema200_price_above,706,0.483,0.0996,1.3701,10.67,70.32
1d,10,-85,20,2.0,none,2913,0.3948,0.0166,1.0341,59.01,48.39
1d,10,-85,20,2.0,ema200_price_above,654,0.4128,0.1522,1.3527,16.59,99.54
1d,10,-85,20,3.0,none,2592,0.4452,0.0218,1.0629,29.18,56.51
1d,10,-85,20,3.0,ema200_price_above,632,0.4541,0.1151,1.3851,10.46,72.77
1d,10,-85,25,2.0,none,2656,0.3758,0.0757,1.1482,43.36,200.99
1d,10,-85,25,2.0,ema200_price_above,593,0.3929,0.235,1.4842,23.09,139.34
1d,10,-85,25,3.0,none,2340,0.4214,0.0624,1.1673,25.9,145.95
1d,10,-85,25,3.0,ema200_price_above,572,0.4318,0.1614,1.4513,18.21,92.34
1d,10,-90,10,2.0,none,2863,0.4656,0.0197,1.0559,38.85,56.27
1d,10,-90,10,2.0,ema200_price_above,582,0.5052,0.1177,1.3739,7.37,68.49
1d,10,-90,10,3.0,none,2756,0.4829,0.0125,1.0508,37.26,34.57
1d,10,-90,10,3.0,ema200_price_above,576,0.5139,0.072,1.312,6.08,41.44
1d,10,-90,15,2.0,none,2549,0.4029,-0.0417,0.9053,136.76,-106.36
1d,10,-90,15,2.0,ema200_price_above,540,0.4593,0.1322,1.3519,11.57,71.4
1d,10,-90,15,3.0,none,2381,0.433,-0.0276,0.9116,92.08,-65.75
1d,10,-90,15,3.0,ema200_price_above,534,0.4813,0.081,1.2992,8.7,43.27
1d,10,-90,20,2.0,none,2332,0.4057,0.0113,1.024,62.03,26.47
1d,10,-90,20,2.0,ema200_price_above,490,0.4163,0.1163,1.2744,15.27,57.0
1d,10,-90,20,3.0,none,2138,0.4514,0.0131,1.0383,43.53,28.05
1d,10,-90,20,3.0,ema200_price_above,480,0.4604,0.0888,1.2976,10.72,42.64
1d,10,-90,25,2.0,none,2151,0.3752,0.0802,1.1584,34.04,172.49
1d,10,-90,25,2.0,ema200_price_above,449,0.3742,0.2259,1.4632,26.02,101.44
1d,10,-90,25,3.0,none,1945,0.419,0.0608,1.1651,28.19,118.27
1d,10,-90,25,3.0,ema200_price_above,440,0.4091,0.1476,1.4124,18.37,64.96
1d,14,-70,10,2.0,none,5042,0.4447,-0.0255,0.9314,180.82,-128.57
1d,14,-70,10,2.0,ema200_price_above,1179,0.4648,0.0284,1.0808,28.16,33.45
1d,14,-70,10,3.0,none,4632,0.4622,-0.0188,0.9277,110.48,-87.06
1d,14,-70,10,3.0,ema200_price_above,1126,0.4831,0.0153,1.062,22.83,17.2
1d,14,-70,15,2.0,none,4204,0.4148,-0.0114,0.9741,142.42,-47.92
1d,14,-70,15,2.0,ema200_price_above,1008,0.4226,0.0624,1.1516,32.51,62.91
1d,14,-70,15,3.0,none,3702,0.4346,-0.0183,0.942,93.0,-67.73
1d,14,-70,15,3.0,ema200_price_above,938,0.4382,0.0434,1.1494,28.66,40.72
1d,14,-70,20,2.0,none,3742,0.392,0.0113,1.0231,85.12,42.38
1d,14,-70,20,2.0,ema200_price_above,918,0.3922,0.097,1.2038,19.92,89.07
1d,14,-70,20,3.0,none,3164,0.4308,-0.0051,0.9856,70.24,-16.17
1d,14,-70,20,3.0,ema200_price_above,848,0.4316,0.066,1.1911,15.51,55.95
1d,14,-70,25,2.0,none,3358,0.3719,0.1108,1.2198,30.0,372.02
1d,14,-70,25,2.0,ema200_price_above,810,0.363,0.1736,1.338,18.63,140.58
1d,14,-70,25,3.0,none,2823,0.4081,0.0595,1.1586,38.72,167.85
1d,14,-70,25,3.0,ema200_price_above,742,0.4043,0.1296,1.3507,11.13,96.14
1d,14,-75,10,2.0,none,4556,0.4469,-0.0308,0.9173,161.56,-140.46
1d,14,-75,10,2.0,ema200_price_above,1006,0.4602,0.0374,1.1074,13.37,37.64
1d,14,-75,10,3.0,none,4197,0.4653,-0.0218,0.9168,103.89,-91.41
1d,14,-75,10,3.0,ema200_price_above,968,0.4762,0.0216,1.0865,12.35,20.87
1d,14,-75,15,2.0,none,3867,0.4114,-0.0312,0.9297,177.27,-120.51
1d,14,-75,15,2.0,ema200_price_above,883,0.4213,0.0747,1.1825,17.73,65.98
1d,14,-75,15,3.0,none,3406,0.4351,-0.0259,0.918,109.5,-88.08
1d,14,-75,15,3.0,ema200_price_above,835,0.4407,0.0532,1.1845,17.01,44.4
1d,14,-75,20,2.0,none,3470,0.3954,0.0059,1.012,104.18,20.47
1d,14,-75,20,2.0,ema200_price_above,813,0.4059,0.1012,1.2147,17.49,82.31
1d,14,-75,20,3.0,none,2967,0.4314,-0.0116,0.9675,78.75,-34.37
1d,14,-75,20,3.0,ema200_price_above,755,0.4358,0.0714,1.2138,13.42,53.91
1d,14,-75,25,2.0,none,3158,0.3708,0.1019,1.2002,40.74,321.83
1d,14,-75,25,2.0,ema200_price_above,723,0.3665,0.173,1.3361,20.87,125.11
1d,14,-75,25,3.0,none,2671,0.413,0.0616,1.1631,32.43,164.45
1d,14,-75,25,3.0,ema200_price_above,671,0.3994,0.1174,1.3173,14.71,78.78
1d,14,-80,10,2.0,none,4026,0.457,-0.0177,0.9519,97.92,-71.33
1d,14,-80,10,2.0,ema200_price_above,826,0.4673,0.0483,1.1409,12.27,39.9
1d,14,-80,10,3.0,none,3744,0.4733,-0.0144,0.9445,68.97,-53.74
1d,14,-80,10,3.0,ema200_price_above,800,0.48,0.0298,1.1225,9.85,23.84
1d,14,-80,15,2.0,none,3473,0.4086,-0.0354,0.9193,163.7,-123.11
1d,14,-80,15,2.0,ema200_price_above,752,0.4215,0.0715,1.1763,14.86,53.78
1d,14,-80,15,3.0,none,3106,0.4404,-0.0256,0.918,98.13,-79.36
1d,14,-80,15,3.0,ema200_price_above,728,0.4478,0.0526,1.1861,13.27,38.31
1d,14,-80,20,2.0,none,3138,0.4003,-0.0054,0.9889,82.11,-16.96
1d,14,-80,20,2.0,ema200_price_above,693,0.4098,0.0838,1.1803,25.89,58.1
1d,14,-80,20,3.0,none,2745,0.4415,-0.0037,0.9896,63.38,-10.06
1d,14,-80,20,3.0,ema200_price_above,658,0.4438,0.0591,1.1798,19.67,38.86
1d,14,-80,25,2.0,none,2899,0.3674,0.0516,1.0997,52.34,149.51
1d,14,-80,25,2.0,ema200_price_above,626,0.3546,0.1346,1.2578,23.33,84.27
1d,14,-80,25,3.0,none,2469,0.4164,0.0379,1.0998,33.63,93.5
1d,14,-80,25,3.0,ema200_price_above,588,0.3946,0.0899,1.2397,20.3,52.85
1d,14,-85,10,2.0,none,3398,0.4594,-0.0199,0.946,95.94,-67.51
1d,14,-85,10,2.0,ema200_price_above,662,0.4955,0.0896,1.2674,14.75,59.34
1d,14,-85,10,3.0,none,3178,0.4789,-0.0139,0.9464,64.0,-44.08
1d,14,-85,10,3.0,ema200_price_above,649,0.51,0.0529,1.2144,11.23,34.33
1d,14,-85,15,2.0,none,2974,0.4042,-0.047,0.8951,177.24,-139.66
1d,14,-85,15,2.0,ema200_price_above,611,0.4403,0.0855,1.2131,23.38,52.23
1d,14,-85,15,3.0,none,2678,0.4369,-0.0265,0.9153,93.13,-70.87
1d,14,-85,15,3.0,ema200_price_above,600,0.4683,0.057,1.2008,17.13,34.22
1d,14,-85,20,2.0,none,2740,0.3964,0.0099,1.02,65.45,26.99
1d,14,-85,20,2.0,ema200_price_above,566,0.417,0.1289,1.2884,24.4,72.93
1d,14,-85,20,3.0,none,2425,0.4421,0.0008,1.0023,45.95,2.01
1d,14,-85,20,3.0,ema200_price_above,547,0.4625,0.0913,1.2887,16.13,49.93
1d,14,-85,25,2.0,none,2566,0.3652,0.0685,1.131,51.5,175.86
1d,14,-85,25,2.0,ema200_price_above,518,0.3571,0.1555,1.3024,24.84,80.57
1d,14,-85,25,3.0,none,2205,0.4118,0.0335,1.0863,33.84,73.97
1d,14,-85,25,3.0,ema200_price_above,497,0.3944,0.0997,1.2643,17.94,49.53
1d,14,-90,10,2.0,none,2617,0.4692,-0.006,0.9832,73.1,-15.62
1d,14,-90,10,2.0,ema200_price_above,478,0.5105,0.1326,1.4102,13.52,63.36
1d,14,-90,10,3.0,none,2485,0.4845,-0.0048,0.9811,58.01,-11.82
1d,14,-90,10,3.0,ema200_price_above,473,0.5222,0.0829,1.3445,8.32,39.21
1d,14,-90,15,2.0,none,2350,0.4055,-0.0601,0.8641,172.74,-141.31
1d,14,-90,15,2.0,ema200_price_above,448,0.4643,0.103,1.2706,20.71,46.12
