timeframe,wr_n,oversold,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
2h,5,-90,20,3.0,ema200_price_above,7776,0.4663,0.042,1.1199,39.39,326.77
2h,5,-90,25,2.0,none,21465,0.3854,-0.0009,0.9983,211.45,-19.9
2h,5,-90,25,2.0,ema200_price_above,7487,0.3935,0.0568,1.1086,85.45,425.27
2h,5,-90,25,3.0,none,19389,0.4482,0.0019,1.0046,146.96,36.69
2h,5,-90,25,3.0,ema200_price_above,7063,0.4475,0.0363,1.0931,72.18,256.3
2h,7,-70,10,2.0,none,50837,0.4515,-0.0229,0.9429,1181.87,-1162.0
2h,7,-70,10,2.0,ema200_price_above,18481,0.4484,0.0105,1.0281,93.09,193.54
2h,7,-70,10,3.0,none,46632,0.478,-0.0168,0.9397,811.51,-784.33
2h,7,-70,10,3.0,ema200_price_above,17543,0.4696,0.0079,1.031,45.2,138.73
2h,7,-70,15,2.0,none,42560,0.4294,-0.0089,0.9809,525.91,-379.29
2h,7,-70,15,2.0,ema200_price_above,15415,0.4344,0.0328,1.0743,59.39,504.88
2h,7,-70,15,3.0,none,37780,0.4743,-0.0025,0.9925,170.04,-94.94
2h,7,-70,15,3.0,ema200_price_above,14334,0.4737,0.0312,1.1015,31.99,446.63
2h,7,-70,20,2.0,none,36767,0.4012,-0.0186,0.9641,807.37,-683.46
2h,7,-70,20,2.0,ema200_price_above,13411,0.4105,0.0413,1.0837,105.99,554.11
2h,7,-70,20,3.0,none,31890,0.4566,-0.0149,0.961,490.68,-474.74
2h,7,-70,20,3.0,ema200_price_above,12245,0.4662,0.0352,1.0994,60.79,431.58
2h,7,-70,25,2.0,none,32816,0.3772,-0.0121,0.9784,592.47,-397.27
2h,7,-70,25,2.0,ema200_price_above,11941,0.3944,0.0666,1.1255,73.74,794.85
2h,7,-70,25,3.0,none,27774,0.4422,-0.0109,0.9741,431.47,-302.31
2h,7,-70,25,3.0,ema200_price_above,10747,0.4551,0.0493,1.1256,56.05,530.36
2h,7,-75,10,2.0,none,46616,0.452,-0.0236,0.941,1133.08,-1100.84
2h,7,-75,10,2.0,ema200_price_above,16573,0.4491,0.0092,1.0247,66.51,152.2
2h,7,-75,10,3.0,none,43003,0.4787,-0.0165,0.9409,738.85,-707.76
2h,7,-75,10,3.0,ema200_price_above,15836,0.4697,0.0081,1.0318,48.28,127.66
2h,7,-75,15,2.0,none,39580,0.4287,-0.0119,0.9747,533.8,-469.6
2h,7,-75,15,2.0,ema200_price_above,14069,0.4358,0.0377,1.0858,61.75,531.05
2h,7,-75,15,3.0,none,35371,0.4758,-0.0031,0.9906,168.58,-110.43
2h,7,-75,15,3.0,ema200_price_above,13158,0.4752,0.0334,1.1093,37.73,440.06
2h,7,-75,20,2.0,none,34555,0.4021,-0.0227,0.9563,804.98,-783.55
2h,7,-75,20,2.0,ema200_price_above,12384,0.4149,0.0436,1.0886,98.79,539.99
2h,7,-75,20,3.0,none,30226,0.4583,-0.0122,0.9681,389.66,-368.53
2h,7,-75,20,3.0,ema200_price_above,11402,0.4687,0.0409,1.1159,67.33,466.41
2h,7,-75,25,2.0,none,30945,0.3771,-0.017,0.9696,671.07,-526.3
2h,7,-75,25,2.0,ema200_price_above,11080,0.3931,0.0607,1.1145,88.18,672.23
2h,7,-75,25,3.0,none,26473,0.4423,-0.0068,0.9837,320.96,-180.51
2h,7,-75,25,3.0,ema200_price_above,10053,0.4536,0.0496,1.1267,56.11,498.61
2h,7,-80,10,2.0,none,41675,0.4537,-0.0239,0.9402,1047.27,-995.73
2h,7,-80,10,2.0,ema200_price_above,14456,0.4539,0.0107,1.029,66.42,154.45
2h,7,-80,10,3.0,none,38734,0.4812,-0.0163,0.9414,662.96,-631.54
2h,7,-80,10,3.0,ema200_price_above,13935,0.4747,0.0097,1.0385,32.84,134.82
2h,7,-80,15,2.0,none,36016,0.4329,-0.0065,0.9861,291.57,-232.91
2h,7,-80,15,2.0,ema200_price_above,12493,0.4434,0.0458,1.1054,47.56,571.79
2h,7,-80,15,3.0,none,32554,0.4791,-0.0012,0.9965,174.69,-37.81
2h,7,-80,15,3.0,ema200_price_above,11821,0.4815,0.0377,1.1239,36.43,445.16
2h,7,-80,20,2.0,none,31727,0.4017,-0.0227,0.9561,747.86,-720.82
2h,7,-80,20,2.0,ema200_price_above,11123,0.419,0.0561,1.1156,64.5,624.37
2h,7,-80,20,3.0,none,28103,0.4606,-0.01,0.9738,312.27,-280.33
2h,7,-80,20,3.0,ema200_price_above,10383,0.4736,0.0468,1.1337,52.28,485.57
2h,7,-80,25,2.0,none,28650,0.3753,-0.0228,0.9592,768.48,-654.53
2h,7,-80,25,2.0,ema200_price_above,10042,0.3935,0.0708,1.1341,72.67,710.91
2h,7,-80,25,3.0,none,24832,0.4419,-0.0068,0.9836,278.96,-170.03
2h,7,-80,25,3.0,ema200_price_above,9232,0.4529,0.0548,1.1408,45.33,505.97
2h,7,-85,10,2.0,none,35406,0.4568,-0.0166,0.9581,682.7,-589.19
2h,7,-85,10,2.0,ema200_price_above,11901,0.4563,0.0154,1.0421,55.29,183.36
2h,7,-85,10,3.0,none,33246,0.4829,-0.013,0.9531,467.56,-431.98
2h,7,-85,10,3.0,ema200_price_above,11540,0.4747,0.0117,1.0468,32.35,135.01
2h,7,-85,15,2.0,none,31212,0.4343,0.0013,1.0027,221.6,39.44
2h,7,-85,15,2.0,ema200_price_above,10529,0.4405,0.0439,1.1012,47.18,462.64
2h,7,-85,15,3.0,none,28593,0.4811,0.0015,1.0047,155.71,44.24
2h,7,-85,15,3.0,ema200_price_above,10056,0.4773,0.0317,1.1035,40.24,318.52
2h,7,-85,20,2.0,none,27873,0.402,-0.0198,0.9616,590.64,-553.28
2h,7,-85,20,2.0,ema200_price_above,9490,0.417,0.0524,1.1076,55.72,496.98
2h,7,-85,20,3.0,none,25038,0.4609,-0.0084,0.978,234.89,-209.09
2h,7,-85,20,3.0,ema200_price_above,8941,0.4667,0.0367,1.104,50.78,328.55
2h,7,-85,25,2.0,none,25338,0.3769,-0.0238,0.9572,655.02,-603.68
2h,7,-85,25,2.0,ema200_price_above,8628,0.3885,0.0491,1.0929,81.91,424.04
2h,7,-85,25,3.0,none,22345,0.4413,-0.01,0.9763,300.17,-222.36
2h,7,-85,25,3.0,ema200_price_above,8030,0.4467,0.0326,1.0828,59.27,262.16
2h,7,-90,10,2.0,none,26977,0.4639,-0.0015,0.9962,172.13,-40.06
2h,7,-90,10,2.0,ema200_price_above,8697,0.4658,0.0247,1.0687,37.22,214.5
2h,7,-90,10,3.0,none,25711,0.4911,-0.0029,0.9895,143.39,-73.78
2h,7,-90,10,3.0,ema200_price_above,8517,0.4839,0.0179,1.0729,24.36,152.69
2h,7,-90,15,2.0,none,24379,0.438,0.0139,1.03,141.08,338.32
2h,7,-90,15,2.0,ema200_price_above,7906,0.4464,0.0507,1.1174,35.71,401.12
2h,7,-90,15,3.0,none,22788,0.4864,0.0114,1.0345,93.02,260.35
2h,7,-90,15,3.0,ema200_price_above,7639,0.4846,0.0378,1.1237,27.76,288.4
2h,7,-90,20,2.0,none,22236,0.4056,-0.0076,0.9852,242.13,-169.77
2h,7,-90,20,2.0,ema200_price_above,7283,0.4164,0.0466,1.0957,67.62,339.63
2h,7,-90,20,3.0,none,20399,0.4634,0.0,1.0001,113.36,0.98
2h,7,-90,20,3.0,ema200_price_above,6955,0.467,0.0354,1.1002,52.2,246.47
2h,7,-90,25,2.0,none,20554,0.3815,-0.0075,0.9864,259.99,-154.12
2h,7,-90,25,2.0,ema200_price_above,6731,0.39,0.05,1.0948,74.87,336.47
2h,7,-90,25,3.0,none,18527,0.4456,-0.0011,0.9972,133.3,-21.21
2h,7,-90,25,3.0,ema200_price_above,6354,0.4468,0.0329,1.084,60.85,209.11
2h,10,-70,10,2.0,none,46802,0.453,-0.0304,0.9244,1465.54,-1422.24
2h,10,-70,10,2.0,ema200_price_above,16093,0.4567,0.0116,1.0312,69.36,185.95
2h,10,-70,10,3.0,none,42580,0.4818,-0.0186,0.9333,831.09,-790.2
2h,10,-70,10,3.0,ema200_price_above,15232,0.4801,0.0119,1.0473,41.78,180.6
2h,10,-70,15,2.0,none,40308,0.4283,-0.0184,0.9609,845.46,-739.9
2h,10,-70,15,2.0,ema200_price_above,13817,0.4369,0.0321,1.0733,72.84,444.11
2h,10,-70,15,3.0,none,35470,0.4757,-0.0076,0.9773,306.34,-268.57
2h,10,-70,15,3.0,ema200_price_above,12782,0.4747,0.0269,1.0877,29.09,343.2
2h,10,-70,20,2.0,none,35425,0.402,-0.0297,0.9428,1099.09,-1051.25
2h,10,-70,20,2.0,ema200_price_above,12245,0.4193,0.0435,1.0895,84.06,533.22
2h,10,-70,20,3.0,none,30523,0.4593,-0.0177,0.9536,561.47,-539.72
2h,10,-70,20,3.0,ema200_price_above,11153,0.4717,0.0357,1.1015,51.19,397.84
2h,10,-70,25,2.0,none,31789,0.3754,-0.0279,0.9502,974.34,-887.91
2h,10,-70,25,2.0,ema200_price_above,10928,0.3942,0.0511,1.0964,74.41,558.61
2h,10,-70,25,3.0,none,26773,0.4428,-0.0124,0.9705,422.73,-331.33
2h,10,-70,25,3.0,ema200_price_above,9826,0.4537,0.0374,1.0957,47.06,367.83
2h,10,-75,10,2.0,none,42666,0.4531,-0.0302,0.9252,1323.07,-1287.24
2h,10,-75,10,2.0,ema200_price_above,14254,0.4575,0.0099,1.0267,80.99,141.46
2h,10,-75,10,3.0,none,39021,0.4826,-0.0185,0.9338,764.45,-722.09
2h,10,-75,10,3.0,ema200_price_above,13584,0.4809,0.0093,1.0368,67.45,125.9
2h,10,-75,15,2.0,none,37301,0.4293,-0.0169,0.9642,679.11,-628.86
2h,10,-75,15,2.0,ema200_price_above,12471,0.4373,0.0294,1.0667,65.48,366.14
2h,10,-75,15,3.0,none,33050,0.4776,-0.0077,0.9772,297.75,-253.17
2h,10,-75,15,3.0,ema200_price_above,11625,0.4773,0.025,1.0816,36.7,291.09
2h,10,-75,20,2.0,none,33132,0.4023,-0.0302,0.9418,1018.18,-1001.93
2h,10,-75,20,2.0,ema200_price_above,11181,0.4167,0.0373,1.0761,50.78,417.01
2h,10,-75,20,3.0,none,28743,0.4607,-0.0141,0.9631,451.55,-403.86
2h,10,-75,20,3.0,ema200_price_above,10265,0.4734,0.0378,1.1078,39.31,387.81
2h,10,-75,25,2.0,none,29827,0.375,-0.0287,0.949,977.08,-854.88
2h,10,-75,25,2.0,ema200_price_above,10044,0.3889,0.0466,1.0872,60.81,468.22
2h,10,-75,25,3.0,none,25402,0.4421,-0.0114,0.9729,398.13,-289.17
2h,10,-75,25,3.0,ema200_price_above,9094,0.4519,0.0403,1.1033,48.25,366.53
2h,10,-80,10,2.0,none,37900,0.4549,-0.0305,0.9244,1216.77,-1156.22
2h,10,-80,10,2.0,ema200_price_above,12260,0.4642,0.0118,1.0321,90.3,144.3
2h,10,-80,10,3.0,none,34950,0.4846,-0.0199,0.9292,736.67,-694.97
2h,10,-80,10,3.0,ema200_price_above,11796,0.4861,0.0103,1.0412,65.19,121.55
2h,10,-80,15,2.0,none,33654,0.4324,-0.0126,0.973,473.89,-425.65
2h,10,-80,15,2.0,ema200_price_above,10905,0.4428,0.0382,1.0875,43.69,416.91
2h,10,-80,15,3.0,none,30140,0.4807,-0.0035,0.9896,166.98,-104.75
2h,10,-80,15,3.0,ema200_price_above,10292,0.4828,0.0321,1.1048,28.34,329.9
2h,10,-80,20,2.0,none,30196,0.4018,-0.0262,0.9495,899.89,-791.44
2h,10,-80,20,2.0,ema200_price_above,9874,0.419,0.0459,1.0941,46.2,453.08
2h,10,-80,20,3.0,none,26530,0.4632,-0.0111,0.9708,370.72,-293.9
2h,10,-80,20,3.0,ema200_price_above,9190,0.4745,0.0407,1.1165,31.61,373.85
2h,10,-80,25,2.0,none,27416,0.3729,-0.0313,0.9443,1010.21,-859.39
2h,10,-80,25,2.0,ema200_price_above,8961,0.39,0.0533,1.1004,59.04,477.83
2h,10,-80,25,3.0,none,23652,0.4403,-0.0117,0.972,398.3,-277.78
2h,10,-80,25,3.0,ema200_price_above,8243,0.4504,0.0421,1.1077,40.93,347.34
2h,10,-85,10,2.0,none,32181,0.4602,-0.0234,0.9416,822.43,-751.68
2h,10,-85,10,2.0,ema200_price_above,9987,0.467,0.0144,1.04,66.07,144.31
2h,10,-85,10,3.0,none,30006,0.49,-0.014,0.9497,471.27,-418.78
2h,10,-85,10,3.0,ema200_price_above,9685,0.4876,0.0147,1.0599,39.04,142.05
2h,10,-85,15,2.0,none,29066,0.4342,-0.009,0.9808,396.71,-261.0
2h,10,-85,15,2.0,ema200_price_above,9053,0.4438,0.0369,1.0851,49.9,334.34
2h,10,-85,15,3.0,none,26391,0.4834,-0.0028,0.9915,205.4,-75.0
2h,10,-85,15,3.0,ema200_price_above,8646,0.4836,0.028,1.0914,31.14,241.99
2h,10,-85,20,2.0,none,26396,0.4032,-0.0218,0.9578,756.02,-576.45
2h,10,-85,20,2.0,ema200_price_above,8282,0.4204,0.0482,1.0996,53.4,399.34
2h,10,-85,20,3.0,none,23570,0.4649,-0.009,0.9763,299.42,-212.06
2h,10,-85,20,3.0,ema200_price_above,7822,0.4726,0.0342,1.0974,38.47,267.58
2h,10,-85,25,2.0,none,24175,0.3762,-0.0264,0.9527,790.58,-637.93
2h,10,-85,25,2.0,ema200_price_above,7581,0.391,0.0468,1.0886,70.71,354.42
2h,10,-85,25,3.0,none,21172,0.4404,-0.0152,0.9638,432.33,-322.0
2h,10,-85,25,3.0,ema200_price_above,7092,0.4491,0.0285,1.0725,48.56,202.15
2h,10,-90,10,2.0,none,24546,0.4694,-0.0061,0.9845,233.76,-149.98
2h,10,-90,10,2.0,ema200_price_above,7181,0.4776,0.0331,1.0932,35.95,237.93
2h,10,-90,10,3.0,none,23252,0.4989,-0.0051,0.9816,166.41,-117.69
2h,10,-90,10,3.0,ema200_price_above,7043,0.4984,0.0249,1.1029,25.62,175.68
2h,10,-90,15,2.0,none,22615,0.4364,0.0039,1.0084,114.83,88.68
2h,10,-90,15,2.0,ema200_price_above,6675,0.4472,0.0503,1.1158,45.61,336.0
2h,10,-90,15,3.0,none,20991,0.4866,0.0037,1.011,84.44,77.75
2h,10,-90,15,3.0,ema200_price_above,6464,0.4867,0.0356,1.1149,33.67,229.81
2h,10,-90,20,2.0,none,20923,0.4055,-0.017,0.9672,418.53,-354.74
2h,10,-90,20,2.0,ema200_price_above,6230,0.4197,0.04,1.0822,70.83,249.34
2h,10,-90,20,3.0,none,19116,0.4636,-0.0078,0.9796,173.63,-148.96
2h,10,-90,20,3.0,ema200_price_above,5974,0.4705,0.0279,1.0781,51.48,166.76
2h,10,-90,25,2.0,none,19424,0.3801,-0.0168,0.9697,362.09,-326.21
2h,10,-90,25,2.0,ema200_price_above,5814,0.3915,0.0536,1.1018,64.73,311.44
2h,10,-90,25,3.0,none,17436,0.4423,-0.013,0.9692,264.43,-226.18
2h,10,-90,25,3.0,ema200_price_above,5535,0.4475,0.0316,1.0797,48.66,174.63
2h,14,-70,10,2.0,none,43024,0.4581,-0.0294,0.9271,1276.75,-1264.06
2h,14,-70,10,2.0,ema200_price_above,13725,0.4595,0.0066,1.0174,85.92,90.12
2h,14,-70,10,3.0,none,39245,0.4894,-0.0176,0.9373,703.2,-688.96
2h,14,-70,10,3.0,ema200_price_above,13026,0.4848,0.0102,1.0397,44.94,132.55
2h,14,-70,15,2.0,none,37654,0.4304,-0.0176,0.9627,687.55,-662.87
2h,14,-70,15,2.0,ema200_price_above,11992,0.4386,0.0267,1.0599,75.48,320.24
2h,14,-70,15,3.0,none,32829,0.4781,-0.0073,0.9785,260.05,-238.82
2h,14,-70,15,3.0,ema200_price_above,11025,0.4794,0.0309,1.0996,32.76,340.83
2h,14,-70,20,2.0,none,33777,0.4034,-0.0305,0.9412,1036.47,-1030.34
2h,14,-70,20,2.0,ema200_price_above,10869,0.4128,0.0305,1.0616,83.33,331.98
2h,14,-70,20,3.0,none,28863,0.4604,-0.0184,0.952,565.73,-531.25
2h,14,-70,20,3.0,ema200_price_above,9790,0.4659,0.0301,1.0842,53.4,294.47
2h,14,-70,25,2.0,none,30641,0.3759,-0.0298,0.9469,926.43,-911.94
2h,14,-70,25,2.0,ema200_price_above,9901,0.3898,0.0502,1.0939,61.1,497.48
2h,14,-70,25,3.0,none,25710,0.4429,-0.0149,0.9646,448.28,-383.49
2h,14,-70,25,3.0,ema200_price_above,8829,0.4511,0.0371,1.0936,36.16,327.9
2h,14,-75,10,2.0,none,38925,0.4574,-0.034,0.9164,1333.35,-1323.21
2h,14,-75,10,2.0,ema200_price_above,11964,0.4617,0.0073,1.0194,62.43,87.37
2h,14,-75,10,3.0,none,35573,0.4888,-0.0192,0.9319,697.03,-683.11
2h,14,-75,10,3.0,ema200_price_above,11384,0.4861,0.0101,1.0396,41.03,114.86
2h,14,-75,15,2.0,none,34590,0.4288,-0.0165,0.9652,588.43,-571.08
2h,14,-75,15,2.0,ema200_price_above,10610,0.439,0.0328,1.0741,55.09,348.35
2h,14,-75,15,3.0,none,30306,0.4765,-0.0081,0.9761,276.07,-246.39
2h,14,-75,15,3.0,ema200_price_above,9815,0.4777,0.0284,1.0917,45.42,279.16
2h,14,-75,20,2.0,none,31297,0.4016,-0.0353,0.9324,1118.56,-1104.15
2h,14,-75,20,2.0,ema200_price_above,9692,0.4159,0.038,1.077,51.99,368.65
2h,14,-75,20,3.0,none,26886,0.4616,-0.0195,0.9494,583.06,-524.15
2h,14,-75,20,3.0,ema200_price_above,8784,0.4697,0.0301,1.0842,40.25,264.77
2h,14,-75,25,2.0,none,28593,0.3739,-0.0354,0.9371,1035.65,-1012.42
2h,14,-75,25,2.0,ema200_price_above,8892,0.3872,0.0476,1.0892,51.63,423.68
2h,14,-75,25,3.0,none,24145,0.4422,-0.0167,0.9605,456.69,-403.04
2h,14,-75,25,3.0,ema200_price_above,7979,0.4481,0.0356,1.0896,41.48,283.7
2h,14,-80,10,2.0,none,34421,0.4597,-0.0297,0.9271,1060.08,-1023.03
2h,14,-80,10,2.0,ema200_price_above,10126,0.4676,0.0135,1.0363,53.66,137.17
2h,14,-80,10,3.0,none,31633,0.4916,-0.019,0.9333,631.33,-600.27
2h,14,-80,10,3.0,ema200_price_above,9713,0.491,0.0126,1.0496,40.1,122.3
2h,14,-80,15,2.0,none,31006,0.4312,-0.0143,0.9699,500.54,-443.72
2h,14,-80,15,2.0,ema200_price_above,9144,0.4357,0.0303,1.0677,103.53,276.8
2h,14,-80,15,3.0,none,27437,0.4794,-0.0096,0.972,314.98,-264.24
2h,14,-80,15,3.0,ema200_price_above,8543,0.4772,0.0232,1.0732,74.95,197.95
2h,14,-80,20,2.0,none,28409,0.4005,-0.0331,0.9367,975.47,-940.88
2h,14,-80,20,2.0,ema200_price_above,8432,0.4134,0.0357,1.0718,91.56,300.68
2h,14,-80,20,3.0,none,24660,0.4617,-0.0215,0.9443,576.27,-530.95
2h,14,-80,20,3.0,ema200_price_above,7752,0.4706,0.0262,1.0727,42.44,203.4
2h,14,-80,25,2.0,none,26112,0.3731,-0.038,0.9326,1032.06,-993.25
2h,14,-80,25,2.0,ema200_price_above,7790,0.385,0.0428,1.0796,75.33,333.45
2h,14,-80,25,3.0,none,22317,0.4407,-0.0232,0.9455,561.58,-518.68
2h,14,-80,25,3.0,ema200_price_above,7112,0.4456,0.03,1.0744,50.35,213.32
2h,14,-85,10,2.0,none,29214,0.4637,-0.0204,0.9499,646.4,-596.19
2h,14,-85,10,2.0,ema200_price_above,8189,0.4705,0.022,1.0593,41.62,180.31
2h,14,-85,10,3.0,none,27117,0.4943,-0.0132,0.9536,397.46,-356.71
2h,14,-85,10,3.0,ema200_price_above,7908,0.4927,0.019,1.0756,30.4,150.15
2h,14,-85,15,2.0,none,26720,0.4372,-0.0089,0.9812,315.72,-237.16
2h,14,-85,15,2.0,ema200_price_above,7522,0.4426,0.0304,1.0681,59.08,228.68
2h,14,-85,15,3.0,none,23984,0.4858,-0.0064,0.9812,217.6,-154.15
2h,14,-85,15,3.0,ema200_price_above,7117,0.4863,0.0224,1.0708,47.1,159.37
2h,14,-85,20,2.0,none,24751,0.4035,-0.0236,0.9546,640.25,-584.39
2h,14,-85,20,2.0,ema200_price_above,7028,0.4149,0.0355,1.0719,53.33,249.46
2h,14,-85,20,3.0,none,21848,0.4647,-0.0136,0.9647,357.18,-296.8
2h,14,-85,20,3.0,ema200_price_above,6576,0.4726,0.0248,1.0691,32.58,162.98
2h,14,-85,25,2.0,none,22922,0.3756,-0.0278,0.9505,682.5,-636.37
2h,14,-85,25,2.0,ema200_price_above,6545,0.3853,0.0311,1.0579,63.89,203.88
2h,14,-85,25,3.0,none,19936,0.4424,-0.0176,0.9585,403.97,-350.41
