symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year,rsi_at_entry,ema200_at_entry
ATOM_USDT,2026-02-13 16:00:00,2026-02-14 16:00:00,2.085,2.18271429,2.18271429,-1.0,0,6,atr_stop,2026,75.16,2.11085
TAO_USDT,2026-02-13 20:00:00,2026-02-14 04:00:00,178.5,191.35714286,191.35714286,-1.0,0,2,atr_stop,2026,78.01,204.396398
PENDLE_USDT,2026-02-14 00:00:00,2026-02-14 08:00:00,1.251,1.32357143,1.32357143,-1.0,0,2,atr_stop,2026,76.9,1.595366
ONDO_USDT,2026-02-14 00:00:00,2026-02-14 16:00:00,0.2725,0.28772857,0.28772857,-1.0,0,4,atr_stop,2026,75.76,0.306548
ZEN_USDT,2026-02-14 04:00:00,2026-02-16 16:00:00,6.606,6.195,6.94057143,1.2284,1,15,time_exit,2026,77.96,7.666235
AAVE_USDT,2026-02-14 04:00:00,2026-02-15 04:00:00,123.92,131.60142857,131.60142857,-1.0,0,6,atr_stop,2026,75.86,135.430811
CHZ_USDT,2026-02-14 08:00:00,2026-02-16 20:00:00,0.04317,0.04176,0.04489286,0.8184,1,15,time_exit,2026,77.61,0.04494
FET_USDT,2026-02-14 08:00:00,2026-02-14 16:00:00,0.1722,0.18082857,0.18082857,-1.0,0,2,atr_stop,2026,75.14,0.198499
RENDER_USDT,2026-02-14 08:00:00,2026-02-16 20:00:00,1.464,1.452,1.54971429,0.14,1,15,time_exit,2026,78.25,1.616265
ADA_USDT,2026-02-14 08:00:00,2026-02-14 16:00:00,0.2831,0.29508571,0.29508571,-1.0,0,2,atr_stop,2026,75.25,0.314939
TAO_USDT,2026-02-14 08:00:00,2026-02-16 04:00:00,194.8,211.35714286,211.35714286,-1.0,0,11,atr_stop,2026,78.03,204.097684
DOT_USDT,2026-02-14 08:00:00,2026-02-14 16:00:00,1.371,1.42457143,1.42457143,-1.0,0,2,atr_stop,2026,75.86,1.615519
DOGE_USDT,2026-02-14 08:00:00,2026-02-14 16:00:00,0.10062,0.10460857,0.10460857,-1.0,0,2,atr_stop,2026,78.97,0.111294
PENGU_USDT,2026-02-14 12:00:00,2026-02-14 16:00:00,0.007271,0.007785,0.007785,-1.0,0,1,atr_stop,2026,76.97,0.008288
PEPE_USDT,2026-02-14 12:00:00,2026-02-14 16:00:00,4.19e-06,4.44e-06,4.44e-06,-1.0,0,1,atr_stop,2026,79.72,4e-06
TIA_USDT,2026-02-14 12:00:00,2026-02-17 00:00:00,0.3526,0.3446,0.37648571,0.3349,1,15,time_exit,2026,77.23,0.403714
WLD_USDT,2026-02-14 12:00:00,2026-02-17 00:00:00,0.4242,0.4001,0.44414286,1.2085,1,15,time_exit,2026,80.25,0.443892
PENDLE_USDT,2026-02-14 12:00:00,2026-02-17 00:00:00,1.296,1.229,1.38371429,0.7638,1,15,time_exit,2026,75.62,1.58638
FIL_USDT,2026-02-14 12:00:00,2026-02-17 00:00:00,1.002,0.971,1.05114286,0.6308,1,15,time_exit,2026,76.02,1.131643
NEAR_USDT,2026-02-14 12:00:00,2026-02-17 00:00:00,1.069,1.055,1.11957143,0.2768,1,15,time_exit,2026,77.3,1.274252
ARB_USDT,2026-02-14 12:00:00,2026-02-17 00:00:00,0.1196,0.1147,0.12512857,0.8863,1,15,time_exit,2026,75.05,0.148383
GRT_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,0.02934,0.02805,0.03063143,0.9989,1,15,time_exit,2026,79.23,0.032113
ICP_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,2.566,2.396,2.68857143,1.3869,1,15,time_exit,2026,77.16,2.8588
ORDI_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,2.992,2.792,3.13157143,1.433,1,15,time_exit,2026,75.74,3.44443
SUI_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,1.0353,0.9716,1.09354286,1.0937,1,15,time_exit,2026,75.55,1.2275
LINK_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,9.17,8.87,9.54142857,0.8077,1,15,time_exit,2026,77.31,10.416895
AVAX_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,9.63,9.2,9.98714286,1.204,1,15,time_exit,2026,80.33,10.653692
INJ_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,3.315,3.132,3.471,1.1731,1,15,time_exit,2026,78.69,3.878865
LTC_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,56.36,55.55,58.26714286,0.4247,1,15,time_exit,2026,75.81,62.725441
JTO_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,0.2839,0.2783,0.29997143,0.3484,1,15,time_exit,2026,78.07,0.315015
XRP_USDT,2026-02-14 16:00:00,2026-02-15 04:00:00,1.498,1.5562,1.5562,-1.0,0,3,atr_stop,2026,77.43,1.662117
ENA_USDT,2026-02-14 16:00:00,2026-02-17 04:00:00,0.1294,0.122,0.13624286,1.0814,1,15,time_exit,2026,78.21,0.154913
FET_USDT,2026-02-14 20:00:00,2026-02-17 08:00:00,0.1811,0.1709,0.19047143,1.0884,1,15,time_exit,2026,80.5,0.197935
PENGU_USDT,2026-02-14 20:00:00,2026-02-17 08:00:00,0.007867,0.007113,0.008477,1.2361,1,15,time_exit,2026,84.29,0.00828
ADA_USDT,2026-02-14 20:00:00,2026-02-17 08:00:00,0.295,0.2804,0.30811429,1.1133,1,15,time_exit,2026,77.06,0.314299
DOGE_USDT,2026-02-14 20:00:00,2026-02-15 04:00:00,0.11104,0.11687143,0.11687143,-1.0,0,2,atr_stop,2026,90.43,0.111193
DOT_USDT,2026-02-14 20:00:00,2026-02-17 08:00:00,1.421,1.363,1.48071429,0.9713,1,15,time_exit,2026,80.93,1.609595
ONDO_USDT,2026-02-14 20:00:00,2026-02-17 08:00:00,0.2944,0.2743,0.3105,1.2484,1,15,time_exit,2026,85.96,0.305563
SOL_USDT,2026-02-15 04:00:00,2026-02-17 16:00:00,90.74,84.87,94.53714286,1.5459,1,15,time_exit,2026,80.23,105.070207
GRT_USDT,2026-02-21 04:00:00,2026-02-23 16:00:00,0.02921,0.02573,0.03039286,2.942,1,15,time_exit,2026,76.66,0.030636
NEAR_USDT,2026-02-21 08:00:00,2026-02-23 20:00:00,1.092,0.981,1.13842857,2.3908,1,15,time_exit,2026,78.02,1.196465
FIL_USDT,2026-02-21 08:00:00,2026-02-23 20:00:00,1.001,0.891,1.04857143,2.3123,1,15,time_exit,2026,75.46,1.072844
UNI_USDT,2026-02-21 08:00:00,2026-02-23 20:00:00,3.647,3.349,3.81,1.8282,1,15,time_exit,2026,75.77,3.972145
ADA_USDT,2026-02-25 12:00:00,2026-02-25 20:00:00,0.2905,0.30511429,0.30511429,-1.0,0,2,atr_stop,2026,76.54,0.295816
LTC_USDT,2026-02-25 12:00:00,2026-02-28 00:00:00,57.79,54.64,60.49857143,1.163,1,15,time_exit,2026,79.55,58.382454
DOGE_USDT,2026-02-25 12:00:00,2026-02-28 00:00:00,0.10157,0.09323,0.10665429,1.6403,1,15,time_exit,2026,75.88,0.104998
AVAX_USDT,2026-02-25 12:00:00,2026-02-28 00:00:00,9.52,8.89,10.02571429,1.2458,1,15,time_exit,2026,78.9,9.832266
NEAR_USDT,2026-02-25 12:00:00,2026-02-25 16:00:00,1.105,1.16357143,1.16357143,-1.0,0,1,atr_stop,2026,79.07,1.154659
APT_USDT,2026-02-25 12:00:00,2026-02-25 16:00:00,0.955,1.01271429,1.01271429,-1.0,0,1,atr_stop,2026,80.22,1.107017
PENGU_USDT,2026-02-25 12:00:00,2026-02-25 20:00:00,0.007136,0.00757686,0.00757686,-1.0,0,2,atr_stop,2026,75.38,0.007577
TIA_USDT,2026-02-25 12:00:00,2026-02-25 16:00:00,0.3556,0.3776,0.3776,-1.0,0,1,atr_stop,2026,80.93,0.365704
LINK_USDT,2026-02-25 12:00:00,2026-02-28 00:00:00,9.27,8.68,9.74,1.2553,1,15,time_exit,2026,78.42,9.581055
ONDO_USDT,2026-02-25 16:00:00,2026-02-28 04:00:00,0.2846,0.2451,0.29984286,2.5914,1,15,time_exit,2026,78.59,0.285934
FET_USDT,2026-02-25 16:00:00,2026-02-28 04:00:00,0.1731,0.1491,0.1819,2.7273,1,15,time_exit,2026,77.63,0.181673
ARB_USDT,2026-02-25 16:00:00,2026-02-27 08:00:00,0.1044,0.11021429,0.11021429,-1.0,0,10,atr_stop,2026,76.58,0.125657
ENA_USDT,2026-02-25 16:00:00,2026-02-26 08:00:00,0.1116,0.11787143,0.11787143,-1.0,0,4,atr_stop,2026,75.53,0.133053
SEI_USDT,2026-02-25 16:00:00,2026-02-28 04:00:00,0.0722,0.066,0.07532857,1.9817,1,15,time_exit,2026,75.9,0.082062
SOL_USDT,2026-02-25 16:00:00,2026-02-28 04:00:00,89.43,78.71,93.72714286,2.4947,1,15,time_exit,2026,80.9,94.711266
SUI_USDT,2026-02-25 16:00:00,2026-02-28 04:00:00,0.9991,0.85,1.05618571,2.6119,1,15,time_exit,2026,78.37,1.085405
ETH_USDT,2026-02-25 16:00:00,2026-02-28 04:00:00,2071.1,1866.73,2168.63,2.0955,1,15,time_exit,2026,78.21,2226.432673
ARKM_USDT,2026-02-25 16:00:00,2026-02-28 04:00:00,0.12,0.102,0.128,2.25,1,15,time_exit,2026,75.93,0.131741
ICP_USDT,2026-02-25 16:00:00,2026-02-27 04:00:00,2.448,2.59171429,2.59171429,-1.0,0,9,atr_stop,2026,81.1,2.555764
NIL_USDT,2026-02-27 08:00:00,2026-03-01 20:00:00,0.0547,0.0472,0.0602,1.3636,1,15,time_exit,2026,78.4,0.054724
TON_USDT,2026-03-05 08:00:00,2026-03-07 20:00:00,1.361,1.322,1.42257143,0.6334,1,15,time_exit,2026,80.05,1.366985
FET_USDT,2026-03-10 20:00:00,2026-03-11 08:00:00,0.1544,0.16222857,0.16222857,-1.0,0,3,atr_stop,2026,76.6,0.164558
JTO_USDT,2026-03-12 16:00:00,2026-03-15 04:00:00,0.2805,0.2793,0.2927,0.0984,1,15,time_exit,2026,77.25,0.282778
ENA_USDT,2026-03-13 00:00:00,2026-03-15 12:00:00,0.1117,0.108,0.1167,0.74,1,15,time_exit,2026,76.77,0.116788
INJ_USDT,2026-03-13 00:00:00,2026-03-15 12:00:00,3.127,3.051,3.23642857,0.6945,1,15,time_exit,2026,78.56,3.238131
PEPE_USDT,2026-03-13 08:00:00,2026-03-15 20:00:00,3.61e-06,3.45e-06,3.8e-06,0.8615,1,15,time_exit,2026,76.0,4e-06
EIGEN_USDT,2026-03-15 08:00:00,2026-03-15 16:00:00,0.202,0.21385714,0.21385714,-1.0,0,2,atr_stop,2026,75.18,0.205717
ZEC_USDT,2026-03-16 00:00:00,2026-03-16 16:00:00,234.91,248.44857143,248.44857143,-1.0,0,4,atr_stop,2026,78.48,241.336358
FIL_USDT,2026-03-16 04:00:00,2026-03-16 16:00:00,0.944,0.98514286,0.98514286,-1.0,0,3,atr_stop,2026,79.55,0.971257
WLD_USDT,2026-03-16 04:00:00,2026-03-16 16:00:00,0.3842,0.3988,0.3988,-1.0,0,3,atr_stop,2026,79.93,0.389883
ARB_USDT,2026-03-16 04:00:00,2026-03-18 16:00:00,0.1087,0.1018,0.11271429,1.7189,1,15,time_exit,2026,77.52,0.108949
APT_USDT,2026-03-16 04:00:00,2026-03-18 16:00:00,0.991,0.953,1.03,0.9744,1,15,time_exit,2026,75.62,1.002315
DASH_USDT,2026-03-16 04:00:00,2026-03-16 20:00:00,34.74,36.26,36.26,-1.0,0,4,atr_stop,2026,75.01,35.527619
INJ_USDT,2026-03-16 04:00:00,2026-03-16 20:00:00,3.202,3.29685714,3.29685714,-1.0,0,4,atr_stop,2026,77.04,3.211438
TON_USDT,2026-03-23 20:00:00,2026-03-26 08:00:00,1.318,1.29,1.361,0.6512,1,15,time_exit,2026,75.09,1.320134
ENA_USDT,2026-03-26 00:00:00,2026-03-28 12:00:00,0.105,0.0927,0.11201429,1.7536,1,15,time_exit,2026,75.3,0.109633
ALT_USDT,2026-04-03 16:00:00,2026-04-06 04:00:00,0.00674,0.00629,0.00725143,0.8799,1,15,time_exit,2026,76.48,0.007105
BTC_USDT,2026-04-05 20:00:00,2026-04-06 08:00:00,69034.18,70028.86857143,70028.86857143,-1.0,0,3,atr_stop,2026,76.04,69103.431415
INJ_USDT,2026-04-06 08:00:00,2026-04-07 20:00:00,2.945,3.02128571,3.02128571,-1.0,0,9,atr_stop,2026,76.21,3.003279
LPT_USDT,2026-04-06 08:00:00,2026-04-08 20:00:00,2.105,2.007,2.16085714,1.7545,1,15,time_exit,2026,75.85,2.190896
DOT_USDT,2026-04-06 08:00:00,2026-04-08 20:00:00,1.304,1.269,1.34628571,0.8277,1,15,time_exit,2026,75.12,1.375545
ARB_USDT,2026-04-06 08:00:00,2026-04-07 20:00:00,0.0985,0.10178571,0.10178571,-1.0,0,9,atr_stop,2026,79.15,0.098624
MORPHO_USDT,2026-04-06 16:00:00,2026-04-07 16:00:00,1.602,1.668,1.668,-1.0,0,6,atr_stop,2026,79.41,1.618647
NIL_USDT,2026-04-06 20:00:00,2026-04-09 08:00:00,0.0372,0.0343,0.04128571,0.7098,1,15,time_exit,2026,78.96,0.041184
BNB_USDT,2026-04-07 20:00:00,2026-04-10 08:00:00,620.1,602.57,636.38,1.0768,1,15,time_exit,2026,76.44,625.807806
ENA_USDT,2026-04-07 20:00:00,2026-04-10 04:00:00,0.0908,0.09645714,0.09645714,-1.0,0,14,atr_stop,2026,77.75,0.096966
EIGEN_USDT,2026-04-08 04:00:00,2026-04-10 16:00:00,0.17,0.166,0.17942857,0.4242,1,15,time_exit,2026,75.95,0.18083
SEI_USDT,2026-04-08 08:00:00,2026-04-10 20:00:00,0.0582,0.0564,0.06048571,0.7875,1,15,time_exit,2026,76.54,0.060073
WLD_USDT,2026-04-11 12:00:00,2026-04-13 12:00:00,0.2932,0.31135714,0.31135714,-1.0,0,12,atr_stop,2026,78.24,0.303758
PENDLE_USDT,2026-04-11 16:00:00,2026-04-14 04:00:00,1.139,1.071,1.19014286,1.3296,1,15,time_exit,2026,75.76,1.157838
NIL_USDT,2026-04-16 08:00:00,2026-04-16 12:00:00,0.03794,0.04037429,0.04037429,-1.0,0,1,atr_stop,2026,77.35,0.038346
WLD_USDT,2026-05-06 08:00:00,2026-05-08 16:00:00,0.2602,0.27202857,0.27202857,-1.0,0,14,atr_stop,2026,78.13,0.268278
