tf,lookback_n,hold_bars,atr_mult,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
2h,20,20,2.0,6319,0.06017027207649135,380.21594925134883,0.44611489159677165,1.1246485831484923,10,11.321515274277504,1.1321515274277503,219,-8.077885228916715,-0.036885320679985,644,-10.87870217436604,-0.016892394680692608,882,152.8755307364658,0.17332826614111768,1081,54.698100235998695,0.050599537683625066,1544,58.11223813500196,0.03763745993199609,1606,100.39464281003472,0.06251223089043258,333,21.770509462852893,0.06537690529385252,True,0.26404637419264854,False
6h,10,20,2.0,4121,0.059686140465550236,245.9665848585325,0.4545013346275176,1.123247883281057,3,1.5561286729080366,0.5187095576360122,96,-25.79250451684573,-0.26867192205047635,278,-10.65400230385557,-0.038323749294444494,706,41.32355253360487,0.058531944098590465,708,-15.902356728956377,-0.02246095583185929,875,-7.808493791832458,-0.00892399290495138,1114,246.29273149744992,0.2210886279151256,341,16.951529496059848,0.04971123019372389,True,1.001325979458165,True
4h,5,20,2.0,8780,0.058280516445200284,511.70293438885847,0.44726651480637813,1.122946031521066,6,4.4482436649492385,0.7413739441582065,297,-62.34390325446153,-0.20991213216990415,829,-66.9158968511127,-0.08071881405441822,1283,259.1954784545654,0.2020229761921788,1499,-41.621083836016126,-0.027765899823893346,2017,114.97854271039591,0.057004731140503674,2252,277.64168896117087,0.12328671801117712,597,26.319864539367423,0.04408687527532232,True,0.542583734237847,True
6h,15,20,3.0,2988,0.050780616848831846,151.73248314430955,0.5187416331994645,1.138579411508932,3,1.0374191152720247,0.3458063717573416,66,-12.14612539192101,-0.1840322029078941,186,-23.73244708914469,-0.12759380155454134,529,42.96498270353452,0.08121924896698396,522,-5.581664664073159,-0.010692844184048197,643,1.9132595329225293,0.0029755202689308387,777,131.94187443349315,0.1698093622052679,262,15.335184504226184,0.058531238565748794,True,0.8695690711659021,True
8h,5,20,3.0,4499,0.050227032390195187,225.97141872348814,0.5210046677039342,1.147384112548403,1,0.223079674759727,0.223079674759727,100,-32.25515728675059,-0.3225515728675059,309,-30.558342856830148,-0.09889431345252475,770,135.6987525342144,0.1762321461483304,792,-12.394426794020301,-0.015649528780328662,979,-55.750786341818404,-0.05694666633485026,1156,192.59216836900652,0.16660222177249698,392,28.416131424926903,0.07249013118603802,True,0.8522855211378461,True
1d,5,20,3.0,1639,0.050059881437874584,82.04814567667644,0.565588773642465,1.1485340933249149,0,0.0,,3,-1.7469611907073512,-0.5823203969024504,38,-4.985114175191912,-0.13118721513662926,291,54.20014575805894,0.18625479641944653,353,-71.31898400031405,-0.20203678187057802,347,-5.603225151682014,-0.016147622915510126,483,108.49543466026216,0.22462822911027364,124,3.006849776250645,0.024248788518150363,True,1.3223386557425125,True
2h,20,15,2.0,6416,0.0498175389187945,319.6293297029855,0.46290523690773067,1.1146786799283854,10,8.205044203523158,0.8205044203523159,221,-7.506742784454325,-0.0339671619206078,659,-5.905096537664313,-0.00896069277339046,894,155.3745119603724,0.17379699324426442,1097,8.383057792853897,0.007641802910532267,1578,26.69877707130709,0.016919377104757344,1621,96.94908769781642,0.05980819722258879,336,37.43069029923116,0.11140086398580702,True,0.30331724497218715,False
6h,10,20,3.0,3887,0.04924306142360956,191.40777975357037,0.5258554154875225,1.140460065055308,3,1.0374191152720247,0.3458063717573416,91,-24.182484568269196,-0.26574158866229886,262,-14.152294522354879,-0.05401639130669801,657,46.924237392083015,0.07142197472158754,669,6.622436437282349,0.009899008127477354,824,-26.692316794250303,-0.03239358834253678,1061,190.69968988398074,0.17973580573419484,320,11.151092809826604,0.03484716503070814,True,0.9963006212678437,True
1d,5,20,2.0,1747,0.04868989052676428,85.06123875025719,0.48082427017744706,1.1024529306452362,0,0.0,,3,-3.0,-1.0,42,-7.698026153364827,-0.18328633698487684,315,56.55466391021664,0.17953861558798934,381,-103.91462971780422,-0.2727418102829507,372,-14.390446676877396,-0.03868399644321881,500,146.6664773973328,0.29333295479466565,134,10.843199990754226,0.08091940291607631,True,1.7242457263989628,True
1d,10,15,3.0,1246,0.04831241552358032,60.19726974238108,0.5738362760834671,1.1540020519801166,0,0.0,,2,-1.299520654549709,-0.6497603272748546,29,-5.847768545831626,-0.20164719123557331,208,35.91989636962592,0.17269180946935536,271,-61.39009410970539,-0.2265317125819387,257,30.673932336025068,0.1193538223191637,373,58.32438974062896,0.1563656561410964,106,3.8164346061878587,0.03600410005837602,True,0.968887625472596,True
2h,15,20,3.0,7605,0.04741895679956975,360.6211664607279,0.5016436554898094,1.1345896280201957,11,4.874209173231829,0.4431099248392572,271,-20.438919129060437,-0.0754203657898909,796,-29.32820203951322,-0.036844474924011585,1059,161.01800775605926,0.1520472216771098,1314,44.537534180628974,0.0338946226641012,1832,52.135632381091696,0.028458314618499833,1928,124.60263832373909,0.06462792444177339,394,23.220265814550718,0.05893468480850436,True,0.3455222541334341,False
4h,5,15,3.0,9078,0.047372265790472795,430.04542884591206,0.5138797091870456,1.1580758957150592,7,4.621026750835665,0.6601466786908093,306,-32.00180430100095,-0.10458105980719265,857,-63.49544116745948,-0.0740903630892176,1340,199.5318035491599,0.14890433100683573,1565,13.162899312488603,0.008410798282740321,2090,13.12160739335837,0.006278281049453766,2313,248.59838886519157,0.10747876734335995,600,46.50694844333846,0.07751158073889743,True,0.5780747153442385,True
8h,5,15,3.0,4892,0.04638583215690489,226.9194909115787,0.5380212591986917,1.1547731649763688,1,0.5259303076910691,0.5259303076910691,109,-25.254167793705342,-0.23168961278628755,337,-30.637787818008686,-0.09091331696738482,829,127.59773848438289,0.1539176580028744,868,-32.45059533210261,-0.03738547849320577,1065,-45.17292340830809,-0.042415890524232946,1263,212.45836259636042,0.16821723087597815,420,19.852933875269038,0.04726889017921199,True,0.9362719867864802,True
2h,10,10,2.0,11945,0.046077133399122776,550.3913584525216,0.4849727919631645,1.1300883995769047,16,4.473515364926479,0.27959471030790495,483,-30.08196266568209,-0.062281496202240355,1342,-9.200169024650943,-0.006855565592139302,1597,167.40936566241047,0.10482740492323761,2075,79.83600542399736,0.0384751833368662,2922,-46.808690501315404,-0.016019401266706163,2923,345.69832778797297,0.11826832972561512,587,39.06496640486267,0.06655019830470643,True,0.6280954860191432,True
4h,5,10,2.0,10268,0.04564900152274548,468.7239476355506,0.4915270744059213,1.1304965789221593,8,6.429047150079115,0.8036308937598894,358,-53.39560759706727,-0.14914974189124935,981,-61.6130731224669,-0.06280639462025168,1491,241.32422218333974,0.16185393841940962,1781,23.363881610864066,0.01311840629470189,2386,89.54217705532194,0.03752815467532353,2595,235.65960488545312,0.0908129498595195,668,-12.5863045299732,-0.018841773248462874,True,0.5027684334760868,True
2h,5,15,3.0,16404,0.04522121832220649,741.8088653574753,0.507742014142892,1.1543693252136837,21,6.737253484043449,0.3208215944782595,693,-15.346344551524496,-0.02214479733264718,1841,-0.7953214049645645,-0.00043200510861736256,2198,261.7915033115047,0.11910441460941978,2935,20.463525027247215,0.00697224021371285,4109,169.5434593862396,0.04126148926411282,3719,252.80571067608508,0.0679767977080089,888,46.60907942884445,0.05248770205950952,True,0.3407962919858862,False
2h,5,10,2.0,18561,0.0451849923376382,838.6786427789027,0.4794461505306826,1.1289819365461566,26,0.928207087194304,0.03570027258439631,777,-21.566989523205244,-0.02775674327310842,2109,-6.253264819920254,-0.002965037847283193,2473,301.09483104459196,0.12175286334192963,3318,-0.619146185335083,-0.00018660222583938608,4685,140.45751208234876,0.029980258715549362,4186,350.52488143451217,0.08373742986968757,987,74.11261165871599,0.07508876561166768,True,0.4179489777789889,True
2h,10,15,3.0,10941,0.04370994964709216,478.2305590888353,0.510648021204643,1.1461430399813652,15,6.8119498221123145,0.45412998814082095,440,-30.7674992189759,-0.06992613458858159,1207,-10.521803359972335,-0.0087173184423963,1460,166.07709894088845,0.11375143763074551,1919,40.48889245027365,0.021098953856317694,2677,50.17163616341742,0.018741739321411065,2675,228.59537527658875,0.0854562150566687,548,27.374909014502947,0.049954213530114866,True,0.4780024424037805,True
4h,5,20,3.0,8290,0.0386127156175881,320.0994124698053,0.5007237635705669,1.1123025024014328,6,2.632162443299489,0.4386937405499148,276,-37.716591219997234,-0.13665431601448272,779,-83.54822082582882,-0.10725060439772634,1233,209.48764434999003,0.16990076589618008,1412,-55.2596463290695,-0.03913572686194724,1910,53.322500746847396,0.027917539658035288,2109,210.7934582162278,0.09994948232158739,565,20.388105088336154,0.03608514174926753,True,0.6585249769432543,True
4h,20,20,3.0,3480,0.03770993460266912,131.23057241728856,0.503448275862069,1.1025424958832404,3,1.9975705624659204,0.6658568541553068,98,-21.00086254903154,-0.2142945158064443,285,-29.598840020430877,-0.1038555790190557,521,62.310080050325496,0.11959708263018329,592,-19.102369466068723,-0.03226751598998095,831,-26.282329120996803,-0.0316273515294787,898,167.31182092263685,0.18631605893389405,252,-4.404497961611773,-0.017478166514332434,True,1.2749454478535436,True
2h,15,15,3.0,7887,0.03666946944546761,289.212105516403,0.5072904780017751,1.1196548325804299,11,3.4948562432299908,0.31771420392999916,280,-17.769045695375794,-0.06346087748348499,828,-31.168758615652628,-0.037643428279773704,1099,128.75289367373486,0.11715458933005901,1365,4.27060740801736,0.003128650115763634,1914,29.258267540732476,0.015286451170706622,1981,145.43999613871318,0.07341746397713941,409,26.9332888230036,0.06585156191443423,True,0.5028835009482837,True
4h,10,15,2.0,6328,0.03630134906983274,229.71493691390157,0.4663400758533502,1.082868548247773,5,8.205325270220165,1.641065054044033,187,-56.04600340404939,-0.2997112481499967,587,-95.25917914352671,-0.16228139547449183,902,167.34903951225573,0.18553108593376466,1090,-32.03362472909391,-0.029388646540453128,1481,-113.81832008029681,-0.0768523430656967,1650,313.8617221860734,0.1902192255673172,426,37.455977302319006,0.08792482934816669,True,1.366309593980432,True
6h,5,15,2.0,6279,0.036225223645059125,227.45817926732624,0.47316451664277753,1.0847480811491892,3,1.713609483309404,0.5712031611031346,152,-21.14595824443289,-0.13911814634495323,461,-36.76674855816627,-0.07975433526717195,1033,68.79303645326921,0.06659538862852779,1057,6.638610092616794,0.006280615035588263,1342,-8.612263710439509,-0.006417484135945982,1732,180.9401223587701,0.10446889281684187,499,35.89777139239944,0.07193942162805499,True,0.7954874295644275,True
4h,10,20,2.0,6025,0.03488101365229943,210.15810725510408,0.4403319502074689,1.0714126511663864,4,4.626989529034596,1.156747382258649,179,-51.81125777259149,-0.2894483674446452,556,-109.22434029807428,-0.19644665521236382,864,188.2128835594661,0.2178389856012339,1037,-30.23438609456414,-0.02915562786361055,1409,-111.52517036446076,-0.07915200167811268,1565,320.0124243975272,0.20448078236263717,411,0.10096429876693502,0.0002456552281433942,True,1.5227222426830982,True
8h,15,15,2.0,2667,0.03389663386548778,90.4023225192559,0.4716910386201725,1.0743993510808219,1,0.7888954615366028,0.7888954615366028,69,-9.553594296447613,-0.13845788835431325,154,-40.25191626189697,-0.2613760796227076,481,100.29580644797323,0.20851519012052647,484,-54.682363519730615,-0.1129800899167988,621,-28.2504398321947,-0.04549185158163398,635,113.48585382569821,0.17871788004046962,222,8.570080694317781,0.038603967091521536,True,1.255342237490917,True
8h,15,20,2.0,2593,0.03364313578101095,87.23665108016138,0.434631700732742,1.0667059850098994,1,0.3346195121395902,0.3346195121395902,68,-7.487255472929614,-0.11010669813131785,152,-51.581627835245975,-0.3393528147055656,475,123.67683884346035,0.2603722923020218,459,-42.397981062459216,-0.09237032911211158,600,-29.90860877032155,-0.04984768128386925,621,83.43344152121729,0.13435336798907777,217,11.1672243443005,0.05146186333779032,True,0.9564035355340574,True
4h,5,5,2.0,11548,0.033229392898238175,383.7330291888544,0.5051957048839626,1.1371464884858649,8,1.1933719255826951,0.1491714906978369,414,-40.952687495202625,-0.09891953501256673,1134,-6.483826958348772,-0.005717660457097683,1660,115.36881441166805,0.06949928579016147,2002,49.06576820660429,0.02450837572757457,2690,-44.50784686750777,-0.01654566798048616,2908,299.4976103985335,0.10299092517143517,732,10.551825567524968,0.01441506225071717,True,0.780484314919724,True
4h,10,15,3.0,6087,0.031225473873836087,190.06945947004027,0.5128963364547396,1.1005152637139484,5,5.4702168468134404,1.094043369362688,175,-35.03582421162809,-0.20020470978073193,559,-67.0655346692763,-0.11997412284307031,881,135.17334173079774,0.15343171592599064,1056,-20.453537456647993,-0.019368880167280295,1428,-94.93580348139173,-0.06648165509901381,1577,239.57544964604614,0.15191848423972487,406,27.341151065327026,0.06734273661410597,True,1.2604626241061587,True
4h,5,10,3.0,10017,0.030220449147222928,302.7182391077321,0.5117300588998702,1.1249349299190992,8,3.952698100052739,0.49408726250659235,348,-28.03829527675351,-0.08056981401365951,947,-58.367260172528276,-0.06163385445884718,1469,176.76291586334304,0.1203287378239231,1732,23.674535531100233,0.013668900422113299,2334,38.79229227821605,0.01662051939940705,2532,155.836512116599,0.061546805733253954,647,-9.895159332297222,-0.015293909323488751,True,0.514790627006586,True
