variant,time,event,open_positions,open_risk_amount,equity,portfolio_heat_pct,reserved_margin,cash
T5_1D_LONG_max10,2024-11-20 00:00:00+00:00,exit,4,97.81118275541748,9754.3449965295,1.0027447541605072,618.3251881776928,9136.019808351808
T5_1D_LONG_max10,2024-11-21 00:00:00+00:00,entry,5,122.19704524674123,9754.3449965295,1.2527447541605072,738.6209767596325,9015.724019769868
T5_1D_LONG_max10,2024-12-09 00:00:00+00:00,exit,4,97.7381801893208,9880.014510342065,0.9892513830522393,538.9129107583997,9341.101599583666
T5_1D_LONG_max10,2024-12-09 00:00:00+00:00,exit,3,73.24577052689567,9855.032252486393,0.7432321746934516,395.2060651147782,9459.826187371615
T5_1D_LONG_max10,2024-12-09 00:00:00+00:00,exit,2,48.75336086447052,9921.658902416448,0.4913831582397628,255.45021114756562,9666.208691268883
T5_1D_LONG_max10,2024-12-09 00:00:00+00:00,exit,1,24.385862491323753,9975.607954014096,0.2444549004305156,120.29578858193972,9855.312165432157
T5_1D_LONG_max10,2024-12-12 00:00:00+00:00,entry,2,49.32488237635899,9975.607954014096,0.49445490043051554,223.9909731164626,9751.616980897634
T5_1D_LONG_max10,2024-12-12 00:00:00+00:00,entry,3,74.26390226139424,9975.607954014096,0.7444549004305157,351.0840249987597,9624.523929015337
T5_1D_LONG_max10,2024-12-19 00:00:00+00:00,exit,2,49.87803977007048,9975.33656830443,0.5000136028347418,230.78823641681993,9744.54833188761
T5_1D_LONG_max10,2024-12-19 00:00:00+00:00,exit,1,24.93901988503524,9949.898768021694,0.25064596601914757,127.09305188229705,9822.805716139397
T5_1D_LONG_max10,2024-12-20 00:00:00+00:00,exit,0,0.0,9924.460967738958,0.0,0.0,9924.460967738958
T5_1D_LONG_max10,2024-12-24 00:00:00+00:00,entry,1,24.811152419347394,9924.460967738958,0.25,110.26918778070323,9814.191779958255
T5_1D_LONG_max10,2024-12-31 00:00:00+00:00,exit,0,0.0,10016.639860551266,0.0,0.0,10016.639860551266
T5_1D_LONG_max10,2025-01-03 00:00:00+00:00,entry,1,25.041599651378164,10016.639860551266,0.25,159.9457969787732,9856.694063572493
T5_1D_LONG_max10,2025-01-11 00:00:00+00:00,entry,2,50.08319930275633,10016.639860551266,0.5,367.79752810574064,9648.842332445525
T5_1D_LONG_max10,2025-01-16 00:00:00+00:00,entry,3,75.12479895413449,10016.639860551266,0.75,517.3627490725988,9499.277111478666
T5_1D_LONG_max10,2025-01-16 00:00:00+00:00,entry,4,100.16639860551265,10016.639860551266,1.0,709.0980918578607,9307.541768693405
T5_1D_LONG_max10,2025-01-17 00:00:00+00:00,entry,5,125.20799825689082,10016.639860551266,1.25,927.7764300829213,9088.863430468346
T5_1D_LONG_max10,2025-01-17 00:00:00+00:00,entry,6,150.24959790826898,10016.639860551268,1.4999999999999996,1109.4961968760194,8907.143663675248
T5_1D_LONG_max10,2025-01-19 00:00:00+00:00,exit,5,125.20799825689082,9991.097428906862,1.2531956489047067,890.817858650959,9100.279570255903
T5_1D_LONG_max10,2025-01-19 00:00:00+00:00,exit,4,100.16639860551265,9965.554997262456,1.0051261433309877,709.0980918578607,9256.456905404595
T5_1D_LONG_max10,2025-01-21 00:00:00+00:00,entry,5,125.0802860986688,9965.554997262456,1.255126143330988,848.993140808074,9116.561856454382
T5_1D_LONG_max10,2025-01-23 00:00:00+00:00,exit,4,100.03868644729063,9940.01256561805,1.0064241447070086,689.0473438293009,9250.965221788749
T5_1D_LONG_max10,2025-01-27 00:00:00+00:00,exit,3,74.99708679591247,9914.470133973644,0.7564406950899171,539.4821228624427,9374.988011111202
T5_1D_LONG_max10,2025-01-27 00:00:00+00:00,exit,2,49.9554871445343,9888.927702329238,0.5051658647758926,347.74678007718074,9541.180922252057
T5_1D_LONG_max10,2025-01-27 00:00:00+00:00,exit,1,25.041599651378164,9863.51553708622,0.253881078781934,207.85173112696748,9655.663805959251
T5_1D_LONG_max10,2025-02-02 00:00:00+00:00,exit,0,0.0,9863.305136016983,0.0,0.0,9863.305136016983
T5_1D_LONG_max10,2025-03-01 00:00:00+00:00,entry,1,24.658262840042457,9863.305136016983,0.25,149.21429804200739,9714.090837974976
T5_1D_LONG_max10,2025-03-02 00:00:00+00:00,entry,2,49.316525680084915,9863.305136016985,0.49999999999999994,304.9084077647582,9558.396728252226
T5_1D_LONG_max10,2025-03-02 00:00:00+00:00,entry,3,73.97478852012738,9863.305136016985,0.7499999999999999,464.9809694759456,9398.324166541039
T5_1D_LONG_max10,2025-03-03 00:00:00+00:00,exit,2,49.31652568008492,9838.15370792014,0.5012782595618828,309.2868597531948,9528.866848166947
T5_1D_LONG_max10,2025-03-03 00:00:00+00:00,exit,1,24.658262840042457,9813.002279823297,0.251281535832747,149.21429804200739,9663.78798178129
T5_1D_LONG_max10,2025-03-09 00:00:00+00:00,exit,0,0.0,9787.850851726454,0.0,0.0,9787.850851726454
T5_1D_LONG_max10,2025-04-01 00:00:00+00:00,entry,1,24.469627129316137,9787.850851726454,0.25,182.4670911074144,9605.383760619041
T5_1D_LONG_max10,2025-04-07 00:00:00+00:00,exit,0,0.0,9762.891832054553,0.0,0.0,9762.891832054553
T5_1D_LONG_max10,2025-04-12 00:00:00+00:00,entry,1,24.40722958013638,9762.891832054553,0.25,361.3864947291025,9401.50533732545
T5_1D_LONG_max10,2025-04-22 00:00:00+00:00,entry,2,48.81445916027276,9762.891832054553,0.5,826.1479363144957,8936.743895740057
T5_1D_LONG_max10,2025-04-22 00:00:00+00:00,entry,3,73.22168874040915,9762.891832054554,0.7499999999999999,1161.8833192710856,8601.008512783468
T5_1D_LONG_max10,2025-04-23 00:00:00+00:00,entry,4,97.62891832054552,9762.891832054553,1.0,1345.6047050977256,8417.287126956828
T5_1D_LONG_max10,2025-04-24 00:00:00+00:00,entry,5,122.03614790068191,9762.891832054553,1.25,1576.3137459456552,8186.578086108898
T5_1D_LONG_max10,2025-04-25 00:00:00+00:00,entry,6,146.4433774808183,9762.891832054553,1.5000000000000002,1796.8984195028993,7965.993412551654
T5_1D_LONG_max10,2025-05-04 00:00:00+00:00,exit,5,122.03614790068191,9737.996457882813,1.2531956489047071,1332.136977917506,8405.859479965307
T5_1D_LONG_max10,2025-05-05 00:00:00+00:00,exit,4,97.62891832054552,9718.429036745123,1.0045751010931208,1101.4279370695763,8617.001099675546
T5_1D_LONG_max10,2025-05-05 00:00:00+00:00,exit,3,73.22168874040915,9696.074855087325,0.7551683525008193,880.8432635123323,8815.231591574993
T5_1D_LONG_max10,2025-05-07 00:00:00+00:00,entry,4,97.46187587812746,9696.074855087327,1.005168352500819,1054.5574541682995,8641.517400919027
T5_1D_LONG_max10,2025-05-08 00:00:00+00:00,entry,5,121.70206301584578,9696.074855087327,1.255168352500819,1283.1666166119542,8412.908238475373
T5_1D_LONG_max10,2025-05-23 00:00:00+00:00,exit,4,97.29483343570939,9733.70354039179,0.9995664346254908,1099.4452307853144,8634.258309606477
T5_1D_LONG_max10,2025-05-30 00:00:00+00:00,exit,3,72.88760385557302,9771.093966653561,0.745951314195946,763.7098478287244,9007.384118824837
