variant,time,event,equity,peak,drawdown_pct,open_positions,long_positions,short_positions,portfolio_heat_pct,effective_cluster_positions,max_same_side,max_per_cluster,max_beta_cluster,cluster_ALT_OTHER,beta_OTHER_BETA,cluster_EXCHANGE,cluster_GAMING,beta_HIGH_CRYPTO_BETA,cluster_BTC_BETA,cluster_L1_L2,cluster_MEME,cluster_DEFI,cluster_AI
ACT4_ATR3,2025-12-04 00:00:00+00:00,exit,10027.338589993267,10235.242587666875,-2.0312561807193994,1,0,1,0.2520063795351142,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-04 18:00:00+00:00,entry,10027.338589993267,10235.242587666875,-2.0312561807193994,2,1,1,0.5020063795351142,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-05 12:00:00+00:00,exit,10002.270243518284,10235.242587666875,-2.2761780402676055,1,0,1,0.25263797447129244,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-05 12:00:00+00:00,entry,10002.270243518284,10235.242587666875,-2.2761780402676055,2,0,2,0.5026379744712924,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-09 12:00:00+00:00,entry,10002.270243518284,10235.242587666875,-2.2761780402676055,3,1,2,0.7526379744712924,3.0,2,1,1,1.0,2.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2025-12-11 00:00:00+00:00,exit,9977.264567909488,10235.242587666875,-2.5204875951669403,2,0,2,0.503897718768213,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-19 12:00:00+00:00,exit,10054.24241078277,10235.242587666875,-1.7684014358604843,1,0,1,0.25133204384717084,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-21 06:00:00+00:00,entry,10054.24241078277,10235.242587666875,-1.7684014358604843,2,1,1,0.5013320438471709,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-21 12:00:00+00:00,exit,10029.106804755813,10235.242587666875,-2.013980432270836,1,0,1,0.25196194871896826,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-22 12:00:00+00:00,entry,10029.106804755813,10235.242587666875,-2.013980432270836,2,1,1,0.5019619487189683,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-25 18:00:00+00:00,entry,10029.106804755813,10235.242587666875,-2.013980432270836,3,1,2,0.7519619487189683,3.0,2,1,1,1.0,2.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2025-12-28 06:00:00+00:00,exit,10004.034037743922,10235.242587666875,-2.2589454811901675,2,0,2,0.5032199987157576,2.0,2,1,1,,1.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2025-12-28 06:00:00+00:00,exit,9978.961270732032,10235.242587666875,-2.503910530109499,1,0,1,0.2532280891647923,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2025-12-29 12:00:00+00:00,entry,9978.961270732032,10235.242587666875,-2.503910530109499,2,0,2,0.5032280891647923,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2026-01-01 18:00:00+00:00,exit,9954.013867555203,10235.242587666875,-2.74765075378422,1,0,1,0.2538627460298669,1.0,2,1,1,,,,,1.0,1.0,,,,
ACT4_ATR3,2026-01-01 18:00:00+00:00,entry,9954.013867555203,10235.242587666875,-2.74765075378422,2,1,1,0.5038627460298669,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2026-01-02 12:00:00+00:00,entry,9954.013867555203,10235.242587666875,-2.74765075378422,3,2,1,0.7538627460298669,3.0,2,1,1,1.0,2.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2026-01-13 18:00:00+00:00,exit,10004.170350474793,10235.242587666875,-2.2576136834364458,2,1,1,0.5013366011992898,2.0,2,1,1,,1.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2026-01-13 18:00:00+00:00,entry,10004.170350474793,10235.242587666875,-2.2576136834364458,3,2,1,0.7513366011992898,3.0,2,1,1,1.0,2.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2026-01-15 12:00:00+00:00,exit,9979.159924598605,10235.242587666875,-2.5019696492278607,2,1,1,0.5025930839090624,2.0,2,1,1,,1.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2026-01-15 18:00:00+00:00,exit,9953.890391654237,10235.242587666875,-2.7488571336028533,1,1,0,0.2500031011970221,1.0,2,1,1,,1.0,1.0,,,,,,,
ACT4_ATR3,2026-01-16 06:00:00+00:00,entry,9953.890391654237,10235.242587666875,-2.7488571336028533,2,2,0,0.5000031011970222,2.0,2,1,1,1.0,2.0,1.0,,,,,,,
ACT4_ATR3,2026-01-18 18:00:00+00:00,entry,9953.890391654237,10235.242587666875,-2.7488571336028533,3,2,1,0.7500031011970222,3.0,2,1,1,1.0,2.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2026-01-19 00:00:00+00:00,exit,9929.0056656751,10235.242587666875,-2.991984990768854,2,1,1,0.5012562418015261,2.0,2,1,1,,1.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2026-01-19 00:00:00+00:00,entry,9929.0056656751,10235.242587666875,-2.991984990768854,3,1,2,0.751256241801526,3.0,2,1,1,1.0,2.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2026-01-21 00:00:00+00:00,exit,9904.120631006212,10235.242587666875,-3.2351158638844004,2,0,2,0.5018844377531912,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2026-01-31 12:00:00+00:00,exit,10023.42382786503,10235.242587666875,-2.0695040492452947,1,0,1,0.2476450621112257,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-01-31 12:00:00+00:00,entry,10023.42382786503,10235.242587666875,-2.0695040492452947,2,0,2,0.4976450621112257,2.0,2,1,1,1.0,1.0,,,1.0,,,,1.0,
ACT4_ATR3,2026-02-01 06:00:00+00:00,exit,9998.601313700843,10235.242587666875,-2.3120240867683646,1,0,1,0.25062064966352277,1.0,2,1,1,,,,,1.0,,,,1.0,
ACT4_ATR3,2026-02-01 06:00:00+00:00,exit,9973.54275413118,10235.242587666875,-2.5568503266452556,0,0,0,0.0,0.0,2,1,1,,,,,,,,,,
ACT4_ATR3,2026-02-01 12:00:00+00:00,entry,9973.54275413118,10235.242587666875,-2.5568503266452556,1,1,0,0.25,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-02-01 18:00:00+00:00,exit,9948.608897245853,10235.242587666875,-2.8004582008286354,0,0,0,0.0,0.0,2,1,1,,,,,,,,,,
ACT4_ATR3,2026-02-03 00:00:00+00:00,entry,9948.608897245853,10235.242587666875,-2.8004582008286354,1,1,0,0.25,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-02-05 00:00:00+00:00,entry,9948.608897245853,10235.242587666875,-2.8004582008286354,2,1,1,0.5,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2026-02-11 06:00:00+00:00,entry,9948.608897245853,10235.242587666875,-2.8004582008286354,3,1,2,0.75,3.0,2,1,1,1.0,2.0,1.0,,1.0,1.0,,,,
ACT4_ATR3,2026-02-14 00:00:00+00:00,exit,9923.737375002738,10235.242587666875,-3.0434570553265643,2,1,1,0.5012531328320803,2.0,2,1,1,1.0,1.0,,,1.0,1.0,,,,
ACT4_ATR3,2026-02-15 00:00:00+00:00,exit,9898.865852759624,10235.242587666875,-3.2864559098244928,1,1,0,0.25125628140703515,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-02-15 00:00:00+00:00,entry,9898.865852759624,10235.242587666875,-3.2864559098244928,2,2,0,0.5012562814070352,2.0,2,1,1,1.0,1.0,,,1.0,,,1.0,,
ACT4_ATR3,2026-02-15 12:00:00+00:00,exit,9874.118688127724,10235.242587666875,-3.528239770049932,1,1,0,0.2518859963980303,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-02-17 18:00:00+00:00,exit,9988.011466014803,10235.242587666875,-2.4154886367810886,0,0,0,0.0,0.0,2,1,1,,,,,,,,,,
ACT4_ATR3,2026-02-17 18:00:00+00:00,entry,9988.011466014803,10235.242587666875,-2.4154886367810886,1,0,1,0.25,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-02-18 18:00:00+00:00,entry,9988.011466014803,10235.242587666875,-2.4154886367810886,2,0,2,0.5,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-02-20 06:00:00+00:00,exit,9963.041437349766,10235.242587666875,-2.659449915189134,1,0,1,0.2506265664160401,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-02-22 12:00:00+00:00,entry,9963.041437349766,10235.242587666875,-2.659449915189134,2,0,2,0.5006265664160401,2.0,2,1,1,1.0,1.0,,,1.0,,,1.0,,
ACT4_ATR3,2026-02-25 12:00:00+00:00,exit,9938.133833756392,10235.242587666875,-2.902801290401157,1,0,1,0.251254703173975,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-02-25 18:00:00+00:00,entry,9938.133833756392,10235.242587666875,-2.902801290401157,2,0,2,0.501254703173975,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-02 12:00:00+00:00,entry,9938.133833756392,10235.242587666875,-2.902801290401157,3,1,2,0.7512547031739751,3.0,2,1,1,1.0,2.0,1.0,,1.0,,1.0,,,
ACT4_ATR3,2026-03-08 00:00:00+00:00,exit,9913.288499172,10235.242587666875,-3.145544287175163,2,0,2,0.502510980625539,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-13 00:00:00+00:00,entry,9913.288499172,10235.242587666875,-3.145544287175163,3,1,2,0.7525109806255389,3.0,2,1,1,1.0,2.0,1.0,,1.0,,1.0,,,
ACT4_ATR3,2026-03-17 00:00:00+00:00,exit,9888.318470506963,10235.242587666875,-3.3895055655832076,2,1,1,0.5018907509941534,2.0,2,1,1,,1.0,1.0,,1.0,,1.0,,,
ACT4_ATR3,2026-03-17 06:00:00+00:00,entry,9888.318470506963,10235.242587666875,-3.3895055655832076,3,2,1,0.7518907509941535,3.0,2,1,1,1.0,2.0,1.0,,1.0,,1.0,,,
ACT4_ATR3,2026-03-18 00:00:00+00:00,exit,10046.86613320137,10235.242587666875,-1.8404688785050534,2,1,1,0.49397050955338206,2.0,2,1,1,,1.0,1.0,,1.0,,1.0,,,
ACT4_ATR3,2026-03-18 06:00:00+00:00,entry,10046.86613320137,10235.242587666875,-1.8404688785050534,3,1,2,0.7439705095533821,3.0,2,1,1,1.0,2.0,1.0,,1.0,,1.0,,,
ACT4_ATR3,2026-03-19 12:00:00+00:00,exit,10022.082911953441,10235.242587666875,-2.082605017787113,2,0,2,0.4985241127650583,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-20 12:00:00+00:00,exit,9996.965746620437,10235.242587666875,-2.3280038455908545,1,0,1,0.24852875576561984,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-20 12:00:00+00:00,entry,9996.965746620437,10235.242587666875,-2.3280038455908545,2,0,2,0.4985287557656198,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-23 06:00:00+00:00,exit,9971.973332253887,10235.242587666875,-2.57218383597687,1,0,1,0.24915163485275169,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-26 06:00:00+00:00,entry,9971.973332253887,10235.242587666875,-2.57218383597687,2,0,2,0.49915163485275166,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-27 06:00:00+00:00,exit,9947.043398923252,10235.242587666875,-2.8157533763869336,1,0,1,0.24977607504035257,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-27 06:00:00+00:00,entry,9947.043398923252,10235.242587666875,-2.8157533763869336,2,0,2,0.4997760750403526,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-29 00:00:00+00:00,exit,9922.175790425943,10235.242587666875,-3.0587139929459704,1,0,1,0.250402080240955,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-03-29 12:00:00+00:00,entry,9922.175790425943,10235.242587666875,-3.0587139929459704,2,0,2,0.500402080240955,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-01 12:00:00+00:00,exit,9897.370350949877,10235.242587666875,-3.3010672079636127,1,0,1,0.2510296543768972,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-01 18:00:00+00:00,entry,9897.370350949877,10235.242587666875,-3.3010672079636127,2,1,1,0.5010296543768973,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-02 00:00:00+00:00,exit,9872.626925072502,10235.242587666875,-3.5428145399437123,1,0,1,0.25165880138034813,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-02 00:00:00+00:00,entry,9872.626925072502,10235.242587666875,-3.5428145399437123,2,0,2,0.5016588013803481,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-17 12:00:00+00:00,entry,9872.626925072502,10235.242587666875,-3.5428145399437123,3,1,2,0.7516588013803481,3.0,2,1,1,1.0,2.0,1.0,,1.0,,1.0,,,
ACT4_ATR3,2026-04-19 00:00:00+00:00,exit,9847.94535775982,10235.242587666875,-3.7839575035938613,2,0,2,0.5029160916093716,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-26 12:00:00+00:00,exit,9823.263790447138,10235.242587666875,-4.025100467244011,1,0,1,0.2529234184727117,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-26 12:00:00+00:00,entry,9823.263790447138,10235.242587666875,-4.025100467244011,2,1,1,0.5029234184727117,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-27 00:00:00+00:00,exit,9798.70563097102,10235.242587666875,-4.265037716075892,1,0,1,0.25355731175209195,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-27 06:00:00+00:00,entry,9798.70563097102,10235.242587666875,-4.265037716075892,2,0,2,0.503557311752092,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-27 12:00:00+00:00,exit,9774.208866893592,10235.242587666875,-4.504375121785712,1,0,1,0.25419279373643305,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-27 18:00:00+00:00,entry,9774.208866893592,10235.242587666875,-4.504375121785712,2,1,1,0.5041927937364331,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-28 06:00:00+00:00,exit,9749.773344726358,10235.242587666875,-4.743114183981247,1,0,1,0.2548298684074517,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-28 18:00:00+00:00,entry,9749.773344726358,10235.242587666875,-4.743114183981247,2,1,1,0.5048298684074516,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-29 18:00:00+00:00,exit,9725.398911364542,10235.242587666875,-4.981256398521296,1,0,1,0.2554685397568438,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-29 18:00:00+00:00,entry,9725.398911364542,10235.242587666875,-4.981256398521296,2,1,1,0.5054685397568438,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-04-30 00:00:00+00:00,exit,9701.08541408613,10235.242587666875,-5.218803257524997,1,0,1,0.2561088117863096,1.0,2,1,1,,,,,1.0,,1.0,,,
ACT4_ATR3,2026-05-02 18:00:00+00:00,entry,9701.08541408613,10235.242587666875,-5.218803257524997,2,1,1,0.5061088117863096,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-05-06 06:00:00+00:00,entry,9701.08541408613,10235.242587666875,-5.218803257524997,3,2,1,0.7561088117863096,3.0,2,1,1,1.0,2.0,1.0,,1.0,,1.0,,,
ACT4_ATR3,2026-05-07 18:00:00+00:00,exit,9676.832700550915,10235.242587666875,-5.455756249381189,2,1,1,0.5073772549236186,2.0,2,1,1,1.0,1.0,,,1.0,,1.0,,,
ACT4_ATR3,2026-05-11 06:00:00+00:00,exit,9651.987365966523,10235.242587666875,-5.698499246155193,1,1,0,0.2512717082570148,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-05-11 18:00:00+00:00,entry,9651.987365966523,10235.242587666875,-5.698499246155193,2,2,0,0.5012717082570147,2.0,2,1,1,1.0,2.0,1.0,,,,,,,
ACT4_ATR3,2026-05-12 12:00:00+00:00,exit,9627.857397551606,10235.242587666875,-5.934252998039804,1,1,0,0.25190146191179424,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-05-13 00:00:00+00:00,entry,9627.857397551606,10235.242587666875,-5.934252998039804,2,2,0,0.5019014619117942,2.0,2,1,1,1.0,2.0,1.0,,,,,,,
ACT4_ATR3,2026-05-16 06:00:00+00:00,exit,9603.60468401639,10235.242587666875,-6.171205989895996,1,1,0,0.2506313440195946,1.0,2,1,1,,1.0,1.0,,,,,,,
ACT4_ATR3,2026-05-16 06:00:00+00:00,exit,9579.535040522513,10235.242587666875,-6.406370357400888,0,0,0,0.0,0.0,2,1,1,,,,,,,,,,
ACT4_ATR3,2026-05-18 18:00:00+00:00,entry,9579.535040522513,10235.242587666875,-6.406370357400888,1,0,1,0.25,1.0,2,1,1,1.0,1.0,,,,,,,,
ACT4_ATR3,2026-05-19 00:00:00+00:00,exit,9555.586202921206,10235.242587666875,-6.640354431507392,0,0,0,0.0,0.0,2,1,1,,,,,,,,,,
ACT4_ATR3,2025-09-27 18:00:00+00:00,entry,10000.0,10000.0,0.0,1,1,0,0.25,1.0,2,1,2,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-09-29 18:00:00+00:00,entry,10000.0,10000.0,0.0,2,2,0,0.5,2.0,2,1,2,1.0,2.0,1.0,,,,,,,
ACT4_ATR3,2025-09-30 12:00:00+00:00,exit,10077.15459262106,10077.15459262106,0.0,1,1,0,0.2480859033194361,1.0,2,1,2,,1.0,1.0,,,,,,,
ACT4_ATR3,2025-09-30 12:00:00+00:00,exit,10052.15459262106,10077.15459262106,-0.2480859033194361,0,0,0,0.0,0.0,2,1,2,,,,,,,,,,
ACT4_ATR3,2025-09-30 12:00:00+00:00,entry,10052.15459262106,10077.15459262106,-0.2480859033194361,1,0,1,0.25,1.0,2,1,2,1.0,1.0,,,,,,,,
ACT4_ATR3,2025-09-30 12:00:00+00:00,entry,10052.15459262106,10077.15459262106,-0.2480859033194361,2,0,2,0.5,2.0,2,1,2,1.0,1.0,,1.0,1.0,,,,,
ACT4_ATR3,2025-10-01 00:00:00+00:00,exit,10027.024206139507,10077.15459262106,-0.49746568856113804,1,0,1,0.25062656641604014,1.0,2,1,2,,,,1.0,1.0,,,,,
ACT4_ATR3,2025-10-01 00:00:00+00:00,entry,10027.024206139507,10077.15459262106,-0.49746568856113804,2,0,2,0.5006265664160401,2.0,2,1,2,1.0,1.0,,1.0,1.0,,,,,
