variant,trade_id,symbol,side,cluster,beta_bucket,entry_time,entry_price,initial_stop,final_stop,net_r,risk_amount,max_same_side,max_per_cluster,max_beta_cluster,equity_before_entry,heat_before_entry_pct,exit_time,pnl_usdt,equity_after_exit,drawdown_pct,open_after_exit
ACT4_ATR3,1402,DOGE/USDT,SHORT,MEME,HIGH_CRYPTO_BETA,2026-02-22 12:00:00+00:00,0.09496,0.0991685714285714,0.0991685714285714,-1.0,25.911848599917708,5,2,3,10364.739439967083,1.0040935296332865,2026-02-25 12:00:00+00:00,-25.911848599917708,10286.773970059878,-1.8756766168134338,3
ACT4_ATR3,9122,ATOM/USDT,SHORT,L1_L2,HIGH_CRYPTO_BETA,2026-02-24 18:00:00+00:00,1.992,2.104857142857143,2.104857142857143,-1.0,25.846818295086,5,2,3,10338.7273180344,1.0056499368730896,2026-02-25 12:00:00+00:00,-25.846818295086,10260.927151764792,-2.1222263674150477,2
ACT4_ATR3,3727,1000SATS/USDT,SHORT,MEME,HIGH_CRYPTO_BETA,2026-02-28 06:00:00+00:00,1.01e-05,1.107e-05,1.107e-05,-1.0,25.65231787941198,5,2,3,10260.927151764792,0.7569527928947803,2026-02-28 18:00:00+00:00,-25.65231787941198,10235.27483388538,-2.366920801496513,4
ACT4_ATR3,2826,SUI/USDT,SHORT,L1_L2,HIGH_CRYPTO_BETA,2026-02-28 06:00:00+00:00,0.8327,0.9152142857142858,0.9152142857142858,-1.0,25.65231787941198,5,2,3,10260.927151764792,1.0069527928947803,2026-02-28 18:00:00+00:00,-25.65231787941198,10209.622516005968,-2.6116152355779785,3
ACT4_ATR3,574,BNB/USDT,LONG,EXCHANGE,OTHER_BETA,2026-03-02 12:00:00+00:00,644.44,615.1728571428572,615.1728571428572,-1.0,25.52405629001492,5,2,3,10209.622516005968,0.7607565757736486,2026-03-08 00:00:00+00:00,-25.52405629001492,10184.098459715953,-2.8550861974890287,4
ACT4_ATR3,2587,NEAR/USDT,LONG,L1_L2,HIGH_CRYPTO_BETA,2026-03-02 12:00:00+00:00,1.314,1.197,1.197,-1.0,25.52405629001492,5,2,3,10209.622516005968,1.0107565757736485,2026-03-08 06:00:00+00:00,-25.52405629001492,10158.574403425939,-3.098557159400079,4
ACT4_ATR3,2445,UNI/USDT,SHORT,DEFI,HIGH_CRYPTO_BETA,2026-03-08 12:00:00+00:00,3.672,3.8525714285714288,3.8525714285714288,-1.0,25.396436008564848,5,2,3,10158.574403425939,1.0152076138428627,2026-03-09 06:00:00+00:00,-25.396436008564848,10133.177967417374,-3.3408107665015776,4
ACT4_ATR3,3728,1000SATS/USDT,SHORT,MEME,HIGH_CRYPTO_BETA,2026-03-08 00:00:00+00:00,1.05e-05,1.1181428571428571e-05,1.1181428571428571e-05,-1.0,25.460246149289883,5,2,3,10184.098459715953,1.0132898002743342,2026-03-09 18:00:00+00:00,-25.460246149289883,10107.717721268084,-3.5836730510078603,3
ACT4_ATR3,7062,ANIME/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-02-17 18:00:00+00:00,0.00538,0.00575,0.00575,-1.0,26.106208172852735,5,2,3,10442.483269141094,0.7442142805413369,2026-03-17 00:00:00+00:00,-26.106208172852735,10081.611513095231,-3.8326970910536087,4
ACT4_ATR3,7215,ANKR/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-03-17 06:00:00+00:00,0.00464,0.00445,0.0058585714285714,6.413533834586462,25.204028782738078,5,2,3,10081.611513095231,1.0127622449352125,2026-03-18 00:00:00+00:00,161.6468913659817,10243.258404461212,-2.2907664635849834,4
