symbol,side,timeframe,filter_mode,keltner_n,keltner_mult,stop_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,net_r,exit_reason
AR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:41.347200+00:00,1970-01-01 00:28:41.865600+00:00,34.005,28.953300000000002,28.953300000000002,5.0517,-1.0,stop
AR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:52.924800+00:00,1970-01-01 00:28:53.702400+00:00,25.67,20.870000000000005,20.870000000000005,4.799999999999999,-0.9999999999999997,stop
AR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:22.473600+00:00,1970-01-01 00:29:22.560000+00:00,7.91,6.626,6.626,1.284,-0.9999999999999998,stop
ARB/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:52.147200+00:00,1970-01-01 00:28:53.702400+00:00,0.7785,0.9598,0.64405,0.13445000000000001,1.348456675343994,midline_exit
ARB/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:12.969600+00:00,1970-01-01 00:29:13.228800+00:00,0.4832,0.41738,0.41738,0.06582000000000002,-1.0000000000000004,stop
ARB/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:15.043200+00:00,1970-01-01 00:29:15.129600+00:00,0.5712,0.49827000000000005,0.49827000000000005,0.07293000000000001,-0.9999999999999998,stop
ARB/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:15.907200+00:00,1970-01-01 00:29:16.252800+00:00,0.6131,0.50934,0.50934,0.10375999999999999,-0.9999999999999998,stop
ARDR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:46.876800+00:00,1970-01-01 00:28:46.963200+00:00,0.108,0.094818,0.094818,0.013182000000000003,-0.9999999999999998,stop
ARDR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:51.283200+00:00,1970-01-01 00:28:53.702400+00:00,0.10463,0.10856,0.087996,0.016634,0.2362630756282315,midline_exit
ARDR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:04.675200+00:00,1970-01-01 00:29:05.366400+00:00,0.10223,0.081029,0.081029,0.021201,-0.9999999999999999,stop
ARDR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:12.278400+00:00,1970-01-01 00:29:13.920000+00:00,0.09156,0.09595,0.080737,0.010823,0.4056176660814923,midline_exit
ARK/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:49.036800+00:00,1970-01-01 00:28:49.814400+00:00,0.6258,0.49827,0.49827,0.12753,-1.0000000000000002,stop
ARK/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:04.416000+00:00,1970-01-01 00:29:04.588800+00:00,0.4847,0.3889,0.3889,0.0958,-1.0,stop
ARK/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:12.278400+00:00,1970-01-01 00:29:13.747200+00:00,0.4951,0.4536,0.40896999999999994,0.08613000000000001,-0.48182979217461946,midline_exit
