timeframe,filter_mode,keltner_n,keltner_mult,stop_mult,symbols,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct
1d,ema50_slope,20,1.5,2.0,63,719,-30.399029744239144,-0.04227959630631314,-0.5795918367346942,0.9195401272747009,-113.65575334854817,25.17385257301808
1d,ema200_price,20,1.5,3.0,63,347,42.446859664654504,0.1223252439903588,-0.3576696165191735,1.320530769908229,-24.874641101525107,28.530259365994237
1d,ema50_slope,20,1.5,3.0,63,698,-14.41371599596648,-0.020650022916857424,-0.369853007775354,0.9425043264112478,-72.7978329052324,25.787965616045845
1d,ema200_price,20,2.0,2.0,63,303,35.47344520012314,0.11707407656806317,-0.8326787117046348,1.190534777012412,-38.946156187865846,25.412541254125415
1d,ema50_slope,20,2.0,2.0,63,537,-44.02770720658356,-0.08198828157650569,-0.8013355592654423,0.8662902386462884,-103.89878835494302,23.463687150837988
1d,ema200_price,20,2.0,3.0,63,280,30.100921422670808,0.10750329079525289,-0.45693556170580807,1.2477937505137187,-24.345656314548968,27.500000000000004
1d,ema50_slope,20,2.0,3.0,63,514,-31.04277180807908,-0.060394497681087705,-0.47858900737864063,0.8622426512614468,-74.3621403252853,24.5136186770428
1d,ema200_price,20,2.5,2.0,63,246,25.116307580897466,0.10209881130446125,-0.9999999999999996,1.1531084406568437,-43.48619708670856,26.422764227642276
1d,ema50_slope,20,2.5,2.0,63,408,-54.44311059051279,-0.13343899654537447,-0.9999999999999996,0.8049507121442785,-112.25456627279875,22.058823529411764
1d,ema200_price,20,2.5,3.0,63,231,18.786003388262234,0.0813246899924772,-0.5215109752633932,1.1667332580818297,-28.260353306744086,29.004329004329005
1d,ema50_slope,20,2.5,3.0,63,389,-39.4585315294527,-0.10143581370039255,-0.5752961082910318,0.8000189847837925,-75.36541151667011,23.90745501285347
1d,ema200_price,20,3.0,2.0,63,188,31.402963560084622,0.16703704021321608,-0.9999999999999996,1.2471257451300737,-38.83141167408536,24.46808510638298
1d,ema50_slope,20,3.0,2.0,63,295,-36.4920623419109,-0.12370190624376577,-0.9999999999999997,0.827658171624219,-84.55332959832073,19.661016949152543
1d,ema200_price,20,3.0,3.0,63,173,28.64070024508304,0.16555318060741642,-0.4970884817497511,1.338237661173018,-24.429767191080614,28.32369942196532
1d,ema50_slope,20,3.0,3.0,63,275,-18.187242137072005,-0.0661354259529891,-0.6241699867197873,0.8759267096840937,-55.17977513894746,22.545454545454547
1d,ema200_price,25,1.5,2.0,63,353,57.09586583442742,0.16174466242047428,-0.6465094216173779,1.2859224844837769,-38.688510909831734,27.19546742209632
1d,ema50_slope,25,1.5,2.0,63,681,-38.06509335997949,-0.05589587864901541,-0.6250000000000004,0.899119543469306,-122.26626024874291,23.641703377386197
1d,ema200_price,25,1.5,3.0,63,332,39.21146809306998,0.11810683160563247,-0.3912524106179346,1.2899954000502722,-27.239947971447574,29.21686746987952
1d,ema50_slope,25,1.5,3.0,63,659,-23.996323016332006,-0.03641323674708954,-0.40519877675841026,0.9053236591676258,-79.76861075508339,24.430955993930198
1d,ema200_price,25,2.0,2.0,63,301,38.043112697565356,0.126389078729453,-0.9085513162279227,1.2019557863430164,-43.92575616410248,25.249169435215947
1d,ema50_slope,25,2.0,2.0,63,523,-50.01562779851022,-0.09563217552296409,-0.8961849323673521,0.8503293587492384,-121.2783104435112,22.179732313575524
1d,ema200_price,25,2.0,3.0,63,278,27.708539396424385,0.0996710050231093,-0.4854201792248438,1.218689489787533,-28.435110737865266,28.41726618705036
1d,ema50_slope,25,2.0,3.0,63,501,-40.354828360518866,-0.08054855960183406,-0.5162460827972952,0.827411876320713,-84.16216668497866,23.55289421157685
1d,ema200_price,25,2.5,2.0,63,257,17.79187833652881,0.06922909858571522,-0.9999999999999996,1.1011642730378264,-54.371334982163155,23.346303501945524
1d,ema50_slope,25,2.5,2.0,63,413,-67.12643982709767,-0.16253375260798467,-0.9999999999999997,0.7705867532595908,-123.6829702399792,19.612590799031477
1d,ema200_price,25,2.5,3.0,63,231,17.907269897872087,0.07752064890853717,-0.5388697412331092,1.1523370397042494,-30.04170863842249,27.705627705627705
1d,ema50_slope,25,2.5,3.0,63,383,-46.930986273528546,-0.1225352122024244,-0.6057442905042069,0.772986115835023,-80.87268202915247,22.193211488250654
1d,ema200_price,25,3.0,2.0,63,203,25.113381408892792,0.12371123846745218,-0.9999999999999997,1.1751767081856501,-42.94796900553882,23.15270935960591
1d,ema50_slope,25,3.0,2.0,63,301,-39.80998237933544,-0.13225907767221076,-0.9999999999999998,0.8224972486565371,-88.3896820459465,18.93687707641196
1d,ema200_price,25,3.0,3.0,63,188,18.225480552641677,0.09694404549277488,-0.5907477681916338,1.1791479711910087,-28.665746003821504,27.659574468085108
1d,ema50_slope,25,3.0,3.0,63,282,-32.352778238805726,-0.1147261639673962,-0.7131078401245698,0.8059895140225571,-64.9492650955762,21.631205673758867
1d,ema200_price,30,1.5,2.0,63,354,43.46974133122635,0.1227958794667411,-0.7218898513326892,1.2060755367825196,-48.20925888428418,25.98870056497175
1d,ema50_slope,30,1.5,2.0,63,640,-46.78837712886249,-0.07310683926384764,-0.6723361394907059,0.8724206790308671,-127.60610847853228,22.8125
1d,ema200_price,30,1.5,3.0,63,329,30.46116953257107,0.09258714143638623,-0.4343138764823657,1.2132603111349272,-34.679428091551955,27.96352583586626
1d,ema50_slope,30,1.5,3.0,63,615,-29.877269621138325,-0.048580926213233046,-0.4131437355880091,0.8787027589960643,-85.43373700052832,23.739837398373982
1d,ema200_price,30,2.0,2.0,63,303,32.38362755329068,0.10687665859171841,-0.9999999999999993,1.1640140607861549,-46.91945684316411,24.752475247524753
1d,ema50_slope,30,2.0,2.0,63,511,-59.86674381072051,-0.11715605442411058,-0.9149698038586929,0.8212227313805907,-132.11220031927894,21.135029354207436
1d,ema200_price,30,2.0,3.0,63,277,26.34239465325404,0.09509889766517704,-0.5253874259795893,1.1997958745178188,-32.79508041490315,27.436823104693143
1d,ema50_slope,30,2.0,3.0,63,483,-42.74742498330762,-0.08850398547268658,-0.5327451645741434,0.8146964471121348,-89.75477490889459,22.36024844720497
1d,ema200_price,30,2.5,2.0,63,250,30.885032135722696,0.12354012854289079,-0.9999999999999997,1.1809148785501973,-45.2547887178035,24.0
1d,ema50_slope,30,2.5,2.0,63,395,-56.88790370179119,-0.14402000937162326,-0.9999999999999997,0.8009448680480236,-118.48876131097336,18.734177215189874
1d,ema200_price,30,2.5,3.0,63,224,19.46359696616586,0.08689105788466901,-0.5702908138569341,1.163611576544241,-33.29144238615094,27.67857142857143
1d,ema50_slope,30,2.5,3.0,63,364,-49.06791656361731,-0.13480196858136623,-0.6611576358249724,0.7627845324969248,-86.50235440981534,20.87912087912088
1d,ema200_price,30,3.0,2.0,63,220,10.360768179897818,0.047094400817717354,-0.9999999999999997,1.0648955617537117,-51.72073073165976,20.909090909090907
1d,ema50_slope,30,3.0,2.0,63,323,-67.68333775066532,-0.20954593730856136,-0.9999999999999998,0.7303339950092319,-108.38942629514554,15.789473684210526
1d,ema200_price,30,3.0,3.0,63,197,6.082260824343743,0.030874420428140828,-0.6948504609849333,1.053807249074517,-38.733603519685374,25.380710659898476
1d,ema50_slope,30,3.0,3.0,63,295,-56.649699707830734,-0.1920328803655279,-0.7985643786451321,0.6972136949105746,-84.91908841734637,18.983050847457626
1d,ema200_price,40,1.5,2.0,63,357,28.52756607739491,0.07990914867617621,-0.857991303425602,1.1236874775663679,-55.11315133951907,21.84873949579832
1d,ema50_slope,40,1.5,2.0,63,592,-61.243450884583226,-0.10345177514287707,-0.7742335940393851,0.8371098179991487,-139.26651183663483,19.256756756756758
1d,ema200_price,40,1.5,3.0,63,324,23.38309979708778,0.07217006110212278,-0.489555023633522,1.1528521669428133,-35.50336714819279,24.382716049382715
1d,ema50_slope,40,1.5,3.0,63,564,-44.9041904386841,-0.07961735893383705,-0.49100041081174783,0.8254944823495679,-95.67220134666495,20.212765957446805
1d,ema200_price,40,2.0,2.0,63,308,26.676419706671382,0.0866117522943876,-0.9999999999999996,1.125446629472333,-54.14038003469737,21.1038961038961
1d,ema50_slope,40,2.0,2.0,63,482,-59.36598977899312,-0.12316595389832596,-0.9999999999999996,0.8247925685217867,-139.36960883346165,17.634854771784234
1d,ema200_price,40,2.0,3.0,63,279,20.382574786281996,0.0730558236067455,-0.5478844340930507,1.1416898146015653,-35.47481573720418,23.655913978494624
1d,ema50_slope,40,2.0,3.0,63,448,-46.30838838686848,-0.10336693836354571,-0.586654370753886,0.8048626406158302,-97.18148831764421,18.973214285714285
1d,ema200_price,40,2.5,2.0,63,268,21.795039404756665,0.08132477389834576,-0.9999999999999997,1.1124976855142596,-56.77007227917007,19.776119402985074
1d,ema50_slope,40,2.5,2.0,63,401,-65.56372324925226,-0.1635005567313024,-0.9999999999999997,0.7839580511397041,-131.75302859108967,15.211970074812967
1d,ema200_price,40,2.5,3.0,63,242,7.918342510710019,0.032720423597975286,-0.6816448549572481,1.056212502148826,-42.060655103094355,22.727272727272727
1d,ema50_slope,40,2.5,3.0,63,368,-63.18366457741767,-0.17169474069950455,-0.7074483978803019,0.7222206412289108,-102.61550423979004,17.391304347826086
1d,ema200_price,40,3.0,2.0,63,225,33.03985375617201,0.1468437944718756,-0.9999999999999998,1.1952817216193055,-52.97221631581738,18.666666666666668
1d,ema50_slope,40,3.0,2.0,63,318,-33.18954826513189,-0.10436964863249022,-0.9999999999999998,0.8690898952229386,-107.11810430965997,14.779874213836477
1d,ema200_price,40,3.0,3.0,63,202,16.994547338441503,0.08413142246753219,-0.7699757959548884,1.135817202567397,-37.74313446127968,21.782178217821784
1d,ema50_slope,40,3.0,3.0,63,288,-39.96522651708304,-0.13876814762876055,-0.8671232313583876,0.7952199871376516,-85.62766556708756,17.36111111111111
1d,ema200_price,55,1.5,2.0,63,353,12.671108415282362,0.03589549126142312,-0.9999999999999991,1.0524706170594946,-66.20391045494333,19.54674220963173
1d,ema50_slope,55,1.5,2.0,63,530,-79.21204008287674,-0.14945667940165422,-0.8855672851349482,0.7844885035119247,-152.15374620817167,15.283018867924527
1d,ema200_price,55,1.5,3.0,63,322,7.364871061123992,0.022872270376161467,-0.5329294019107276,1.044676402055852,-46.67357584128966,21.73913043478261
1d,ema50_slope,55,1.5,3.0,63,502,-59.16226516186235,-0.11785311785231543,-0.5361667511602142,0.7669594110143019,-107.94865535551097,16.334661354581673
1d,ema200_price,55,2.0,2.0,63,309,8.84665360484859,0.028629946941257575,-0.9999999999999997,1.0391035466743777,-71.14381104244522,20.388349514563107
1d,ema50_slope,55,2.0,2.0,63,439,-71.85978822869207,-0.16368972261661063,-0.9999999999999998,0.7832238285155901,-145.37918597547403,16.40091116173121
1d,ema200_price,55,2.0,3.0,63,275,5.4227590228536755,0.01971912371946791,-0.6202928470390332,1.0347916100685266,-46.90331897439007,23.636363636363637
1d,ema50_slope,55,2.0,3.0,63,399,-54.43538447620983,-0.13642953502809482,-0.6461748633879779,0.7662625067225566,-102.57038571545489,18.546365914786968
1d,ema200_price,55,2.5,2.0,63,267,13.705081493698657,0.05132989323482643,-0.9999999999999997,1.0680892920975331,-61.688979059899616,19.101123595505616
1d,ema50_slope,55,2.5,2.0,63,364,-52.099325890212306,-0.14313001618190194,-0.9999999999999998,0.8188186341832087,-120.73671185786252,15.659340659340659
1d,ema200_price,55,2.5,3.0,63,239,-2.5161905065987398,-0.010527993751459162,-0.7780588345512455,0.9832768605351406,-51.22725367566851,21.75732217573222
1d,ema50_slope,55,2.5,3.0,63,323,-51.95809233249354,-0.16086096697366423,-0.830763363841358,0.7573380635641137,-95.55861634061733,17.956656346749224
1d,ema200_price,55,3.0,2.0,63,238,12.462686040764325,0.05236422706203498,-0.9999999999999997,1.0682233467455298,-60.38591185998794,19.327731092436977
1d,ema50_slope,55,3.0,2.0,63,304,-37.56536261881609,-0.12357027177242134,-0.9999999999999998,0.8463866087737164,-103.17311071867496,16.11842105263158
1d,ema200_price,55,3.0,3.0,63,205,1.688043577788072,0.008234358916039375,-0.9999999999999997,1.0123627227565068,-49.58409598970518,22.439024390243905
1d,ema50_slope,55,3.0,3.0,63,264,-40.79575767099553,-0.1545293851174073,-0.9999999999999997,0.7823611828176662,-84.81508552243959,18.560606060606062
