rsi_n,overbought,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
7,80,25,3.0,none,1062,0.3578,-0.2516,0.5791,271.92,-267.23
7,85,10,2.0,none,675,0.3704,-0.2353,0.5989,163.53,-158.83
7,85,10,3.0,none,626,0.4105,-0.2325,0.5217,148.85,-145.56
7,85,15,2.0,none,674,0.3279,-0.2628,0.5926,181.72,-177.12
7,85,15,3.0,none,621,0.3913,-0.2451,0.5426,155.85,-152.2
7,85,20,2.0,none,673,0.2838,-0.3094,0.5539,213.67,-208.2
7,85,20,3.0,none,619,0.3473,-0.2846,0.5176,181.18,-176.17
7,85,25,2.0,none,663,0.2534,-0.3434,0.5312,232.32,-227.64
7,85,25,3.0,none,606,0.3168,-0.3294,0.4847,203.73,-199.59
10,70,10,2.0,none,1900,0.4153,-0.154,0.7066,296.67,-292.67
10,70,10,3.0,none,1670,0.4659,-0.1236,0.6936,213.02,-206.34
10,70,15,2.0,none,1835,0.3831,-0.1498,0.7419,277.56,-274.8
10,70,15,3.0,none,1586,0.4615,-0.1318,0.715,214.6,-209.06
10,70,20,2.0,none,1795,0.351,-0.1713,0.7252,310.5,-307.51
10,70,20,3.0,none,1527,0.4289,-0.1641,0.6805,257.41,-250.65
10,70,25,2.0,none,1744,0.3165,-0.2165,0.6754,379.65,-377.64
10,70,25,3.0,none,1465,0.3863,-0.2108,0.6262,314.84,-308.8
10,75,10,2.0,none,1242,0.3994,-0.1799,0.6692,227.29,-223.4
10,75,10,3.0,none,1097,0.4512,-0.1614,0.6248,182.9,-177.06
10,75,15,2.0,none,1225,0.3616,-0.1898,0.6833,234.98,-232.49
10,75,15,3.0,none,1058,0.4216,-0.1871,0.6242,202.98,-197.91
10,75,20,2.0,none,1206,0.3275,-0.2161,0.6646,263.61,-260.62
10,75,20,3.0,none,1042,0.3935,-0.2067,0.6207,224.95,-215.41
10,75,25,2.0,none,1173,0.2873,-0.2781,0.6016,327.62,-326.17
10,75,25,3.0,none,1005,0.3572,-0.2615,0.5607,268.49,-262.8
10,80,10,2.0,none,679,0.3697,-0.2487,0.5746,171.46,-168.85
10,80,10,3.0,none,623,0.4093,-0.2508,0.4921,158.07,-156.24
10,80,15,2.0,none,676,0.3225,-0.2763,0.5681,189.29,-186.76
10,80,15,3.0,none,616,0.375,-0.2748,0.4923,170.67,-169.3
10,80,20,2.0,none,675,0.2919,-0.3166,0.5354,217.3,-213.69
10,80,20,3.0,none,615,0.3512,-0.3018,0.4845,188.5,-185.63
10,80,25,2.0,none,667,0.2639,-0.3514,0.514,238.56,-234.36
10,80,25,3.0,none,604,0.3195,-0.3457,0.4552,211.78,-208.83
10,85,10,2.0,none,328,0.3323,-0.2744,0.5526,90.02,-90.01
10,85,10,3.0,none,300,0.3867,-0.2556,0.4956,78.22,-76.68
10,85,15,2.0,none,327,0.3119,-0.3183,0.5204,104.42,-104.09
10,85,15,3.0,none,299,0.3846,-0.2857,0.4839,87.74,-85.42
10,85,20,2.0,none,326,0.2669,-0.3932,0.4468,127.77,-128.18
10,85,20,3.0,none,298,0.3255,-0.3583,0.4204,109.58,-106.78
10,85,25,2.0,none,320,0.2219,-0.4688,0.3814,150.56,-150.0
10,85,25,3.0,none,291,0.2921,-0.4206,0.3718,125.1,-122.4
14,70,10,2.0,none,1293,0.3983,-0.2011,0.6268,261.96,-259.97
14,70,10,3.0,none,1141,0.4479,-0.1791,0.5808,206.34,-204.33
14,70,15,2.0,none,1258,0.3712,-0.2101,0.6453,266.42,-264.34
14,70,15,3.0,none,1084,0.429,-0.2007,0.5891,219.41,-217.58
14,70,20,2.0,none,1234,0.3274,-0.2374,0.6277,296.4,-292.94
14,70,20,3.0,none,1058,0.4008,-0.2241,0.5814,240.71,-237.05
14,70,25,2.0,none,1201,0.2956,-0.2882,0.5801,349.96,-346.07
14,70,25,3.0,none,1015,0.3586,-0.2819,0.5222,288.62,-286.17
14,75,10,2.0,none,728,0.3791,-0.2501,0.5615,183.03,-182.1
14,75,10,3.0,none,658,0.4149,-0.2392,0.4933,159.75,-157.38
14,75,15,2.0,none,716,0.3324,-0.276,0.5587,199.5,-197.61
14,75,15,3.0,none,634,0.3754,-0.2756,0.4782,177.66,-174.72
14,75,20,2.0,none,711,0.3052,-0.3073,0.5393,222.08,-218.51
14,75,20,3.0,none,630,0.3635,-0.3,0.4772,193.3,-189.02
14,75,25,2.0,none,700,0.2729,-0.3538,0.5016,250.6,-247.66
14,75,25,3.0,none,616,0.3247,-0.3586,0.4296,223.48,-220.9
14,80,10,2.0,none,372,0.3656,-0.2426,0.5872,90.82,-90.25
14,80,10,3.0,none,342,0.4327,-0.2091,0.5514,73.06,-71.51
14,80,15,2.0,none,370,0.3351,-0.283,0.5561,105.12,-104.71
14,80,15,3.0,none,336,0.4167,-0.2335,0.5483,81.08,-78.44
14,80,20,2.0,none,368,0.2908,-0.3486,0.4882,127.29,-128.29
14,80,20,3.0,none,335,0.3582,-0.3012,0.4763,103.18,-100.91
14,80,25,2.0,none,363,0.2617,-0.4071,0.4418,147.32,-147.76
14,80,25,3.0,none,328,0.3293,-0.3605,0.4316,119.0,-118.25
14,85,10,2.0,none,162,0.321,-0.3034,0.5249,50.01,-49.16
14,85,10,3.0,none,151,0.3907,-0.2487,0.4994,38.86,-37.56
14,85,15,2.0,none,162,0.2901,-0.3539,0.4799,58.08,-57.32
14,85,15,3.0,none,151,0.351,-0.3039,0.4536,47.58,-45.9
14,85,20,2.0,none,161,0.2484,-0.4326,0.4028,71.37,-69.65
14,85,20,3.0,none,150,0.3133,-0.3794,0.3895,59.36,-56.91
14,85,25,2.0,none,157,0.1911,-0.5241,0.3344,83.92,-82.29
14,85,25,3.0,none,145,0.2621,-0.4732,0.3042,69.7,-68.61
