rsi_n,overbought,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
10,70,25,2.0,ema200_price_below,538,0.3253,-0.1411,0.7865,86.56,-75.92
10,70,25,3.0,ema200_price_below,469,0.4136,-0.1148,0.7884,59.27,-53.85
10,75,10,2.0,ema200_price_below,288,0.4306,-0.0602,0.8816,31.33,-17.33
10,75,10,3.0,ema200_price_below,269,0.4684,-0.0847,0.791,31.72,-22.79
10,75,15,2.0,ema200_price_below,286,0.3916,-0.056,0.9031,35.38,-16.03
10,75,15,3.0,ema200_price_below,262,0.458,-0.077,0.8369,32.23,-20.17
10,75,20,2.0,ema200_price_below,283,0.3569,-0.0582,0.9065,35.01,-16.48
10,75,20,3.0,ema200_price_below,259,0.4479,-0.0573,0.8871,30.1,-14.83
10,75,25,2.0,ema200_price_below,269,0.2974,-0.1838,0.7343,59.12,-49.45
10,75,25,3.0,ema200_price_below,243,0.3827,-0.1674,0.7097,50.22,-40.68
10,80,10,2.0,ema200_price_below,109,0.3394,-0.2439,0.6037,31.51,-26.59
10,80,10,3.0,ema200_price_below,106,0.4057,-0.2248,0.5561,28.1,-23.83
10,80,15,2.0,ema200_price_below,108,0.2963,-0.265,0.6047,34.27,-28.62
10,80,15,3.0,ema200_price_below,105,0.3524,-0.2255,0.5857,30.52,-23.68
10,80,20,2.0,ema200_price_below,108,0.2778,-0.3342,0.5287,41.56,-36.09
10,80,20,3.0,ema200_price_below,105,0.3714,-0.2555,0.5567,32.78,-26.83
10,80,25,2.0,ema200_price_below,104,0.2212,-0.4047,0.4628,43.68,-42.09
10,80,25,3.0,ema200_price_below,100,0.3,-0.3291,0.4796,34.23,-32.91
10,85,10,2.0,ema200_price_below,34,0.2941,-0.1646,0.7474,12.97,-5.6
10,85,10,3.0,ema200_price_below,34,0.3235,-0.227,0.6015,11.38,-7.72
10,85,15,2.0,ema200_price_below,34,0.2647,-0.2447,0.6577,13.08,-8.32
10,85,15,3.0,ema200_price_below,34,0.2941,-0.3337,0.4971,12.8,-11.35
10,85,20,2.0,ema200_price_below,33,0.2727,-0.262,0.6397,13.43,-8.65
10,85,20,3.0,ema200_price_below,33,0.303,-0.328,0.5195,13.02,-10.82
10,85,25,2.0,ema200_price_below,30,0.1667,-0.5482,0.3154,17.48,-16.44
10,85,25,3.0,ema200_price_below,30,0.2,-0.5515,0.2811,16.03,-16.55
14,70,10,2.0,ema200_price_below,237,0.4219,-0.1005,0.8022,29.96,-23.82
14,70,10,3.0,ema200_price_below,221,0.4525,-0.133,0.6863,32.64,-29.39
14,70,15,2.0,ema200_price_below,233,0.4034,-0.0794,0.8601,31.32,-18.49
14,70,15,3.0,ema200_price_below,214,0.4393,-0.1208,0.7457,31.13,-25.86
14,70,20,2.0,ema200_price_below,229,0.3493,-0.108,0.8262,31.27,-24.73
14,70,20,3.0,ema200_price_below,211,0.4313,-0.1219,0.7654,29.16,-25.73
14,70,25,2.0,ema200_price_below,216,0.3009,-0.2266,0.6693,56.17,-48.94
14,70,25,3.0,ema200_price_below,195,0.3744,-0.2268,0.6159,48.21,-44.23
14,75,10,2.0,ema200_price_below,92,0.4022,-0.0962,0.8212,21.3,-8.85
14,75,10,3.0,ema200_price_below,88,0.4432,-0.1418,0.6878,20.14,-12.48
14,75,15,2.0,ema200_price_below,92,0.3587,-0.1661,0.7193,24.95,-15.28
14,75,15,3.0,ema200_price_below,88,0.3864,-0.1931,0.6191,24.29,-16.99
14,75,20,2.0,ema200_price_below,91,0.3516,-0.2102,0.6665,28.6,-19.13
14,75,20,3.0,ema200_price_below,87,0.4253,-0.2097,0.6037,23.78,-18.25
14,75,25,2.0,ema200_price_below,86,0.2674,-0.3255,0.531,29.17,-27.99
14,75,25,3.0,ema200_price_below,82,0.3293,-0.3152,0.4713,26.22,-25.85
14,80,10,2.0,ema200_price_below,28,0.4643,0.0985,1.1947,6.05,2.76
14,80,10,3.0,ema200_price_below,28,0.5357,0.0838,1.2383,4.57,2.35
14,80,15,2.0,ema200_price_below,28,0.3571,-0.0156,0.9738,6.35,-0.44
14,80,15,3.0,ema200_price_below,28,0.4286,-0.0131,0.971,5.99,-0.37
14,80,20,2.0,ema200_price_below,27,0.3333,-0.0799,0.8664,7.71,-2.16
14,80,20,3.0,ema200_price_below,27,0.4074,-0.0674,0.8664,6.53,-1.82
14,80,25,2.0,ema200_price_below,24,0.3333,-0.3255,0.5118,11.11,-7.81
14,80,25,3.0,ema200_price_below,24,0.4167,-0.224,0.6159,9.32,-5.38
14,85,10,2.0,ema200_price_below,6,0.6667,0.924,3.772,1.0,5.54
14,85,10,3.0,ema200_price_below,6,0.6667,0.5049,2.5147,1.0,3.03
14,85,15,2.0,ema200_price_below,6,0.5,0.6888,2.6753,1.0,4.13
14,85,15,3.0,ema200_price_below,6,0.5,0.3481,1.9036,1.0,2.09
14,85,20,2.0,ema200_price_below,5,0.4,0.1228,1.2903,1.0,0.61
14,85,20,3.0,ema200_price_below,5,0.4,-0.0515,0.8761,1.0,-0.26
14,85,25,2.0,ema200_price_below,4,0.5,-0.22,0.56,1.0,-0.88
14,85,25,3.0,ema200_price_below,4,0.5,-0.3133,0.3733,1.0,-1.25
