entry_day,day_name,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
1,Tue,3,SHORT,none,6314,0.050647362308874386,319.7874456182329,0.5538485904339563,0.7936507936507936,1,2,,,True,False,False,0.0,False,False
1,Tue,4,LONG,ema200_price,1616,-0.0786958851163641,-127.1725503480444,0.43626237623762376,0.2549019607843137,0,2,,,False,False,False,0.0,False,False
1,Tue,4,LONG,none,6314,-0.030509231876136973,-192.63529006592884,0.44805194805194803,0.3333333333333333,0,2,,,False,False,False,0.0,False,False
1,Tue,4,SHORT,ema200_price,4698,0.01393417192802989,65.46273971788442,0.5427841634738186,0.5238095238095238,1,2,,,False,True,False,0.0,False,False
1,Tue,4,SHORT,none,6314,0.030509231876136973,192.63529006592884,0.5476718403547672,0.6666666666666666,2,2,,,True,True,False,0.0,False,False
1,Tue,5,LONG,ema200_price,1616,-0.0509881337313233,-82.39682410981845,0.4511138613861386,0.23529411764705882,0,2,,,False,False,False,0.0,False,False
1,Tue,5,LONG,none,6314,0.011848860025402494,74.81370220039135,0.4713335445042762,0.4126984126984127,2,2,,,True,True,False,0.0,False,False
1,Tue,5,SHORT,ema200_price,4698,-0.03346328784806508,-157.21052631020973,0.5176670923797361,0.42857142857142855,0,2,,,False,False,False,0.0,False,False
1,Tue,5,SHORT,none,6314,-0.011848860025402494,-74.81370220039135,0.5254988913525499,0.5873015873015873,0,2,,,False,False,False,0.0,False,False
2,Wed,1,LONG,ema200_price,1582,0.060665725550638955,95.97317782111082,0.48419721871049304,0.5961538461538461,2,2,,,True,True,False,0.0,False,False
2,Wed,1,LONG,none,6318,0.04772984349567905,301.5571512057002,0.4882874327318772,0.8571428571428571,2,2,,,True,True,False,0.0,False,False
2,Wed,1,SHORT,ema200_price,4736,-0.043408778163975814,-205.58397338458946,0.5010557432432432,0.12698412698412698,1,2,,,True,False,False,0.0,False,False
2,Wed,1,SHORT,none,6318,-0.04772984349567905,-301.5571512057002,0.5037986704653371,0.14285714285714285,0,2,,,False,False,False,0.0,False,False
2,Wed,2,LONG,ema200_price,1582,0.03596861574619371,56.90235011047845,0.465865992414665,0.5,2,2,,,True,True,False,0.0,False,False
2,Wed,2,LONG,none,6318,-0.013625272823344142,-86.08447369788828,0.4647040202595758,0.3492063492063492,2,2,,,True,True,False,0.0,False,False
2,Wed,2,SHORT,ema200_price,4736,0.03019147462169905,142.9868238083667,0.5291385135135135,0.7142857142857143,1,2,,,True,False,False,0.0,False,False
2,Wed,2,SHORT,none,6318,0.013625272823344142,86.08447369788828,0.5300728078505856,0.6507936507936508,0,2,,,False,False,False,0.0,False,False
2,Wed,3,LONG,ema200_price,1582,0.0371987869573992,58.848480966605536,0.4646017699115044,0.4423076923076923,2,2,,,True,True,False,0.0,False,False
2,Wed,3,LONG,none,6318,0.005010660383008079,31.657352299845044,0.46359607470718583,0.4444444444444444,2,2,,,True,True,False,0.0,False,False
2,Wed,3,SHORT,ema200_price,4736,0.005741370073218008,27.191128666760488,0.5316722972972973,0.4603174603174603,1,2,,,False,True,False,0.0,False,False
2,Wed,3,SHORT,none,6318,-0.005010660383008079,-31.657352299845044,0.5319721430832542,0.5555555555555556,0,2,,,False,False,False,0.0,False,False
2,Wed,4,LONG,ema200_price,1582,0.05742161014935979,90.84098725628719,0.4835651074589128,0.4423076923076923,2,2,,,True,True,False,0.0,False,False
2,Wed,4,LONG,none,6318,0.04572380613791987,288.8830071793777,0.47752453308008863,0.7142857142857143,2,2,,,True,True,False,0.0,False,False
