timeframe,don_n,don_exit_n,filter_mode,atr_mult,symbols,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct
6h,40,20,ema50_slope,2.0,67,325,-37.66209004297494,-0.11588335397838442,-0.9999999999999993,0.8383383712965385,-81.0114087835878,22.76923076923077
6h,40,20,ema50_slope,3.0,67,287,-24.9937518344567,-0.0870862433256331,-0.7943262411347511,0.851682135866224,-56.48267069351313,28.9198606271777
6h,40,20,ema200_price,2.0,67,255,-18.884147787402327,-0.07405548151922481,-0.9999999999999996,0.8987801861970423,-49.33220037371974,21.176470588235293
6h,40,20,ema200_price,3.0,67,224,-13.727137522139312,-0.061281863938121926,-0.80132289930456,0.8980348116911747,-38.31444644156659,26.785714285714285
6h,55,27,ema50_slope,2.0,67,278,-54.10362612734198,-0.1946173601702949,-0.9999999999999994,0.7341343928124269,-85.88222194225877,19.424460431654676
6h,55,27,ema50_slope,3.0,67,241,-35.31518155516816,-0.1465360230504903,-0.7980560320182961,0.754318511658455,-61.12270390129393,24.896265560165975
6h,55,27,ema200_price,2.0,67,230,-43.22142668345347,-0.1879192464497977,-0.9999999999999996,0.7515421785733173,-66.1100695883721,19.565217391304348
6h,55,27,ema200_price,3.0,67,201,-32.8318186292555,-0.16334238124007713,-0.9568134171907767,0.7438289337356094,-46.549283320546394,24.378109452736318
8h,10,5,ema50_slope,2.0,67,551,-13.765913594028191,-0.024983509245060237,-0.5964125560538095,0.9530579951345418,-71.77519897008392,27.223230490018146
8h,10,5,ema50_slope,3.0,67,534,-11.252164922676592,-0.021071469892652794,-0.349534345307311,0.9443068864011633,-50.43928222520411,28.651685393258425
8h,10,5,ema200_price,2.0,67,459,64.5717417445757,0.14067917591410828,-0.5398727068513677,1.281408521435496,-23.093117405063524,32.46187363834422
8h,10,5,ema200_price,3.0,67,444,35.81428072684972,0.0806627944298417,-0.32022124784458894,1.22120385388672,-16.888858608276166,34.00900900900901
8h,15,7,ema50_slope,2.0,67,453,-23.010244546081406,-0.050795241823579265,-0.7249258160237394,0.913398251829272,-88.38305654062104,25.165562913907287
8h,15,7,ema50_slope,3.0,67,433,-22.340956551219307,-0.05159574261251572,-0.4302895322939871,0.8813695077085462,-65.85038174402868,27.25173210161663
8h,15,7,ema200_price,2.0,67,370,46.12193423477349,0.12465387631019863,-0.6461401023841711,1.2272381927355027,-37.684013156234286,30.54054054054054
8h,15,7,ema200_price,3.0,67,352,21.428137649589313,0.06087539104996964,-0.3822782774504062,1.1455860322938625,-33.82148890696031,32.67045454545455
8h,20,10,ema50_slope,2.0,67,409,-58.83121235383108,-0.143841594997142,-0.9999999999999984,0.7790157256880927,-106.0124167199427,23.4718826405868
8h,20,10,ema50_slope,3.0,67,382,-54.0218709343102,-0.14141851029924135,-0.5381511863679784,0.7240449544719675,-86.70812142327718,25.13089005235602
8h,20,10,ema200_price,2.0,67,336,2.0416547689863123,0.0060763534791259295,-0.9106834521081215,1.0100105825958885,-54.53935975589114,25.595238095238095
8h,20,10,ema200_price,3.0,67,314,-11.994725872109996,-0.038199763923917184,-0.5076029962546825,0.9211039210693284,-46.53922794265421,27.388535031847134
8h,25,12,ema50_slope,2.0,67,385,-50.94036843845063,-0.13231264529467698,-0.9999999999999989,0.8063439770157089,-108.9910419570096,21.818181818181817
8h,25,12,ema50_slope,3.0,67,358,-51.24029831074987,-0.14312932489036276,-0.5842697530715611,0.7399602977903837,-91.09588897580942,24.022346368715084
8h,25,12,ema200_price,2.0,67,314,5.037675207625618,0.016043551616642095,-0.9999999999999982,1.0251035583483998,-63.610664837726205,22.611464968152866
8h,25,12,ema200_price,3.0,67,294,-15.223206068038287,-0.05177961247632071,-0.5772807024068378,0.901131547617231,-57.290044332222905,24.149659863945576
8h,30,15,ema50_slope,2.0,67,359,-81.41198339237043,-0.22677432699824632,-0.9999999999999992,0.6824928776777509,-123.41985389680822,21.448467966573816
8h,30,15,ema50_slope,3.0,67,328,-64.45479837817159,-0.19650853164076704,-0.7117679241781536,0.6646211462237128,-96.63053261402916,25.0
8h,30,15,ema200_price,2.0,67,287,-24.454270201924167,-0.08520651638301104,-0.999999999999999,0.8755551032604125,-74.17998909265816,22.299651567944252
8h,30,15,ema200_price,3.0,67,267,-31.611093569406755,-0.1183936088741826,-0.6794380587484036,0.7935313839376058,-66.06627425574266,24.344569288389515
8h,40,20,ema50_slope,2.0,67,325,-56.35782949393241,-0.17340870613517664,-0.9999999999999993,0.7637975756203962,-119.6860764544013,19.076923076923077
8h,40,20,ema50_slope,3.0,67,293,-43.40923503882779,-0.14815438579804704,-0.8617558022199805,0.7605816885775515,-94.0055458524582,23.549488054607508
8h,40,20,ema200_price,2.0,67,249,-5.90402700064849,-0.023710951809833295,-0.9999999999999993,0.9668902298001539,-73.0998720314097,21.686746987951807
8h,40,20,ema200_price,3.0,67,232,-15.890377065197022,-0.06849300459136648,-0.8024872362045674,0.8891842777537204,-68.51471340353176,24.137931034482758
8h,55,27,ema50_slope,2.0,67,263,-63.367942328207775,-0.2409427464950866,-0.9999999999999997,0.7009350646852186,-104.42439476989539,14.068441064638785
8h,55,27,ema50_slope,3.0,67,238,-52.1009370869893,-0.21891150036550125,-0.9999999999999993,0.6895235669875478,-87.79510991312387,17.647058823529413
8h,55,27,ema200_price,2.0,67,204,-24.861233483226933,-0.12186879158444575,-0.9999999999999997,0.8477257923899308,-68.08200430202851,14.705882352941178
8h,55,27,ema200_price,3.0,67,189,-28.15226768197332,-0.1489537972591181,-0.9999999999999991,0.7921232338549196,-65.19737182017982,17.989417989417987
1d,10,5,ema50_slope,2.0,60,465,-17.097394414754568,-0.03676859013925714,-0.6857142857142849,0.9359988091050271,-79.49728129473206,26.236559139784948
1d,10,5,ema50_slope,3.0,60,448,-13.023710292114188,-0.0290707819020406,-0.4281109815242173,0.9310983591075621,-54.354417411039634,27.455357142857146
1d,10,5,ema200_price,2.0,60,453,43.28160521880077,0.09554438238145865,-0.6587129428778028,1.1719872394544564,-39.57895015673563,29.58057395143488
1d,10,5,ema200_price,3.0,60,438,30.661465956850368,0.07000334693344833,-0.4047488794899952,1.174306007227642,-29.335354778430517,30.59360730593607
1d,15,7,ema50_slope,2.0,60,396,25.25445842272792,0.06377388490587858,-0.9999999999999993,1.0971530159606653,-95.08860073522271,23.737373737373737
1d,15,7,ema50_slope,3.0,60,372,10.208916770794694,0.02744332465267391,-0.5551821751532191,1.0533995394108733,-67.73994486664772,26.0752688172043
1d,15,7,ema200_price,2.0,60,358,84.38961250477624,0.23572517459434703,-0.9999999999999994,1.374640112874671,-42.496397604622146,27.09497206703911
1d,15,7,ema200_price,3.0,60,338,49.642012198223384,0.1468698585746254,-0.5538250546553907,1.2940464542257282,-28.41244862334034,29.289940828402365
1d,20,10,ema50_slope,2.0,60,338,29.036209672112392,0.08590594577548046,-0.9999999999999996,1.124300634551592,-93.79028908973132,22.485207100591715
1d,20,10,ema50_slope,3.0,60,311,11.222798674266201,0.036086169370630874,-0.6730564430244937,1.064000007785116,-67.12195787822714,26.366559485530544
1d,20,10,ema200_price,2.0,60,288,103.26540392786583,0.3585604303050897,-0.9999999999999996,1.5667341065785678,-32.877439735073054,27.083333333333332
1d,20,10,ema200_price,3.0,60,268,64.790163745381,0.24175434233351117,-0.5789653470744932,1.4712949272398697,-20.678322458914707,30.970149253731343
1d,25,12,ema50_slope,2.0,60,317,26.698447503757237,0.08422223187305122,-0.9999999999999997,1.1190474682850267,-91.06240077284895,20.82018927444795
1d,25,12,ema50_slope,3.0,60,287,11.66007857741819,0.04062745148926199,-0.6929530201342277,1.0698763634409891,-63.59100653960331,25.435540069686414
1d,25,12,ema200_price,2.0,60,269,87.85606979213878,0.3266024899336014,-0.9999999999999997,1.4897324589982797,-38.053744508285874,25.27881040892193
1d,25,12,ema200_price,3.0,60,245,57.89394645620236,0.2363018222702137,-0.6588361738062342,1.4373759150506753,-22.2549752174545,30.20408163265306
1d,30,15,ema50_slope,2.0,60,296,56.48411749339141,0.19082472126145747,-0.9999999999999997,1.2619705078260879,-90.86473208195892,19.93243243243243
1d,30,15,ema50_slope,3.0,60,265,30.84424765752589,0.11639338738689016,-0.7591706539074955,1.1913216337693984,-62.872751399848276,24.528301886792452
1d,30,15,ema200_price,2.0,60,243,127.70296803716181,0.5255266174368799,-0.9999999999999997,1.747390358185536,-37.88966278844569,23.045267489711936
1d,30,15,ema200_price,3.0,60,217,86.14841427448106,0.39699730080406015,-0.6821417517796342,1.6907341315429218,-21.153172584110493,28.110599078341014
1d,40,20,ema50_slope,2.0,60,254,30.931350671888268,0.12177697114916641,-0.9999999999999998,1.163760607939649,-84.86034931929026,19.68503937007874
1d,40,20,ema50_slope,3.0,60,223,15.04494970301647,0.06746614216599314,-0.999999999999998,1.107885696880413,-56.034540273626384,25.112107623318387
1d,40,20,ema200_price,2.0,60,212,85.14041886891195,0.40160574938166016,-0.9999999999999998,1.5615444645196834,-41.617413521011926,24.056603773584907
1d,40,20,ema200_price,3.0,60,186,55.04539546503325,0.2959429863711465,-0.8304226657641349,1.4953492856989794,-22.34667633752688,30.107526881720432
1d,55,27,ema50_slope,2.0,60,212,11.721752702541153,0.05529128633274129,-0.9999999999999998,1.0683826831591852,-94.3404615119272,14.150943396226415
1d,55,27,ema50_slope,3.0,60,185,-4.0331989728141835,-0.021801075528725317,-0.9999999999999997,0.9691509664476372,-70.09016026126912,18.91891891891892
1d,55,27,ema200_price,2.0,60,177,57.01428367697116,0.3221145970450348,-0.9999999999999998,1.4160712800895954,-53.88654358453461,17.51412429378531
1d,55,27,ema200_price,3.0,60,151,34.14138045720046,0.2261018573324534,-0.9999999999999997,1.3395010210656013,-36.130626296405985,23.178807947019866
