pool,entry_date,exit_date,symbol,system,entry_price,exit_price,bars_held,net_r,pnl_usdt,exit_reason,regime,risk_pct
B,2021-09-28,2021-10-19,HBAR_USDT,ConsecDownDays,0.3035,0.3749,20,0.564,4.6583,time_exit,BULL,0.25
B,2021-09-28,2021-10-19,NEAR_USDT,ConsecDownDays,6.416,8.186,20,0.6285,5.1903,time_exit,BULL,0.25
B,2021-09-28,2021-10-19,TRX_USDT,ConsecDownDays,0.08305,0.10055,20,0.9946,8.2139,time_exit,BULL,0.25
B,2021-10-24,2021-11-14,LPT_USDT,ConsecDownDays,23.3,64.71,20,4.1582,34.6742,time_exit,BULL,0.25
B,2021-11-16,2021-11-26,LINK_USDT,ConsecDownDays,29.16,23.71428571,9,-1.0,-8.4254,stop,BULL,0.25
B,2021-11-16,2021-12-04,ETH_USDT,ConsecDownDays,4209.76,3765.16142857,17,-1.0,-8.4254,stop,BEAR,0.25
B,2021-11-18,2021-12-09,SOL_USDT,ConsecDownDays,195.01,181.11,20,-0.3673,-3.0942,time_exit,BEAR,0.25
B,2021-12-06,2021-12-27,ZEC_USDT,ConsecDownDays,179.8,169.5,20,-0.1424,-1.1941,time_exit,MIXED,0.25
B,2022-01-06,2022-01-20,SOL_USDT,ConsecDownDays,150.26,128.19571429,13,-1.0,-8.3725,stop,BEAR,0.25
B,2022-01-06,2022-01-21,AVAX_USDT,ConsecDownDays,95.11,77.70428571,14,-1.0,-8.3725,stop,BEAR,0.25
B,2022-01-29,2022-02-19,ATOM_USDT,ConsecDownDays,29.08,26.68,20,-0.2384,-1.9857,time_exit,BEAR,0.25
B,2022-04-24,2022-04-26,NEAR_USDT,ConsecDownDays,15.006,12.40171429,1,-1.0,-8.3257,stop,BEAR,0.25
B,2022-04-26,2022-05-08,NEAR_USDT,ConsecDownDays,12.685,9.91042857,11,-1.0,-8.3049,stop,BEAR,0.25
B,2023-02-06,2023-02-27,APT_USDT,ConsecDownDays,14.9482,12.3764,20,-0.5415,-4.4855,time_exit,MIXED,0.25
B,2023-02-06,2023-02-27,BTC_USDT,ConsecDownDays,22762.52,23492.09,20,0.4715,3.9057,time_exit,MIXED,0.25
B,2023-02-24,2023-03-03,HBAR_USDT,ConsecDownDays,0.0771,0.06215714,6,-1.0,-8.2841,stop,MIXED,0.25
B,2023-02-25,2023-03-09,GRT_USDT,ConsecDownDays,0.149,0.11381429,11,-1.0,-8.2841,stop,BEAR,0.25
B,2023-03-06,2023-03-09,DASH_USDT,ConsecDownDays,62.48,53.76857143,2,-1.0,-8.262,stop,BEAR,0.25
B,2023-02-25,2023-03-11,FIL_USDT,ConsecDownDays,6.706,4.78542857,13,-1.0,-8.2841,stop,BEAR,0.25
B,2023-05-03,2023-05-08,XRP_USDT,ConsecDownDays,0.4632,0.41474286,4,-1.0,-8.1999,stop,MIXED,0.25
B,2023-04-21,2023-05-12,INJ_USDT,ConsecDownDays,7.279,6.137,20,-0.623,-5.1083,time_exit,MIXED,0.25
B,2023-05-10,2023-05-31,BTC_USDT,ConsecDownDays,27598.75,27210.35,20,-0.1862,-1.5228,time_exit,MIXED,0.25
B,2023-05-10,2023-05-31,ETH_USDT,ConsecDownDays,1840.84,1873.63,20,0.2184,1.7867,time_exit,MIXED,0.25
B,2023-06-07,2023-06-10,TRX_USDT,ConsecDownDays,0.07675,0.07097286,2,-1.0,-8.1673,stop,MIXED,0.25
B,2023-07-06,2023-07-27,INJ_USDT,ConsecDownDays,7.853,7.982,20,0.1008,0.8214,time_exit,MIXED,0.25
B,2023-07-19,2023-08-01,AAVE_USDT,ConsecDownDays,71.71,61.57857143,12,-1.0,-8.1469,stop,MIXED,0.25
B,2023-07-18,2023-08-03,LTC_USDT,ConsecDownDays,91.56,80.70428571,15,-1.0,-8.1469,stop,MIXED,0.25
B,2023-07-17,2023-08-07,BCH_USDT,ConsecDownDays,241.9,237.7,20,-0.0972,-0.7921,time_exit,MIXED,0.25
B,2023-07-18,2023-08-08,BTC_USDT,ConsecDownDays,29859.13,29770.42,20,-0.0543,-0.4421,time_exit,MIXED,0.25
B,2023-07-18,2023-08-08,ETH_USDT,ConsecDownDays,1897.21,1856.3,20,-0.3453,-2.8131,time_exit,MIXED,0.25
B,2023-08-06,2023-08-17,XRP_USDT,ConsecDownDays,0.624,0.55654286,10,-1.0,-8.1082,stop,BEAR,0.25
B,2023-08-28,2023-09-18,INJ_USDT,ConsecDownDays,6.896,7.343,20,0.4535,3.6631,time_exit,BEAR,0.25
B,2023-09-09,2023-09-30,LPT_USDT,ConsecDownDays,6.35,5.44,20,-0.6131,-4.9524,time_exit,MIXED,0.25
