timeframe,month,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct,best_r,worst_r,max_losing_streak,avg_bars_held,trail_activation_rate_pct,avg_mfe_r
4h,2026-03,146,-93.27735350693837,-0.6388859829242354,-1.0,0.30390034696314644,-98.01482586569762,8.21917808219178,5.470379146919428,-1.0,67,41.602739726027394,8.21917808219178,1.3433387628997044
4h,2026-04,190,-81.87107057435972,-0.4309003714439985,-1.0,0.5068007796725318,-80.8710705743597,12.631578947368421,14.550617283950626,-1.0,25,49.11578947368421,12.631578947368421,1.7490431041130148
4h,2026-05,135,-50.561239822995425,-0.3745277023925587,-1.0,0.5678526510855092,-58.39090382546731,13.333333333333334,9.11911170928666,-1.0,20,45.75555555555555,13.333333333333334,1.7428153459261067
6h,2025-10,128,220.70796648884215,1.7242809881940793,-1.0,3.6915605669371,-9.0,35.9375,15.173248882265312,-1.0,9,14.265625,35.9375,4.123288169083103
6h,2025-11,89,-9.323764602599368,-0.10476140002920639,-1.0,0.8668033628200089,-35.59743823760572,21.34831460674157,4.996854411532656,-1.0,15,33.853932584269664,21.34831460674157,1.9416247502820358
6h,2025-12,69,25.730331608396725,0.3729033566434308,-1.0,1.5251088083346274,-10.0,28.985507246376812,4.759740259740258,-1.0,11,60.47826086956522,28.985507246376812,1.933698214502183
6h,2026-01,102,-40.87603539097138,-0.40074544500952336,-1.0,0.5301605127474553,-46.28024610540437,14.705882352941178,4.794233899093234,-1.0,20,52.72549019607843,14.705882352941178,1.843248560250293
6h,2026-02,114,59.18563417285273,0.5191722295864275,-1.0,1.730686841640157,-10.0,28.947368421052634,10.98135850495691,-1.0,10,53.31578947368421,28.947368421052634,2.3327123305516553
6h,2026-03,98,-54.208197819095005,-0.5531448757050511,-1.0,0.390919125628146,-65.91875653082549,9.183673469387756,6.413533834586462,-1.0,62,39.45918367346939,9.183673469387756,1.291069567513033
6h,2026-04,103,-60.02346274695967,-0.5827520655044628,-1.0,0.3747555963858367,-60.84551431370035,6.796116504854369,14.753099173553736,-1.0,30,36.86407766990291,6.796116504854369,1.583956243500909
6h,2026-05,73,-28.82606648051057,-0.39487762302069274,-1.0,0.5424433891982451,-32.769638978690665,13.698630136986301,6.3737194641449975,-1.0,22,60.67123287671233,13.698630136986301,1.8583411448863254
8h,2025-07,50,-22.987599368874886,-0.45975198737749773,-1.0,0.4654046658401189,-29.31273940633016,14.000000000000002,5.193217665615148,-1.0,18,17.28,14.000000000000002,1.7995006943680893
8h,2025-08,144,-105.64098965407533,-0.7336179837088564,-1.0,0.2174741507105532,-105.41725003912389,6.25,6.938697318007659,-1.0,42,17.479166666666668,6.25,1.001571175191996
8h,2025-09,97,-26.648955712780683,-0.2747315021936153,-1.0,0.6789282444243291,-37.8967166037937,14.432989690721648,12.661040145985405,-1.0,16,26.84536082474227,14.432989690721648,1.6753671228093416
8h,2025-10,100,206.72744553298554,2.0672744553298554,-1.0,4.691561527374742,-8.244721689059496,44.0,12.592896174863409,-1.0,7,31.5,44.0,4.436934169011604
8h,2025-11,84,-17.20794751130109,-0.20485651799167964,-1.0,0.7469419483632194,-43.36683833990662,19.047619047619047,4.380884803610613,-1.0,24,24.94047619047619,19.047619047619047,1.735328939737246
8h,2025-12,51,-6.4483773367255495,-0.1264387713083441,-1.0,0.8427225039823036,-11.600386718692816,19.607843137254903,3.825487012987008,-1.0,10,36.23529411764706,19.607843137254903,1.4487756452009029
8h,2026-01,69,-54.50242147390421,-0.7898901662884668,-1.0,0.1742057352438756,-53.502421473904214,4.3478260869565215,5.015100671140958,-1.0,23,48.53623188405797,4.3478260869565215,1.3723216503058455
8h,2026-02,69,90.60646986863064,1.313137244472908,-1.0,3.4488235099629905,-5.0,46.3768115942029,6.85980230642504,-1.0,5,58.072463768115945,46.3768115942029,3.2141834508232994
8h,2026-03,66,-57.10027135854341,-0.8651556266445971,-1.0,0.1078082600227592,-56.10027135854341,3.0303030303030303,3.735294117647063,-1.0,50,28.757575757575758,3.0303030303030303,0.8367925237214019
8h,2026-04,64,-43.15998264089467,-0.6743747287639792,-1.0,0.26847487049331065,-42.15998264089468,7.8125,5.110108303249085,-1.0,19,39.921875,7.8125,1.5463225608491762
8h,2026-05,57,-30.36621451080107,-0.5327406054526503,-1.0,0.4045840291999791,-33.81155433287483,10.526315789473683,7.097252349963844,-1.0,28,47.87719298245614,10.526315789473683,1.603221968884246
