symbol,n,atr_ch_mult,stop_mult,filter_mode,entry_time,exit_time,entry_price,exit_price,initial_stop,exit_reason,net_r
1INCH/USDT,20,3.0,2.0,ema200_price,2024-11-18 00:00:00+00:00,2024-12-10 00:00:00+00:00,0.3331,0.4324,0.2922828051767579,midline_exit,2.432798246670707
1INCH/USDT,20,3.0,2.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.2955,0.2693963031093484,0.2693963031093484,initial_stop,-1.0
1INCH/USDT,20,3.0,3.0,ema200_price,2024-05-29 00:00:00+00:00,2024-06-09 00:00:00+00:00,0.4932,0.4431,0.404665033936488,midline_exit,-0.565878118302547
1INCH/USDT,20,3.0,3.0,ema200_price,2024-11-18 00:00:00+00:00,2024-12-10 00:00:00+00:00,0.3331,0.4324,0.2718742077651369,midline_exit,1.6218654977804712
1INCH/USDT,20,3.0,3.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.2955,0.2736,0.2563444546640226,midline_exit,-0.5593077509733354
1INCH/USDT,20,5.0,2.0,ema200_price,2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.6263,0.5537411661268388,0.5537411661268388,initial_stop,-1.0
1INCH/USDT,20,5.0,2.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.2955,0.2693963031093484,0.2693963031093484,initial_stop,-1.0
1INCH/USDT,20,5.0,3.0,ema200_price,2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.6263,0.5174617491902581,0.5174617491902581,initial_stop,-1.0
1INCH/USDT,20,5.0,3.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.2955,0.2736,0.2563444546640226,midline_exit,-0.5593077509733354
1INCH/USDT,20,7.0,2.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.2955,0.2693963031093484,0.2693963031093484,initial_stop,-1.0
1INCH/USDT,20,7.0,3.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.2955,0.2736,0.2563444546640226,midline_exit,-0.5593077509733354
1INCH/USDT,50,3.0,2.0,ema200_price,2024-11-18 00:00:00+00:00,2024-12-21 00:00:00+00:00,0.3331,0.3797,0.2929219115398568,midline_exit,1.1598361640879786
1INCH/USDT,50,3.0,2.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.2955,0.2677252743395685,0.2677252743395685,initial_stop,-1.0
1INCH/USDT,50,3.0,2.0,ema200_price,2025-07-27 00:00:00+00:00,2025-07-30 00:00:00+00:00,0.2917,0.2519877972517258,0.2519877972517258,initial_stop,-1.0
1INCH/USDT,50,3.0,3.0,ema200_price,2024-11-18 00:00:00+00:00,2024-12-21 00:00:00+00:00,0.3331,0.3797,0.27283286730978523,midline_exit,0.7732241093919862
1INCH/USDT,50,3.0,3.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-30 00:00:00+00:00,0.2955,0.25383791150935275,0.25383791150935275,initial_stop,-1.0
1INCH/USDT,50,5.0,2.0,ema200_price,2024-11-24 00:00:00+00:00,2024-12-20 00:00:00+00:00,0.3968,0.3533950163542383,0.3533950163542383,initial_stop,-1.0
1INCH/USDT,50,5.0,2.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.2955,0.2677252743395685,0.2677252743395685,initial_stop,-1.0
1INCH/USDT,50,5.0,3.0,ema200_price,2024-11-24 00:00:00+00:00,2024-12-21 00:00:00+00:00,0.3968,0.3797,0.3316925245313575,midline_exit,-0.26264265166041995
1INCH/USDT,50,5.0,3.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-30 00:00:00+00:00,0.2955,0.25383791150935275,0.25383791150935275,initial_stop,-1.0
1INCH/USDT,50,7.0,2.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4886,0.44043210138420674,0.44043210138420674,initial_stop,-1.0
1INCH/USDT,50,7.0,2.0,ema200_price,2025-07-12 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.3224,0.29162876885277716,0.29162876885277716,initial_stop,-1.0
1INCH/USDT,50,7.0,3.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4886,0.4163481520763101,0.4163481520763101,initial_stop,-1.0
1INCH/USDT,50,7.0,3.0,ema200_price,2025-07-12 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.3224,0.2762431532791657,0.2762431532791657,initial_stop,-1.0
1INCH/USDT,50,9.0,2.0,ema200_price,2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.6263,0.5703639948895459,0.5703639948895459,initial_stop,-1.0
1INCH/USDT,50,9.0,3.0,ema200_price,2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.6263,0.5423959923343189,0.5423959923343189,initial_stop,-1.0
1INCH/USDT,100,3.0,2.0,ema200_price,2024-03-25 00:00:00+00:00,2024-04-05 00:00:00+00:00,0.5913,0.5200141375091202,0.5200141375091202,initial_stop,-1.0
1INCH/USDT,100,3.0,2.0,ema200_price,2024-04-08 00:00:00+00:00,2024-04-10 00:00:00+00:00,0.6108,0.5397577756046215,0.5397577756046215,initial_stop,-1.0
1INCH/USDT,100,3.0,2.0,ema200_price,2024-11-18 00:00:00+00:00,2025-01-19 00:00:00+00:00,0.3331,0.3361,0.2872818814723677,midline_exit,0.06547628092128539
1INCH/USDT,100,3.0,2.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-30 00:00:00+00:00,0.2955,0.2619373302419525,0.2619373302419525,initial_stop,-1.0
1INCH/USDT,100,3.0,2.0,ema200_price,2025-08-09 00:00:00+00:00,2025-08-14 00:00:00+00:00,0.2943,0.25500151019273426,0.25500151019273426,initial_stop,-1.0
1INCH/USDT,100,3.0,3.0,ema200_price,2024-03-25 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.5913,0.48437120626368024,0.48437120626368024,initial_stop,-1.0
1INCH/USDT,100,3.0,3.0,ema200_price,2024-11-18 00:00:00+00:00,2025-01-19 00:00:00+00:00,0.3331,0.3361,0.26437282220855157,midline_exit,0.04365085394752359
1INCH/USDT,100,3.0,3.0,ema200_price,2025-07-11 00:00:00+00:00,2025-08-01 00:00:00+00:00,0.2955,0.24515599536292873,0.24515599536292873,initial_stop,-1.0
1INCH/USDT,100,3.0,3.0,ema200_price,2025-08-09 00:00:00+00:00,2025-08-25 00:00:00+00:00,0.2943,0.23535226528910141,0.23535226528910141,initial_stop,-1.0
1INCH/USDT,100,5.0,2.0,ema200_price,2024-11-24 00:00:00+00:00,2024-12-20 00:00:00+00:00,0.3968,0.349647357241451,0.349647357241451,initial_stop,-1.0
1INCH/USDT,100,5.0,2.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-30 00:00:00+00:00,0.2955,0.2619373302419525,0.2619373302419525,initial_stop,-1.0
1INCH/USDT,100,5.0,3.0,ema200_price,2024-11-24 00:00:00+00:00,2025-01-19 00:00:00+00:00,0.3968,0.3361,0.32607103586217656,midline_exit,-0.858205697480867
1INCH/USDT,100,5.0,3.0,ema200_price,2025-07-11 00:00:00+00:00,2025-08-01 00:00:00+00:00,0.2955,0.24515599536292873,0.24515599536292873,initial_stop,-1.0
1INCH/USDT,100,7.0,2.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4886,0.4392497300952794,0.4392497300952794,initial_stop,-1.0
1INCH/USDT,100,7.0,2.0,ema200_price,2025-07-12 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.3224,0.287396956939533,0.287396956939533,initial_stop,-1.0
1INCH/USDT,100,7.0,3.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4886,0.4145745951429191,0.4145745951429191,initial_stop,-1.0
1INCH/USDT,100,7.0,3.0,ema200_price,2025-07-12 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.3224,0.2698954354092995,0.2698954354092995,initial_stop,-1.0
1INCH/USDT,100,9.0,2.0,ema200_price,2024-12-03 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.5106,0.46045323279432665,0.46045323279432665,initial_stop,-1.0
1INCH/USDT,100,9.0,3.0,ema200_price,2024-12-03 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.5106,0.43537984919149,0.43537984919149,initial_stop,-1.0
1INCH/USDT,150,3.0,2.0,ema200_price,2024-03-18 00:00:00+00:00,2024-03-19 00:00:00+00:00,0.5552,0.49226072354278716,0.49226072354278716,initial_stop,-1.0
1INCH/USDT,150,3.0,2.0,ema200_price,2024-03-20 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.551,0.48719788992770746,0.48719788992770746,initial_stop,-1.0
1INCH/USDT,150,3.0,2.0,ema200_price,2024-11-23 00:00:00+00:00,2025-01-20 00:00:00+00:00,0.377,0.3270778925118312,0.3270778925118312,initial_stop,-1.0
1INCH/USDT,150,3.0,2.0,ema200_price,2025-07-11 00:00:00+00:00,2025-07-30 00:00:00+00:00,0.2955,0.25734595956031,0.25734595956031,initial_stop,-1.0
1INCH/USDT,150,3.0,2.0,ema200_price,2025-08-08 00:00:00+00:00,2025-08-19 00:00:00+00:00,0.2843,0.24279539456990856,0.24279539456990856,initial_stop,-1.0
1INCH/USDT,150,3.0,3.0,ema200_price,2024-03-18 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.5552,0.46079108531418067,0.46079108531418067,initial_stop,-1.0
1INCH/USDT,150,3.0,3.0,ema200_price,2024-11-23 00:00:00+00:00,2025-01-22 00:00:00+00:00,0.377,0.3274,0.3021168387677468,midline_exit,-0.6623651991155067
1INCH/USDT,150,3.0,3.0,ema200_price,2025-07-11 00:00:00+00:00,2025-08-01 00:00:00+00:00,0.2955,0.238268939340465,0.238268939340465,initial_stop,-1.0
1INCH/USDT,150,3.0,3.0,ema200_price,2025-08-08 00:00:00+00:00,2025-09-22 00:00:00+00:00,0.2843,0.234,0.22204309185486287,midline_exit,-0.807942467729646
