symbol,entry_time,entry_price,exit_price,raw_r,funding_cost_r,net_r,year,exit_reason,bars_held
NEOUSDT,2023-08-17 00:00:00,6.906,7.424,0.3990077195319546,0.020842949221888358,0.37816477031006623,2023,time_exit,20
OGNUSDT,2022-01-21 00:00:00,0.3504,0.4076,0.36769893164145023,0.008883342782313666,0.35881558885913656,2022,time_exit,20
OGNUSDT,2023-06-10 00:00:00,0.067,0.0807,0.7225985388313272,0.015605313996564554,0.7069932248347627,2023,time_exit,20
ONEUSDT,2022-04-30 00:00:00,0.07435,0.04282501783683781,-1.0,0.0045733589397069525,-1.004573358939707,2022,atr_stop,11
ONEUSDT,2022-05-12 00:00:00,0.04034,0.04152,0.03311370729041567,-0.01635692216721409,0.049470629457629756,2022,time_exit,20
ONEUSDT,2022-06-13 00:00:00,0.02763,0.01703,-0.7321543044247244,-0.02807458468151317,-0.7040797197432113,2022,time_exit,20
ONEUSDT,2022-12-29 00:00:00,0.00985,0.01611,3.1066202113764074,0.001838456651080166,3.104781754725327,2022,time_exit,20
ONEUSDT,2023-06-10 00:00:00,0.01044,0.01277,0.7759663097669858,0.012665477834131085,0.7633008319328547,2023,time_exit,20
ONEUSDT,2023-08-17 00:00:00,0.00961,0.00946,-0.07634880850534752,0.021760823284174908,-0.09810963178952242,2023,time_exit,20
ONTUSDT,2020-03-12 00:00:00,0.3052,0.3722,0.2565873646398715,-0.012162222793463453,0.26874958743333494,2020,time_exit,20
ONTUSDT,2022-05-11 00:00:00,0.2667,0.2947,0.184677738608938,-0.015139926488053845,0.19981766509699184,2022,time_exit,20
ONTUSDT,2023-06-10 00:00:00,0.1601,0.2043,0.9463523684685446,0.007841551947176324,0.9385108165213684,2023,time_exit,20
OPUSDT,2022-10-15 00:00:00,0.6856,1.3625,3.2943429621997797,0.011594243523984055,3.2827487186757955,2022,time_exit,20
OPUSDT,2023-05-11 00:00:00,1.5561,1.3821,-0.35665974742982925,0.012432406968954876,-0.3690921543987841,2023,time_exit,20
PENDLEUSDT,2023-08-15 00:00:00,0.6276,0.4949633673841257,-1.0,0.0028390346812448577,-1.0028390346812448,2023,atr_stop,2
PENDLEUSDT,2023-08-18 00:00:00,0.5414,0.6067,0.4294542323338773,-0.021259392229139935,0.4507136245630172,2023,time_exit,20
PEOPLEUSDT,2022-01-07 00:00:00,0.10042,0.043115714285714285,-1.0,0.007360077780270731,-1.0073600777802707,2022,atr_stop,14
PEOPLEUSDT,2022-01-22 00:00:00,0.03762,0.06537,0.6590018136179864,-0.003958998406915008,0.6629608120249014,2022,time_exit,20
PEOPLEUSDT,2022-05-11 00:00:00,0.01407,0.0231,0.43705423815800604,-0.014440444919265886,0.4514946830772719,2022,time_exit,20
PEOPLEUSDT,2023-03-11 00:00:00,0.01845,0.02295,0.7457136198969007,0.017546566904812086,0.7281670529920886,2023,time_exit,20
PEOPLEUSDT,2023-06-10 00:00:00,0.01195,0.01339,0.34047877696818346,0.007433243164868625,0.3330455338033148,2023,time_exit,20
PEOPLEUSDT,2023-08-17 00:00:00,0.00953,0.00959,0.02327194995111854,0.014010983898455518,0.009260966052663024,2023,time_exit,20
QNTUSDT,2022-11-09 00:00:00,108.55,113.44,0.11004885894515107,-0.04157677105215164,0.15162562999730272,2022,time_exit,20
QNTUSDT,2023-03-09 00:00:00,111.88,126.46,0.7014628154309228,0.0025770179644209567,0.6988857974665018,2023,time_exit,20
QTUMUSDT,2020-03-12 00:00:00,1.034,1.222,0.2746542989082016,0.0037144714296653337,0.27093982747853623,2020,time_exit,20
QTUMUSDT,2023-06-14 00:00:00,2.006,2.815,1.914853512007249,-0.013221549069925136,1.9280750610771742,2023,time_exit,20
QTUMUSDT,2023-08-17 00:00:00,2.088,2.16,0.15202860852080607,0.025081126449627556,0.1269474820711785,2023,time_exit,20
RLCUSDT,2022-01-22 00:00:00,1.7681,2.0684,0.3702416500087726,0.009965635275814658,0.36027601473295795,2022,time_exit,20
RLCUSDT,2022-05-11 00:00:00,0.8242,0.9811,0.2631140457657893,-0.009407060545148383,0.2725211063109377,2022,time_exit,20
ROSEUSDT,2022-05-11 00:00:00,0.0786,0.07921,0.00839788723576908,-0.02814790079410232,0.0365457880298714,2022,time_exit,20
ROSEUSDT,2023-08-17 00:00:00,0.0404,0.04013,-0.034923118870476166,0.011948809050714734,-0.0468719279211909,2023,time_exit,20
RSRUSDT,2022-05-11 00:00:00,0.004429,0.006774,0.542263957293086,-0.015728848314657616,0.5579928056077436,2022,time_exit,20
RSRUSDT,2022-12-28 00:00:00,0.002789,0.003938,1.743498608415226,0.023195786373238145,1.7203028220419878,2022,time_exit,20
RSRUSDT,2023-06-10 00:00:00,0.001935,0.002421,0.7499102462013996,0.009282768148772061,0.7406274780526275,2023,time_exit,20
RUNEUSDT,2022-05-12 00:00:00,2.948,2.781,-0.05553811403231085,-0.0007129939846205646,-0.05482512004769028,2022,time_exit,20
RUNEUSDT,2023-06-12 00:00:00,0.845,1.071,1.2813271514682267,0.00425571807532311,1.2770714333929036,2023,time_exit,20
RVNUSDT,2022-05-11 00:00:00,0.02469,0.0297,0.3113738118054638,-0.014680481950567929,0.32605429375603173,2022,time_exit,20
RVNUSDT,2022-11-09 00:00:00,0.01989,0.0213,0.15598527940692739,0.007564692211958448,0.14842058719496895,2022,time_exit,20
RVNUSDT,2023-08-17 00:00:00,0.01546,0.01497,-0.17586765612883018,0.02584655101982461,-0.2017142071486548,2023,time_exit,20
SANDUSDT,2022-05-12 00:00:00,1.1115,1.3236,0.23656227569769467,-0.006931435704243973,0.24349371140193865,2022,time_exit,20
SANDUSDT,2022-12-30 00:00:00,0.3866,0.7045,3.6831411359241697,0.022574921621367643,3.660566214302802,2022,time_exit,20
SANDUSDT,2023-06-14 00:00:00,0.3696,0.4385,0.5944545792610928,0.014596679688979016,0.5798578995721138,2023,time_exit,20
SANDUSDT,2023-08-16 00:00:00,0.3564,0.3019028148566727,-1.0,-0.010084090445307854,-0.9899159095546921,2023,atr_stop,1
SANDUSDT,2023-08-18 00:00:00,0.3276,0.3081,-0.30552964801848675,0.012065698216507076,-0.31759534623499386,2023,time_exit,20
SANDUSDT,2023-09-11 00:00:00,0.2812,0.3225,0.9605135961456341,0.027001663688352554,0.9335119324572816,2023,time_exit,20
SFPUSDT,2022-05-12 00:00:00,0.3315,0.3965,0.2676161854718093,0.002067791050749772,0.26554839442105954,2022,time_exit,20
SKLUSDT,2022-01-22 00:00:00,0.11303,0.14886,0.6054694172566463,0.003494104871062189,0.6019753123855841,2022,time_exit,20
