stoch_n,oversold,smooth_d,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
7,10,1,20,2.0,ema200_price_above,533,0.4278,0.1778,1.4184,14.86,94.74
7,10,1,20,3.0,none,1977,0.4512,0.0304,1.0876,22.73,60.04
7,10,1,20,3.0,ema200_price_above,522,0.4598,0.1174,1.3945,6.75,61.29
7,10,1,25,2.0,none,2004,0.3733,0.0986,1.1921,37.91,197.54
7,10,1,25,2.0,ema200_price_above,491,0.3849,0.239,1.4848,17.72,117.37
7,10,1,25,3.0,none,1820,0.4258,0.0684,1.1844,21.62,124.48
7,10,1,25,3.0,ema200_price_above,481,0.4096,0.1473,1.4156,8.76,70.85
7,10,3,10,2.0,none,940,0.4564,-0.0137,0.9616,29.1,-12.89
7,10,3,10,2.0,ema200_price_above,142,0.4366,0.0484,1.1331,8.24,6.88
7,10,3,10,3.0,none,918,0.4804,0.0114,1.0495,10.57,10.43
7,10,3,10,3.0,ema200_price_above,141,0.461,0.0166,1.0611,6.67,2.34
7,10,3,15,2.0,none,901,0.4229,-0.0119,0.9721,26.91,-10.69
7,10,3,15,2.0,ema200_price_above,138,0.413,0.0006,1.0015,13.58,0.09
7,10,3,15,3.0,none,869,0.4672,0.0176,1.0632,18.07,15.26
7,10,3,15,3.0,ema200_price_above,137,0.4307,-0.0285,0.913,12.15,-3.9
7,10,3,20,2.0,none,861,0.4355,0.0949,1.2118,14.27,81.7
7,10,3,20,2.0,ema200_price_above,136,0.4044,0.0437,1.0935,14.38,5.95
7,10,3,20,3.0,none,821,0.486,0.089,1.2897,9.31,73.04
7,10,3,20,3.0,ema200_price_above,133,0.4286,-0.0191,0.949,13.36,-2.54
7,10,3,25,2.0,none,831,0.4116,0.1347,1.2859,17.99,111.92
7,10,3,25,2.0,ema200_price_above,133,0.3609,0.2117,1.4211,16.12,28.15
7,10,3,25,3.0,none,783,0.4649,0.1132,1.3458,9.75,88.65
7,10,3,25,3.0,ema200_price_above,130,0.3923,0.1138,1.2804,13.81,14.79
7,15,1,10,2.0,none,3614,0.4635,0.023,1.0637,33.25,83.0
7,15,1,10,2.0,ema200_price_above,901,0.4961,0.0808,1.2548,10.6,72.83
7,15,1,10,3.0,none,3442,0.4762,0.0176,1.0703,24.41,60.63
7,15,1,10,3.0,ema200_price_above,887,0.5017,0.0392,1.1724,8.35,34.76
7,15,1,15,2.0,none,3063,0.4153,-0.0064,0.9855,78.8,-19.55
7,15,1,15,2.0,ema200_price_above,793,0.459,0.1335,1.3399,12.79,105.9
7,15,1,15,3.0,none,2826,0.4381,-0.0123,0.9611,67.51,-34.82
7,15,1,15,3.0,ema200_price_above,775,0.4748,0.0744,1.2601,8.66,57.68
7,15,1,20,2.0,none,2686,0.3935,0.0365,1.074,45.57,98.0
7,15,1,20,2.0,ema200_price_above,703,0.4296,0.2299,1.5385,12.76,161.64
7,15,1,20,3.0,none,2417,0.4423,0.0406,1.1154,23.47,98.1
7,15,1,20,3.0,ema200_price_above,683,0.4627,0.1657,1.5379,7.5,113.17
7,15,1,25,2.0,none,2465,0.374,0.1348,1.2609,40.46,332.21
7,15,1,25,2.0,ema200_price_above,637,0.3909,0.2909,1.6005,15.58,185.27
7,15,1,25,3.0,none,2187,0.4207,0.1065,1.2803,18.76,232.82
7,15,1,25,3.0,ema200_price_above,619,0.4233,0.197,1.5465,10.49,121.97
7,15,3,10,2.0,none,2096,0.4766,0.0096,1.0272,28.08,20.02
7,15,3,10,2.0,ema200_price_above,403,0.4839,0.0806,1.2463,9.34,32.46
7,15,3,10,3.0,none,1995,0.4962,0.0096,1.0398,17.93,19.16
7,15,3,10,3.0,ema200_price_above,397,0.4937,0.0426,1.1835,6.64,16.91
7,15,3,15,2.0,none,1908,0.4203,-0.0187,0.957,81.88,-35.7
7,15,3,15,2.0,ema200_price_above,379,0.4433,0.062,1.153,13.24,23.49
7,15,3,15,3.0,none,1777,0.4496,-0.0128,0.9578,56.7,-22.83
7,15,3,15,3.0,ema200_price_above,375,0.464,0.0356,1.1234,6.26,13.35
7,15,3,20,2.0,none,1783,0.4257,0.0552,1.1171,23.94,98.46
7,15,3,20,2.0,ema200_price_above,352,0.4205,0.0809,1.178,13.31,28.46
7,15,3,20,3.0,none,1613,0.4656,0.0391,1.1157,20.68,63.1
7,15,3,20,3.0,ema200_price_above,344,0.4593,0.0464,1.1415,9.83,15.95
7,15,3,25,2.0,none,1680,0.3917,0.1493,1.3045,20.78,250.81
7,15,3,25,2.0,ema200_price_above,337,0.3442,0.164,1.3225,11.81,55.28
7,15,3,25,3.0,none,1512,0.4378,0.1004,1.2857,12.16,151.81
