symbol,timeframe,datetime,side,entry_time,entry_price,initial_stop,current_stop,old_stop,stop_changed,breakeven_active,chandelier_active,be_activated_this_bar,chand_activated_this_bar,chandelier_candidate,mfe_r,mae_r,close,high,low,atr
XUSD/USDT,4h,2025-12-10 20:00:00+00:00,LONG,2025-12-10 16:00:00+00:00,1.0002,0.9997714285714286,0.9997714285714286,0.9997714285714286,False,False,False,False,False,,0.0,-0.4666666666666667,1.0001,1.0002,1.0,0.00022142857142854705
MLN/USDT,4h,2025-12-11 00:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,5.25,5.464285714285714,5.464285714285714,5.464285714285714,False,False,False,False,False,,0.7466666666666669,-0.5133333333333345,5.1,5.18,5.09,0.10428571428571434
SAHARA/USDT,4h,2025-12-11 00:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.0339,0.03549571428571428,0.0339,0.03549571428571428,True,True,False,True,False,,1.2408236347359014,-0.6517457475380479,0.03231,0.03413,0.03192,0.0009857142857142846
SAPIEN/USDT,4h,2025-12-11 00:00:00+00:00,SHORT,2025-12-10 16:00:00+00:00,0.1427,0.15538571428571427,0.15538571428571427,0.15538571428571427,False,False,False,False,False,,0.5202702702702701,-0.14189189189189164,0.137,0.1416,0.1361,0.006257142857142854
TRX/USDT,4h,2025-12-11 00:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.279,0.28214285714285714,0.28214285714285714,0.28214285714285714,False,False,False,False,False,,0.7000000000000124,-0.5409090909090852,0.2784,0.2805,0.278,0.001821428571428573
XUSD/USDT,4h,2025-12-11 00:00:00+00:00,LONG,2025-12-10 16:00:00+00:00,1.0002,0.9997714285714286,0.9997714285714286,0.9997714285714286,False,False,False,False,False,,0.0,-0.9333333333333333,0.9999,1.0002,0.9998,0.00023571428571425975
AI/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0409,0.04357142857142857,0.04357142857142857,0.04357142857142857,False,False,False,False,False,,0.07486631016042726,-0.29946524064171165,0.0413,0.0417,0.0407,0.001364285714285716
BB/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0763,0.0835,0.0835,0.0835,False,False,False,False,False,,0.05555555555555716,-0.6666666666666666,0.0794,0.0811,0.0759,0.0037714285714285705
DODO/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0204,0.021357142857142856,0.021357142857142856,0.021357142857142856,False,False,False,False,False,,0.20895522388059978,-0.3134328358208942,0.0207,0.0207,0.0202,0.00047857142857142765
ENA/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.2477,0.2697714285714286,0.2697714285714286,0.2697714285714286,False,False,False,False,False,,0.054368932038835215,-0.18122977346278196,0.2506,0.2517,0.2465,0.010928571428571432
FIL/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,1.382,1.4724285714285712,1.4724285714285712,1.4724285714285712,False,False,False,False,False,,0.08846761453396296,-0.27646129541864317,1.389,1.407,1.374,0.046142857142857104
JTO/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.396,0.43542857142857144,0.43542857142857144,0.43542857142857144,False,False,False,False,False,,0.07608695652173916,-0.12681159420289861,0.396,0.401,0.393,0.019714285714285722
LAYER/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.1936,0.20284285714285713,0.20284285714285713,0.20284285714285713,False,False,False,False,False,,0.07573415765069615,-0.19474497681607364,0.1933,0.1954,0.1929,0.0046142857142857175
MLN/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,5.25,5.464285714285714,5.464285714285714,5.464285714285714,False,False,False,False,False,,0.7933333333333326,-0.5133333333333345,5.09,5.13,5.08,0.10285714285714288
OSMO/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0672,0.07137142857142857,0.07137142857142857,0.07137142857142857,False,False,False,False,False,,0.19178082191780693,-0.2876712328767137,0.0683,0.0684,0.0664,0.002142857142857144
PENDLE/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,2.265,2.4332857142857143,2.4332857142857143,2.4332857142857143,False,False,False,False,False,,0.03565365025467032,-0.2911714770797962,2.279,2.314,2.259,0.08507142857142849
PUMP/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.002742,0.002965,0.002965,0.002965,False,False,False,False,False,,0.05381165919282639,-0.19730941704035762,0.002772,0.002786,0.00273,0.00011021428571428575
RAD/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.289,0.3047142857142857,0.3047142857142857,0.3047142857142857,False,False,False,False,False,,0.1909090909090909,-0.06363636363636363,0.289,0.29,0.286,0.007714285714285721
SAGA/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0658,0.071,0.071,0.071,False,False,False,False,False,,0.21153846153846217,-0.3076923076923084,0.0665,0.0674,0.0647,0.002692857142857145
SAPIEN/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-10 16:00:00+00:00,0.1427,0.15538571428571427,0.15538571428571427,0.15538571428571427,False,False,False,False,False,,0.5202702702702701,-0.14189189189189164,0.1414,0.1419,0.1371,0.006364285714285711
SPK/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.023079,0.02468285714285714,0.02468285714285714,0.02468285714285714,False,False,False,False,False,,0.06047920192393336,-0.3123719604524819,0.023237,0.02358,0.022982,0.0008256428571428564
TRX/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.279,0.28214285714285714,0.28214285714285714,0.28214285714285714,False,False,False,False,False,,0.7000000000000124,-0.5409090909090852,0.279,0.2798,0.2784,0.001757142857142858
UNI/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,5.316,5.685142857142857,5.685142857142857,5.685142857142857,False,False,False,False,False,,0.06230650154798674,-0.21400928792569576,5.355,5.395,5.293,0.18592857142857147
VIRTUAL/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.7964,0.8603,0.8603,0.8603,False,False,False,False,False,,0.06572769953051617,-0.30829420970266136,0.8075,0.8161,0.7922,0.032385714285714275
XRP/USDT,4h,2025-12-11 04:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,1.9995,2.0806142857142857,2.0806142857142857,2.0806142857142857,False,False,False,False,False,,0.0530116238112007,-0.2465656921451187,2.0069,2.0195,1.9952,0.04053571428571433
XUSD/USDT,4h,2025-12-11 04:00:00+00:00,LONG,2025-12-10 16:00:00+00:00,1.0002,0.9997714285714286,0.9997714285714286,0.9997714285714286,False,False,False,False,False,,0.0,-0.9333333333333333,1.0,1.0,0.9998,0.00023571428571425975
AI/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0409,0.04357142857142857,0.04357142857142857,0.04357142857142857,False,False,False,False,False,,0.07486631016042726,-0.3743315508021389,0.0416,0.0419,0.0409,0.0013785714285714304
BB/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0763,0.0835,0.0835,0.0835,False,False,False,False,False,,0.05555555555555716,-0.6666666666666666,0.078,0.0795,0.077,0.0037785714285714276
DODO/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0204,0.021357142857142856,0.021357142857142856,0.021357142857142856,False,False,False,False,False,,0.20895522388059978,-0.4179104477611923,0.0206,0.0208,0.0204,0.00047857142857142765
ENA/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.2477,0.2697714285714286,0.2697714285714286,0.2697714285714286,False,False,False,False,False,,0.054368932038835215,-0.24012944983818751,0.2529,0.253,0.248,0.010785714285714289
FIL/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,1.382,1.4724285714285712,1.4724285714285712,1.4724285714285712,False,False,False,False,False,,0.12164296998420122,-0.27646129541864317,1.387,1.394,1.371,0.045214285714285686
JTO/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.396,0.43542857142857144,0.43542857142857144,0.43542857142857144,False,False,False,False,False,,0.10144927536231889,-0.12681159420289861,0.396,0.401,0.392,0.01957142857142858
LAYER/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.1936,0.20284285714285713,0.20284285714285713,0.20284285714285713,False,False,False,False,False,,0.17310664605873147,-0.3786707882534777,0.1963,0.1971,0.192,0.004607142857142861
MLN/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,5.25,5.464285714285714,5.25,5.464285714285714,True,True,False,True,False,,1.0266666666666648,-0.5133333333333345,5.11,5.18,5.03,0.10857142857142861
OSMO/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0672,0.07137142857142857,0.07137142857142857,0.07137142857142857,False,False,False,False,False,,0.19178082191780693,-0.3835616438356172,0.0681,0.0688,0.0675,0.0021357142857142864
PENDLE/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,2.265,2.4332857142857143,2.4332857142857143,2.4332857142857143,False,False,False,False,False,,0.05348047538200548,-0.2911714770797962,2.282,2.294,2.256,0.08371428571428566
PUMP/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.002742,0.002965,0.002965,0.002965,False,False,False,False,False,,0.05381165919282639,-0.19730941704035762,0.00276,0.002776,0.002747,0.00010564285714285717
RAD/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.289,0.3047142857142857,0.3047142857142857,0.3047142857142857,False,False,False,False,False,,0.1909090909090909,-0.12727272727272726,0.289,0.291,0.286,0.007571428571428578
SAGA/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0658,0.071,0.071,0.071,False,False,False,False,False,,0.21153846153846217,-0.3076923076923084,0.0666,0.0673,0.066,0.00267857142857143
SAPIEN/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-10 16:00:00+00:00,0.1427,0.15538571428571427,0.15538571428571427,0.15538571428571427,False,False,False,False,False,,0.5202702702702701,-1.3164414414414414,0.1518,0.1594,0.1407,0.0067499999999999965
SPK/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.023079,0.02468285714285714,0.02468285714285714,0.02468285714285714,False,False,False,False,False,,0.10412398681749396,-0.3123719604524819,0.023108,0.023267,0.022912,0.0008267857142857137
TRX/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.279,0.28214285714285714,0.28214285714285714,0.28214285714285714,False,False,False,False,False,,0.7000000000000124,-0.5727272727272635,0.28,0.2808,0.2787,0.0018142857142857166
UNI/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,5.316,5.685142857142857,5.685142857142857,5.685142857142857,False,False,False,False,False,,0.06230650154798674,-0.2790247678018568,5.406,5.419,5.327,0.17771428571428574
VIRTUAL/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.7964,0.8603,0.8603,0.8603,False,False,False,False,False,,0.06572769953051617,-0.30829420970266136,0.8092,0.8142,0.8017,0.031785714285714285
XRP/USDT,4h,2025-12-11 08:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,1.9995,2.0806142857142857,2.0806142857142857,2.0806142857142857,False,False,False,False,False,,0.0530116238112007,-0.2465656921451187,2.0083,2.0189,2.0003,0.04001428571428573
XUSD/USDT,4h,2025-12-11 08:00:00+00:00,LONG,2025-12-10 16:00:00+00:00,1.0002,0.9997714285714286,0.9997714285714286,0.9997714285714286,False,False,False,False,False,,0.23333333333333334,-0.9333333333333333,1.0001,1.0003,0.9999,0.0002428571428571161
AI/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0409,0.04357142857142857,0.04357142857142857,0.04357142857142857,False,False,False,False,False,,0.07486631016042726,-0.48663101604278114,0.0417,0.0422,0.0414,0.0013714285714285736
BB/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0763,0.0835,0.0835,0.0835,False,False,False,False,False,,0.05555555555555716,-0.6666666666666666,0.0783,0.0789,0.077,0.003592857142857143
BFUSD/USDT,4h,2025-12-11 12:00:00+00:00,LONG,2025-12-11 08:00:00+00:00,0.9994,0.9990142857142857,0.9990142857142857,0.9990142857142857,False,False,False,False,False,,0.2592592592595364,-0.2592592592592486,0.9994,0.9995,0.9993,0.00019999999999999383
DODO/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0204,0.021357142857142856,0.021357142857142856,0.021357142857142856,False,False,False,False,False,,0.20895522388059978,-0.4179104477611923,0.0205,0.0207,0.0204,0.00047857142857142765
DOT/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 08:00:00+00:00,2.043,2.1914285714285717,2.1914285714285717,2.1914285714285717,False,False,False,False,False,,0.18190567853705567,-0.09432146294513809,2.027,2.057,2.016,0.0740714285714286
ENA/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.2477,0.2697714285714286,0.2697714285714286,0.2697714285714286,False,False,False,False,False,,0.054368932038835215,-0.4666666666666665,0.2531,0.258,0.2517,0.010750000000000004
FIL/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,1.382,1.4724285714285712,1.4724285714285712,1.4724285714285712,False,False,False,False,False,,0.232227488151658,-0.27646129541864317,1.374,1.403,1.361,0.04657142857142855
HBAR/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 08:00:00+00:00,0.12924,0.1356642857142857,0.1356642857142857,0.1356642857142857,False,False,False,False,False,,0.12608405603735878,-0.23348899266177423,0.12922,0.13074,0.12843,0.0032478571428571495
JTO/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.396,0.43542857142857144,0.43542857142857144,0.43542857142857144,False,False,False,False,False,,0.10144927536231889,-0.15217391304347833,0.395,0.402,0.392,0.01957142857142858
LAYER/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.1936,0.20284285714285713,0.20284285714285713,0.20284285714285713,False,False,False,False,False,,0.17310664605873147,-0.3786707882534777,0.1951,0.1961,0.1928,0.004650000000000003
MLN/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,5.25,5.464285714285714,5.25,5.25,False,True,False,False,False,,1.0266666666666648,-0.5133333333333345,5.12,5.17,5.07,0.1107142857142857
OSMO/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0672,0.07137142857142857,0.07137142857142857,0.07137142857142857,False,False,False,False,False,,0.19178082191780693,-0.3835616438356172,0.0678,0.0685,0.0672,0.0021357142857142872
PENDLE/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,2.265,2.4332857142857143,2.4332857142857143,2.4332857142857143,False,False,False,False,False,,0.30899830220713137,-0.2911714770797962,2.243,2.297,2.213,0.08278571428571424
PUMP/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.002742,0.002965,0.002965,0.002965,False,False,False,False,False,,0.05381165919282639,-0.36771300448430494,0.002769,0.002824,0.002744,0.00010721428571428572
RAD/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.289,0.3047142857142857,0.3047142857142857,0.3047142857142857,False,False,False,False,False,,0.1909090909090909,-0.3181818181818182,0.289,0.294,0.288,0.007714285714285721
SAGA/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0658,0.071,0.071,0.071,False,False,False,False,False,,0.21153846153846217,-0.36538461538461503,0.0668,0.0677,0.0659,0.002678571428571429
SPK/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.023079,0.02468285714285714,0.02468285714285714,0.02468285714285714,False,False,False,False,False,,0.20637748285383348,-0.3123719604524819,0.022941,0.02326,0.022748,0.0008344285714285708
TRX/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.279,0.28214285714285714,0.28214285714285714,0.28214285714285714,False,False,False,False,False,,0.7000000000000124,-0.8272727272727258,0.2809,0.2816,0.2799,0.0018357142857142897
UNI/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,5.316,5.685142857142857,5.685142857142857,5.685142857142857,False,False,False,False,False,,0.06230650154798674,-0.2790247678018568,5.347,5.405,5.306,0.17849999999999996
VIRTUAL/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.7964,0.8603,0.8603,0.8603,False,False,False,False,False,,0.06572769953051617,-0.30829420970266136,0.802,0.816,0.7959,0.031507142857142845
XRP/USDT,4h,2025-12-11 12:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,1.9995,2.0806142857142857,2.0806142857142857,2.0806142857142857,False,False,False,False,False,,0.28108488904544005,-0.2465656921451187,1.9968,2.0149,1.9767,0.04068571428571431
XUSD/USDT,4h,2025-12-11 12:00:00+00:00,LONG,2025-12-10 16:00:00+00:00,1.0002,0.9997714285714286,0.9997714285714286,0.9997714285714286,False,False,False,False,False,,0.23333333333333334,-0.9333333333333333,1.0001,1.0003,1.0,0.0002428571428571161
AI/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0409,0.04357142857142857,0.04357142857142857,0.04357142857142857,False,False,False,False,False,,0.07486631016042726,-0.6737967914438506,0.0422,0.0427,0.0413,0.0014142857142857162
BB/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0763,0.0835,0.0835,0.0835,False,False,False,False,False,,0.05555555555555716,-0.6666666666666666,0.0771,0.0786,0.0768,0.003578571428571429
BFUSD/USDT,4h,2025-12-11 16:00:00+00:00,LONG,2025-12-11 08:00:00+00:00,0.9994,0.9990142857142857,0.9990142857142857,0.9990142857142857,False,False,False,False,False,,0.2592592592595364,-0.2592592592592486,0.9993,0.9994,0.9993,0.0001857142857142811
DODO/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0204,0.021357142857142856,0.021357142857142856,0.021357142857142856,False,False,False,False,False,,0.20895522388059978,-0.4179104477611923,0.0204,0.0208,0.0204,0.00048571428571428474
DOGE/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 12:00:00+00:00,0.13712,0.1445642857142857,0.1445642857142857,0.1445642857142857,False,False,False,False,False,,0.11955478794857075,-0.3398579927077347,0.1384,0.13965,0.13623,0.0038649999999999973
DOT/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 08:00:00+00:00,2.043,2.1914285714285717,2.1914285714285717,2.1914285714285717,False,False,False,False,False,,0.2358036573628497,-0.11453320500481161,2.032,2.06,2.008,0.07564285714285715
ENA/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.2477,0.2697714285714286,0.2697714285714286,0.2697714285714286,False,False,False,False,False,,0.054368932038835215,-0.5572815533980582,0.2563,0.26,0.2505,0.010735714285714291
FIL/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,1.382,1.4724285714285712,1.4724285714285712,1.4724285714285712,False,False,False,False,False,,0.3428120063191148,-0.27646129541864317,1.359,1.379,1.351,0.04678571428571426
HBAR/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 08:00:00+00:00,0.12924,0.1356642857142857,0.1356642857142857,0.1356642857142857,False,False,False,False,False,,0.12608405603735878,-0.23348899266177423,0.12885,0.13006,0.12866,0.003224285714285721
JTO/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.396,0.43542857142857144,0.43542857142857144,0.43542857142857144,False,False,False,False,False,,0.20289855072463778,-0.15217391304347833,0.396,0.401,0.388,0.01985714285714287
LAYER/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.1936,0.20284285714285713,0.20284285714285713,0.20284285714285713,False,False,False,False,False,,0.17310664605873147,-0.3894899536321473,0.1951,0.1972,0.1936,0.00470714285714286
MLN/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,5.25,5.464285714285714,5.25,5.25,False,True,False,False,False,,1.0266666666666648,-0.5133333333333345,5.11,5.15,5.07,0.11
OSMO/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0672,0.07137142857142857,0.07137142857142857,0.07137142857142857,False,False,False,False,False,,0.19178082191780693,-0.4315068493150706,0.0685,0.069,0.0675,0.002150000000000002
PENDLE/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,2.265,2.4332857142857143,2.4332857142857143,2.4332857142857143,False,False,False,False,False,,0.30899830220713137,-0.2911714770797962,2.266,2.299,2.222,0.0861428571428571
PUMP/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.002742,0.002965,0.002965,0.002965,False,False,False,False,False,,0.05381165919282639,-0.4618834080717477,0.002791,0.002845,0.002748,0.00010907142857142858
RAD/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.289,0.3047142857142857,0.3047142857142857,0.3047142857142857,False,False,False,False,False,,0.1909090909090909,-2.2909090909090906,0.294,0.325,0.289,0.010000000000000009
SAGA/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0658,0.071,0.071,0.071,False,False,False,False,False,,0.21153846153846217,-0.6730769230769234,0.0685,0.0693,0.0661,0.0028142857142857136
SPK/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.023079,0.02468285714285714,0.02468285714285714,0.02468285714285714,False,False,False,False,False,,0.20637748285383348,-0.3123719604524819,0.023145,0.023332,0.022762,0.0008376428571428562
TRX/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-10 08:00:00+00:00,0.279,0.28214285714285714,0.28214285714285714,0.28214285714285714,False,False,False,False,False,,0.7000000000000124,-0.922727272727261,0.2801,0.2819,0.2795,0.0019571428571428596
UNI/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,5.316,5.685142857142857,5.685142857142857,5.685142857142857,False,False,False,False,False,,0.06230650154798674,-0.4361455108359144,5.415,5.477,5.307,0.18692857142857142
VIRTUAL/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.7964,0.8603,0.8603,0.8603,False,False,False,False,False,,0.06572769953051617,-0.5179968701095466,0.8152,0.8295,0.7931,0.03325714285714285
WLFI/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 12:00:00+00:00,0.1447,0.15348571428571428,0.15348571428571428,0.15348571428571428,False,False,False,False,False,,0.12520325203251922,-0.36422764227642385,0.1468,0.1479,0.1436,0.00454285714285714
XRP/USDT,4h,2025-12-11 16:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,1.9995,2.0806142857142857,2.0806142857142857,2.0806142857142857,False,False,False,False,False,,0.28108488904544005,-0.3254667136315597,2.0114,2.0259,1.9838,0.04192857142857144
XUSD/USDT,4h,2025-12-11 16:00:00+00:00,LONG,2025-12-10 16:00:00+00:00,1.0002,0.9997714285714286,0.9997714285714286,0.9997714285714286,False,False,False,False,False,,0.23333333333333334,-0.9333333333333333,1.0001,1.0001,0.9999,0.0002428571428571161
AI/USDT,4h,2025-12-11 20:00:00+00:00,SHORT,2025-12-11 00:00:00+00:00,0.0409,0.04357142857142857,0.04357142857142857,0.04357142857142857,False,False,False,False,False,,0.07486631016042726,-0.8983957219251324,0.0424,0.0433,0.0421,0.0013714285714285731
