trade_idx,symbol,entry_time,exit_time,net_r,pnl_usd,equity_after,year
111,ARB_USDT,2024-07-04 00:00:00+00:00,2024-07-24 00:00:00+00:00,0.4831,13.21,10946.94,2024
112,ICP_USDT,2024-07-04 00:00:00+00:00,2024-07-24 00:00:00+00:00,2.2134,60.57,11007.51,2024
113,CHZ_USDT,2024-07-04 00:00:00+00:00,2024-07-24 00:00:00+00:00,0.4549,12.52,11020.03,2024
114,ALT_USDT,2024-07-05 00:00:00+00:00,2024-07-25 00:00:00+00:00,0.2782,7.66,11027.7,2024
115,ATOM_USDT,2024-07-05 00:00:00+00:00,2024-07-25 00:00:00+00:00,0.214,5.9,11033.6,2024
116,WLD_USDT,2024-07-08 00:00:00+00:00,2024-07-28 00:00:00+00:00,0.7195,19.85,11053.44,2024
117,ALT_USDT,2024-08-03 00:00:00+00:00,2024-08-23 00:00:00+00:00,0.2318,6.41,11059.85,2024
118,PENDLE_USDT,2024-08-04 00:00:00+00:00,2024-08-24 00:00:00+00:00,0.9143,25.28,11085.13,2024
119,DOT_USDT,2024-08-04 00:00:00+00:00,2024-08-24 00:00:00+00:00,0.3165,8.77,11093.9,2024
120,ATOM_USDT,2024-08-05 00:00:00+00:00,2024-08-25 00:00:00+00:00,0.3668,10.17,11104.07,2024
121,CHZ_USDT,2024-08-05 00:00:00+00:00,2024-08-25 00:00:00+00:00,0.7153,19.86,11123.93,2024
122,GRT_USDT,2024-08-05 00:00:00+00:00,2024-08-25 00:00:00+00:00,0.9544,26.54,11150.47,2024
123,ARB_USDT,2024-08-05 00:00:00+00:00,2024-08-25 00:00:00+00:00,0.6918,19.28,11169.76,2024
124,LPT_USDT,2024-08-05 00:00:00+00:00,2024-08-25 00:00:00+00:00,1.4183,39.61,11209.36,2024
125,LINK_USDT,2024-08-05 00:00:00+00:00,2024-08-25 00:00:00+00:00,0.9064,25.4,11234.76,2024
126,ENA_USDT,2024-08-05 00:00:00+00:00,2024-08-25 00:00:00+00:00,0.6354,17.85,11252.61,2024
127,EIGEN_USDT,2024-10-15 00:00:00+00:00,2024-11-04 00:00:00+00:00,-0.804,-22.62,11229.99,2024
128,EIGEN_USDT,2024-11-05 00:00:00+00:00,2024-11-25 00:00:00+00:00,0.8795,24.69,11254.68,2024
129,TON_USDT,2025-02-02 00:00:00+00:00,2025-02-22 00:00:00+00:00,-0.3655,-10.28,11244.4,2025
130,ALT_USDT,2025-02-04 00:00:00+00:00,2025-02-24 00:00:00+00:00,-0.4434,-12.46,11231.93,2025
