symbol,entry_ts,r,funding,year,tf,lookback_n,hold_bars,atr_mult,ov_s7,ov_mc,ov_any
1INCHUSDT,1738512000000,0.7103664135421434,0.0001,2025,4h,15,30,2.0,False,False,False
1INCHUSDT,1740427200000,-1.0,0.0001,2025,4h,15,30,2.0,True,False,True
1INCHUSDT,1741046400000,-1.0,0.0001,2025,4h,15,30,2.0,False,False,False
1INCHUSDT,1741622400000,-0.475219704992151,0.0001,2025,4h,15,30,2.0,False,False,False
1INCHUSDT,1743998400000,-1.0,0.0001,2025,4h,15,30,2.0,True,False,True
1INCHUSDT,1749153600000,-1.0,0.0001,2025,4h,15,30,2.0,False,True,True
1INCHUSDT,1749715200000,1.18984368963798,0.0001,2025,4h,15,30,2.0,False,True,True
1INCHUSDT,1758499200000,0.4536105870883055,0.0001,2025,4h,15,30,2.0,False,True,True
1INCHUSDT,1760126400000,0.0125130457950625,0.0001,2025,4h,15,30,2.0,False,False,False
1INCHUSDT,1763150400000,-1.0,0.0001,2025,4h,15,30,2.0,False,False,False
1INCHUSDT,1764950400000,0.725203339840944,0.0001,2025,4h,15,30,2.0,False,False,False
1INCHUSDT,1769515200000,1.0343180113547192,0.0001,2026,4h,15,30,2.0,True,False,True
1INCHUSDT,1780531200000,1.15210025680688,0.0001,2026,4h,15,30,2.0,True,False,True
AAVEUSDT,1616616000000,-1.0,0.00102243,2021,4h,15,30,2.0,False,False,False
AAVEUSDT,1618704000000,-1.0,0.00134594,2021,4h,15,30,2.0,False,True,True
AAVEUSDT,1624248000000,1.8363012949200912,0.0001,2021,4h,15,30,2.0,False,False,False
AAVEUSDT,1631016000000,-0.2598901893541611,0.00058695,2021,4h,15,30,2.0,False,True,True
AAVEUSDT,1636574400000,0.2944167030911872,0.00047334,2021,4h,15,30,2.0,True,True,True
AAVEUSDT,1637020800000,0.5301865141277932,0.00025922,2021,4h,15,30,2.0,True,True,True
AAVEUSDT,1637913600000,-1.0,0.00028538,2021,4h,15,30,2.0,True,False,True
AAVEUSDT,1638590400000,-0.2913046153008474,0.0001,2021,4h,15,30,2.0,True,True,True
AAVEUSDT,1663070400000,0.9112810919830844,0.0001,2022,4h,15,30,2.0,True,False,True
AAVEUSDT,1677801600000,-0.0118591036974852,0.0001,2023,4h,15,30,2.0,False,False,False
AAVEUSDT,1681891200000,1.3799558232966755,0.0001,2023,4h,15,30,2.0,False,True,True
AAVEUSDT,1685505600000,1.4863824604420115,0.0001,2023,4h,15,30,2.0,True,True,True
AAVEUSDT,1685966400000,-1.0,0.0001,2023,4h,15,30,2.0,True,True,True
AAVEUSDT,1686369600000,-1.0,0.0001,2023,4h,15,30,2.0,True,False,True
AAVEUSDT,1690732800000,2.097382908473954,0.0001,2023,4h,15,30,2.0,False,True,True
AAVEUSDT,1692115200000,3.429881405685774,0.0001,2023,4h,15,30,2.0,True,True,True
AAVEUSDT,1692720000000,-1.0,0.0001,2023,4h,15,30,2.0,False,False,False
AAVEUSDT,1704283200000,0.6432338692905765,0.00012012,2024,4h,15,30,2.0,False,True,True
AAVEUSDT,1709654400000,-1.0,0.00073379,2024,4h,15,30,2.0,False,False,False
AAVEUSDT,1712016000000,0.2410183580560358,0.00022997,2024,4h,15,30,2.0,False,True,True
AAVEUSDT,1712937600000,1.5304178782912845,0.0001302,2024,4h,15,30,2.0,False,True,True
AAVEUSDT,1717776000000,0.5994945739788434,0.0001,2024,4h,15,30,2.0,False,True,True
AAVEUSDT,1718668800000,-1.0,0.0001,2024,4h,15,30,2.0,False,False,False
