timeframe,filter_mode,bb_n,std_mult,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
4h,none,10,2.5,25,3.0,392,0.4362,0.0337,1.085,11.07,13.2
4h,none,10,2.5,25,4.0,389,0.4576,0.0425,1.1396,9.19,16.54
4h,none,10,3.0,10,2.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,10,3.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,10,4.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,15,2.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,15,3.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,15,4.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,20,2.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,20,3.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,20,4.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,25,2.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,25,3.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,10,3.0,25,4.0,0,0.0,0.0,0.0,0.0,0.0
4h,none,15,1.5,10,2.0,2369,0.4331,-0.0656,0.836,156.55,-155.33
4h,none,15,1.5,10,3.0,2152,0.4591,-0.0571,0.8009,124.11,-122.89
4h,none,15,1.5,10,4.0,2047,0.4704,-0.0447,0.7989,92.71,-91.56
4h,none,15,1.5,15,2.0,2175,0.4018,-0.043,0.9109,97.08,-93.44
4h,none,15,1.5,15,3.0,1911,0.4495,-0.0372,0.8924,72.19,-71.07
4h,none,15,1.5,15,4.0,1797,0.4485,-0.0367,0.8625,65.81,-65.87
4h,none,15,1.5,20,2.0,1983,0.3701,-0.0611,0.8865,120.69,-121.21
4h,none,15,1.5,20,3.0,1707,0.4247,-0.0512,0.8704,86.47,-87.32
4h,none,15,1.5,20,4.0,1576,0.4448,-0.0346,0.886,73.9,-54.58
4h,none,15,1.5,25,2.0,1837,0.3527,0.0008,1.0015,57.79,1.52
4h,none,15,1.5,25,3.0,1549,0.4241,0.0325,1.0764,33.04,50.31
4h,none,15,1.5,25,4.0,1419,0.4369,-0.0109,0.9675,52.47,-15.47
4h,none,15,2.0,10,2.0,1520,0.3961,-0.1173,0.7335,181.67,-178.3
4h,none,15,2.0,10,3.0,1448,0.4337,-0.0768,0.7499,112.88,-111.19
4h,none,15,2.0,10,4.0,1392,0.4389,-0.0544,0.7615,76.74,-75.73
4h,none,15,2.0,15,2.0,1438,0.3866,-0.0293,0.9427,49.35,-42.2
4h,none,15,2.0,15,3.0,1347,0.4529,0.001,1.0029,25.73,1.38
4h,none,15,2.0,15,4.0,1276,0.4538,-0.0064,0.9768,24.74,-8.22
4h,none,15,2.0,20,2.0,1354,0.3589,-0.0457,0.9174,63.84,-61.94
4h,none,15,2.0,20,3.0,1261,0.4195,-0.0248,0.937,38.12,-31.3
4h,none,15,2.0,20,4.0,1181,0.4378,-0.0246,0.922,31.46,-29.1
4h,none,15,2.0,25,2.0,1291,0.3617,0.0105,1.0182,30.75,13.56
4h,none,15,2.0,25,3.0,1157,0.4313,0.0199,1.0465,28.72,23.03
4h,none,15,2.0,25,4.0,1081,0.4551,0.021,1.0611,20.69,22.7
4h,none,15,2.5,10,2.0,649,0.3852,-0.1331,0.7063,88.53,-86.39
4h,none,15,2.5,10,3.0,641,0.4197,-0.0945,0.7024,62.06,-60.57
4h,none,15,2.5,10,4.0,640,0.4375,-0.0599,0.7404,38.23,-38.34
4h,none,15,2.5,15,2.0,640,0.3969,0.031,1.0599,33.08,19.85
4h,none,15,2.5,15,3.0,629,0.442,0.0165,1.0436,23.27,10.37
4h,none,15,2.5,15,4.0,621,0.467,0.0123,1.0416,19.52,7.62
4h,none,15,2.5,20,2.0,608,0.3553,-0.02,0.9648,43.37,-12.17
4h,none,15,2.5,20,3.0,595,0.4084,-0.0251,0.9407,36.12,-14.93
4h,none,15,2.5,20,4.0,587,0.4276,-0.0341,0.9013,32.69,-20.04
4h,none,15,2.5,25,2.0,571,0.317,-0.07,0.8858,52.86,-39.99
4h,none,15,2.5,25,3.0,542,0.3856,-0.0539,0.8836,45.21,-29.21
4h,none,15,2.5,25,4.0,534,0.4213,0.0077,1.0221,30.03,4.09
4h,none,15,3.0,10,2.0,144,0.4931,0.1202,1.309,4.78,17.31
4h,none,15,3.0,10,3.0,144,0.5347,0.0774,1.2804,4.41,11.14
4h,none,15,3.0,10,4.0,144,0.5486,0.0736,1.3669,2.34,10.6
4h,none,15,3.0,15,2.0,144,0.5347,0.4787,2.1183,4.0,68.94
4h,none,15,3.0,15,3.0,144,0.5833,0.3248,2.0382,4.37,46.77
4h,none,15,3.0,15,4.0,144,0.625,0.2763,2.2347,2.88,39.78
4h,none,15,3.0,20,2.0,140,0.4857,0.358,1.7741,5.25,50.12
4h,none,15,3.0,20,3.0,140,0.55,0.2374,1.6695,4.9,33.24
4h,none,15,3.0,20,4.0,140,0.5857,0.2146,1.8124,3.94,30.04
4h,none,15,3.0,25,2.0,133,0.3459,0.0394,1.0667,15.02,5.24
4h,none,15,3.0,25,3.0,130,0.4,0.0361,1.0827,9.82,4.7
4h,none,15,3.0,25,4.0,130,0.4462,0.205,1.6746,7.28,26.64
4h,none,20,1.5,10,2.0,2150,0.4451,-0.0437,0.8873,96.73,-93.95
4h,none,20,1.5,10,3.0,1917,0.4632,-0.0467,0.8341,90.47,-89.61
4h,none,20,1.5,10,4.0,1821,0.4695,-0.0417,0.8127,76.94,-75.86
4h,none,20,1.5,15,2.0,1977,0.436,0.0455,1.0976,25.54,89.95
4h,none,20,1.5,15,3.0,1719,0.4834,0.0334,1.1008,20.4,57.4
4h,none,20,1.5,15,4.0,1603,0.486,0.0169,1.0663,19.79,27.15
4h,none,20,1.5,20,2.0,1867,0.3985,0.0103,1.0198,52.36,19.24
4h,none,20,1.5,20,3.0,1596,0.4524,-0.0136,0.9641,38.85,-21.65
4h,none,20,1.5,20,4.0,1462,0.4631,-0.024,0.9203,41.51,-35.09
4h,none,20,1.5,25,2.0,1751,0.3878,0.098,1.1801,30.4,171.68
4h,none,20,1.5,25,3.0,1481,0.4517,0.0528,1.1294,27.46,78.26
4h,none,20,1.5,25,4.0,1360,0.4713,0.0468,1.1469,23.74,63.69
4h,none,20,2.0,10,2.0,1363,0.4307,-0.0651,0.8464,90.6,-88.67
4h,none,20,2.0,10,3.0,1267,0.4649,-0.045,0.8487,58.33,-57.03
4h,none,20,2.0,10,4.0,1205,0.4664,-0.0318,0.8567,39.64,-38.31
4h,none,20,2.0,15,2.0,1333,0.4321,0.0652,1.136,23.89,86.94
4h,none,20,2.0,15,3.0,1225,0.4939,0.0536,1.159,14.39,65.6
4h,none,20,2.0,15,4.0,1151,0.5056,0.0363,1.1383,8.07,41.82
4h,none,20,2.0,20,2.0,1266,0.387,0.0017,1.0031,50.83,2.12
4h,none,20,2.0,20,3.0,1152,0.4436,0.0054,1.0137,30.59,6.2
4h,none,20,2.0,20,4.0,1076,0.4693,-0.0019,0.9938,24.43,-2.08
4h,none,20,2.0,25,2.0,1206,0.3673,0.0294,1.0516,46.67,35.45
4h,none,20,2.0,25,3.0,1079,0.4282,0.0182,1.0422,31.18,19.61
4h,none,20,2.0,25,4.0,993,0.4471,0.0277,1.0788,22.18,27.52
4h,none,20,2.5,10,2.0,663,0.4163,-0.0907,0.7968,62.47,-60.13
4h,none,20,2.5,10,3.0,639,0.4632,-0.0595,0.8112,39.97,-38.02
4h,none,20,2.5,10,4.0,628,0.4825,-0.0382,0.8383,26.06,-24.0
4h,none,20,2.5,15,2.0,660,0.4121,0.017,1.0329,28.99,11.2
4h,none,20,2.5,15,3.0,635,0.4693,0.0143,1.0382,22.07,9.07
4h,none,20,2.5,15,4.0,621,0.4976,0.0116,1.0395,17.43,7.2
4h,none,20,2.5,20,2.0,640,0.3594,-0.123,0.785,77.71,-78.71
4h,none,20,2.5,20,3.0,605,0.4132,-0.0945,0.7821,57.9,-57.18
4h,none,20,2.5,20,4.0,585,0.4342,-0.0779,0.7776,46.77,-45.56
4h,none,20,2.5,25,2.0,607,0.3229,-0.1906,0.6894,115.16,-115.67
4h,none,20,2.5,25,3.0,562,0.3826,-0.1181,0.7428,72.03,-66.38
4h,none,20,2.5,25,4.0,541,0.4159,-0.052,0.8539,34.05,-28.13
4h,none,20,3.0,10,2.0,198,0.3737,-0.1624,0.6835,33.77,-32.16
4h,none,20,3.0,10,3.0,198,0.404,-0.1413,0.6332,28.83,-27.98
4h,none,20,3.0,10,4.0,198,0.4394,-0.088,0.684,19.39,-17.42
4h,none,20,3.0,15,2.0,198,0.4192,0.1109,1.2028,13.53,21.95
4h,none,20,3.0,15,3.0,197,0.4518,0.0172,1.0381,10.78,3.39
4h,none,20,3.0,15,4.0,197,0.5127,0.02,1.0564,7.97,3.93
4h,none,20,3.0,20,2.0,196,0.3724,-0.0442,0.9236,19.32,-8.66
4h,none,20,3.0,20,3.0,195,0.4154,-0.0936,0.8072,20.1,-18.25
4h,none,20,3.0,20,4.0,195,0.4667,-0.0657,0.8283,15.06,-12.82
4h,none,20,3.0,25,2.0,174,0.2759,-0.2561,0.6171,47.27,-44.57
4h,none,20,3.0,25,3.0,172,0.343,-0.193,0.6259,34.67,-33.19
4h,none,20,3.0,25,4.0,172,0.4128,-0.087,0.7594,16.88,-14.96
4h,none,25,1.5,10,2.0,1942,0.4542,-0.0129,0.9663,43.87,-25.14
4h,none,25,1.5,10,3.0,1721,0.4648,-0.0254,0.9066,45.15,-43.78
4h,none,25,1.5,10,4.0,1656,0.4752,-0.023,0.8918,39.34,-38.11
4h,none,25,1.5,15,2.0,1812,0.4575,0.0894,1.1986,13.87,161.99
4h,none,25,1.5,15,3.0,1557,0.4971,0.0594,1.1876,18.47,92.53
4h,none,25,1.5,15,4.0,1453,0.501,0.0352,1.1418,13.44,51.11
4h,none,25,1.5,20,2.0,1720,0.4151,0.0283,1.0559,37.03,48.74
4h,none,25,1.5,20,3.0,1462,0.4733,0.0162,1.0444,23.58,23.66
4h,none,25,1.5,20,4.0,1345,0.4818,0.0004,1.0014,20.09,0.54
4h,none,25,1.5,25,2.0,1633,0.3944,0.1043,1.1942,34.59,170.35
4h,none,25,1.5,25,3.0,1362,0.4699,0.0858,1.2203,18.91,116.85
4h,none,25,1.5,25,4.0,1264,0.481,0.0694,1.2223,13.48,87.69
4h,none,25,2.0,10,2.0,1232,0.4619,0.0044,1.0112,34.21,5.42
4h,none,25,2.0,10,3.0,1144,0.4983,0.0117,1.0435,24.78,13.34
4h,none,25,2.0,10,4.0,1096,0.5064,0.0106,1.0526,13.35,11.66
4h,none,25,2.0,15,2.0,1200,0.4525,0.1058,1.2283,15.27,126.94
4h,none,25,2.0,15,3.0,1101,0.5095,0.0856,1.2687,12.19,94.22
4h,none,25,2.0,15,4.0,1043,0.5197,0.0592,1.2352,9.56,61.72
4h,none,25,2.0,20,2.0,1168,0.405,0.1063,1.2057,28.98,124.12
4h,none,25,2.0,20,3.0,1056,0.4688,0.0468,1.1274,25.28,49.46
4h,none,25,2.0,20,4.0,986,0.4878,0.0289,1.0969,14.04,28.48
4h,none,25,2.0,25,2.0,1116,0.3754,0.0746,1.133,57.09,83.23
4h,none,25,2.0,25,3.0,993,0.4431,0.0356,1.086,28.15,35.32
4h,none,25,2.0,25,4.0,915,0.4601,0.0422,1.1276,15.96,38.65
4h,none,25,2.5,10,2.0,600,0.45,-0.0468,0.8888,41.48,-28.09
4h,none,25,2.5,10,3.0,566,0.4735,-0.0424,0.8624,32.36,-23.99
4h,none,25,2.5,10,4.0,546,0.4908,-0.0389,0.838,25.6,-21.26
4h,none,25,2.5,15,2.0,598,0.4365,0.0352,1.0712,24.41,21.03
4h,none,25,2.5,15,3.0,564,0.484,0.0198,1.0538,13.8,11.14
4h,none,25,2.5,15,4.0,542,0.5,0.0015,1.0049,14.2,0.79
4h,none,25,2.5,20,2.0,583,0.3774,-0.0948,0.8285,66.42,-55.26
4h,none,25,2.5,20,3.0,546,0.4286,-0.0848,0.8001,55.25,-46.29
4h,none,25,2.5,20,4.0,522,0.4444,-0.0778,0.7779,45.39,-40.61
4h,none,25,2.5,25,2.0,551,0.294,-0.2435,0.6197,141.44,-134.17
4h,none,25,2.5,25,3.0,506,0.3419,-0.1827,0.6274,100.25,-92.45
4h,none,25,2.5,25,4.0,476,0.3655,-0.107,0.7268,55.14,-50.94
4h,none,25,3.0,10,2.0,205,0.3659,-0.1685,0.6759,37.75,-34.55
4h,none,25,3.0,10,3.0,203,0.4187,-0.1187,0.6816,25.99,-24.1
4h,none,25,3.0,10,4.0,202,0.4851,-0.0171,0.9215,6.07,-3.45
4h,none,25,3.0,15,2.0,205,0.3805,0.0322,1.0567,13.06,6.61
4h,none,25,3.0,15,3.0,203,0.4532,0.0235,1.0553,7.54,4.76
4h,none,25,3.0,15,4.0,202,0.5495,0.105,1.4132,3.75,21.21
4h,none,25,3.0,20,2.0,199,0.3568,-0.1242,0.793,26.59,-24.72
4h,none,25,3.0,20,3.0,197,0.4315,-0.0869,0.8127,19.32,-17.11
4h,none,25,3.0,20,4.0,196,0.5153,0.0149,1.0505,6.34,2.92
4h,none,25,3.0,25,2.0,189,0.2328,-0.3481,0.5031,66.12,-65.79
4h,none,25,3.0,25,3.0,186,0.328,-0.2008,0.6098,37.99,-37.35
4h,none,25,3.0,25,4.0,185,0.4324,0.0279,1.0894,9.51,5.17
4h,none,30,1.5,10,2.0,1811,0.4721,0.0179,1.0484,28.56,32.46
4h,none,30,1.5,10,3.0,1626,0.4908,0.0049,1.0189,19.67,7.95
4h,none,30,1.5,10,4.0,1573,0.5035,-0.0052,0.9744,21.34,-8.11
4h,none,30,1.5,15,2.0,1683,0.4742,0.1223,1.278,12.17,205.82
4h,none,30,1.5,15,3.0,1435,0.5185,0.0916,1.2995,10.89,131.46
4h,none,30,1.5,15,4.0,1349,0.5271,0.0652,1.272,9.15,87.98
4h,none,30,1.5,20,2.0,1602,0.422,0.085,1.173,25.9,136.11
4h,none,30,1.5,20,3.0,1357,0.4731,0.0568,1.1596,13.87,77.08
4h,none,30,1.5,20,4.0,1244,0.4807,0.0345,1.1239,11.53,42.9
4h,none,30,1.5,25,2.0,1518,0.3979,0.1424,1.2701,19.94,216.22
4h,none,30,1.5,25,3.0,1281,0.4762,0.1104,1.2852,13.6,141.42
4h,none,30,1.5,25,4.0,1175,0.4834,0.0868,1.283,11.66,102.02
4h,none,30,2.0,10,2.0,1134,0.4674,-0.0025,0.9935,29.14,-2.86
4h,none,30,2.0,10,3.0,1032,0.4981,0.0006,1.0021,17.73,0.59
4h,none,30,2.0,10,4.0,984,0.5041,-0.0053,0.9752,14.97,-5.18
4h,none,30,2.0,15,2.0,1092,0.4707,0.1171,1.26,19.41,127.84
4h,none,30,2.0,15,3.0,979,0.5179,0.0982,1.3114,8.13,96.19
4h,none,30,2.0,15,4.0,925,0.5308,0.0723,1.2936,6.12,66.9
4h,none,30,2.0,20,2.0,1061,0.4204,0.1004,1.2003,33.77,106.53
4h,none,30,2.0,20,3.0,938,0.4755,0.051,1.1372,19.11,47.85
4h,none,30,2.0,20,4.0,872,0.492,0.042,1.1437,13.68,36.61
4h,none,30,2.0,25,2.0,1024,0.3945,0.1275,1.239,37.6,130.52
4h,none,30,2.0,25,3.0,896,0.4509,0.0499,1.1232,24.86,44.71
4h,none,30,2.0,25,4.0,829,0.4644,0.0511,1.1554,18.65,42.4
4h,none,30,2.5,10,2.0,512,0.4512,-0.0288,0.9292,28.65,-14.77
4h,none,30,2.5,10,3.0,484,0.4669,-0.0303,0.8964,22.38,-14.64
4h,none,30,2.5,10,4.0,468,0.4722,-0.0274,0.8737,20.94,-12.81
4h,none,30,2.5,15,2.0,510,0.4608,0.1316,1.2841,9.99,67.12
4h,none,30,2.5,15,3.0,480,0.5083,0.0983,1.3015,8.56,47.19
4h,none,30,2.5,15,4.0,459,0.5229,0.0718,1.2813,5.57,32.93
4h,none,30,2.5,20,2.0,497,0.4245,0.0283,1.0547,21.19,14.05
4h,none,30,2.5,20,3.0,468,0.4744,0.0243,1.0634,13.91,11.39
4h,none,30,2.5,20,4.0,447,0.4899,0.0185,1.0608,14.83,8.27
4h,none,30,2.5,25,2.0,490,0.3571,-0.0378,0.9328,32.99,-18.54
4h,none,30,2.5,25,3.0,447,0.4004,0.0681,1.1595,19.03,30.44
4h,none,30,2.5,25,4.0,415,0.4169,0.0611,1.1771,18.42,25.37
4h,none,30,3.0,10,2.0,198,0.4141,-0.1378,0.7232,31.19,-27.29
4h,none,30,3.0,10,3.0,196,0.4643,-0.1136,0.6936,24.29,-22.27
4h,none,30,3.0,10,4.0,192,0.5208,-0.0168,0.9223,9.18,-3.22
4h,none,30,3.0,15,2.0,198,0.404,0.0396,1.072,12.89,7.84
4h,none,30,3.0,15,3.0,196,0.4643,0.0061,1.0142,10.27,1.2
4h,none,30,3.0,15,4.0,191,0.555,0.0824,1.3098,4.3,15.74
4h,none,30,3.0,20,2.0,189,0.3492,-0.1227,0.7949,27.25,-23.2
4h,none,30,3.0,20,3.0,187,0.4225,-0.1144,0.7632,23.36,-21.4
4h,none,30,3.0,20,4.0,182,0.5055,-0.0145,0.9536,10.01,-2.64
4h,none,30,3.0,25,2.0,174,0.2356,-0.3825,0.4549,65.55,-66.55
4h,none,30,3.0,25,3.0,171,0.3158,-0.2726,0.4961,45.61,-46.61
4h,none,30,3.0,25,4.0,166,0.4157,-0.0964,0.7068,15.69,-16.01
4h,ema200_price_above,10,1.5,10,2.0,617,0.4182,0.0072,1.0201,22.72,4.47
4h,ema200_price_above,10,1.5,10,3.0,600,0.4217,-0.0152,0.941,19.29,-9.11
4h,ema200_price_above,10,1.5,10,4.0,593,0.425,-0.0157,0.9211,15.25,-9.31
4h,ema200_price_above,10,1.5,15,2.0,547,0.3784,-0.0104,0.9763,24.65,-5.68
4h,ema200_price_above,10,1.5,15,3.0,525,0.3943,-0.0065,0.9785,18.98,-3.4
4h,ema200_price_above,10,1.5,15,4.0,520,0.4,-0.0083,0.9648,12.99,-4.32
4h,ema200_price_above,10,1.5,20,2.0,485,0.3567,-0.049,0.9034,37.36,-23.75
4h,ema200_price_above,10,1.5,20,3.0,460,0.3848,-0.0152,0.9573,27.6,-7.0
4h,ema200_price_above,10,1.5,20,4.0,454,0.3855,-0.0193,0.93,22.55,-8.76
4h,ema200_price_above,10,1.5,25,2.0,447,0.3356,-0.0933,0.8313,42.2,-41.72
4h,ema200_price_above,10,1.5,25,3.0,418,0.378,-0.0827,0.8079,38.7,-34.58
4h,ema200_price_above,10,1.5,25,4.0,409,0.3839,-0.0838,0.7576,34.44,-34.28
4h,ema200_price_above,10,2.0,10,2.0,319,0.3887,-0.0761,0.806,26.16,-24.28
4h,ema200_price_above,10,2.0,10,3.0,318,0.4025,-0.0552,0.7996,19.64,-17.56
4h,ema200_price_above,10,2.0,10,4.0,315,0.4,-0.0448,0.787,15.43,-14.13
4h,ema200_price_above,10,2.0,15,2.0,303,0.3399,-0.0283,0.9376,16.97,-8.56
4h,ema200_price_above,10,2.0,15,3.0,300,0.3633,-0.0273,0.9134,14.99,-8.19
4h,ema200_price_above,10,2.0,15,4.0,297,0.3636,-0.02,0.9181,11.45,-5.93
4h,ema200_price_above,10,2.0,20,2.0,283,0.3145,-0.1162,0.7823,38.77,-32.89
4h,ema200_price_above,10,2.0,20,3.0,277,0.3394,-0.1069,0.7271,31.06,-29.62
4h,ema200_price_above,10,2.0,20,4.0,274,0.3431,-0.0808,0.7324,22.99,-22.15
4h,ema200_price_above,10,2.0,25,2.0,270,0.3111,-0.1628,0.7192,45.25,-43.95
4h,ema200_price_above,10,2.0,25,3.0,263,0.3346,-0.1819,0.6073,46.85,-47.85
4h,ema200_price_above,10,2.0,25,4.0,261,0.3487,-0.1597,0.5809,40.69,-41.69
4h,ema200_price_above,10,2.5,10,2.0,55,0.4182,-0.1015,0.7806,9.27,-5.58
4h,ema200_price_above,10,2.5,10,3.0,55,0.4545,-0.0684,0.7945,5.96,-3.76
4h,ema200_price_above,10,2.5,10,4.0,55,0.4545,-0.0709,0.7366,5.51,-3.9
4h,ema200_price_above,10,2.5,15,2.0,54,0.3148,-0.0179,0.9672,7.86,-0.96
4h,ema200_price_above,10,2.5,15,3.0,54,0.3704,0.0159,1.0431,5.65,0.86
4h,ema200_price_above,10,2.5,15,4.0,54,0.3704,-0.0162,0.9471,4.97,-0.87
4h,ema200_price_above,10,2.5,20,2.0,53,0.2453,-0.0739,0.8833,10.22,-3.92
4h,ema200_price_above,10,2.5,20,3.0,52,0.3077,-0.0219,0.9547,7.99,-1.14
4h,ema200_price_above,10,2.5,20,4.0,52,0.3077,-0.0476,0.8793,6.88,-2.48
4h,ema200_price_above,10,2.5,25,2.0,52,0.25,0.0544,1.0834,11.35,2.83
4h,ema200_price_above,10,2.5,25,3.0,51,0.2941,-0.0119,0.9784,10.52,-0.61
4h,ema200_price_above,10,2.5,25,4.0,51,0.2941,-0.0683,0.8562,9.08,-3.48
4h,ema200_price_above,10,3.0,10,2.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,10,3.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,10,4.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,15,2.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,15,3.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,15,4.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,20,2.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,20,3.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,20,4.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,25,2.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,25,3.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,10,3.0,25,4.0,0,0.0,0.0,0.0,0.0,0.0
4h,ema200_price_above,15,1.5,10,2.0,488,0.4283,-0.0015,0.9955,17.26,-0.71
4h,ema200_price_above,15,1.5,10,3.0,471,0.4395,-0.0011,0.9952,12.06,-0.51
4h,ema200_price_above,15,1.5,10,4.0,467,0.439,-0.0031,0.9818,9.48,-1.46
4h,ema200_price_above,15,1.5,15,2.0,454,0.3811,-0.0235,0.9435,24.93,-10.67
4h,ema200_price_above,15,1.5,15,3.0,429,0.3963,-0.0139,0.9524,18.62,-5.95
4h,ema200_price_above,15,1.5,15,4.0,425,0.3953,-0.01,0.9554,11.61,-4.25
4h,ema200_price_above,15,1.5,20,2.0,412,0.3617,-0.0996,0.8028,45.29,-41.05
4h,ema200_price_above,15,1.5,20,3.0,387,0.3902,-0.0698,0.8104,28.87,-27.03
4h,ema200_price_above,15,1.5,20,4.0,382,0.3953,-0.0468,0.8323,19.62,-17.88
4h,ema200_price_above,15,1.5,25,2.0,381,0.3333,-0.1211,0.7753,45.74,-46.14
4h,ema200_price_above,15,1.5,25,3.0,354,0.3588,-0.1125,0.7329,43.76,-39.84
4h,ema200_price_above,15,1.5,25,4.0,345,0.3681,-0.0848,0.7408,33.16,-29.26
4h,ema200_price_above,15,2.0,10,2.0,264,0.447,0.014,1.0416,13.99,3.7
4h,ema200_price_above,15,2.0,10,3.0,261,0.4483,-0.0106,0.9569,10.99,-2.77
4h,ema200_price_above,15,2.0,10,4.0,258,0.4496,-0.0115,0.939,9.43,-2.98
4h,ema200_price_above,15,2.0,15,2.0,253,0.3913,0.0135,1.0317,15.18,3.41
4h,ema200_price_above,15,2.0,15,3.0,249,0.4056,-0.0101,0.9667,13.53,-2.52
4h,ema200_price_above,15,2.0,15,4.0,246,0.4106,-0.0016,0.9931,9.0,-0.4
4h,ema200_price_above,15,2.0,20,2.0,236,0.339,-0.1468,0.7144,36.92,-34.64
4h,ema200_price_above,15,2.0,20,3.0,232,0.3534,-0.1364,0.649,32.44,-31.64
4h,ema200_price_above,15,2.0,20,4.0,229,0.3624,-0.101,0.663,23.61,-23.12
4h,ema200_price_above,15,2.0,25,2.0,225,0.3289,-0.1943,0.6453,45.74,-43.71
4h,ema200_price_above,15,2.0,25,3.0,221,0.3575,-0.1694,0.6059,39.06,-37.43
4h,ema200_price_above,15,2.0,25,4.0,218,0.3624,-0.1471,0.5745,33.26,-32.07
4h,ema200_price_above,15,2.5,10,2.0,77,0.4156,0.0691,1.1924,9.26,5.32
