timeframe,filter_mode,bb_n,std_mult,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
1d,none,15,2.0,25,2.0,1580,0.3513,0.0559,1.1056,39.84,88.32
1d,none,15,2.0,25,3.0,1438,0.3929,0.0287,1.0722,27.87,41.23
1d,none,15,2.0,25,4.0,1364,0.4054,0.0253,1.082,19.07,34.53
1d,none,15,2.5,10,2.0,751,0.4407,-0.0897,0.7742,82.32,-67.39
1d,none,15,2.5,10,3.0,741,0.4764,-0.0452,0.8296,39.96,-33.53
1d,none,15,2.5,10,4.0,740,0.4919,-0.0154,0.9169,20.4,-11.37
1d,none,15,2.5,15,2.0,745,0.3906,-0.1042,0.7798,85.06,-77.61
1d,none,15,2.5,15,3.0,724,0.4254,-0.0746,0.78,58.46,-53.98
1d,none,15,2.5,15,4.0,717,0.4407,-0.0401,0.8387,35.0,-28.77
1d,none,15,2.5,20,2.0,724,0.3453,-0.1213,0.7726,103.55,-87.83
1d,none,15,2.5,20,3.0,699,0.3805,-0.1099,0.7285,90.29,-76.82
1d,none,15,2.5,20,4.0,693,0.4026,-0.069,0.7746,60.95,-47.84
1d,none,15,2.5,25,2.0,702,0.3091,-0.1594,0.7209,126.43,-111.91
1d,none,15,2.5,25,3.0,667,0.3613,-0.1126,0.7343,86.45,-75.12
1d,none,15,2.5,25,4.0,659,0.3885,-0.0594,0.8108,48.03,-39.12
1d,none,15,3.0,10,2.0,188,0.4734,-0.1112,0.6755,25.76,-20.91
1d,none,15,3.0,10,3.0,188,0.5213,-0.0441,0.8046,13.11,-8.3
1d,none,15,3.0,10,4.0,188,0.5479,0.0044,1.0307,6.22,0.84
1d,none,15,3.0,15,2.0,188,0.4362,-0.1164,0.7146,26.24,-21.89
1d,none,15,3.0,15,3.0,188,0.484,-0.0413,0.8514,12.32,-7.77
1d,none,15,3.0,15,4.0,188,0.5213,0.0138,1.0731,6.36,2.6
1d,none,15,3.0,20,2.0,185,0.3568,-0.1298,0.712,32.6,-24.02
1d,none,15,3.0,20,3.0,185,0.4054,-0.0634,0.7984,16.5,-11.72
1d,none,15,3.0,20,4.0,185,0.4378,-0.0052,0.9762,9.14,-0.96
1d,none,15,3.0,25,2.0,184,0.3043,-0.1033,0.8124,38.44,-19.0
1d,none,15,3.0,25,3.0,184,0.3641,-0.0475,0.8767,21.28,-8.73
1d,none,15,3.0,25,4.0,184,0.4076,0.0168,1.0638,10.42,3.09
1d,none,20,1.5,10,2.0,2844,0.4589,-0.0463,0.874,149.61,-131.73
1d,none,20,1.5,10,3.0,2586,0.4845,-0.0301,0.882,91.41,-77.95
1d,none,20,1.5,10,4.0,2462,0.487,-0.0219,0.8857,61.97,-54.03
1d,none,20,1.5,15,2.0,2658,0.4236,-0.0358,0.9174,113.57,-95.28
1d,none,20,1.5,15,3.0,2345,0.452,-0.0328,0.8946,88.53,-76.89
1d,none,20,1.5,15,4.0,2192,0.4585,-0.0256,0.891,64.83,-56.18
1d,none,20,1.5,20,2.0,2514,0.4173,0.0411,1.0882,42.27,103.23
1d,none,20,1.5,20,3.0,2183,0.4549,0.0061,1.0178,34.94,13.36
1d,none,20,1.5,20,4.0,2017,0.4616,-0.0087,0.9683,41.21,-17.63
1d,none,20,1.5,25,2.0,2341,0.3849,0.1275,1.2574,43.34,298.37
1d,none,20,1.5,25,3.0,2014,0.4116,0.053,1.1411,28.91,106.84
1d,none,20,1.5,25,4.0,1845,0.4238,0.0338,1.1132,28.53,62.34
1d,none,20,2.0,10,2.0,1739,0.4825,-0.0178,0.9495,66.59,-31.02
1d,none,20,2.0,10,3.0,1640,0.5091,-0.0048,0.9799,32.52,-7.95
1d,none,20,2.0,10,4.0,1587,0.5167,0.007,1.0403,17.07,11.11
1d,none,20,2.0,15,2.0,1696,0.4434,-0.0098,0.9765,68.88,-16.6
1d,none,20,2.0,15,3.0,1582,0.4804,-0.0008,0.9973,43.94,-1.26
1d,none,20,2.0,15,4.0,1524,0.4941,0.0043,1.0195,26.21,6.59
1d,none,20,2.0,20,2.0,1643,0.423,0.0582,1.1265,41.59,95.61
1d,none,20,2.0,20,3.0,1496,0.4652,0.0431,1.1272,30.35,64.45
1d,none,20,2.0,20,4.0,1424,0.4796,0.0353,1.1338,19.78,50.29
1d,none,20,2.0,25,2.0,1535,0.3733,0.0507,1.1014,31.0,77.89
1d,none,20,2.0,25,3.0,1378,0.4115,0.034,1.0911,28.38,46.84
1d,none,20,2.0,25,4.0,1306,0.4273,0.0287,1.099,18.03,37.47
1d,none,20,2.5,10,2.0,723,0.4467,-0.1044,0.7236,79.49,-75.46
1d,none,20,2.5,10,3.0,709,0.4795,-0.058,0.7723,45.36,-41.12
1d,none,20,2.5,10,4.0,705,0.4979,-0.0244,0.8624,23.41,-17.21
1d,none,20,2.5,15,2.0,721,0.4105,-0.1003,0.7752,82.97,-72.3
1d,none,20,2.5,15,3.0,698,0.4427,-0.0739,0.7747,57.42,-51.58
1d,none,20,2.5,15,4.0,689,0.4615,-0.0417,0.8282,33.04,-28.76
1d,none,20,2.5,20,2.0,710,0.3549,-0.1057,0.7935,92.17,-75.06
1d,none,20,2.5,20,3.0,682,0.39,-0.0837,0.7829,65.97,-57.09
1d,none,20,2.5,20,4.0,674,0.411,-0.0482,0.8347,40.69,-32.51
1d,none,20,2.5,25,2.0,675,0.3141,-0.144,0.7382,118.91,-97.2
1d,none,20,2.5,25,3.0,637,0.3469,-0.1043,0.7459,82.01,-66.42
1d,none,20,2.5,25,4.0,628,0.3678,-0.0663,0.7882,52.74,-41.64
1d,none,20,3.0,10,2.0,235,0.4894,-0.0722,0.768,25.72,-16.98
1d,none,20,3.0,10,3.0,233,0.4979,-0.0639,0.7178,18.28,-14.9
1d,none,20,3.0,10,4.0,233,0.5193,-0.0266,0.8327,12.44,-6.2
1d,none,20,3.0,15,2.0,235,0.4553,-0.0645,0.836,37.03,-15.17
1d,none,20,3.0,15,3.0,232,0.4784,-0.06,0.7934,25.62,-13.92
1d,none,20,3.0,15,4.0,232,0.5043,-0.0212,0.9013,18.71,-4.92
1d,none,20,3.0,20,2.0,232,0.3362,-0.0702,0.8499,45.45,-16.3
1d,none,20,3.0,20,3.0,229,0.345,-0.0848,0.7657,36.03,-19.42
1d,none,20,3.0,20,4.0,229,0.3712,-0.0417,0.846,26.22,-9.54
1d,none,20,3.0,25,2.0,222,0.3018,-0.048,0.9097,48.46,-10.66
1d,none,20,3.0,25,3.0,218,0.3303,-0.0635,0.8429,36.73,-13.85
1d,none,20,3.0,25,4.0,218,0.3624,-0.0218,0.927,25.89,-4.75
1d,none,25,1.5,10,2.0,2587,0.47,-0.0125,0.9644,67.54,-32.27
1d,none,25,1.5,10,3.0,2370,0.492,-0.0121,0.9509,45.82,-28.56
1d,none,25,1.5,10,4.0,2258,0.4996,-0.0044,0.9762,30.38,-9.87
1d,none,25,1.5,15,2.0,2403,0.444,0.004,1.0099,54.67,9.69
1d,none,25,1.5,15,3.0,2154,0.4666,-0.0148,0.9501,41.95,-31.79
1d,none,25,1.5,15,4.0,2005,0.4743,-0.0097,0.9571,28.69,-19.48
1d,none,25,1.5,20,2.0,2301,0.4372,0.0711,1.1599,23.42,163.62
1d,none,25,1.5,20,3.0,2026,0.4743,0.0332,1.1015,22.99,67.23
1d,none,25,1.5,20,4.0,1863,0.4809,0.0179,1.0684,21.68,33.36
1d,none,25,1.5,25,2.0,2179,0.3892,0.1165,1.2411,31.47,253.91
1d,none,25,1.5,25,3.0,1890,0.4175,0.0498,1.1361,29.96,94.19
1d,none,25,1.5,25,4.0,1720,0.4326,0.0342,1.1179,30.07,58.86
1d,none,25,2.0,10,2.0,1604,0.495,-0.0015,0.9957,51.86,-2.37
1d,none,25,2.0,10,3.0,1481,0.5213,0.006,1.0255,26.09,8.84
1d,none,25,2.0,10,4.0,1416,0.5311,0.0183,1.1092,11.54,25.88
1d,none,25,2.0,15,2.0,1567,0.4671,0.0516,1.1315,26.33,80.91
1d,none,25,2.0,15,3.0,1438,0.4972,0.0328,1.1175,17.05,47.1
1d,none,25,2.0,15,4.0,1363,0.5048,0.0326,1.1583,9.19,44.49
1d,none,25,2.0,20,2.0,1524,0.4377,0.1387,1.3136,19.8,211.36
1d,none,25,2.0,20,3.0,1381,0.4772,0.1012,1.3194,17.33,139.73
1d,none,25,2.0,20,4.0,1301,0.4935,0.0866,1.3584,9.76,112.71
1d,none,25,2.0,25,2.0,1461,0.3847,0.1307,1.27,24.91,190.91
1d,none,25,2.0,25,3.0,1316,0.4286,0.0988,1.2849,12.71,130.04
1d,none,25,2.0,25,4.0,1240,0.4444,0.0832,1.3156,9.73,103.18
1d,none,25,2.5,10,2.0,679,0.4786,-0.0625,0.8293,61.01,-42.4
1d,none,25,2.5,10,3.0,659,0.5159,-0.0252,0.8956,31.42,-16.59
1d,none,25,2.5,10,4.0,639,0.5243,-0.0057,0.9664,19.52,-3.63
1d,none,25,2.5,15,2.0,677,0.4623,-0.0037,0.991,40.56,-2.48
1d,none,25,2.5,15,3.0,653,0.4946,0.0014,1.005,22.92,0.94
1d,none,25,2.5,15,4.0,630,0.5111,0.0151,1.0716,17.73,9.52
1d,none,25,2.5,20,2.0,674,0.4125,0.078,1.1696,22.64,52.6
1d,none,25,2.5,20,3.0,647,0.4467,0.0431,1.125,13.95,27.89
1d,none,25,2.5,20,4.0,623,0.4671,0.0408,1.1551,11.23,25.45
1d,none,25,2.5,25,2.0,647,0.3879,0.0635,1.1276,24.58,41.11
1d,none,25,2.5,25,3.0,615,0.4228,0.0367,1.099,14.83,22.54
1d,none,25,2.5,25,4.0,593,0.4418,0.0355,1.1257,11.63,21.05
1d,none,25,3.0,10,2.0,233,0.515,-0.0426,0.863,19.51,-9.94
1d,none,25,3.0,10,3.0,230,0.5478,-0.0244,0.8847,10.44,-5.61
1d,none,25,3.0,10,4.0,230,0.5652,0.0047,1.0327,8.53,1.09
1d,none,25,3.0,15,2.0,233,0.5064,-0.0254,0.9295,18.03,-5.91
1d,none,25,3.0,15,3.0,230,0.5348,-0.0129,0.9475,10.19,-2.97
1d,none,25,3.0,15,4.0,230,0.5522,0.0157,1.0889,8.66,3.6
1d,none,25,3.0,20,2.0,230,0.4174,-0.0361,0.9127,20.62,-8.31
1d,none,25,3.0,20,3.0,227,0.4361,-0.043,0.8601,14.25,-9.76
1d,none,25,3.0,20,4.0,227,0.4626,-0.0035,0.9841,11.6,-0.8
1d,none,25,3.0,25,2.0,228,0.364,-0.0942,0.8099,32.74,-21.49
1d,none,25,3.0,25,3.0,224,0.3884,-0.0785,0.7831,24.35,-17.59
1d,none,25,3.0,25,4.0,223,0.4215,-0.0233,0.9108,13.16,-5.19
1d,none,30,1.5,10,2.0,2401,0.4715,-0.038,0.8928,120.68,-91.23
1d,none,30,1.5,10,3.0,2186,0.4899,-0.0291,0.8835,76.99,-63.59
1d,none,30,1.5,10,4.0,2087,0.5026,-0.0144,0.9222,50.28,-30.15
1d,none,30,1.5,15,2.0,2192,0.4457,-0.0003,0.9992,52.9,-0.72
1d,none,30,1.5,15,3.0,1947,0.4628,-0.0166,0.9431,49.88,-32.39
1d,none,30,1.5,15,4.0,1822,0.4715,-0.0078,0.965,30.15,-14.14
1d,none,30,1.5,20,2.0,2100,0.43,0.0647,1.1451,33.6,135.81
1d,none,30,1.5,20,3.0,1832,0.4602,0.0309,1.0935,22.23,56.56
1d,none,30,1.5,20,4.0,1688,0.4668,0.0214,1.0826,21.46,36.13
1d,none,30,1.5,25,2.0,2015,0.3866,0.0974,1.202,44.86,196.21
1d,none,30,1.5,25,3.0,1746,0.4267,0.0507,1.1412,23.66,88.61
1d,none,30,1.5,25,4.0,1595,0.4351,0.0291,1.1009,26.52,46.35
1d,none,30,2.0,10,2.0,1414,0.4837,-0.0236,0.932,55.21,-33.34
1d,none,30,2.0,10,3.0,1285,0.5019,-0.0102,0.9573,29.88,-13.16
1d,none,30,2.0,10,4.0,1216,0.5123,0.0028,1.0162,13.88,3.44
1d,none,30,2.0,15,2.0,1383,0.4606,0.0441,1.1121,16.27,61.05
1d,none,30,2.0,15,3.0,1252,0.4952,0.0361,1.1308,10.51,45.16
1d,none,30,2.0,15,4.0,1183,0.5123,0.0425,1.2077,8.05,50.27
1d,none,30,2.0,20,2.0,1362,0.442,0.176,1.4056,13.58,239.73
1d,none,30,2.0,20,3.0,1223,0.4775,0.1243,1.3976,10.33,151.97
1d,none,30,2.0,20,4.0,1148,0.4948,0.1054,1.4366,9.43,121.03
1d,none,30,2.0,25,2.0,1343,0.3902,0.1765,1.3704,17.71,236.99
1d,none,30,2.0,25,3.0,1201,0.438,0.1337,1.3889,9.91,160.59
1d,none,30,2.0,25,4.0,1128,0.4592,0.1091,1.408,8.07,123.11
1d,none,30,2.5,10,2.0,647,0.5147,-0.0235,0.9292,34.28,-15.23
1d,none,30,2.5,10,3.0,611,0.5303,-0.0137,0.9397,21.35,-8.38
1d,none,30,2.5,10,4.0,591,0.5364,0.003,1.0192,13.62,1.8
1d,none,30,2.5,15,2.0,645,0.4868,0.0358,1.0914,20.56,23.09
1d,none,30,2.5,15,3.0,606,0.5083,0.0276,1.0985,15.53,16.74
1d,none,30,2.5,15,4.0,587,0.5196,0.0299,1.1456,9.9,17.54
1d,none,30,2.5,20,2.0,644,0.4394,0.1185,1.2735,14.34,76.29
1d,none,30,2.5,20,3.0,603,0.461,0.0761,1.2338,13.07,45.9
1d,none,30,2.5,20,4.0,582,0.4742,0.0615,1.2469,7.32,35.78
1d,none,30,2.5,25,2.0,641,0.3853,0.0585,1.122,21.4,37.47
1d,none,30,2.5,25,3.0,600,0.41,0.0295,1.0812,17.98,17.7
1d,none,30,2.5,25,4.0,580,0.4155,0.0221,1.0791,12.83,12.81
1d,none,30,3.0,10,2.0,233,0.5536,0.0076,1.0262,14.47,1.77
1d,none,30,3.0,10,3.0,225,0.5644,-0.0081,0.962,12.35,-1.83
1d,none,30,3.0,10,4.0,222,0.5766,0.0079,1.0511,10.84,1.75
1d,none,30,3.0,15,2.0,233,0.5279,0.0207,1.0591,15.12,4.81
1d,none,30,3.0,15,3.0,224,0.558,0.0111,1.0442,10.27,2.48
1d,none,30,3.0,15,4.0,221,0.5656,0.0268,1.1453,8.51,5.92
1d,none,30,3.0,20,2.0,231,0.4502,0.063,1.1596,16.94,14.54
1d,none,30,3.0,20,3.0,222,0.473,0.0186,1.0614,14.29,4.12
1d,none,30,3.0,20,4.0,219,0.4932,0.0322,1.141,10.36,7.05
1d,none,30,3.0,25,2.0,231,0.4242,-0.0132,0.9712,28.07,-3.05
1d,none,30,3.0,25,3.0,222,0.4595,-0.0325,0.9069,22.07,-7.21
1d,none,30,3.0,25,4.0,219,0.484,-0.0057,0.9787,14.44,-1.24
1d,ema200_price_above,10,1.5,10,2.0,895,0.4626,0.0447,1.1257,26.6,40.04
1d,ema200_price_above,10,1.5,10,3.0,856,0.4813,0.0342,1.1414,18.47,29.25
1d,ema200_price_above,10,1.5,10,4.0,846,0.487,0.0264,1.1444,12.74,22.33
1d,ema200_price_above,10,1.5,15,2.0,819,0.4322,0.1063,1.254,28.15,87.07
1d,ema200_price_above,10,1.5,15,3.0,768,0.4596,0.0887,1.3166,22.57,68.12
1d,ema200_price_above,10,1.5,15,4.0,757,0.4663,0.0624,1.2875,15.56,47.26
1d,ema200_price_above,10,1.5,20,2.0,731,0.394,0.1495,1.3107,29.04,109.32
1d,ema200_price_above,10,1.5,20,3.0,679,0.4374,0.117,1.3461,23.05,79.44
1d,ema200_price_above,10,1.5,20,4.0,668,0.4536,0.0985,1.3765,13.24,65.83
1d,ema200_price_above,10,1.5,25,2.0,667,0.3868,0.1931,1.3776,18.04,128.8
1d,ema200_price_above,10,1.5,25,3.0,613,0.4307,0.167,1.4602,14.9,102.4
1d,ema200_price_above,10,1.5,25,4.0,602,0.4468,0.1398,1.5062,12.52,84.14
1d,ema200_price_above,10,2.0,10,2.0,460,0.4826,0.0865,1.2542,23.66,39.78
1d,ema200_price_above,10,2.0,10,3.0,455,0.5099,0.0632,1.2716,15.8,28.78
1d,ema200_price_above,10,2.0,10,4.0,455,0.5165,0.0486,1.2795,11.47,22.1
1d,ema200_price_above,10,2.0,15,2.0,442,0.4842,0.169,1.4349,18.52,74.71
1d,ema200_price_above,10,2.0,15,3.0,435,0.5126,0.1278,1.4904,11.66,55.61
1d,ema200_price_above,10,2.0,15,4.0,434,0.5184,0.0922,1.4546,9.29,40.0
1d,ema200_price_above,10,2.0,20,2.0,410,0.4073,0.1402,1.2994,20.92,57.47
1d,ema200_price_above,10,2.0,20,3.0,399,0.4411,0.0745,1.2164,15.72,29.72
1d,ema200_price_above,10,2.0,20,4.0,398,0.4573,0.0652,1.2473,11.04,25.93
1d,ema200_price_above,10,2.0,25,2.0,391,0.3811,0.2337,1.4551,18.96,91.36
1d,ema200_price_above,10,2.0,25,3.0,377,0.4244,0.1331,1.3493,11.74,50.17
1d,ema200_price_above,10,2.0,25,4.0,375,0.4427,0.1098,1.3773,9.91,41.16
1d,ema200_price_above,10,2.5,10,2.0,89,0.3933,-0.21,0.5513,20.58,-18.69
1d,ema200_price_above,10,2.5,10,3.0,89,0.4831,-0.0603,0.7801,8.98,-5.36
1d,ema200_price_above,10,2.5,10,4.0,89,0.4944,-0.0365,0.8187,6.05,-3.25
1d,ema200_price_above,10,2.5,15,2.0,89,0.427,-0.0724,0.8535,13.88,-6.44
1d,ema200_price_above,10,2.5,15,3.0,89,0.4944,0.0397,1.1444,4.06,3.54
1d,ema200_price_above,10,2.5,15,4.0,89,0.5056,0.0257,1.1155,4.05,2.29
1d,ema200_price_above,10,2.5,20,2.0,88,0.2841,-0.1996,0.6564,20.48,-17.56
1d,ema200_price_above,10,2.5,20,3.0,86,0.3837,-0.1094,0.7267,12.07,-9.41
1d,ema200_price_above,10,2.5,20,4.0,86,0.407,-0.0989,0.6989,10.32,-8.51
1d,ema200_price_above,10,2.5,25,2.0,88,0.2727,-0.1788,0.7113,20.35,-15.73
1d,ema200_price_above,10,2.5,25,3.0,86,0.3605,-0.0846,0.8036,9.47,-7.27
1d,ema200_price_above,10,2.5,25,4.0,86,0.3721,-0.0786,0.774,9.0,-6.76
1d,ema200_price_above,10,3.0,10,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,10,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,10,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,15,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,15,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,15,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,20,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,20,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,20,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,25,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,25,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,10,3.0,25,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_above,15,1.5,10,2.0,714,0.479,0.0339,1.0988,14.52,24.17
1d,ema200_price_above,15,1.5,10,3.0,669,0.5022,0.0194,1.0812,9.93,12.98
1d,ema200_price_above,15,1.5,10,4.0,660,0.5136,0.0229,1.1311,8.1,15.11
1d,ema200_price_above,15,1.5,15,2.0,672,0.4494,0.0579,1.1435,15.31,38.94
1d,ema200_price_above,15,1.5,15,3.0,624,0.4792,0.0373,1.1352,10.98,23.28
1d,ema200_price_above,15,1.5,15,4.0,615,0.4894,0.0324,1.155,8.06,19.96
1d,ema200_price_above,15,1.5,20,2.0,622,0.3826,0.0697,1.1462,17.06,43.34
1d,ema200_price_above,15,1.5,20,3.0,569,0.4288,0.0433,1.1264,13.52,24.66
1d,ema200_price_above,15,1.5,20,4.0,558,0.4498,0.0487,1.1885,7.92,27.16
1d,ema200_price_above,15,1.5,25,2.0,569,0.3533,0.0845,1.1635,18.18,48.1
1d,ema200_price_above,15,1.5,25,3.0,525,0.4038,0.0522,1.1398,13.93,27.4
1d,ema200_price_above,15,1.5,25,4.0,512,0.416,0.0467,1.1622,11.01,23.92
1d,ema200_price_above,15,2.0,10,2.0,381,0.4882,0.0989,1.2796,12.55,37.68
1d,ema200_price_above,15,2.0,10,3.0,372,0.5081,0.0591,1.2357,8.4,21.97
1d,ema200_price_above,15,2.0,10,4.0,370,0.5243,0.0593,1.3356,4.81,21.94
1d,ema200_price_above,15,2.0,15,2.0,372,0.4839,0.1332,1.3271,12.41,49.56
1d,ema200_price_above,15,2.0,15,3.0,360,0.5083,0.0832,1.2855,9.16,29.97
1d,ema200_price_above,15,2.0,15,4.0,358,0.5279,0.0695,1.3134,7.19,24.9
1d,ema200_price_above,15,2.0,20,2.0,355,0.4085,0.1186,1.2487,16.19,42.1
1d,ema200_price_above,15,2.0,20,3.0,340,0.4441,0.0355,1.0949,13.83,12.06
1d,ema200_price_above,15,2.0,20,4.0,338,0.4704,0.0413,1.1447,10.43,13.95
1d,ema200_price_above,15,2.0,25,2.0,334,0.3623,0.2138,1.3986,15.88,71.4
1d,ema200_price_above,15,2.0,25,3.0,319,0.395,0.0915,1.2179,16.15,29.19
1d,ema200_price_above,15,2.0,25,4.0,315,0.4095,0.0773,1.2371,10.71,24.34
1d,ema200_price_above,15,2.5,10,2.0,119,0.4202,0.1387,1.3506,17.02,16.5
1d,ema200_price_above,15,2.5,10,3.0,119,0.4622,0.1082,1.4023,7.78,12.87
