symbol,entry_time,exit_time,net_r,pnl_usd,equity_after,year
INJ_USDT,2021-05-04 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0,-27.24,10869.04,2021
XRP_USDT,2021-05-10 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0,-27.17,10841.87,2021
ZEN_USDT,2021-06-08 00:00:00+00:00,2021-06-22 00:00:00+00:00,-1.0,-27.1,10814.76,2021
DOGE_USDT,2021-06-19 00:00:00+00:00,2021-06-21 00:00:00+00:00,-1.0,-27.04,10787.72,2021
ADA_USDT,2021-06-19 00:00:00+00:00,2021-06-22 00:00:00+00:00,-1.0,-26.97,10760.75,2021
ADA_USDT,2021-07-16 00:00:00+00:00,2021-08-05 00:00:00+00:00,1.3999,37.66,10798.41,2021
CHZ_USDT,2021-08-18 00:00:00+00:00,2021-09-07 00:00:00+00:00,0.1718,4.64,10803.05,2021
SOL_USDT,2021-09-13 00:00:00+00:00,2021-10-03 00:00:00+00:00,0.064,1.73,10804.78,2021
AVAX_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,-0.2932,-7.92,10796.86,2021
DOT_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,1.9345,52.22,10849.08,2021
TRX_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,0.8553,23.2,10872.28,2021
NEAR_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,0.507,13.78,10886.06,2021
HBAR_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,0.4139,11.26,10897.32,2021
LPT_USDT,2021-10-24 00:00:00+00:00,2021-11-13 00:00:00+00:00,4.4966,122.5,11019.82,2021
LINK_USDT,2021-11-16 00:00:00+00:00,2021-11-26 00:00:00+00:00,-1.0,-27.55,10992.27,2021
ETH_USDT,2021-11-16 00:00:00+00:00,2021-12-04 00:00:00+00:00,-1.0,-27.48,10964.79,2021
SOL_USDT,2021-11-18 00:00:00+00:00,2021-12-08 00:00:00+00:00,-0.0106,-0.29,10964.5,2021
ZEC_USDT,2021-12-06 00:00:00+00:00,2021-12-26 00:00:00+00:00,-0.1701,-4.66,10959.84,2021
SOL_USDT,2022-01-06 00:00:00+00:00,2022-01-20 00:00:00+00:00,-1.0,-27.4,10932.44,2022
AVAX_USDT,2022-01-06 00:00:00+00:00,2022-01-21 00:00:00+00:00,-1.0,-27.33,10905.11,2022
ATOM_USDT,2022-01-29 00:00:00+00:00,2022-02-18 00:00:00+00:00,-0.2205,-6.01,10899.1,2022
NEAR_USDT,2022-04-24 00:00:00+00:00,2022-04-26 00:00:00+00:00,-1.0,-27.25,10871.85,2022
BTC_USDT,2023-02-06 00:00:00+00:00,2023-02-26 00:00:00+00:00,0.512,13.92,10885.77,2023
APT_USDT,2023-02-06 00:00:00+00:00,2023-02-26 00:00:00+00:00,-0.4858,-13.22,10872.54,2023
HBAR_USDT,2023-02-24 00:00:00+00:00,2023-03-03 00:00:00+00:00,-1.0,-27.18,10845.36,2023
FIL_USDT,2023-02-25 00:00:00+00:00,2023-03-11 00:00:00+00:00,-1.0,-27.11,10818.25,2023
GRT_USDT,2023-02-25 00:00:00+00:00,2023-03-09 00:00:00+00:00,-1.0,-27.05,10791.2,2023
DASH_USDT,2023-03-06 00:00:00+00:00,2023-03-09 00:00:00+00:00,-1.0,-26.98,10764.23,2023
INJ_USDT,2023-04-21 00:00:00+00:00,2023-05-11 00:00:00+00:00,-0.815,-21.93,10742.29,2023
XRP_USDT,2023-05-03 00:00:00+00:00,2023-05-08 00:00:00+00:00,-1.0,-26.86,10715.44,2023
ETH_USDT,2023-05-10 00:00:00+00:00,2023-05-30 00:00:00+00:00,0.398,10.66,10726.1,2023
BTC_USDT,2023-05-10 00:00:00+00:00,2023-05-30 00:00:00+00:00,0.0458,1.23,10727.33,2023
TRX_USDT,2023-06-07 00:00:00+00:00,2023-06-10 00:00:00+00:00,-1.0,-26.82,10700.51,2023
INJ_USDT,2023-07-06 00:00:00+00:00,2023-07-26 00:00:00+00:00,0.1376,3.68,10704.19,2023
BCH_USDT,2023-07-17 00:00:00+00:00,2023-08-06 00:00:00+00:00,-0.4352,-11.65,10692.55,2023
LTC_USDT,2023-07-18 00:00:00+00:00,2023-08-03 00:00:00+00:00,-1.0,-26.73,10665.81,2023
BTC_USDT,2023-07-18 00:00:00+00:00,2023-08-07 00:00:00+00:00,-0.3965,-10.57,10655.24,2023
ETH_USDT,2023-07-18 00:00:00+00:00,2023-08-07 00:00:00+00:00,-0.5749,-15.31,10639.93,2023
AAVE_USDT,2023-07-19 00:00:00+00:00,2023-08-01 00:00:00+00:00,-1.0,-26.6,10613.33,2023
XRP_USDT,2023-08-06 00:00:00+00:00,2023-08-17 00:00:00+00:00,-1.0,-26.53,10586.79,2023
INJ_USDT,2023-08-28 00:00:00+00:00,2023-09-17 00:00:00+00:00,0.1339,3.54,10590.34,2023
LPT_USDT,2023-09-09 00:00:00+00:00,2023-09-29 00:00:00+00:00,-0.5322,-14.09,10576.25,2023
BCH_USDT,2023-10-09 00:00:00+00:00,2023-10-29 00:00:00+00:00,1.0701,28.29,10604.54,2023
ZEN_USDT,2023-11-13 00:00:00+00:00,2023-12-03 00:00:00+00:00,-0.3931,-10.42,10594.12,2023
BCH_USDT,2023-11-13 00:00:00+00:00,2023-12-03 00:00:00+00:00,-0.1556,-4.12,10590.0,2023
GRT_USDT,2023-11-29 00:00:00+00:00,2023-12-19 00:00:00+00:00,0.4821,12.76,10602.76,2023
FIL_USDT,2023-11-30 00:00:00+00:00,2023-12-20 00:00:00+00:00,1.6383,43.43,10646.19,2023
APT_USDT,2023-12-17 00:00:00+00:00,2024-01-06 00:00:00+00:00,0.6804,18.11,10664.3,2023
HBAR_USDT,2024-01-07 00:00:00+00:00,2024-01-27 00:00:00+00:00,-0.0529,-1.41,10662.89,2024
NEAR_USDT,2024-01-16 00:00:00+00:00,2024-02-05 00:00:00+00:00,-0.5452,-14.53,10648.35,2024
APT_USDT,2024-01-18 00:00:00+00:00,2024-02-07 00:00:00+00:00,0.0358,0.95,10649.31,2024
WLD_USDT,2024-01-20 00:00:00+00:00,2024-02-09 00:00:00+00:00,-0.0155,-0.41,10648.89,2024
ARB_USDT,2024-01-21 00:00:00+00:00,2024-02-10 00:00:00+00:00,0.3395,9.04,10657.93,2024
FET_USDT,2024-01-21 00:00:00+00:00,2024-02-10 00:00:00+00:00,0.2882,7.68,10665.61,2024
ORDI_USDT,2024-01-21 00:00:00+00:00,2024-01-25 00:00:00+00:00,-1.0,-26.66,10638.95,2024
SOL_USDT,2024-01-22 00:00:00+00:00,2024-02-11 00:00:00+00:00,1.4262,37.93,10676.88,2024
SEI_USDT,2024-01-22 00:00:00+00:00,2024-02-11 00:00:00+00:00,0.4091,10.92,10687.8,2024
ETH_USDT,2024-01-24 00:00:00+00:00,2024-02-13 00:00:00+00:00,1.8162,48.53,10736.33,2024
LINK_USDT,2024-01-24 00:00:00+00:00,2024-02-13 00:00:00+00:00,2.4561,65.92,10802.25,2024
ADA_USDT,2024-01-25 00:00:00+00:00,2024-02-14 00:00:00+00:00,1.9907,53.76,10856.01,2024
ORDI_USDT,2024-02-04 00:00:00+00:00,2024-02-24 00:00:00+00:00,0.9659,26.21,10882.23,2024
PENDLE_USDT,2024-02-19 00:00:00+00:00,2024-03-05 00:00:00+00:00,-1.0,-27.21,10855.02,2024
SOL_USDT,2024-02-23 00:00:00+00:00,2024-03-14 00:00:00+00:00,6.0734,164.82,11019.84,2024
AVAX_USDT,2024-02-23 00:00:00+00:00,2024-03-14 00:00:00+00:00,3.7496,103.3,11123.14,2024
LINK_USDT,2024-02-23 00:00:00+00:00,2024-03-14 00:00:00+00:00,1.3927,38.73,11161.87,2024
INJ_USDT,2024-02-23 00:00:00+00:00,2024-03-14 00:00:00+00:00,2.4715,68.97,11230.83,2024
TRX_USDT,2024-03-11 00:00:00+00:00,2024-03-15 00:00:00+00:00,-1.0,-28.08,11202.76,2024
PENDLE_USDT,2024-03-16 00:00:00+00:00,2024-04-05 00:00:00+00:00,4.7325,132.54,11335.3,2024
LTC_USDT,2024-03-16 00:00:00+00:00,2024-04-05 00:00:00+00:00,0.7104,20.13,11355.43,2024
ICP_USDT,2024-03-16 00:00:00+00:00,2024-04-05 00:00:00+00:00,1.3771,39.09,11394.52,2024
FIL_USDT,2024-03-16 00:00:00+00:00,2024-04-05 00:00:00+00:00,-0.1519,-4.33,11390.2,2024
ARB_USDT,2024-03-18 00:00:00+00:00,2024-04-07 00:00:00+00:00,-0.2257,-6.43,11383.77,2024
TIA_USDT,2024-04-03 00:00:00+00:00,2024-04-12 00:00:00+00:00,-1.0,-28.46,11355.31,2024
BCH_USDT,2024-04-11 00:00:00+00:00,2024-04-13 00:00:00+00:00,-1.0,-28.39,11326.92,2024
NEAR_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,1.045,29.59,11356.51,2024
GRT_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.639,18.14,11374.66,2024
ICP_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.3811,10.84,11385.49,2024
DOGE_USDT,2024-04-27 00:00:00+00:00,2024-05-01 00:00:00+00:00,-1.0,-28.46,11357.03,2024
HBAR_USDT,2024-04-28 00:00:00+00:00,2024-05-18 00:00:00+00:00,0.3261,9.26,11366.29,2024
LPT_USDT,2024-04-30 00:00:00+00:00,2024-05-20 00:00:00+00:00,2.7001,76.73,11443.01,2024
BCH_USDT,2024-05-01 00:00:00+00:00,2024-05-21 00:00:00+00:00,1.3865,39.66,11482.68,2024
ICP_USDT,2024-05-08 00:00:00+00:00,2024-05-28 00:00:00+00:00,0.047,1.35,11484.03,2024
PENDLE_USDT,2024-05-14 00:00:00+00:00,2024-06-03 00:00:00+00:00,2.8381,81.48,11565.51,2024
ARKM_USDT,2024-05-14 00:00:00+00:00,2024-06-03 00:00:00+00:00,0.3935,11.38,11576.89,2024
FET_USDT,2024-05-14 00:00:00+00:00,2024-06-03 00:00:00+00:00,0.3715,10.75,11587.64,2024
