symbol,entry_time,exit_time,net_r,variant
DUSK/USDT,2024-01-24 00:00:00+00:00,2024-02-17 00:00:00+00:00,1.606247237194997,max3
TRX/USDT,2024-02-04 00:00:00+00:00,2024-03-01 00:00:00+00:00,2.9355248943917496,max3
ICX/USDT,2024-02-17 00:00:00+00:00,2024-03-05 00:00:00+00:00,2.356621199967708,max3
BTC/USDT,2024-02-07 00:00:00+00:00,2024-03-05 00:00:00+00:00,6.2000810281649175,max3
MTL/USDT,2024-03-01 00:00:00+00:00,2024-03-07 00:00:00+00:00,5.230964248975122,max3
HBAR/USDT,2024-03-07 00:00:00+00:00,2024-03-15 00:00:00+00:00,-1.0,max3
SOL/USDT,2024-03-07 00:00:00+00:00,2024-04-05 00:00:00+00:00,1.4961015433350109,max3
DUSK/USDT,2024-03-25 00:00:00+00:00,2024-04-05 00:00:00+00:00,-1.0000000000000002,max3
FET/USDT,2024-03-06 00:00:00+00:00,2024-04-12 00:00:00+00:00,-1.0,max3
QTUM/USDT,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,-1.0000000000000002,max3
ETH/USDT,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,-1.0000000000000002,max3
HBAR/USDT,2024-04-23 00:00:00+00:00,2024-04-24 00:00:00+00:00,-1.0000000000000009,max3
TRX/USDT,2024-05-09 00:00:00+00:00,2024-05-19 00:00:00+00:00,-0.7927794273645549,max3
NEAR/USDT,2024-05-15 00:00:00+00:00,2024-05-30 00:00:00+00:00,-0.62754941689507,max3
ETC/USDT,2024-05-20 00:00:00+00:00,2024-06-02 00:00:00+00:00,-1.0000000000000002,max3
DEXE/USDT,2024-06-05 00:00:00+00:00,2024-06-11 00:00:00+00:00,-1.0000000000000002,max3
BTC/USDT,2024-05-15 00:00:00+00:00,2024-06-14 00:00:00+00:00,-0.0306726241861892,max3
TRX/USDT,2024-06-21 00:00:00+00:00,2024-07-22 00:00:00+00:00,3.343748565778087,max3
SOL/USDT,2024-07-15 00:00:00+00:00,2024-08-02 00:00:00+00:00,-0.3491273602462579,max3
ZEC/USDT,2024-07-13 00:00:00+00:00,2024-08-26 00:00:00+00:00,2.9686800640929047,max3
JST/USDT,2024-08-20 00:00:00+00:00,2024-08-27 00:00:00+00:00,-0.9999999999999994,max3
TRX/USDT,2024-08-19 00:00:00+00:00,2024-09-03 00:00:00+00:00,1.712595804658222,max3
FET/USDT,2024-09-18 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.1493132090425968,max3
BTC/USDT,2024-09-18 00:00:00+00:00,2024-10-01 00:00:00+00:00,-0.2004304648822911,max3
SOL/USDT,2024-09-19 00:00:00+00:00,2024-10-02 00:00:00+00:00,-0.176885993835678,max3
ZEC/USDT,2024-10-10 00:00:00+00:00,2024-11-26 00:00:00+00:00,2.7976601525547427,max3
SOL/USDT,2024-10-20 00:00:00+00:00,2024-12-02 00:00:00+00:00,3.76260855671706,max3
ADA/USDT,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,-1.0,max3
DUSK/USDT,2024-11-27 00:00:00+00:00,2024-12-18 00:00:00+00:00,-0.52363070984851,max3
BTC/USDT,2024-10-15 00:00:00+00:00,2024-12-19 00:00:00+00:00,6.960512355666963,max3
DEXE/USDT,2024-12-23 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.2099370760743527,max3
IOST/USDT,2025-01-09 00:00:00+00:00,2025-01-13 00:00:00+00:00,-1.0000000000000004,max3
ARDR/USDT,2025-01-09 00:00:00+00:00,2025-01-13 00:00:00+00:00,-0.9999999999999996,max3
VET/USDT,2025-01-17 00:00:00+00:00,2025-01-19 00:00:00+00:00,-1.0,max3
VTHO/USDT,2025-01-21 00:00:00+00:00,2025-01-23 00:00:00+00:00,3.2723252181174014,max3
HBAR/USDT,2025-01-16 00:00:00+00:00,2025-01-27 00:00:00+00:00,-1.0000000000000002,max3
DEXE/USDT,2025-01-27 00:00:00+00:00,2025-01-29 00:00:00+00:00,-0.9999999999999998,max3
BTC/USDT,2025-01-17 00:00:00+00:00,2025-02-02 00:00:00+00:00,-0.9999999999999996,max3
DEXE/USDT,2025-02-03 00:00:00+00:00,2025-02-09 00:00:00+00:00,-1.0,max3
ADA/USDT,2025-03-02 00:00:00+00:00,2025-03-03 00:00:00+00:00,-1.0000000000000004,max3
HBAR/USDT,2025-03-01 00:00:00+00:00,2025-03-09 00:00:00+00:00,-1.0,max3
ZEC/USDT,2025-04-01 00:00:00+00:00,2025-04-07 00:00:00+00:00,-0.9999999999999994,max3
VTHO/USDT,2025-04-14 00:00:00+00:00,2025-04-16 00:00:00+00:00,-1.0,max3
ARDR/USDT,2025-04-15 00:00:00+00:00,2025-04-17 00:00:00+00:00,2.051395654477521,max3
ADA/USDT,2025-04-24 00:00:00+00:00,2025-05-05 00:00:00+00:00,-0.653999150285848,max3
BTC/USDT,2025-04-22 00:00:00+00:00,2025-05-30 00:00:00+00:00,1.6670640105560888,max3
ZEC/USDT,2025-05-07 00:00:00+00:00,2025-06-13 00:00:00+00:00,0.8575706524232949,max3
ICX/USDT,2025-06-04 00:00:00+00:00,2025-06-14 00:00:00+00:00,-0.8410909379083136,max3
TRX/USDT,2025-04-12 00:00:00+00:00,2025-06-22 00:00:00+00:00,1.0427416028039869,max3
ZEC/USDT,2025-07-08 00:00:00+00:00,2025-07-23 00:00:00+00:00,-0.4430728293882246,max3
TRX/USDT,2025-07-09 00:00:00+00:00,2025-07-30 00:00:00+00:00,2.7904567752133795,max3
BTC/USDT,2025-07-09 00:00:00+00:00,2025-08-01 00:00:00+00:00,0.4269017115153876,max3
BTC/USDT,2025-08-13 00:00:00+00:00,2025-08-14 00:00:00+00:00,-1.000000000000001,max3
TRX/USDT,2025-08-12 00:00:00+00:00,2025-08-25 00:00:00+00:00,-0.6663568415253556,max3
ETH/USDT,2025-08-08 00:00:00+00:00,2025-09-22 00:00:00+00:00,0.5125843507788715,max3
SOL/USDT,2025-08-28 00:00:00+00:00,2025-09-22 00:00:00+00:00,0.2199378638354611,max3
ZEC/USDT,2025-08-21 00:00:00+00:00,2025-10-03 00:00:00+00:00,14.913459626105844,max3
ETH/USDT,2025-10-06 00:00:00+00:00,2025-10-09 00:00:00+00:00,-1.0000000000000009,max3
BTC/USDT,2025-10-01 00:00:00+00:00,2025-10-10 00:00:00+00:00,-0.9999999999999996,max3
ZEC/USDT,2025-10-08 00:00:00+00:00,2025-11-08 00:00:00+00:00,9.445374764230136,max3
DUSK/USDT,2025-11-07 00:00:00+00:00,2025-11-09 00:00:00+00:00,-1.0000000000000002,max3
JST/USDT,2025-10-27 00:00:00+00:00,2025-12-03 00:00:00+00:00,3.7007780382501134,max3
JST/USDT,2025-12-31 00:00:00+00:00,2026-01-01 00:00:00+00:00,-0.9999999999999988,max3
ZEC/USDT,2025-12-27 00:00:00+00:00,2026-01-07 00:00:00+00:00,-0.5072585778995397,max3
JST/USDT,2026-01-07 00:00:00+00:00,2026-01-11 00:00:00+00:00,-0.9999999999999996,max3
DUSK/USDT,2026-01-12 00:00:00+00:00,2026-01-13 00:00:00+00:00,-1.0,max3
DUSK/USDT,2026-01-16 00:00:00+00:00,2026-01-20 00:00:00+00:00,10.97741493518854,max3
TRX/USDT,2026-01-03 00:00:00+00:00,2026-01-20 00:00:00+00:00,0.1585495641928364,max3
JST/USDT,2026-01-21 00:00:00+00:00,2026-01-27 00:00:00+00:00,-1.0000000000000002,max3
DEXE/USDT,2026-03-17 00:00:00+00:00,2026-04-08 00:00:00+00:00,1.9683588852827996,max3
JST/USDT,2026-02-23 00:00:00+00:00,2026-04-13 00:00:00+00:00,7.031900308988939,max3
DEXE/USDT,2026-04-10 00:00:00+00:00,2026-04-21 00:00:00+00:00,2.177983584321475,max3
TRX/USDT,2026-03-13 00:00:00+00:00,2026-04-24 00:00:00+00:00,2.916042602579303,max3
ZEC/USDT,2026-05-03 00:00:00+00:00,2026-05-16 00:00:00+00:00,1.754933991127229,max3
JST/USDT,2026-04-29 00:00:00+00:00,2026-05-28 00:00:00+00:00,0.683543947748963,max3
TRX/USDT,2026-05-03 00:00:00+00:00,2026-05-28 00:00:00+00:00,2.2972285060705024,max3
NEAR/USDT,2026-05-20 00:00:00+00:00,2026-05-28 00:00:00+00:00,3.672435474872095,max3
ETH/USDT,2020-12-16 00:00:00+00:00,2020-12-23 00:00:00+00:00,-0.9999999999999998,max5
FET/USDT,2020-12-18 00:00:00+00:00,2020-12-23 00:00:00+00:00,-1.0,max5
BTC/USDT,2020-12-16 00:00:00+00:00,2021-01-04 00:00:00+00:00,4.897129729821177,max5
ADA/USDT,2020-12-29 00:00:00+00:00,2021-01-08 00:00:00+00:00,2.181556289065685,max5
HBAR/USDT,2021-01-08 00:00:00+00:00,2021-01-09 00:00:00+00:00,-0.9999999999999998,max5
ETH/USDT,2020-12-27 00:00:00+00:00,2021-01-11 00:00:00+00:00,4.094389313934422,max5
VET/USDT,2020-12-28 00:00:00+00:00,2021-02-15 00:00:00+00:00,6.350154971028294,max5
ICX/USDT,2020-12-29 00:00:00+00:00,2021-02-15 00:00:00+00:00,8.383224459234945,max5
ETC/USDT,2021-01-04 00:00:00+00:00,2021-02-15 00:00:00+00:00,7.198402357297277,max5
ZEC/USDT,2021-01-09 00:00:00+00:00,2021-02-15 00:00:00+00:00,4.918056838030156,max5
IOST/USDT,2021-01-14 00:00:00+00:00,2021-02-15 00:00:00+00:00,3.833981022116877,max5
FET/USDT,2021-02-18 00:00:00+00:00,2021-02-22 00:00:00+00:00,-1.0,max5
ADA/USDT,2021-02-20 00:00:00+00:00,2021-02-22 00:00:00+00:00,-1.0000000000000002,max5
ICX/USDT,2021-02-15 00:00:00+00:00,2021-02-23 00:00:00+00:00,-1.0000000000000002,max5
DUSK/USDT,2021-02-16 00:00:00+00:00,2021-02-23 00:00:00+00:00,-1.0000000000000002,max5
IOST/USDT,2021-02-17 00:00:00+00:00,2021-02-28 00:00:00+00:00,-1.0000000000000004,max5
ADA/USDT,2021-02-26 00:00:00+00:00,2021-03-12 00:00:00+00:00,-0.7650518015626002,max5
CELR/USDT,2021-03-05 00:00:00+00:00,2021-03-23 00:00:00+00:00,4.594024307006151,max5
JST/USDT,2021-03-14 00:00:00+00:00,2021-04-06 00:00:00+00:00,5.401572082563433,max5
FET/USDT,2021-03-03 00:00:00+00:00,2021-04-07 00:00:00+00:00,2.085422835926284,max5
DUSK/USDT,2021-03-08 00:00:00+00:00,2021-04-12 00:00:00+00:00,0.5523971261550623,max5
VET/USDT,2021-03-08 00:00:00+00:00,2021-04-18 00:00:00+00:00,10.121239802986068,max5
BTC/USDT,2021-04-13 00:00:00+00:00,2021-04-18 00:00:00+00:00,-0.9999999999999996,max5
ADA/USDT,2021-04-13 00:00:00+00:00,2021-04-18 00:00:00+00:00,-1.0000000000000002,max5
IOST/USDT,2021-04-13 00:00:00+00:00,2021-04-22 00:00:00+00:00,-1.0000000000000002,max5
ICX/USDT,2021-03-27 00:00:00+00:00,2021-04-23 00:00:00+00:00,-1.0,max5
