date,equity,dd_pct
2023-04-13,10933.1922,-2.6763
2023-04-14,10933.1922,-2.6763
2023-04-15,10933.1922,-2.6763
2023-04-16,10933.1922,-2.6763
2023-04-17,10933.1922,-2.6763
2023-04-18,10933.1922,-2.6763
2023-04-19,10933.1922,-2.6763
2023-04-20,10933.1922,-2.6763
2023-04-21,10933.1922,-2.6763
2023-04-22,10933.1922,-2.6763
2023-04-23,10933.1922,-2.6763
2023-04-24,10933.1922,-2.6763
2023-04-25,10933.1922,-2.6763
2023-04-26,10933.1922,-2.6763
2023-04-27,10933.1922,-2.6763
2023-04-28,10933.1922,-2.6763
2023-04-29,10933.1922,-2.6763
2023-04-30,10933.1922,-2.6763
2023-05-01,10933.1922,-2.6763
2023-05-02,10933.1922,-2.6763
2023-05-03,10933.1922,-2.6763
2023-05-04,10933.1922,-2.6763
2023-05-05,10933.1922,-2.6763
2023-05-06,10933.1922,-2.6763
2023-05-07,10933.1922,-2.6763
2023-05-08,10905.8593,-2.9196
2023-05-09,10905.8593,-2.9196
2023-05-10,10905.8593,-2.9196
2023-05-11,10905.8593,-2.9196
2023-05-12,10888.8315,-3.0712
2023-05-13,10888.8315,-3.0712
2023-05-14,10888.8315,-3.0712
2023-05-15,10888.8315,-3.0712
2023-05-16,10888.8315,-3.0712
2023-05-17,10888.8315,-3.0712
2023-05-18,10888.8315,-3.0712
2023-05-19,10888.8315,-3.0712
2023-05-20,10888.8315,-3.0712
2023-05-21,10888.8315,-3.0712
2023-05-22,10888.8315,-3.0712
2023-05-23,10888.8315,-3.0712
2023-05-24,10888.8315,-3.0712
2023-05-25,10888.8315,-3.0712
2023-05-26,10888.8315,-3.0712
2023-05-27,10888.8315,-3.0712
2023-05-28,10888.8315,-3.0712
2023-05-29,10888.8315,-3.0712
2023-05-30,10888.8315,-3.0712
2023-05-31,10889.7111,-3.0633
2023-06-01,10889.7111,-3.0633
2023-06-02,10889.7111,-3.0633
2023-06-03,10889.7111,-3.0633
2023-06-04,10889.7111,-3.0633
2023-06-05,10889.7111,-3.0633
2023-06-06,10889.7111,-3.0633
2023-06-07,10889.7111,-3.0633
