symbol,trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,best_r,worst_r,avg_mfe_r,avg_mae_r,top_month,top_month_pct,step_b_included,step_b_v2_included
BNT/USDT,16,26.220603587797186,1.638787724237324,0.4375,4.534363624840533,-6.4187622924566,20.143027847805197,-1.000000000000001,4.510258495327044,-0.9528901054388446,2021-02,0.7300757888241053,True,False
BTC/USDT,30,13.707221656287476,0.4569073885429159,0.3666666666666666,1.8244427019203824,-4.319175301878992,6.960512355666963,-1.0000000000000016,2.171404621119009,-0.869847451913497,2024-12,0.5077989201753508,True,True
BTTC/USDT,9,-5.743101621642468,-0.6381224024047187,0.1111111111111111,0.2821122972946915,-5.0,2.2568983783575325,-1.0000000000000004,1.2767771558818,-1.5169926999978665,2024-03,0.0,True,False
C98/USDT,6,3.3749030802527025,0.5624838467087837,0.5,2.124967693417568,-1.0,2.143050048291938,-1.0000000000000002,2.7640296117790064,-0.8904054303508158,2024-12,0.6349960272433877,True,False
CAKE/USDT,16,0.9646789182149548,0.0602924323884346,0.1875,1.0852509262147962,-6.315758796383896,5.949474092465788,-1.0000000000000004,2.563154883909567,-1.196636501131514,2024-03,6.167310158985038,True,False
CELO/USDT,11,9.011386024429685,0.8192169113117895,0.3636363636363636,2.421104510915144,-4.0,10.37280127087549,-1.0,3.3588992089816205,-0.9663367376109951,2021-08,1.1510772308227653,True,False
CELR/USDT,18,12.528919681871908,0.6960510934373283,0.2777777777777778,2.186818896127976,-8.556724132677523,6.905661280055829,-1.0000000000000009,3.126516903953382,-0.8999574217385992,2021-09,0.5511777116783364,True,True
CFX/USDT,13,-0.3146325622905996,-0.0242025047915845,0.1538461538461538,0.9699335039568048,-8.727377301891138,9.41274473960054,-1.0000000000000004,2.340124114215156,-1.3831669578298396,2023-02,0.0,True,False
CHR/USDT,18,30.96703095214772,1.720390608452651,0.3888888888888889,3.939864117280891,-8.533490568533292,19.99802653105804,-1.0000000000000009,4.411783703323066,-0.9237660241845832,2021-03,0.6457844331915545,True,False
CHZ/USDT,24,35.49218385787248,1.47884099407802,0.3333333333333333,3.448539632173554,-8.77897953654351,32.891519628512405,-1.0000000000000004,4.1508931656751855,-1.0540680785143988,2021-03,0.926725719674665,True,False
CITY/USDT,7,-4.901408927107561,-0.7002012753010802,0.1428571428571428,0.1830985121487396,-5.999999999999999,1.0985910728924375,-1.0000000000000009,1.354097514435212,-1.277616783341036,2023-04,0.0,True,False
CKB/USDT,15,10.694559202810828,0.7129706135207219,0.2666666666666666,1.972232654800984,-5.0,17.71532412468732,-1.0000000000000004,3.073743500912208,-1.1411061850556783,2024-02,1.6564800651186484,True,False
COMP/USDT,18,9.672303313003392,0.5373501840557441,0.2777777777777778,1.780955739902279,-4.0,8.342807690510298,-1.0000000000000009,2.5961151546382077,-1.135051006272206,2024-12,0.8625461196294653,True,False
COS/USDT,15,8.749817657464625,0.5833211771643083,0.4,2.0362541296773125,-4.443698709494453,7.803217283496314,-1.0000000000000004,3.2600675028035604,-1.1131363820958435,2021-04,0.891814845631583,True,False
COTI/USDT,20,4.442978374313297,0.2221489187156648,0.3,1.3287508524155924,-6.514728073455087,4.515960515440559,-1.0000000000000004,2.547932163339918,-0.9431260517046646,2024-02,1.434501980158248,True,False
CRV/USDT,15,11.029579512789857,0.7353053008526571,0.2666666666666666,2.148137997251358,-5.944950082400185,14.620214352944794,-1.0000000000000004,3.446667358109716,-0.9498561577305196,2024-12,1.325545940893871,True,False
CTK/USDT,17,-7.7317044864551985,-0.4548061462620705,0.1764705882352941,0.4087935389846788,-10.560917448513448,2.829212962058249,-1.0000000000000009,1.4499460328950449,-1.2173888475622083,2021-08,0.0,True,False
CTSI/USDT,19,18.426762511502105,0.9698296058685318,0.2631578947368421,2.339636933192714,-7.702413293012121,20.30406920509154,-1.0000000000000004,3.4710374280467136,-1.0592319086742787,2021-02,1.1018793557695017,True,False
CVC/USDT,12,18.048746074776407,1.504062172898034,0.4166666666666667,3.578392296396629,-3.0,7.7792473306491265,-1.0000000000000004,4.481330229937441,-1.0780159488893613,2021-09,0.43101317390247,True,False
CVX/USDT,12,-3.01996862677136,-0.2516640522309467,0.1666666666666666,0.6664877590106649,-4.055045829241187,3.0206370396519486,-1.0000000000000004,1.806405698726557,-1.0630070562764062,2024-02,0.0,True,False
DASH/USDT,25,10.222072326105934,0.4088828930442373,0.24,1.557310570408264,-8.071133400159635,16.038683947685506,-1.0000000000000009,2.768262090892248,-1.0565749461052965,2024-12,1.5690246983211662,True,False
DCR/USDT,18,4.378904171008335,0.2432724539449074,0.2222222222222222,1.4057238006013928,-6.098826033859641,8.31076346812012,-1.0000000000000004,2.269365190280834,-0.9727286300545428,2025-11,1.897909418329744,True,False
DEXE/USDT,15,23.928229523849534,1.5952153015899693,0.4666666666666667,4.070970049285808,-6.790062923925646,13.22056503396104,-1.0000000000000009,4.581185894630609,-0.8690023750949964,2024-04,0.5525091198571107,True,True
DGB/USDT,19,0.9694619483978516,0.0510243130735711,0.2105263157894736,1.0652471159941057,-7.858311108883812,5.1831642860384415,-1.0000000000000009,2.4183123949785763,-1.1024884821390792,2024-12,5.346433962265586,True,False
DIA/USDT,19,-7.466477631888248,-0.3929725069414867,0.2105263157894736,0.4748947892692385,-7.46114145694241,2.7510434498308456,-1.0000000000000009,2.67104834058193,-1.024062364189528,2023-12,0.0,True,False
DODO/USDT,9,5.110800493690391,0.5678667215211546,0.4444444444444444,2.0828926745528467,-3.0,3.6530667944263495,-1.0000000000000002,3.5923970920298918,-0.8755567674810473,2023-12,0.7147738987143586,True,False
DOGE/USDT,30,35.58531170775751,1.1861770569252503,0.2,2.5118913983066435,-13.802513148019337,26.647116360224867,-1.000000000000001,4.467167225221919,-1.2394436379241769,2021-04,0.7488234634295998,True,False
DOT/USDT,17,-2.1582283721150053,-0.1269546101244121,0.2941176470588235,0.8170177113481362,-4.083779245025154,2.9592615853038966,-1.0000000000000009,1.8787064518722127,-1.00250778300055,2024-01,0.0,True,False
DUSK/USDT,20,18.60384319751704,0.930192159875852,0.45,2.903576289801945,-4.773100924393555,10.97741493518854,-1.0000000000000004,3.5406941323556724,-0.7933197512546293,2026-01,0.5363093436801368,True,True
DYDX/USDT,6,7.694572716376111,1.2824287860626853,0.6666666666666666,5.276509736777433,-1.0,5.744115692874357,-1.0000000000000004,4.266562757985947,-0.7108504938738776,2023-11,0.7465152263295063,True,False
EGLD/USDT,12,7.457542055797897,0.6214618379831581,0.4166666666666667,2.245626129954279,-1.646917028871866,3.7031935182392552,-1.0000000000000004,3.054099658818465,-0.8413043414449187,2023-11,0.4965702493571849,True,False
ENJ/USDT,20,5.168835363785692,0.2584417681892846,0.25,1.3568905963674265,-7.0,7.184251847019408,-1.0000000000000004,2.508119369054153,-1.053681358522398,2021-03,1.389916942867689,True,False
ENS/USDT,16,0.0572250326292902,0.0035765645393306,0.25,1.0050420379624878,-6.0,4.5219097712780325,-1.0000000000000004,2.1845119182552635,-1.0826339147444646,2024-01,61.54491503907622,True,False
ETC/USDT,18,25.30070616432597,1.4055947869069982,0.3888888888888889,3.792548751532641,-5.031161329647844,10.860555746818504,-1.0000000000000009,4.26292994399795,-0.9471109012216006,2021-04,0.4292589968153499,True,True
ETH/USDT,24,18.02526161186608,0.7510525671610866,0.5416666666666666,2.7289280218636205,-2.4514799934789213,6.072070777490813,-1.0000000000000009,2.6766457072919514,-0.7103808687341667,2021-05,0.336864502066009,True,True
FET/USDT,19,43.642063966736686,2.2969507350914045,0.3684210526315789,4.724897521008555,-5.734100022915392,15.98257576893877,-1.0000000000000004,5.250795010976395,-0.902786353841497,2023-02,0.3662195211738941,True,True
FIDA/USDT,9,-3.503741714202846,-0.3893046349114273,0.2222222222222222,0.4555891115846069,-6.435840628392137,1.5264788077120637,-1.0000000000000002,2.636545233710709,-1.0166939693075432,2024-03,0.0,True,False
FIL/USDT,11,4.818690852707803,0.4380628047916184,0.2727272727272727,1.6787662563580203,-4.099190343613879,4.797345333712349,-1.0000000000000004,2.8573306452525844,-0.8568137332460096,2021-09,0.9886844633999892,True,False
FLOW/USDT,8,0.1281099166774184,0.0160137395846773,0.25,1.0228031767263193,-2.0,3.7665700939413034,-1.0000000000000004,1.9914400012006008,-1.0900016909325954,2024-12,29.40108144341042,True,False
FLUX/USDT,13,-3.5967435393759533,-0.2766725799519964,0.3076923076923077,0.5283545187370334,-4.044028056611537,2.018895005405283,-1.0000000000000004,1.6601543912030192,-0.7996300703376545,2024-02,0.0,True,False
GALA/USDT,8,2.914045458520441,0.3642556823150551,0.375,1.7149808455624134,-2.075697239452919,3.365227934730846,-1.0,2.5877214667205832,-0.8754808587161063,2024-02,1.1548302806640105,True,False
GLMR/USDT,4,10.529784998761755,2.632446249690439,0.75,11.529784998761754,0.0,5.011626504846827,-1.0000000000000002,5.915259581853048,-0.8385435844967599,2023-12,0.4759476575671931,True,False
GMT/USDT,6,-1.1719333476884992,-0.1953222246147498,0.3333333333333333,0.7070166630778751,-3.0,1.9534796535429408,-1.0000000000000004,1.8201854755887692,-1.1827190522588955,2024-12,0.0,True,False
GNO/USDT,17,-2.173285265672427,-0.1278403097454369,0.2352941176470588,0.8241492602759305,-9.528465687716604,5.530426481032595,-1.0000000000000004,1.6403658644777084,-0.9339110081984064,2024-03,0.0,True,False
GRT/USDT,13,6.525891896445616,0.5019916843419705,0.3076923076923077,1.919898660059637,-3.0,4.844844091476039,-1.0000000000000004,2.9229520403670795,-0.8522747110104165,2024-03,0.742403363150227,True,False
