symbol,base,bars,first_date,last_date,excluded,included
PYTH/USDT,PYTH,847,2024-02-02,2026-05-28,insufficient_bars,False
QI/USDT,QI,1656,2021-11-15,2026-05-28,,True
QKC/USDT,QKC,1169,2023-03-17,2026-05-28,insufficient_bars,False
QNT/USDT,QNT,1765,2021-07-29,2026-05-28,,True
QTUM/USDT,QTUM,2200,2020-05-20,2026-05-28,,True
QUICK/USDT,QUICK,1747,2021-08-13,2026-05-28,,True
RAD/USDT,RAD,1695,2021-10-07,2026-05-28,,True
RARE/USDT,RARE,1691,2021-10-11,2026-05-28,,True
RAY/USDT,RAY,1753,2021-08-10,2026-05-28,,True
RED/USDT,RED,455,2025-02-28,2026-05-28,insufficient_bars,False
RENDER/USDT,RENDER,672,2024-07-26,2026-05-28,insufficient_bars,False
REQ/USDT,REQ,1743,2021-08-20,2026-05-28,,True
RESOLV/USDT,RESOLV,352,2025-06-11,2026-05-28,insufficient_bars,False
REZ/USDT,REZ,759,2024-04-30,2026-05-28,insufficient_bars,False
RIF/USDT,RIF,1968,2021-01-07,2026-05-28,,True
RLC/USDT,RLC,2200,2020-05-20,2026-05-28,,True
RLUSD/USDT,RLUSD,127,2026-01-22,2026-05-28,insufficient_bars,False
ROBO/USDT,ROBO,86,2026-03-04,2026-05-28,insufficient_bars,False
RONIN/USDT,RONIN,844,2024-02-05,2026-05-28,insufficient_bars,False
ROSE/USDT,ROSE,2017,2020-11-19,2026-05-28,,True
RPL/USDT,RPL,1227,2023-01-18,2026-05-28,insufficient_bars,False
RSR/USDT,RSR,2101,2020-08-27,2026-05-28,,True
RUNE/USDT,RUNE,2093,2020-09-04,2026-05-28,,True
RVN/USDT,RVN,2200,2020-05-20,2026-05-28,,True
S/USDT,S,498,2025-01-16,2026-05-28,insufficient_bars,False
SAGA/USDT,SAGA,780,2024-04-09,2026-05-28,insufficient_bars,False
SAHARA/USDT,SAHARA,337,2025-06-26,2026-05-28,insufficient_bars,False
SAND/USDT,SAND,2114,2020-08-14,2026-05-28,,True
SANTOS/USDT,SANTOS,1640,2021-12-01,2026-05-28,,True
SAPIEN/USDT,SAPIEN,204,2025-11-06,2026-05-28,insufficient_bars,False
SC/USDT,SC,2153,2020-07-06,2026-05-28,,True
SCR/USDT,SCR,595,2024-10-11,2026-05-28,insufficient_bars,False
SCRT/USDT,SCRT,1589,2022-01-21,2026-05-28,,True
SEI/USDT,SEI,1018,2023-08-15,2026-05-28,insufficient_bars,False
SENT/USDT,SENT,127,2026-01-22,2026-05-28,insufficient_bars,False
