symbol,timeframe,side,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_risk,bars_held,exit_reason,breakeven_touched,chandelier_touched,mfe_r,mae_r,gross_r,cost_r,net_r,donchian_entry,ema_len,ema_slope_lookback,atr_len,initial_stop_atr_mult,be_trigger_r,chand_activate_r,chand_atr_mult,chand_lookback
AAVE/USDT,1d,LONG,2024-07-31 00:00:00+00:00,2024-08-05 00:00:00+00:00,107.52,94.93714285714286,94.93714285714286,94.93714285714286,12.58285714285714,5,INITIAL_STOP,False,False,0.8408265213442325,-2.493074477747502,-0.9999999999999997,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22
SUI/USDT,1d,LONG,2024-08-12 00:00:00+00:00,2024-08-16 00:00:00+00:00,1.0143,0.8214428571428571,0.8214428571428571,0.8214428571428571,0.19285714285714284,4,INITIAL_STOP,False,False,0.011407407407407304,-1.0790370370370368,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22
ZEC/USDT,1d,LONG,2024-07-13 00:00:00+00:00,2024-08-26 00:00:00+00:00,26.77,37.8,22.532857142857143,37.8,4.237142857142857,44,STOP_BE_CHAND,False,True,4.394470667565746,-0.33513149022252153,2.6031692515171945,0.02,2.5831692515171945,20,50,10,14,2.0,999.0,4.0,3.0,22
BNB/USDT,1d,LONG,2024-08-22 00:00:00+00:00,2024-08-27 00:00:00+00:00,582.9,538.0571428571428,538.0571428571428,538.0571428571428,44.84285714285714,5,INITIAL_STOP,False,False,0.3947116916215365,-1.391525963682701,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
BTC/USDT,1d,LONG,2024-08-23 00:00:00+00:00,2024-08-27 00:00:00+00:00,64037.24,58650.194285714286,58650.194285714286,58650.194285714286,5387.045714285711,4,INITIAL_STOP,False,False,0.17871762206266298,-1.1143825982542246,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
PEPE/USDT,1d,LONG,2024-08-24 00:00:00+00:00,2024-08-27 00:00:00+00:00,9.5e-06,8.055714285714286e-06,8.055714285714286e-06,8.055714285714286e-06,1.4442857142857145e-06,3,INITIAL_STOP,False,False,0.020771513353115525,-1.37784371909001,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
TRX/USDT,1d,LONG,2024-08-19 00:00:00+00:00,2024-09-04 00:00:00+00:00,0.1432,0.15242857142857144,0.13701428571428573,0.15242857142857144,0.006185714285714279,16,STOP_BE_CHAND,False,True,4.3325635103926174,-0.17782909930715793,1.4919168591224066,0.02,1.4719168591224066,20,50,10,14,2.0,999.0,4.0,3.0,22
AAVE/USDT,1d,LONG,2024-08-19 00:00:00+00:00,2024-10-01 00:00:00+00:00,118.12,144.81,101.43428571428572,101.43428571428572,16.685714285714287,43,DONCHIAN_EXIT,False,False,3.7529109589041094,-0.12705479452054821,1.5995719178082188,0.02,1.5795719178082188,20,50,10,14,2.0,999.0,4.0,3.0,22
APT/USDT,1d,LONG,2024-09-21 00:00:00+00:00,2024-10-01 00:00:00+00:00,8.25,7.354285714285714,7.354285714285714,7.354285714285714,0.8957142857142858,10,INITIAL_STOP,False,False,0.4354066985645939,-1.1387559808612435,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
AVAX/USDT,1d,LONG,2024-09-26 00:00:00+00:00,2024-10-01 00:00:00+00:00,29.16,25.934285714285714,25.934285714285714,25.934285714285714,3.2257142857142864,5,INITIAL_STOP,False,False,0.5239149689991145,-1.2896368467670503,-0.9999999999999999,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
BNB/USDT,1d,LONG,2024-09-19 00:00:00+00:00,2024-10-01 00:00:00+00:00,567.0,547.3,524.0428571428571,524.0428571428571,42.9571428571429,12,DONCHIAN_EXIT,False,False,1.2011972065181238,-0.7030262720319259,-0.45859660791486595,0.02,-0.47859660791486597,20,50,10,14,2.0,999.0,4.0,3.0,22
BTC/USDT,1d,LONG,2024-09-18 00:00:00+00:00,2024-10-01 00:00:00+00:00,61759.99,60805.78,57083.44714285714,57083.44714285714,4676.542857142854,13,DONCHIAN_EXIT,False,False,1.013143714221129,-0.34127560652252253,-0.20404175245449932,0.02,-0.2240417524544993,20,50,10,14,2.0,999.0,4.0,3.0,22
DOGE/USDT,1d,LONG,2024-09-26 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.11818,0.10761,0.10761,0.10761,0.010570000000000001,5,INITIAL_STOP,False,False,1.316934720908231,-1.4739829706717118,-0.9999999999999996,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22
FET/USDT,1d,LONG,2024-09-18 00:00:00+00:00,2024-10-01 00:00:00+00:00,1.452,1.486,1.2395714285714285,1.2395714285714285,0.21242857142857138,13,DONCHIAN_EXIT,False,False,1.3604572965702768,-0.188298587760592,0.1600537995965032,0.02,0.14005379959650321,20,50,10,14,2.0,999.0,4.0,3.0,22
ICP/USDT,1d,LONG,2024-09-24 00:00:00+00:00,2024-10-01 00:00:00+00:00,9.401,8.279714285714286,8.279714285714286,8.279714285714286,1.1212857142857138,7,INITIAL_STOP,False,False,0.5779080137597146,-1.177220028029049,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
UNI/USDT,1d,LONG,2024-09-27 00:00:00+00:00,2024-10-01 00:00:00+00:00,7.617,6.788,6.788,6.788,0.829,4,INITIAL_STOP,False,False,0.30277442702050705,-1.0144752714113392,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
NEAR/USDT,1d,LONG,2024-09-23 00:00:00+00:00,2024-10-02 00:00:00+00:00,5.177,4.528428571428571,4.528428571428571,4.528428571428571,0.6485714285714287,9,INITIAL_STOP,False,False,1.0700440528634372,-1.0099118942731267,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
SOL/USDT,1d,LONG,2024-09-19 00:00:00+00:00,2024-10-02 00:00:00+00:00,142.89,140.18,128.83571428571426,128.83571428571426,14.054285714285717,13,DONCHIAN_EXIT,False,False,1.3440739987802406,-0.3045334417564526,-0.192823744663548,0.02,-0.212823744663548,20,50,10,14,2.0,999.0,4.0,3.0,22
XRP/USDT,1d,LONG,2024-09-28 00:00:00+00:00,2024-10-02 00:00:00+00:00,0.6138,0.5699,0.5699,0.5699,0.0439,4,INITIAL_STOP,False,False,1.1640091116173128,-1.984054669703874,-1.000000000000001,0.02,-1.0200000000000011,20,50,10,14,2.0,999.0,4.0,3.0,22
TRX/USDT,1d,LONG,2024-09-27 00:00:00+00:00,2024-10-19 00:00:00+00:00,0.1552,0.1567,0.15124285714285715,0.15124285714285715,0.003957142857142858,22,DONCHIAN_EXIT,False,False,2.223826714801444,-0.5559566787003628,0.3790613718411555,0.02,0.3590613718411555,20,50,10,14,2.0,999.0,4.0,3.0,22
CHZ/USDT,1d,LONG,2024-10-15 00:00:00+00:00,2024-10-22 00:00:00+00:00,0.0826,0.07072857142857143,0.07072857142857143,0.07072857142857143,0.011871428571428571,7,INITIAL_STOP,False,False,0.016847172081828437,-1.0024067388688334,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
BCH/USDT,1d,LONG,2024-10-14 00:00:00+00:00,2024-10-23 00:00:00+00:00,369.6,338.8,338.8,338.8,30.80000000000001,9,INITIAL_STOP,False,False,0.5584415584415579,-1.006493506493506,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22
LTC/USDT,1d,LONG,2024-10-19 00:00:00+00:00,2024-10-23 00:00:00+00:00,74.9,69.26,69.26,69.26,5.640000000000002,4,INITIAL_STOP,False,False,0.17375886524822506,-1.2482269503546106,-0.9999999999999997,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22
APT/USDT,1d,LONG,2024-10-04 00:00:00+00:00,2024-10-25 00:00:00+00:00,9.1,8.95,7.614285714285714,7.614285714285714,1.485714285714286,21,DONCHIAN_EXIT,False,False,1.4403846153846156,-0.834615384615384,-0.10096153846153869,0.02,-0.12096153846153869,20,50,10,14,2.0,999.0,4.0,3.0,22
ARKM/USDT,1d,LONG,2024-09-23 00:00:00+00:00,2024-10-25 00:00:00+00:00,1.439,1.497,1.2424285714285717,1.2424285714285717,0.19657142857142848,32,DONCHIAN_EXIT,False,False,3.1082848837209305,-0.8750000000000012,0.29505813953488413,0.02,0.2750581395348841,20,50,10,14,2.0,999.0,4.0,3.0,22
PEPE/USDT,1d,LONG,2024-09-24 00:00:00+00:00,2024-10-25 00:00:00+00:00,8.59e-06,8.78e-06,7.44857142857143e-06,7.44857142857143e-06,1.1414285714285713e-06,31,DONCHIAN_EXIT,False,False,2.9612015018773468,-0.324155193992492,0.16645807259073833,0.02,0.14645807259073834,20,50,10,14,2.0,999.0,4.0,3.0,22
SEI/USDT,1d,LONG,2024-09-24 00:00:00+00:00,2024-10-25 00:00:00+00:00,0.4332,0.3632142857142857,0.3632142857142857,0.3632142857142857,0.06998571428571428,31,INITIAL_STOP,False,False,1.2516840171463575,-1.151663604817309,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
SUI/USDT,1d,LONG,2024-09-15 00:00:00+00:00,2024-10-25 00:00:00+00:00,1.0787,1.8202214285714284,0.9178142857142857,1.8202214285714284,0.16088571428571424,40,STOP_BE_CHAND,False,True,8.01376309714083,-0.37915112768602355,4.608994849937845,0.02,4.588994849937845,20,50,10,14,2.0,999.0,4.0,3.0,22
UNI/USDT,1d,LONG,2024-10-10 00:00:00+00:00,2024-11-03 00:00:00+00:00,8.133,7.125428571428571,7.125428571428571,7.125428571428571,1.0075714285714288,24,INITIAL_STOP,False,False,0.6173259605841501,-1.2902311073302128,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
