symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,month
FET/USDT,2023-10-26 00:00:00+00:00,2024-01-03 00:00:00+00:00,0.2840668088730262,0.6105540115691294,0.254201279857236,0.029865529015790204,chandelier_stop,70,10.931907568872665,0.0,17.11448643205793,2024-01
ICX/USDT,2024-01-03 00:00:00+00:00,2024-01-05 00:00:00+00:00,0.27287163263761266,0.23904469373851403,0.23904469373851403,0.03382693889909862,initial_stop,3,-1.0000000000000002,-1.2023444615822578,0.0,2024-01
CELR/USDT,2023-12-11 00:00:00+00:00,2024-01-08 00:00:00+00:00,0.019277249240618,0.016935243165561997,0.016935243165561997,0.002342006075056003,initial_stop,29,-1.0000000000000004,-1.1388737497421826,2.533191874508751,2024-01
BTC/USDT,2024-01-03 00:00:00+00:00,2024-01-18 00:00:00+00:00,44030.48806356254,41088.31257206283,41088.31257206283,2942.175491499711,initial_stop,16,-0.9999999999999988,-1.1376643144615317,1.678687063605414,2024-01
SOL/USDT,2023-12-23 00:00:00+00:00,2024-01-22 00:00:00+00:00,93.78789601681669,83.84,79.7710641513501,14.016831865466589,midline_exit,31,-0.7097107329456821,-0.836700912829726,2.3237850247338367,2024-01
VTHO/USDT,2024-02-13 00:00:00+00:00,2024-02-16 00:00:00+00:00,0.002631830028757453,0.00562518652166023,0.002310470258817077,0.00032135976994037606,chandelier_stop,4,9.314658438603418,0.0,13.810596055834832,2024-02
DUSK/USDT,2024-01-28 00:00:00+00:00,2024-02-17 00:00:00+00:00,0.26751187962747325,0.2972,0.2204069166472593,0.047104962980213945,midline_exit,21,0.6302546163765594,-0.4991380555239843,1.9316036913296282,2024-02
VET/USDT,2024-02-12 00:00:00+00:00,2024-02-20 00:00:00+00:00,0.02976041119696481,0.04288451625180175,0.027043700772683307,0.0027167104242815042,chandelier_stop,9,4.830881104418006,0.0,7.983769123561079,2024-02
AVAX/USDT,2024-02-15 00:00:00+00:00,2024-02-21 00:00:00+00:00,41.081333344203856,36.13200009783465,36.13200009783465,4.949333246369206,initial_stop,7,-1.0000000000000002,-1.0468750205908735,0.1472252159077571,2024-02
SOL/USDT,2024-02-13 00:00:00+00:00,2024-02-23 00:00:00+00:00,109.35955114369115,99.9,97.35596029322033,12.003590850470811,midline_exit,11,-0.788060111472403,-0.8930287009299972,0.777304805915047,2024-02
DEXE/USDT,2024-02-21 00:00:00+00:00,2024-02-24 00:00:00+00:00,3.383251260481488,4.080859043298142,3.049261344333394,0.3339899161480942,chandelier_stop,4,2.088709116916358,0.0,4.541300997979747,2024-02
SC/USDT,2024-02-24 00:00:00+00:00,2024-02-25 00:00:00+00:00,0.017762459535201638,0.014998135816814744,0.014998135816814744,0.002764323718386894,initial_stop,2,-1.0,-3.0862736800522494,0.0,2024-02
TRX/USDT,2024-01-15 00:00:00+00:00,2024-03-01 00:00:00+00:00,0.10980396741459739,0.13553934019208788,0.10407570673137655,0.005728260683220839,chandelier_stop,47,4.492702794213657,-0.6378842752915479,6.008112145841002,2024-03
