scenario,trade_id,symbol,side,entry_time,entry_price,exit_price,initial_stop,final_stop,initial_risk_per_unit,net_r,bars_held,max_favorable_r,chandelier_active,risk_amount,equity_before_entry,heat_before_entry_pct,heat_after_entry_pct,same_side_before_entry,open_positions_before_entry,exit_time,realized_r,pnl_usdt,equity_after_exit,peak_equity,drawdown_pct,open_positions_after_exit
SAME_SIDE_CAP4,34,ACE/USDT,SHORT,2025-10-07 12:00:00+00:00,0.446,0.4742857142857142,0.4742857142857142,0.4742857142857142,0.0282857142857142,-1.0,8,1.060606060606063,False,25.0,10000.0,1.0,1.25,0,4,2025-10-09 12:00:00+00:00,-1.0,-25.0,9975.0,10000.0,-0.25,4
SAME_SIDE_CAP4,0,ETH/USDT,LONG,2025-10-01 18:00:00+00:00,4348.03,4170.617142857142,4170.617142857142,4170.617142857142,177.41285714285732,-1.0,35,2.2939149200009656,False,25.0,10000.0,0.0,0.25,0,0,2025-10-10 12:00:00+00:00,-1.0,-25.0,9950.0,10000.0,-0.5,4
SAME_SIDE_CAP4,1,APT/USDT,LONG,2025-10-01 18:00:00+00:00,4.875,4.627571428571429,4.627571428571429,4.627571428571429,0.2474285714285713,-1.0,36,3.1241339491916857,False,25.0,10000.0,0.25,0.5,1,1,2025-10-10 18:00:00+00:00,-1.0,-25.0,9925.0,10000.0,-0.75,4
SAME_SIDE_CAP4,2,BTC/USDT,LONG,2025-10-01 18:00:00+00:00,118594.99,115755.16428571429,115755.16428571429,115755.16428571429,2839.8257142857183,-1.0,36,2.677854475978904,False,25.0,10000.0,0.5,0.75,2,2,2025-10-10 18:00:00+00:00,-1.0,-25.0,9900.0,10000.0,-1.0,3
SAME_SIDE_CAP4,3,LTC/USDT,LONG,2025-10-01 18:00:00+00:00,115.1,122.08928571428572,110.4042857142857,122.08928571428572,4.695714285714288,1.4884393063583836,36,4.448737450562824,True,25.0,10000.0,0.75,1.0,3,3,2025-10-10 18:00:00+00:00,1.4884393063583836,37.210982658959594,9937.21098265896,10000.0,-0.6278901734103965,2
SAME_SIDE_CAP4,55,AAVE/USDT,SHORT,2025-10-09 12:00:00+00:00,272.7,144.29714285714286,287.4242857142857,144.29714285714286,14.724285714285712,8.720481226351023,5,13.120500630639372,True,24.9375,9975.0,1.0025062656641603,1.2525062656641603,0,4,2025-10-10 18:00:00+00:00,8.720481226351023,217.46700058212863,10154.677983241088,10154.677983241088,0.0,1
SAME_SIDE_CAP4,57,1000SATS/USDT,SHORT,2025-10-10 12:00:00+00:00,3.454e-05,1.575357142857143e-05,3.743142857142857e-05,1.575357142857143e-05,2.8914285714285728e-06,6.497282608695648,1,10.09535573122529,True,24.875,9950.0,1.004396984924623,1.254396984924623,1,4,2025-10-10 18:00:00+00:00,6.497282608695648,161.61990489130423,10316.297888132392,10316.297888132392,0.0,0
SAME_SIDE_CAP4,83,ADX/USDT,SHORT,2025-10-10 18:00:00+00:00,0.0926,0.1069571428571428,0.1069571428571428,0.1069571428571428,0.0143571428571428,-1.0,3,0.2646766169154226,False,25.79074472033098,10316.297888132392,0.0,0.25,0,0,2025-10-11 12:00:00+00:00,-1.0,-25.79074472033098,10290.507143412062,10316.297888132392,-0.24999999999999653,3
SAME_SIDE_CAP4,84,ALGO/USDT,SHORT,2025-10-10 18:00:00+00:00,0.1754,0.2046714285714285,0.2046714285714285,0.2046714285714285,0.0292714285714285,-1.0,7,0.102489019033675,False,25.79074472033098,10316.297888132392,0.25,0.5,1,1,2025-10-12 12:00:00+00:00,-1.0,-25.79074472033098,10264.716398691731,10316.297888132392,-0.49999999999999306,2
SAME_SIDE_CAP4,85,ETH/USDT,SHORT,2025-10-10 18:00:00+00:00,3829.72,4203.041428571429,4203.041428571429,4203.041428571429,373.3214285714289,-1.0,9,0.4992748493255517,False,25.79074472033098,10316.297888132392,0.5,0.75,2,2,2025-10-13 00:00:00+00:00,-1.0,-25.79074472033098,10238.9256539714,10316.297888132392,-0.7499999999999896,1
SAME_SIDE_CAP4,86,ALCX/USDT,SHORT,2025-10-10 18:00:00+00:00,7.25,8.262857142857143,8.262857142857143,8.262857142857143,1.0128571428571431,-1.0,12,0.1777150916784199,False,25.79074472033098,10316.297888132392,0.7500000000000001,1.0,3,3,2025-10-13 18:00:00+00:00,-1.0,-25.79074472033098,10213.13490925107,10316.297888132392,-0.9999999999999861,0
SAME_SIDE_CAP4,92,AVNT/USDT,SHORT,2025-10-16 12:00:00+00:00,0.559,0.6364142857142857,0.6364142857142857,0.6364142857142857,0.0774142857142856,-1.0,17,1.1935781509503611,False,25.532837273127676,10213.13490925107,0.0,0.25,0,0,2025-10-20 18:00:00+00:00,-1.0,-25.532837273127676,10187.602071977943,10316.297888132392,-1.2474999999999832,4
SAME_SIDE_CAP4,123,AUCTION/USDT,LONG,2025-10-20 06:00:00+00:00,10.66,9.347142857142858,9.347142857142858,9.347142857142858,1.3128571428571425,-1.0,3,0.0837867247007613,False,25.532837273127676,10213.13490925107,1.0,1.25,0,4,2025-10-21 00:00:00+00:00,-1.0,-25.532837273127676,10162.069234704815,10316.297888132392,-1.4949999999999801,3
SAME_SIDE_CAP4,93,BTC/USDT,SHORT,2025-10-16 12:00:00+00:00,108276.7,112606.48571428572,112606.48571428572,112606.48571428572,4329.785714285725,-1.0,20,1.0966986158998278,False,25.532837273127676,10213.13490925107,0.25,0.5,1,1,2025-10-21 12:00:00+00:00,-1.0,-25.532837273127676,10136.536397431688,10316.297888132392,-1.7424999999999775,3
