symbol,entry_time,exit_time,net_r,win,bars_held,exit_reason,year
LPT_USDT,2022-07-08 00:00:00,2022-07-10 12:00:00,-1.0,0,15,atr_stop,2022
ZEC_USDT,2022-07-16 16:00:00,2022-07-19 00:00:00,-1.0,0,14,atr_stop,2022
BCH_USDT,2022-07-17 04:00:00,2022-07-17 16:00:00,-1.0,0,3,atr_stop,2022
FIL_USDT,2022-07-17 16:00:00,2022-07-18 08:00:00,-1.0,0,4,atr_stop,2022
BCH_USDT,2022-07-18 00:00:00,2022-07-18 08:00:00,-1.0,0,2,atr_stop,2022
TRX_USDT,2022-08-30 12:00:00,2022-09-02 00:00:00,1.5622,1,15,time_exit,2022
FIL_USDT,2022-09-03 08:00:00,2022-09-05 20:00:00,0.7568,1,15,time_exit,2022
AVAX_USDT,2022-09-06 08:00:00,2022-09-08 20:00:00,1.442,1,15,time_exit,2022
SOL_USDT,2022-09-06 12:00:00,2022-09-09 00:00:00,-0.663,0,15,time_exit,2022
BTC_USDT,2022-09-09 04:00:00,2022-09-09 12:00:00,-1.0,0,2,atr_stop,2022
AVAX_USDT,2022-09-09 12:00:00,2022-09-12 00:00:00,0.081,1,15,time_exit,2022
TRX_USDT,2022-09-11 00:00:00,2022-09-13 12:00:00,3.441,1,15,time_exit,2022
BTC_USDT,2022-09-27 00:00:00,2022-09-29 12:00:00,1.2083,1,15,time_exit,2022
ATOM_USDT,2022-10-17 20:00:00,2022-10-20 08:00:00,1.2884,1,15,time_exit,2022
LPT_USDT,2022-10-18 00:00:00,2022-10-20 12:00:00,-0.2593,0,15,time_exit,2022
LPT_USDT,2022-11-20 00:00:00,2022-11-22 12:00:00,11.1034,1,15,time_exit,2022
ZEC_USDT,2022-11-23 00:00:00,2022-11-23 04:00:00,-1.0,0,1,atr_stop,2022
LPT_USDT,2022-11-23 08:00:00,2022-11-24 08:00:00,-1.0,0,6,atr_stop,2022
ZEC_USDT,2022-11-23 08:00:00,2022-11-25 20:00:00,1.5806,1,15,time_exit,2022
FET_USDT,2022-11-23 12:00:00,2022-11-23 16:00:00,-1.0,0,1,atr_stop,2022
GRT_USDT,2022-11-23 12:00:00,2022-11-26 00:00:00,0.1767,1,15,time_exit,2022
AAVE_USDT,2022-11-27 00:00:00,2022-11-29 12:00:00,0.6513,1,15,time_exit,2022
ETH_USDT,2022-11-30 00:00:00,2022-12-02 12:00:00,-0.3009,0,15,time_exit,2022
BTC_USDT,2022-11-30 16:00:00,2022-12-03 04:00:00,0.1882,1,15,time_exit,2022
ZEC_USDT,2022-11-30 20:00:00,2022-12-01 08:00:00,-1.0,0,3,atr_stop,2022
NEAR_USDT,2022-12-01 00:00:00,2022-12-03 12:00:00,0.5426,1,15,time_exit,2022
FIL_USDT,2022-12-02 12:00:00,2022-12-05 00:00:00,0.3977,1,15,time_exit,2022
DOT_USDT,2022-12-02 12:00:00,2022-12-05 00:00:00,-0.178,0,15,time_exit,2022
ZEN_USDT,2022-12-02 16:00:00,2022-12-03 12:00:00,-1.0,0,5,atr_stop,2022
AVAX_USDT,2022-12-03 16:00:00,2022-12-05 08:00:00,-1.0,0,10,atr_stop,2022
BTC_USDT,2022-12-05 04:00:00,2022-12-07 16:00:00,1.8279,1,15,time_exit,2022
FET_USDT,2022-12-05 08:00:00,2022-12-05 12:00:00,-1.0,0,1,atr_stop,2022
SOL_USDT,2022-12-14 12:00:00,2022-12-17 00:00:00,3.7511,1,15,time_exit,2022
LTC_USDT,2022-12-25 16:00:00,2022-12-25 20:00:00,-1.0,0,1,atr_stop,2022
