symbol,timeframe,side,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_risk,bars_held,exit_reason,breakeven_touched,chandelier_touched,mfe_r,mae_r,gross_r,cost_r,net_r,donchian_entry,ema_len,ema_slope_lookback,atr_len,initial_stop_atr_mult,be_trigger_r,chand_activate_r,chand_atr_mult,chand_lookback,source_trade_id,variant,portfolio_entry_time,open_positions_before_entry,skip_reason,portfolio_status
PHA/USDT,1d,LONG,2024-06-06 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.2173,0.1947,0.1947,0.1947,0.0225999999999999,1,INITIAL_STOP,False,False,0.2477876106194688,-1.243362831858407,-0.9999999999999996,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22,34,T5_1D_LONG_max3,2024-06-06 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BTC/USDT,1d,LONG,2024-07-15 00:00:00+00:00,2024-08-02 00:00:00+00:00,64724.14,61498.33,59180.55,59180.55,5543.590000000001,18,DONCHIAN_EXIT,False,False,0.9661338591057428,-0.6303009421692435,-0.5818990942692366,0.02,-0.6018990942692366,20,50,10,14,2.0,999.0,4.0,3.0,22,41,T5_1D_LONG_max3,2024-07-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
NEAR/USDT,1d,LONG,2024-07-15 00:00:00+00:00,2024-07-31 00:00:00+00:00,5.915,5.018714285714285,5.018714285714285,5.018714285714285,0.8962857142857145,16,INITIAL_STOP,False,False,0.6404207841887151,-1.0565827223461906,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22,42,T5_1D_LONG_max3,2024-07-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
SOL/USDT,1d,LONG,2024-07-15 00:00:00+00:00,2024-08-02 00:00:00+00:00,159.38,152.77,137.70857142857142,137.70857142857142,21.67142857142858,18,DONCHIAN_EXIT,False,False,1.5965721819380343,-0.4328279499011202,-0.3050098879367164,0.02,-0.3250098879367164,20,50,10,14,2.0,999.0,4.0,3.0,22,43,T5_1D_LONG_max3,2024-07-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
XRP/USDT,1d,LONG,2024-07-16 00:00:00+00:00,2024-08-02 00:00:00+00:00,0.5793,0.5607,0.5085142857142857,0.5085142857142857,0.0707857142857143,17,DONCHIAN_EXIT,False,False,1.1202825428859724,-0.5551967709384459,-0.2627648839556012,0.02,-0.2827648839556012,20,50,10,14,2.0,999.0,4.0,3.0,22,44,T5_1D_LONG_max3,2024-07-16 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
INJ/USDT,1d,LONG,2024-07-18 00:00:00+00:00,2024-07-25 00:00:00+00:00,26.92,23.208571428571428,23.208571428571428,23.208571428571428,3.7114285714285726,7,INITIAL_STOP,False,False,0.3206312548113926,-1.0966127790608158,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,45,T5_1D_LONG_max3,2024-07-18 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BNB/USDT,1d,LONG,2024-07-19 00:00:00+00:00,2024-08-02 00:00:00+00:00,593.4,542.9,539.0999999999999,539.0999999999999,54.300000000000026,14,DONCHIAN_EXIT,False,False,0.2246777163904243,-0.9797421731123372,-0.930018416206261,0.02,-0.950018416206261,20,50,10,14,2.0,999.0,4.0,3.0,22,46,T5_1D_LONG_max3,2024-07-19 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
DOGE/USDT,1d,LONG,2024-07-20 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.13424,0.1189799999999999,0.1189799999999999,0.1189799999999999,0.01526,12,INITIAL_STOP,False,False,0.6218872870249014,-1.4501965923984266,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,47,T5_1D_LONG_max3,2024-07-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
ICP/USDT,1d,LONG,2024-07-21 00:00:00+00:00,2024-07-29 00:00:00+00:00,10.722,9.194571428571429,9.194571428571429,9.194571428571429,1.5274285714285718,8,INITIAL_STOP,False,False,0.1728395061728402,-1.1836887392442943,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22,48,T5_1D_LONG_max3,2024-07-21 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
JTO/USDT,1d,LONG,2024-07-21 00:00:00+00:00,2024-07-23 00:00:00+00:00,2.909,2.4878571428571425,2.4878571428571425,2.4878571428571425,0.4211428571428572,2,INITIAL_STOP,False,False,0.0332428765264591,-1.1373812754409758,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22,49,T5_1D_LONG_max3,2024-07-21 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
AAVE/USDT,1d,LONG,2024-07-31 00:00:00+00:00,2024-08-05 00:00:00+00:00,107.52,94.93714285714286,94.93714285714286,94.93714285714286,12.58285714285714,5,INITIAL_STOP,False,False,0.8408265213442325,-2.493074477747502,-0.9999999999999996,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22,52,T5_1D_LONG_max3,2024-07-31 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BNB/USDT,1d,LONG,2024-08-22 00:00:00+00:00,2024-08-27 00:00:00+00:00,582.9,538.0571428571428,538.0571428571428,538.0571428571428,44.84285714285714,5,INITIAL_STOP,False,False,0.3947116916215365,-1.391525963682701,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,56,T5_1D_LONG_max3,2024-08-22 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BTC/USDT,1d,LONG,2024-08-23 00:00:00+00:00,2024-08-27 00:00:00+00:00,64037.24,58650.194285714286,58650.194285714286,58650.194285714286,5387.045714285711,4,INITIAL_STOP,False,False,0.1787176220626629,-1.1143825982542246,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,57,T5_1D_LONG_max3,2024-08-23 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
PEPE/USDT,1d,LONG,2024-08-24 00:00:00+00:00,2024-08-27 00:00:00+00:00,9.5e-06,8.055714285714286e-06,8.055714285714286e-06,8.055714285714286e-06,1.4442857142857143e-06,3,INITIAL_STOP,False,False,0.0207715133531155,-1.37784371909001,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,58,T5_1D_LONG_max3,2024-08-24 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
FET/USDT,1d,LONG,2024-09-18 00:00:00+00:00,2024-10-01 00:00:00+00:00,1.452,1.486,1.2395714285714283,1.2395714285714283,0.2124285714285713,13,DONCHIAN_EXIT,False,False,1.3604572965702768,-0.188298587760592,0.1600537995965032,0.02,0.1400537995965032,20,50,10,14,2.0,999.0,4.0,3.0,22,61,T5_1D_LONG_max3,2024-09-18 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BNB/USDT,1d,LONG,2024-09-19 00:00:00+00:00,2024-10-01 00:00:00+00:00,567.0,547.3,524.0428571428571,524.0428571428571,42.9571428571429,12,DONCHIAN_EXIT,False,False,1.2011972065181238,-0.7030262720319259,-0.4585966079148659,0.02,-0.4785966079148659,20,50,10,14,2.0,999.0,4.0,3.0,22,62,T5_1D_LONG_max3,2024-09-19 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
SOL/USDT,1d,LONG,2024-09-19 00:00:00+00:00,2024-10-02 00:00:00+00:00,142.89,140.18,128.83571428571426,128.83571428571426,14.054285714285715,13,DONCHIAN_EXIT,False,False,1.3440739987802406,-0.3045334417564526,-0.192823744663548,0.02,-0.212823744663548,20,50,10,14,2.0,999.0,4.0,3.0,22,63,T5_1D_LONG_max3,2024-09-19 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
APT/USDT,1d,LONG,2024-09-21 00:00:00+00:00,2024-10-01 00:00:00+00:00,8.25,7.354285714285714,7.354285714285714,7.354285714285714,0.8957142857142858,10,INITIAL_STOP,False,False,0.4354066985645939,-1.1387559808612435,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,64,T5_1D_LONG_max3,2024-09-21 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
PENDLE/USDT,1d,LONG,2024-09-22 00:00:00+00:00,2024-11-20 00:00:00+00:00,4.089,4.892,3.4882857142857144,3.4882857142857144,0.6007142857142858,59,DONCHIAN_EXIT,False,False,3.8803804994054687,-0.8539833531510113,1.3367419738406656,0.02,1.3167419738406656,20,50,10,14,2.0,999.0,4.0,3.0,22,65,T5_1D_LONG_max3,2024-09-22 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
ARKM/USDT,1d,LONG,2024-09-23 00:00:00+00:00,2024-10-25 00:00:00+00:00,1.439,1.497,1.2424285714285717,1.2424285714285717,0.1965714285714284,32,DONCHIAN_EXIT,False,False,3.1082848837209305,-0.8750000000000012,0.2950581395348841,0.02,0.2750581395348841,20,50,10,14,2.0,999.0,4.0,3.0,22,66,T5_1D_LONG_max3,2024-09-23 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
NEAR/USDT,1d,LONG,2024-09-23 00:00:00+00:00,2024-10-02 00:00:00+00:00,5.177,4.528428571428571,4.528428571428571,4.528428571428571,0.6485714285714287,9,INITIAL_STOP,False,False,1.0700440528634372,-1.0099118942731269,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22,67,T5_1D_LONG_max3,2024-09-23 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
ICP/USDT,1d,LONG,2024-09-24 00:00:00+00:00,2024-10-01 00:00:00+00:00,9.401,8.279714285714286,8.279714285714286,8.279714285714286,1.1212857142857138,7,INITIAL_STOP,False,False,0.5779080137597146,-1.177220028029049,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22,68,T5_1D_LONG_max3,2024-09-24 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
PEPE/USDT,1d,LONG,2024-09-24 00:00:00+00:00,2024-10-25 00:00:00+00:00,8.59e-06,8.78e-06,7.44857142857143e-06,7.44857142857143e-06,1.1414285714285711e-06,31,DONCHIAN_EXIT,False,False,2.9612015018773468,-0.324155193992492,0.1664580725907383,0.02,0.1464580725907383,20,50,10,14,2.0,999.0,4.0,3.0,22,69,T5_1D_LONG_max3,2024-09-24 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
SEI/USDT,1d,LONG,2024-09-24 00:00:00+00:00,2024-10-25 00:00:00+00:00,0.4332,0.3632142857142857,0.3632142857142857,0.3632142857142857,0.0699857142857142,31,INITIAL_STOP,False,False,1.2516840171463577,-1.151663604817309,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22,70,T5_1D_LONG_max3,2024-09-24 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
AVAX/USDT,1d,LONG,2024-09-26 00:00:00+00:00,2024-10-01 00:00:00+00:00,29.16,25.934285714285718,25.934285714285718,25.934285714285718,3.2257142857142864,5,INITIAL_STOP,False,False,0.5239149689991145,-1.2896368467670505,-1.0,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22,71,T5_1D_LONG_max3,2024-09-26 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
DOGE/USDT,1d,LONG,2024-09-26 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.11818,0.10761,0.10761,0.10761,0.01057,5,INITIAL_STOP,False,False,1.316934720908231,-1.4739829706717118,-0.9999999999999996,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22,72,T5_1D_LONG_max3,2024-09-26 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
TRX/USDT,1d,LONG,2024-09-27 00:00:00+00:00,2024-10-19 00:00:00+00:00,0.1552,0.1567,0.1512428571428571,0.1512428571428571,0.0039571428571428,22,DONCHIAN_EXIT,False,False,2.223826714801444,-0.5559566787003628,0.3790613718411555,0.02,0.3590613718411555,20,50,10,14,2.0,999.0,4.0,3.0,22,73,T5_1D_LONG_max3,2024-09-27 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
UNI/USDT,1d,LONG,2024-09-27 00:00:00+00:00,2024-10-01 00:00:00+00:00,7.617,6.788,6.788,6.788,0.829,4,INITIAL_STOP,False,False,0.302774427020507,-1.0144752714113392,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22,74,T5_1D_LONG_max3,2024-09-27 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
XRP/USDT,1d,LONG,2024-09-28 00:00:00+00:00,2024-10-02 00:00:00+00:00,0.6138,0.5699,0.5699,0.5699,0.0439,4,INITIAL_STOP,False,False,1.1640091116173128,-1.984054669703874,-1.000000000000001,0.02,-1.0200000000000011,20,50,10,14,2.0,999.0,4.0,3.0,22,75,T5_1D_LONG_max3,2024-09-28 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
ZEC/USDT,1d,LONG,2024-10-10 00:00:00+00:00,2024-12-09 00:00:00+00:00,33.85,55.23357142857142,29.70428571428572,55.23357142857142,4.145714285714286,60,STOP_BE_CHAND,False,True,10.970365265334252,-0.1881461061337011,5.15799448656099,0.02,5.137994486560991,20,50,10,14,2.0,999.0,4.0,3.0,22,78,T5_1D_LONG_max3,2024-10-10 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BCH/USDT,1d,LONG,2024-10-14 00:00:00+00:00,2024-10-23 00:00:00+00:00,369.6,338.8,338.8,338.8,30.80000000000001,9,INITIAL_STOP,False,False,0.5584415584415579,-1.006493506493506,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22,79,T5_1D_LONG_max3,2024-10-14 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BTC/USDT,1d,LONG,2024-10-15 00:00:00+00:00,2024-12-20 00:00:00+00:00,67074.14,95366.51642857144,62934.05857142857,95366.51642857144,4140.081428571428,66,STOP_BE_CHAND,False,True,9.97054302244573,-0.4381894489997953,6.833772938213432,0.02,6.813772938213432,20,50,10,14,2.0,999.0,4.0,3.0,22,80,T5_1D_LONG_max3,2024-10-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
CHZ/USDT,1d,LONG,2024-10-15 00:00:00+00:00,2024-10-22 00:00:00+00:00,0.0826,0.0707285714285714,0.0707285714285714,0.0707285714285714,0.0118714285714285,7,INITIAL_STOP,False,False,0.0168471720818284,-1.0024067388688334,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,81,T5_1D_LONG_max3,2024-10-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
DOGE/USDT,1d,LONG,2024-10-18 00:00:00+00:00,2024-12-18 00:00:00+00:00,0.13716,0.3762242857142857,0.1234671428571428,0.3762242857142857,0.0136928571428571,61,STOP_BE_CHAND,False,True,25.35482524778299,-0.6842983828899334,17.45905059989567,0.02,17.43905059989567,20,50,10,14,2.0,999.0,4.0,3.0,22,82,T5_1D_LONG_max3,2024-10-18 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
LTC/USDT,1d,LONG,2024-10-19 00:00:00+00:00,2024-10-23 00:00:00+00:00,74.9,69.26,69.26,69.26,5.640000000000002,4,INITIAL_STOP,False,False,0.173758865248225,-1.2482269503546106,-0.9999999999999996,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22,83,T5_1D_LONG_max3,2024-10-19 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
