timeframe,filter_mode,rsi_n,overbought,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
2h,none,3,80,10,4.0,30992,0.5149,-0.0178,0.9216,562.13,-550.96
2h,none,3,80,15,2.0,31770,0.4506,0.0022,1.0048,180.4,70.68
2h,none,3,80,15,3.0,28407,0.5032,-0.0008,0.9977,127.59,-22.23
2h,none,3,80,15,4.0,26919,0.5199,-0.0031,0.9882,130.77,-84.21
2h,none,3,80,20,2.0,28630,0.4155,-0.0106,0.9796,507.91,-302.74
2h,none,3,80,20,3.0,25164,0.4767,-0.0091,0.9767,353.49,-227.91
2h,none,3,80,20,4.0,23546,0.5009,-0.0091,0.9704,275.27,-213.17
2h,none,3,80,25,2.0,26337,0.394,-0.0013,0.9977,311.32,-33.49
2h,none,3,80,25,3.0,22745,0.4642,-0.0059,0.986,301.28,-135.13
2h,none,3,80,25,4.0,21064,0.497,-0.0085,0.975,271.9,-179.14
2h,none,3,85,5,2.0,30167,0.5087,-0.0114,0.9625,389.27,-344.07
2h,none,3,85,5,3.0,28849,0.5233,-0.0104,0.9505,333.6,-301.06
2h,none,3,85,5,4.0,28360,0.5264,-0.009,0.9442,274.49,-254.06
2h,none,3,85,10,2.0,26856,0.4718,-0.0175,0.9579,517.03,-470.26
2h,none,3,85,10,3.0,24757,0.5052,-0.0195,0.935,518.37,-482.92
2h,none,3,85,10,4.0,23830,0.5145,-0.018,0.9224,452.3,-428.92
2h,none,3,85,15,2.0,25042,0.4427,-0.0087,0.9816,296.82,-218.87
2h,none,3,85,15,3.0,22634,0.4963,-0.0066,0.981,193.54,-149.95
2h,none,3,85,15,4.0,21492,0.5151,-0.0079,0.971,203.85,-169.99
2h,none,3,85,20,2.0,23160,0.4092,-0.0254,0.952,635.62,-588.13
2h,none,3,85,20,3.0,20622,0.4733,-0.0211,0.947,466.71,-434.13
2h,none,3,85,20,4.0,19370,0.4971,-0.0202,0.9361,417.22,-391.19
2h,none,3,85,25,2.0,21732,0.3881,-0.0176,0.969,499.64,-382.22
2h,none,3,85,25,3.0,19077,0.4609,-0.0179,0.9588,414.57,-341.34
2h,none,3,85,25,4.0,17689,0.4932,-0.0179,0.9487,358.05,-317.51
2h,none,3,90,5,2.0,18274,0.5066,-0.0138,0.9565,256.48,-252.31
2h,none,3,90,5,3.0,17479,0.5245,-0.0124,0.9439,221.35,-216.48
2h,none,3,90,5,4.0,17152,0.5293,-0.0101,0.94,177.26,-172.72
2h,none,3,90,10,2.0,17210,0.4692,-0.0209,0.951,387.94,-360.09
2h,none,3,90,10,3.0,16005,0.5102,-0.0182,0.9409,303.28,-291.17
2h,none,3,90,10,4.0,15423,0.5223,-0.0192,0.9202,302.18,-296.0
2h,none,3,90,15,2.0,16634,0.4394,-0.0188,0.9615,337.63,-312.52
2h,none,3,90,15,3.0,15253,0.4973,-0.0163,0.955,257.45,-248.29
2h,none,3,90,15,4.0,14552,0.5161,-0.019,0.9337,279.16,-276.22
2h,none,3,90,20,2.0,15870,0.4038,-0.0374,0.9308,614.46,-593.6
2h,none,3,90,20,3.0,14365,0.4718,-0.0301,0.9266,443.73,-432.44
2h,none,3,90,20,4.0,13579,0.4988,-0.0282,0.914,388.51,-382.8
2h,none,3,90,25,2.0,15279,0.3841,-0.023,0.96,398.92,-352.11
2h,none,3,90,25,3.0,13659,0.457,-0.0267,0.9403,403.97,-364.96
2h,none,3,90,25,4.0,12808,0.4923,-0.0245,0.9322,335.08,-313.22
2h,none,5,70,5,2.0,41190,0.5067,-0.0099,0.967,465.21,-409.72
2h,none,5,70,5,3.0,39239,0.5223,-0.0082,0.9605,363.24,-321.28
2h,none,5,70,5,4.0,38508,0.5253,-0.0082,0.948,328.82,-317.03
2h,none,5,70,10,2.0,33974,0.4751,-0.0142,0.9655,545.7,-481.25
2h,none,5,70,10,3.0,30694,0.5094,-0.0167,0.9434,533.16,-512.22
2h,none,5,70,10,4.0,29336,0.5173,-0.0173,0.9244,518.34,-507.51
2h,none,5,70,15,2.0,30973,0.4504,-0.0021,0.9955,293.81,-66.0
2h,none,5,70,15,3.0,27197,0.5041,-0.0027,0.9923,172.65,-72.46
2h,none,5,70,15,4.0,25522,0.5219,-0.0063,0.9766,225.62,-161.22
2h,none,5,70,20,2.0,28360,0.4134,-0.0159,0.9696,583.82,-451.3
2h,none,5,70,20,3.0,24446,0.4781,-0.0145,0.9632,426.36,-354.79
2h,none,5,70,20,4.0,22626,0.5008,-0.016,0.9487,380.95,-362.38
2h,none,5,70,25,2.0,26306,0.3929,-0.0086,0.9847,471.42,-225.66
2h,none,5,70,25,3.0,22296,0.4646,-0.0135,0.9688,406.55,-300.12
2h,none,5,70,25,4.0,20385,0.4975,-0.0147,0.9575,368.48,-299.09
2h,none,5,75,5,2.0,29919,0.5101,-0.0138,0.9552,424.75,-414.36
2h,none,5,75,5,3.0,28482,0.5264,-0.0132,0.9388,392.88,-375.52
2h,none,5,75,5,4.0,27905,0.5296,-0.0108,0.934,318.06,-302.32
2h,none,5,75,10,2.0,25956,0.4708,-0.0234,0.9445,647.41,-607.29
2h,none,5,75,10,3.0,23522,0.5077,-0.0234,0.9234,574.83,-550.48
2h,none,5,75,10,4.0,22438,0.5184,-0.0197,0.9163,460.86,-441.94
2h,none,5,75,15,2.0,24401,0.4425,-0.016,0.967,414.76,-389.36
2h,none,5,75,15,3.0,21540,0.4948,-0.0164,0.9542,362.54,-353.29
2h,none,5,75,15,4.0,20201,0.5159,-0.014,0.9499,291.46,-282.93
2h,none,5,75,20,2.0,22877,0.4086,-0.0323,0.9396,762.35,-739.7
2h,none,5,75,20,3.0,19890,0.4708,-0.0308,0.924,623.72,-613.17
2h,none,5,75,20,4.0,18379,0.4968,-0.0274,0.9153,509.45,-503.41
2h,none,5,75,25,2.0,21688,0.3865,-0.0256,0.9552,642.55,-555.91
2h,none,5,75,25,3.0,18588,0.457,-0.0264,0.9404,537.02,-490.66
2h,none,5,75,25,4.0,17001,0.491,-0.0238,0.9334,440.27,-404.06
2h,none,5,80,5,2.0,19627,0.5066,-0.0189,0.9415,398.71,-370.2
2h,none,5,80,5,3.0,18626,0.5249,-0.0155,0.9311,304.34,-288.05
2h,none,5,80,5,4.0,18230,0.5306,-0.0124,0.9279,242.04,-225.27
2h,none,5,80,10,2.0,17865,0.4629,-0.0369,0.9156,676.49,-659.31
2h,none,5,80,10,3.0,16277,0.5032,-0.0309,0.9023,510.75,-502.67
2h,none,5,80,10,4.0,15541,0.5169,-0.0275,0.888,435.5,-427.79
2h,none,5,80,15,2.0,17268,0.4336,-0.0359,0.928,626.8,-619.08
2h,none,5,80,15,3.0,15435,0.4912,-0.0264,0.9286,413.15,-406.82
2h,none,5,80,15,4.0,14548,0.514,-0.0242,0.9169,356.59,-351.63
2h,none,5,80,20,2.0,16617,0.3966,-0.0564,0.8974,956.12,-937.42
2h,none,5,80,20,3.0,14653,0.467,-0.0407,0.9021,611.57,-596.87
2h,none,5,80,20,4.0,13642,0.497,-0.0338,0.8981,470.29,-461.11
2h,none,5,80,25,2.0,16080,0.3777,-0.0463,0.921,784.51,-743.74
2h,none,5,80,25,3.0,14040,0.4576,-0.0318,0.9292,472.48,-446.53
2h,none,5,80,25,4.0,12965,0.4943,-0.0286,0.9214,392.46,-370.37
2h,none,5,85,5,2.0,10944,0.4987,-0.0388,0.8871,427.21,-424.34
2h,none,5,85,5,3.0,10394,0.5199,-0.0289,0.8799,305.6,-300.4
2h,none,5,85,5,4.0,10126,0.525,-0.0232,0.874,240.28,-234.89
2h,none,5,85,10,2.0,10503,0.4579,-0.0549,0.8788,584.18,-576.46
2h,none,5,85,10,3.0,9683,0.5053,-0.0389,0.8806,384.63,-377.08
2h,none,5,85,10,4.0,9226,0.5208,-0.0341,0.866,319.63,-314.57
2h,none,5,85,15,2.0,10341,0.4247,-0.0611,0.8809,638.67,-632.28
2h,none,5,85,15,3.0,9426,0.4898,-0.0417,0.8905,398.11,-393.43
2h,none,5,85,15,4.0,8882,0.512,-0.0377,0.8751,338.68,-334.96
2h,none,5,85,20,2.0,10153,0.3869,-0.0809,0.8568,826.54,-821.1
2h,none,5,85,20,3.0,9179,0.4632,-0.0572,0.8674,534.48,-525.21
2h,none,5,85,20,4.0,8574,0.4949,-0.0504,0.8545,436.2,-432.13
2h,none,5,85,25,2.0,10010,0.366,-0.0669,0.8882,701.32,-669.49
2h,none,5,85,25,3.0,8996,0.4493,-0.0452,0.9025,446.35,-406.26
2h,none,5,85,25,4.0,8340,0.4845,-0.0482,0.8728,422.16,-402.4
2h,none,5,90,5,2.0,4689,0.4858,-0.0632,0.8304,297.67,-296.58
2h,none,5,90,5,3.0,4444,0.5126,-0.0452,0.8262,201.96,-201.06
2h,none,5,90,5,4.0,4327,0.5207,-0.0334,0.8304,145.29,-144.46
2h,none,5,90,10,2.0,4607,0.4372,-0.1025,0.7897,472.48,-472.06
2h,none,5,90,10,3.0,4293,0.4887,-0.0737,0.7917,316.73,-316.23
2h,none,5,90,10,4.0,4130,0.5051,-0.064,0.7705,264.59,-264.48
2h,none,5,90,15,2.0,4596,0.4101,-0.105,0.8046,482.87,-482.4
2h,none,5,90,15,3.0,4257,0.479,-0.0778,0.808,333.23,-330.99
2h,none,5,90,15,4.0,4076,0.5044,-0.0695,0.7861,283.65,-283.46
2h,none,5,90,20,2.0,4576,0.3632,-0.1518,0.7447,693.99,-694.56
2h,none,5,90,20,3.0,4225,0.4419,-0.1167,0.7469,493.88,-493.15
2h,none,5,90,20,4.0,4030,0.4734,-0.1033,0.7242,415.78,-416.34
2h,none,5,90,25,2.0,4558,0.3379,-0.1531,0.7563,697.4,-697.93
2h,none,5,90,25,3.0,4193,0.4214,-0.1183,0.7617,506.41,-495.84
2h,none,5,90,25,4.0,3974,0.4545,-0.1123,0.7281,447.69,-446.32
2h,none,7,70,5,2.0,29074,0.5078,-0.0183,0.9418,540.52,-530.91
2h,none,7,70,5,3.0,27597,0.5248,-0.0146,0.9329,412.49,-402.04
2h,none,7,70,5,4.0,27035,0.5275,-0.0129,0.9225,356.29,-347.63
2h,none,7,70,10,2.0,24533,0.4654,-0.036,0.9161,894.69,-883.96
2h,none,7,70,10,3.0,22072,0.5039,-0.0312,0.8993,701.48,-689.25
2h,none,7,70,10,4.0,20967,0.5139,-0.0263,0.8902,559.6,-552.12
2h,none,7,70,15,2.0,22990,0.4372,-0.0329,0.9331,772.07,-755.71
2h,none,7,70,15,3.0,20067,0.4919,-0.0266,0.9269,540.83,-534.66
2h,none,7,70,15,4.0,18691,0.5121,-0.0245,0.9143,460.23,-458.58
2h,none,7,70,20,2.0,21759,0.4008,-0.0501,0.9081,1109.28,-1089.07
2h,none,7,70,20,3.0,18673,0.4684,-0.0413,0.8999,786.12,-770.68
2h,none,7,70,20,4.0,17090,0.4939,-0.0366,0.889,629.88,-625.05
2h,none,7,70,25,2.0,20811,0.3808,-0.0408,0.9295,880.86,-849.79
2h,none,7,70,25,3.0,17606,0.4568,-0.0326,0.9268,608.81,-574.08
2h,none,7,70,25,4.0,15943,0.4903,-0.0327,0.9097,537.4,-520.57
2h,none,7,75,5,2.0,18619,0.509,-0.0232,0.9288,453.42,-432.26
2h,none,7,75,5,3.0,17599,0.5269,-0.0213,0.9068,392.24,-375.61
2h,none,7,75,5,4.0,17203,0.5313,-0.0167,0.9041,302.37,-287.85
2h,none,7,75,10,2.0,16572,0.4601,-0.0472,0.8929,795.88,-782.82
2h,none,7,75,10,3.0,14890,0.501,-0.0385,0.8799,583.17,-573.02
2h,none,7,75,10,4.0,14121,0.5154,-0.0314,0.8736,452.0,-443.56
2h,none,7,75,15,2.0,16015,0.4338,-0.0449,0.9102,726.79,-719.48
2h,none,7,75,15,3.0,14093,0.4905,-0.0349,0.9064,496.41,-491.66
2h,none,7,75,15,4.0,13164,0.5129,-0.0305,0.8963,406.01,-401.84
2h,none,7,75,20,2.0,15524,0.3971,-0.065,0.8821,1019.21,-1008.93
2h,none,7,75,20,3.0,13458,0.4666,-0.0501,0.8806,681.24,-674.56
2h,none,7,75,20,4.0,12405,0.4961,-0.0433,0.8715,542.03,-537.58
2h,none,7,75,25,2.0,15166,0.3765,-0.0545,0.9071,877.8,-825.96
2h,none,7,75,25,3.0,12998,0.4561,-0.0397,0.9123,544.38,-516.11
2h,none,7,75,25,4.0,11865,0.4916,-0.0383,0.8962,474.67,-454.46
2h,none,7,80,5,2.0,10465,0.5015,-0.0396,0.8849,415.64,-414.66
2h,none,7,80,5,3.0,9863,0.5244,-0.0291,0.8794,290.07,-287.46
2h,none,7,80,5,4.0,9614,0.5296,-0.0227,0.8768,218.8,-218.07
2h,none,7,80,10,2.0,9821,0.458,-0.0619,0.8642,612.66,-607.84
2h,none,7,80,10,3.0,8917,0.508,-0.0449,0.8642,403.52,-400.26
2h,none,7,80,10,4.0,8473,0.5248,-0.0385,0.8506,328.28,-326.09
2h,none,7,80,15,2.0,9658,0.4217,-0.0694,0.8654,674.84,-670.56
2h,none,7,80,15,3.0,8655,0.4878,-0.048,0.8751,421.34,-415.81
2h,none,7,80,15,4.0,8115,0.5099,-0.0435,0.8575,355.47,-353.18
2h,none,7,80,20,2.0,9533,0.3863,-0.0871,0.8461,833.39,-830.25
2h,none,7,80,20,3.0,8478,0.4632,-0.0631,0.8543,542.77,-535.19
2h,none,7,80,20,4.0,7878,0.4924,-0.0587,0.8323,465.86,-462.43
2h,none,7,80,25,2.0,9443,0.3666,-0.0736,0.8769,702.04,-695.04
2h,none,7,80,25,3.0,8339,0.4475,-0.0574,0.8772,496.6,-478.7
2h,none,7,80,25,4.0,7690,0.4797,-0.0591,0.8458,466.99,-454.86
2h,none,7,85,5,2.0,4868,0.4852,-0.0771,0.7948,375.5,-375.2
2h,none,7,85,5,3.0,4574,0.5103,-0.0555,0.7891,254.37,-253.84
2h,none,7,85,5,4.0,4446,0.5191,-0.0399,0.7982,177.61,-177.43
2h,none,7,85,10,2.0,4719,0.4361,-0.1146,0.7649,545.26,-540.99
2h,none,7,85,10,3.0,4327,0.4883,-0.0818,0.7677,359.54,-354.05
2h,none,7,85,10,4.0,4128,0.5065,-0.0683,0.7535,286.32,-282.07
2h,none,7,85,15,2.0,4698,0.4038,-0.1213,0.7768,576.15,-570.02
2h,none,7,85,15,3.0,4271,0.4751,-0.0858,0.7886,369.11,-366.27
2h,none,7,85,15,4.0,4046,0.5037,-0.0722,0.778,292.97,-291.95
2h,none,7,85,20,2.0,4676,0.3604,-0.165,0.7237,773.77,-771.66
2h,none,7,85,20,3.0,4239,0.4367,-0.1293,0.7204,553.2,-547.98
2h,none,7,85,20,4.0,3995,0.4686,-0.1118,0.7029,446.59,-446.63
2h,none,7,85,25,2.0,4663,0.3354,-0.1626,0.7423,772.4,-758.13
2h,none,7,85,25,3.0,4211,0.4149,-0.1304,0.7382,566.18,-549.04
2h,none,7,85,25,4.0,3945,0.4487,-0.1178,0.7141,473.76,-464.75
2h,none,7,90,5,2.0,1561,0.5054,-0.0665,0.8292,109.72,-103.73
2h,none,7,90,5,3.0,1471,0.5357,-0.0533,0.8091,81.57,-78.41
2h,none,7,90,5,4.0,1438,0.5459,-0.0365,0.8259,53.99,-52.49
2h,none,7,90,10,2.0,1548,0.4257,-0.1246,0.7538,203.32,-192.94
2h,none,7,90,10,3.0,1437,0.4781,-0.11,0.7147,161.93,-158.11
2h,none,7,90,10,4.0,1393,0.5047,-0.0825,0.722,116.61,-114.98
2h,none,7,90,15,2.0,1548,0.3986,-0.144,0.7419,226.08,-222.89
2h,none,7,90,15,3.0,1435,0.4606,-0.1271,0.7071,183.28,-182.34
2h,none,7,90,15,4.0,1388,0.4957,-0.0998,0.7092,139.1,-138.55
2h,none,7,90,20,2.0,1547,0.3529,-0.1907,0.6877,304.48,-295.01
2h,none,7,90,20,3.0,1433,0.4194,-0.1701,0.6536,245.78,-243.72
2h,none,7,90,20,4.0,1383,0.4555,-0.1411,0.6471,195.85,-195.08
2h,none,7,90,25,2.0,1546,0.3286,-0.1954,0.6964,311.99,-302.04
2h,none,7,90,25,3.0,1432,0.4078,-0.1712,0.6717,247.8,-245.14
2h,none,7,90,25,4.0,1381,0.4482,-0.1497,0.6528,208.05,-206.75
2h,none,10,70,5,2.0,18697,0.5097,-0.0292,0.9101,551.02,-546.59
2h,none,10,70,5,3.0,17688,0.5291,-0.0245,0.8924,438.28,-433.83
2h,none,10,70,5,4.0,17264,0.5323,-0.0209,0.8801,364.93,-360.82
2h,none,10,70,10,2.0,16023,0.4639,-0.0533,0.8788,860.93,-853.85
2h,none,10,70,10,3.0,14327,0.5068,-0.0422,0.8672,609.97,-605.19
2h,none,10,70,10,4.0,13541,0.5177,-0.0356,0.8564,485.19,-481.48
2h,none,10,70,15,2.0,15347,0.4332,-0.0551,0.8897,851.39,-846.09
2h,none,10,70,15,3.0,13329,0.4918,-0.0419,0.8878,562.14,-558.19
2h,none,10,70,15,4.0,12377,0.5118,-0.039,0.8683,485.73,-482.86
2h,none,10,70,20,2.0,14851,0.3973,-0.076,0.8622,1133.56,-1128.05
2h,none,10,70,20,3.0,12693,0.4677,-0.0585,0.8614,752.44,-741.92
2h,none,10,70,20,4.0,11600,0.4947,-0.0533,0.8435,623.46,-617.74
2h,none,10,70,25,2.0,14523,0.3757,-0.0652,0.8886,997.6,-947.33
2h,none,10,70,25,3.0,12263,0.454,-0.052,0.8855,660.59,-637.95
2h,none,10,70,25,4.0,11096,0.4862,-0.0511,0.8626,581.15,-567.42
2h,none,10,75,5,2.0,10189,0.5077,-0.0375,0.8904,385.34,-382.48
2h,none,10,75,5,3.0,9594,0.5305,-0.0292,0.8788,284.17,-279.88
2h,none,10,75,5,4.0,9361,0.5347,-0.0226,0.8764,212.37,-211.34
2h,none,10,75,10,2.0,9288,0.4581,-0.0699,0.8468,651.56,-649.3
2h,none,10,75,10,3.0,8353,0.5083,-0.0545,0.836,458.91,-455.49
2h,none,10,75,10,4.0,7868,0.5228,-0.0454,0.8248,358.53,-357.15
2h,none,10,75,15,2.0,9077,0.4251,-0.0789,0.847,723.19,-715.79
2h,none,10,75,15,3.0,8019,0.49,-0.0598,0.8456,484.84,-479.8
2h,none,10,75,15,4.0,7418,0.5125,-0.0513,0.833,383.47,-380.74
2h,none,10,75,20,2.0,8949,0.3861,-0.1005,0.822,904.83,-899.23
2h,none,10,75,20,3.0,7827,0.4582,-0.0796,0.8175,629.25,-623.16
2h,none,10,75,20,4.0,7186,0.4859,-0.0727,0.7941,527.52,-522.69
