timeframe,filter_mode,rsi_n,overbought,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
1d,ema200_price_below,14,80,10,3.0,28,0.5357,0.0838,1.2383,4.57,2.35
1d,ema200_price_below,14,80,10,4.0,28,0.5357,0.0417,1.1466,3.61,1.17
1d,ema200_price_below,14,80,15,2.0,28,0.3571,-0.0156,0.9738,6.35,-0.44
1d,ema200_price_below,14,80,15,3.0,28,0.4286,-0.0131,0.971,5.99,-0.37
1d,ema200_price_below,14,80,15,4.0,28,0.4286,-0.0241,0.9317,4.89,-0.67
1d,ema200_price_below,14,80,20,2.0,27,0.3333,-0.0799,0.8664,7.71,-2.16
1d,ema200_price_below,14,80,20,3.0,27,0.4074,-0.0674,0.8664,6.53,-1.82
1d,ema200_price_below,14,80,20,4.0,27,0.4444,-0.078,0.8104,6.08,-2.1
1d,ema200_price_below,14,80,25,2.0,24,0.3333,-0.3255,0.5118,11.11,-7.81
1d,ema200_price_below,14,80,25,3.0,24,0.4167,-0.224,0.6159,9.32,-5.38
1d,ema200_price_below,14,80,25,4.0,24,0.4583,-0.1904,0.5888,8.55,-4.57
1d,ema200_price_below,14,85,5,2.0,6,0.6667,0.7555,3.2665,1.0,4.53
1d,ema200_price_below,14,85,5,3.0,6,0.6667,0.3926,2.1777,1.0,2.36
1d,ema200_price_below,14,85,5,4.0,5,0.8,0.4533,3.2665,0.0,2.27
1d,ema200_price_below,14,85,10,2.0,6,0.6667,0.924,3.772,1.0,5.54
1d,ema200_price_below,14,85,10,3.0,6,0.6667,0.5049,2.5147,1.0,3.03
1d,ema200_price_below,14,85,10,4.0,5,0.8,0.5544,3.772,0.0,2.77
1d,ema200_price_below,14,85,15,2.0,6,0.5,0.6888,2.6753,1.0,4.13
1d,ema200_price_below,14,85,15,3.0,6,0.5,0.3481,1.9036,1.0,2.09
1d,ema200_price_below,14,85,15,4.0,5,0.6,0.4133,2.6753,0.23,2.07
1d,ema200_price_below,14,85,20,2.0,5,0.4,0.1228,1.2903,1.0,0.61
1d,ema200_price_below,14,85,20,3.0,5,0.4,-0.0515,0.8761,1.0,-0.26
1d,ema200_price_below,14,85,20,4.0,4,0.5,0.0767,1.2903,0.06,0.31
1d,ema200_price_below,14,85,25,2.0,4,0.5,-0.22,0.56,1.0,-0.88
1d,ema200_price_below,14,85,25,3.0,4,0.5,-0.3133,0.3733,1.0,-1.25
1d,ema200_price_below,14,85,25,4.0,3,0.6667,-0.1467,0.56,0.0,-0.44
1d,ema200_price_below,14,90,5,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,5,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,5,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,10,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,10,3.0,0,0.0,0.0,0.0,0.0,0.0
