symbol,entry_time,exit_time,net_r,mae_r,mfe_r,exit_reason,partial_done,month
ETC/USDT,2021-04-02 00:00:00+00:00,2021-04-18 00:00:00+00:00,10.860555746818505,-0.9090584908670681,16.67101408862891,chandelier_stop,False,2021-04
ADA/USDT,2021-04-13 00:00:00+00:00,2021-04-18 00:00:00+00:00,-1.0000000000000002,-1.8567755552968157,0.7962830130949471,initial_stop,False,2021-04
BTC/USDT,2021-04-13 00:00:00+00:00,2021-04-18 00:00:00+00:00,-0.9999999999999996,-2.3060617910233985,0.23327451859178305,initial_stop,False,2021-04
TRX/USDT,2021-04-15 00:00:00+00:00,2021-04-18 00:00:00+00:00,-1.0,-1.4366246428292544,0.5374153781159423,initial_stop,False,2021-04
AVAX/USDT,2021-04-14 00:00:00+00:00,2021-04-18 00:00:00+00:00,-0.9999999999999999,-2.22112278233912,0.34035987164113224,initial_stop,False,2021-04
QTUM/USDT,2021-03-19 00:00:00+00:00,2021-04-18 00:00:00+00:00,4.99264032074722,-0.5074024750707911,9.142681221053813,chandelier_stop,False,2021-04
ZRX/USDT,2021-03-30 00:00:00+00:00,2021-04-18 00:00:00+00:00,-1.0000000000000002,-1.2683704874133142,1.7350024479278128,initial_stop,False,2021-04
IOST/USDT,2021-04-13 00:00:00+00:00,2021-04-22 00:00:00+00:00,-1.0000000000000002,-1.4536108022667982,2.1027273823369392,initial_stop,False,2021-04
VTHO/USDT,2021-04-15 00:00:00+00:00,2021-04-22 00:00:00+00:00,-1.0,-1.1600437883932675,1.360526034289748,initial_stop,False,2021-04
SC/USDT,2021-04-16 00:00:00+00:00,2021-04-22 00:00:00+00:00,-1.0,-1.136612221805374,2.6410788710432556,initial_stop,False,2021-04
ICX/USDT,2021-03-27 00:00:00+00:00,2021-04-23 00:00:00+00:00,-1.0,-1.2656782813133245,1.9757259230212416,initial_stop,False,2021-04
ETC/USDT,2021-05-03 00:00:00+00:00,2021-05-07 00:00:00+00:00,8.891685120821293,-0.3008874781212053,13.365072468384831,chandelier_stop,False,2021-05
QTUM/USDT,2021-05-06 00:00:00+00:00,2021-05-12 00:00:00+00:00,-0.9999999999999998,-1.2717400456183618,2.5137546942653954,initial_stop,False,2021-05
ETH/USDT,2021-04-01 00:00:00+00:00,2021-05-16 00:00:00+00:00,6.072070777490813,-0.15643715383655665,9.889057064041879,chandelier_stop,False,2021-05
ZEC/USDT,2021-04-01 00:00:00+00:00,2021-05-17 00:00:00+00:00,2.632676440314269,-0.11999196806118748,7.766376691408588,midline_exit,False,2021-05
SOL/USDT,2021-03-28 00:00:00+00:00,2021-05-19 00:00:00+00:00,6.6316007884198465,-0.13263315281621677,12.71319988673843,chandelier_stop,False,2021-05
AVAX/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0000000000000002,-2.222686288435643,0.6463239444620549,initial_stop,False,2021-05
ADA/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-0.9999999999999999,-2.561873791745685,3.290630880369321,initial_stop,False,2021-05
MTL/USDT,2021-07-12 00:00:00+00:00,2021-07-14 00:00:00+00:00,-0.9999999999999998,-1.0878814630392104,0.004866488854588211,initial_stop,False,2021-07
ARDR/USDT,2021-07-31 00:00:00+00:00,2021-08-01 00:00:00+00:00,-1.0000000000000004,-1.6545872595130315,0.0968421759437656,initial_stop,False,2021-08
BTC/USDT,2021-07-30 00:00:00+00:00,2021-08-03 00:00:00+00:00,-0.9999999999999996,-1.0931275844749617,0.09403214560974885,initial_stop,False,2021-08
NEAR/USDT,2021-08-10 00:00:00+00:00,2021-08-24 00:00:00+00:00,4.7295233589635615,-0.08827462732337703,8.187855010788713,chandelier_stop,False,2021-08
QTUM/USDT,2021-08-06 00:00:00+00:00,2021-08-26 00:00:00+00:00,2.1519671546916475,-0.1500068309785061,4.519831991352361,midline_exit,False,2021-08
AVAX/USDT,2021-08-13 00:00:00+00:00,2021-08-26 00:00:00+00:00,9.882832908746927,-0.3709158632062464,15.608962934062674,chandelier_stop,False,2021-08
VTHO/USDT,2021-08-11 00:00:00+00:00,2021-08-30 00:00:00+00:00,0.8176831747779617,-0.635779574341396,6.63594930718832,midline_exit,False,2021-08
MTL/USDT,2021-07-31 00:00:00+00:00,2021-09-03 00:00:00+00:00,4.663283272907137,-0.9817193853786675,8.03941188831488,chandelier_stop,False,2021-09
ADA/USDT,2021-08-06 00:00:00+00:00,2021-09-07 00:00:00+00:00,6.61869252218935,-0.0551353528281959,10.179064867248885,chandelier_stop,False,2021-09
